LSOA11CD,All categories: Long-term health problem or disability,Day-to-day activities limited a lot,Day-to-day activities limited a little,Day-to-day activities not limited,Day-to-day activities limited a lot: Age 16 to 64,Day-to-day activities limited a little: Age 16 to 64,Day-to-day activities not limited: Age 16 to 64,Very good health,Good health,Fair health,Bad health,Very bad health,Provides no unpaid care,Provides 1 to 19 hours unpaid care a week,Provides 20 to 49 hours unpaid care a week,Provides 50 or more hours unpaid care a week
E01003265,1531,119,101,1311,75,68,905,726,527,197,60,21,1409,59,29,34
E01003266,1735,206,163,1366,118,92,887,759,555,281,99,41,1550,91,26,68
E01003267,1568,170,129,1269,93,73,820,686,533,232,89,28,1411,91,23,43
E01003268,1670,97,129,1444,48,77,1069,820,569,216,48,17,1515,100,22,33
E01003269,1554,101,120,1333,56,74,940,711,591,167,63,22,1412,90,20,32
E01003270,1638,87,98,1453,44,54,1071,823,574,181,45,15,1489,104,15,30
E01003271,1667,101,134,1432,46,65,1008,814,577,221,44,11,1481,128,28,30
E01003272,1966,98,120,1748,60,69,1377,1074,623,196,60,13,1816,104,15,31
E01003273,2000,82,112,1806,45,69,1444,978,781,170,54,17,1838,109,26,27
E01003274,1724,87,97,1540,47,61,1136,902,568,179,55,20,1594,81,18,31
E01003275,1727,209,147,1371,74,84,934,780,557,235,102,53,1576,79,25,47
E01003276,1904,96,123,1685,50,91,1145,944,691,195,55,19,1723,112,20,49
E01003277,1714,86,111,1517,61,82,1167,887,590,162,57,18,1572,105,18,19
E01003278,1887,106,137,1644,51,89,1279,897,684,219,60,27,1733,99,34,21
E01003279,1593,103,129,1361,46,81,1026,778,550,179,63,23,1452,94,16,31
E01003280,1606,148,110,1348,80,63,910,745,563,193,70,35,1458,79,21,48
E01003281,1534,93,114,1327,39,63,904,776,519,184,44,11,1410,75,19,30
E01003282,2418,145,158,2115,89,102,1683,1235,804,256,94,29,2245,103,27,43
E01003283,2108,95,123,1890,37,75,1355,1210,633,199,51,15,1952,113,17,26
E01003284,1757,104,121,1532,47,72,1129,884,613,181,65,14,1614,86,19,38
E01003285,1608,81,103,1424,33,62,1061,838,549,162,41,18,1453,121,17,17
E01003286,1633,179,165,1289,72,86,862,690,566,250,92,35,1486,87,21,39
E01003287,1909,117,132,1660,61,80,1206,1070,591,175,43,30,1739,114,18,38
E01003288,1810,183,162,1465,65,91,1040,810,609,249,100,42,1684,72,27,27
E01003290,1730,150,120,1460,77,67,1173,830,556,225,90,29,1602,81,17,30
E01003291,1512,174,152,1186,95,98,807,631,522,231,102,26,1409,52,21,30
E01003292,1565,81,92,1392,39,57,1073,802,546,169,36,12,1457,74,14,20
E01003293,1518,105,129,1284,74,85,943,724,560,157,58,19,1400,74,16,28
E01003295,1672,121,96,1455,62,67,1080,800,590,201,66,15,1537,87,17,31
E01003296,2046,119,115,1812,64,74,1438,1064,719,180,61,22,1947,67,8,24
E01003297,1538,63,63,1412,31,49,1075,859,486,141,45,7,1441,56,12,29
E01003298,1292,85,89,1118,50,58,792,658,427,139,51,17,1178,62,23,29
E01003299,1623,112,107,1404,67,73,1037,827,528,187,61,20,1495,66,22,40
E01003300,1356,105,94,1157,60,66,815,590,497,184,60,25,1235,70,22,29
E01003301,2166,74,113,1979,42,88,1588,1196,711,194,51,14,2033,90,20,23
E01003302,1509,99,112,1298,64,64,946,719,496,222,53,19,1417,55,20,17
E01003303,1550,94,89,1367,56,52,1051,753,559,169,57,12,1452,57,19,22
E01003304,1890,113,134,1643,78,86,1312,908,675,211,79,17,1746,77,37,30
E01003305,1372,159,132,1081,62,86,779,604,437,192,116,23,1263,77,12,20
E01003307,1521,106,111,1304,53,59,930,749,529,179,50,14,1409,70,22,20
E01003308,1824,131,133,1560,79,78,1117,929,632,194,50,19,1676,88,26,34
E01003309,1510,142,149,1219,57,88,804,672,494,224,85,35,1382,70,24,34
E01003310,1559,111,118,1330,72,84,1022,759,526,185,60,29,1440,81,14,24
E01003311,1546,102,118,1326,44,62,921,776,526,167,61,16,1371,112,23,40
E01003312,1760,92,112,1556,47,64,1144,903,615,186,48,8,1621,90,21,28
E01003313,1530,102,114,1314,64,77,879,763,497,203,49,18,1394,97,16,23
E01003314,1599,73,93,1433,44,65,1059,815,584,153,37,10,1483,85,11,20
