OA11CD,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other Religion,No Religion,Not Stated
E00016773,38.628158844765345,0.0,3.9711191335740073,0.36101083032490977,14.440433212996389,0.0,2.527075812274368,31.04693140794224,9.025270758122744
E00016775,52.34375,0.78125,3.515625,0.390625,9.375,0.390625,0.0,23.828125,9.375
E00016776,47.35202492211838,0.6230529595015576,2.1806853582554515,0.6230529595015576,6.542056074766355,0.0,0.6230529595015576,35.202492211838006,6.853582554517134
E00016460,52.26586102719033,0.3021148036253776,1.2084592145015105,0.3021148036253776,7.2507552870090635,0.0,0.6042296072507553,28.09667673716012,9.969788519637461
E00016463,48.118811881188115,0.594059405940594,1.188118811881188,0.0,6.138613861386139,0.0,0.9900990099009901,34.65346534653465,8.316831683168317
E00016467,50.314465408805034,0.6289308176100629,0.9433962264150944,0.0,5.031446540880503,0.0,0.0,33.0188679245283,10.062893081761006
E00016469,50.65359477124183,1.9607843137254901,1.6339869281045751,0.0,5.555555555555555,0.0,0.9803921568627451,28.431372549019606,10.784313725490197
E00016471,51.724137931034484,0.8620689655172413,1.293103448275862,0.0,11.637931034482758,0.0,0.43103448275862066,24.56896551724138,9.482758620689655
E00016472,46.28099173553719,0.8264462809917356,2.479338842975207,0.8264462809917356,9.917355371900827,0.27548209366391185,0.8264462809917356,28.37465564738292,10.192837465564738
E00016447,53.898305084745765,1.0169491525423728,2.0338983050847457,0.3389830508474576,4.745762711864407,0.0,2.0338983050847457,27.796610169491526,8.135593220338983
E00016458,45.141065830721004,0.9404388714733543,2.8213166144200628,0.0,2.5078369905956115,0.31347962382445144,0.31347962382445144,35.42319749216301,12.539184952978056
E00016459,48.230088495575224,1.7699115044247788,3.5398230088495577,0.4424778761061947,0.0,0.0,0.4424778761061947,40.70796460176991,4.867256637168142
E00016464,63.6986301369863,0.684931506849315,0.684931506849315,0.3424657534246575,10.95890410958904,0.3424657534246575,0.0,14.726027397260275,8.561643835616438
