LSOA11CD,All categories: Religion,Christian,Buddhist,Hindu,Jewish,Muslim (Islam),Sikh,Other religion: Total,Other religion: Animism,Other religion: Baha'i,Other religion: Believe in God,Other religion: Brahma Kumari,Other religion: Chinese Religion,Other religion: Church of All Religion,Other religion: Confucianist,Other religion: Deist,Other religion: Druid,Other religion: Druze,Other religion: Eckankar,Other religion: Heathen,Other religion: Jain,Other religion: Mixed Religion,Other religion: Mysticism,Other religion: Native American Church,Other religion: New Age,Other religion: Occult,Other religion: Own Belief System,Other religion: Pagan,Other religion: Pantheism,Other religion: Rastafarian,Other religion: Ravidassia,Other religion: Reconstructionist,Other religion: Satanism,Other religion: Scientology,Other religion: Shamanism,Other religion: Shintoism,Other religion: Spiritual,Other religion: Spiritualist,Other religion: Taoist,Other religion: Theism,Other religion: Thelemite,Other religion: Traditional African Religion,Other religion: Unification Church,Other religion: Universalist,Other religion: Vodun,Other religion: Wicca,Other religion: Witchcraft,Other religion: Zoroastrian,Other religion: Other religions,No religion: Total,No religion: No religion,No religion: Agnostic,No religion: Atheist,No religion: Free Thinker,No religion: Heavy Metal,No religion: Humanist,No religion: Jedi Knight,No religion: Realist,Religion not stated
E01003275,1727,914,24,82,5,175,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,375,367,1,2,0,0,0,5,0,143
E01003276,1904,993,16,35,2,162,8,10,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,510,495,0,6,0,0,2,7,0,168
E01003277,1714,756,23,16,4,56,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,1,0,0,0,2,685,666,2,5,0,0,1,11,0,158
E01003278,1887,960,44,65,6,101,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,2,0,0,0,0,0,0,1,2,0,0,0,3,0,0,0,1,0,0,1,532,510,5,8,0,0,2,7,0,160
E01003279,1593,706,14,32,8,64,4,15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0,0,2,0,0,0,605,593,1,4,0,0,1,6,0,145
E01003280,1606,916,18,93,8,104,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,325,1,0,0,0,0,5,0,122
E01003281,1534,872,16,29,6,42,12,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,2,397,386,1,0,0,0,1,9,0,151
E01003282,2418,1263,47,60,5,155,5,20,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,5,0,5,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,1,692,679,1,2,0,1,0,9,0,171
E01003283,2108,1026,6,15,2,76,4,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,799,779,2,10,0,0,0,8,0,169
E01003284,1757,869,8,53,4,47,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,593,581,3,0,0,0,0,9,0,170
E01003285,1608,770,21,70,9,87,9,8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,503,489,5,3,0,0,2,4,0,131
E01003286,1633,907,9,41,4,106,4,9,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,406,399,1,1,0,0,0,5,0,147
E01003287,1909,951,23,40,8,21,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689,668,1,5,0,2,0,13,0,173
E01003288,1810,954,14,48,4,148,6,9,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,467,454,3,1,0,0,2,7,0,160
E01003290,1730,917,30,19,5,104,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,481,473,3,1,0,0,0,4,0,165
E01003291,1512,818,17,32,1,136,4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,344,333,2,3,0,0,1,5,0,156
E01003292,1565,776,22,67,6,84,3,10,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,453,442,0,5,0,0,0,6,0,144
E01003293,1518,747,12,35,5,113,2,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7,461,456,0,1,0,0,1,3,0,131
E01003295,1672,894,16,60,5,107,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,446,438,2,0,0,0,1,5,0,138
