WD22CD_proposed,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other Religion,No Religion,Not Stated
E05013714,56.958690128916906,0.7998494401053919,2.6724381292933095,0.15055989460807379,6.5305354286252,0.14114990119506918,0.3575797496941752,23.186223769643362,9.20297355791851
E05013715,50.1865671641791,1.0872362326299536,1.9428718476582605,0.3795676788471436,4.303911477097272,0.21873391662377767,0.585434894493052,31.60061760164694,9.695059186824498
E05013716,44.61928015916079,1.3685416289865557,1.8870199553867486,0.18689335021402304,5.353590160969434,0.17483571471634413,0.759631036353771,36.11261831554832,9.537589678664014
E05013717,58.986146486923026,0.913213642293595,4.37969808038765,0.12424675405355035,8.181648754426291,0.2609181835124557,0.4286513014847487,18.0716903770889,8.653786419829782
E05013718,49.89623083617862,1.1983664725179086,1.3724308763473254,0.34143402289616387,5.0947312043917785,0.18745397335475664,0.6159201981656289,31.71319542076722,9.580236995380599
E05013719,49.63810574205556,3.687874819052871,1.5165092713862274,0.268835734473013,10.084786654718412,0.19301027090370165,0.6134969325153374,24.75356724339974,9.24381333149514
E05013720,57.98159691303057,0.5046007717423567,3.1463342238052836,0.14841199168892846,5.894924309884239,0.07123775601068566,0.344315820718314,23.31849213416444,8.59008607895518
E05013721,52.73426765594944,3.609050105340295,1.7587249244297884,0.1923605386095081,9.43482641751397,0.08244023083264633,0.47632133369973434,24.0817074287808,7.630301364843821
E05013722,49.77110542614784,0.955971455500202,1.3935640231587452,0.3971994075669853,5.271307391948297,0.20196580045778914,0.6664871415107042,32.550154840447014,8.792244513262421
E05013723,58.283273261246826,0.7475637431584569,3.183820584701642,0.22026431718061673,5.953811240154852,0.3470831664664264,0.38713122413562945,23.221198771859566,7.655853691095982
E05013724,55.1288767812238,0.9796730930427494,3.9920368818105616,0.14668901927912825,6.690067057837385,0.21479463537300922,0.4191114836546521,23.76886001676446,8.659891031014249
E05013725,48.5858337432366,1.4326119035907525,3.0127889818002953,0.2766847024102312,6.511313330054107,0.21519921298573536,0.5841121495327103,30.392277422528284,8.989178553861288
E05013726,51.97282645989158,1.0155767515267962,2.7516640362313867,0.3156522335826529,4.3779592396898375,0.3293762437384204,0.5077883757633981,30.26144239346737,8.467714266108556
E05013727,48.1958762886598,1.7010309278350515,5.721649484536083,0.25773195876288657,6.546391752577319,0.25773195876288657,0.8762886597938144,28.8659793814433,7.577319587628866
E05013728,53.95658263305322,2.6260504201680672,1.050420168067227,0.21008403361344538,9.990662931839402,0.18674136321195145,0.4785247432306256,23.097572362278246,8.403361344537815
E05013729,53.42593609311518,0.8729548698803119,1.4823761941363787,0.22510157022070934,6.0393104205556165,0.22510157022070934,0.466673987042934,27.940046118370486,9.32249917645767
E05013730,56.06950127498073,0.7353377216390915,2.8405384569768133,0.16604400166044,7.329656644725138,0.14825357291110716,0.4388305758168772,22.647215797900728,9.624621953389077
E05013731,56.22054080873232,0.9985115355991069,1.7303398660382039,0.2232696601339618,4.483999007690399,0.13644257008186556,0.5829818903497891,27.18928305631357,8.43463160506078
E05013732,47.47167052516145,1.7424150115754844,0.8163762641647374,0.22541732667235287,6.859997563055928,0.08529304252467405,0.7859144632630681,32.89874497380285,9.114170829779457
