OA11CD,English is main language,Can speak English well or very well,Cannot speak English well or at all
E00016964,91.95402298850574,6.513409961685824,1.5325670498084292
E00016929,91.015625,7.421875,1.5625
E00016931,85.29411764705883,13.602941176470587,1.1029411764705883
E00016932,86.9090909090909,11.272727272727273,1.8181818181818183
E00016954,86.61417322834646,11.811023622047244,1.5748031496062993
E00016961,90.97222222222223,5.902777777777778,3.125
E00016933,86.75496688741723,11.699779249448124,1.545253863134658
E00016953,91.88034188034187,5.555555555555555,2.5641025641025643
E00016957,90.25270758122744,7.9422382671480145,1.8050541516245489
E00016960,85.47008547008546,10.256410256410257,4.273504273504273
E00016966,87.95811518324608,11.518324607329843,0.5235602094240838
E00016940,73.99267399267399,21.245421245421245,4.761904761904762
E00016941,92.05479452054794,6.301369863013699,1.643835616438356
E00016942,85.43307086614173,12.99212598425197,1.5748031496062993
E00016943,86.76470588235294,13.235294117647058,0.0
E00016944,78.64077669902913,16.828478964401295,4.53074433656958
E00016945,85.32608695652173,14.673913043478262,0.0
E00016728,81.25,15.0,3.75
E00016764,89.09774436090225,8.646616541353383,2.255639097744361
E00016766,84.7457627118644,12.994350282485875,2.2598870056497176
E00016768,79.84189723320158,17.786561264822133,2.3715415019762847
E00016772,89.66565349544074,8.51063829787234,1.8237082066869301
E00016737,89.32806324110672,9.881422924901186,0.7905138339920948
E00016748,85.35564853556485,10.460251046025103,4.184100418410042
E00016756,78.84615384615384,18.076923076923077,3.0769230769230766
E00016760,79.69924812030075,15.413533834586467,4.887218045112782
E00173704,80.88888888888889,16.444444444444446,2.6666666666666665
E00173705,81.10236220472441,16.53543307086614,2.3622047244094486
E00173707,87.82608695652173,12.173913043478262,0.0
E00016729,93.3609958506224,5.809128630705395,0.8298755186721992
E00016730,85.8044164037855,11.35646687697161,2.839116719242902
E00016759,92.62820512820512,4.8076923076923075,2.5641025641025643
E00016761,91.29032258064517,6.774193548387098,1.935483870967742
E00016762,83.2764505119454,13.310580204778157,3.4129692832764507
E00016765,86.3849765258216,11.267605633802816,2.347417840375587
E00016767,90.87301587301587,8.730158730158731,0.3968253968253968
E00016770,83.68794326241135,12.76595744680851,3.546099290780142
E00016771,91.18457300275482,7.7134986225895315,1.1019283746556474
E00016774,87.75510204081633,10.495626822157433,1.749271137026239
E00016777,93.14285714285714,6.0,0.8571428571428571
E00016731,85.85858585858585,11.784511784511785,2.3569023569023573
E00016769,86.98224852071006,9.763313609467456,3.2544378698224854
E00016773,82.62548262548262,15.444015444015445,1.9305019305019304
E00016775,76.98744769874477,19.665271966527197,3.3472803347280333
E00016776,86.97068403908794,11.400651465798045,1.6286644951140063
E00016460,83.22784810126582,14.556962025316455,2.2151898734177213
E00016463,71.18997912317327,22.54697286012526,6.263048016701461
E00016467,86.13861386138613,13.201320132013201,0.6600660066006601
E00016469,80.62283737024221,17.647058823529413,1.7301038062283738
E00016471,76.4423076923077,17.78846153846154,5.769230769230769
E00016472,71.10481586402267,24.362606232294617,4.53257790368272
E00016447,82.79569892473118,13.620071684587813,3.5842293906810037
E00016458,86.66666666666667,11.666666666666668,1.6666666666666667
E00016459,93.98148148148148,5.092592592592593,0.9259259259259259
E00016464,84.42028985507247,12.681159420289855,2.898550724637681
E00016465,87.17948717948718,9.89010989010989,2.9304029304029307
E00016466,92.24806201550388,6.976744186046512,0.7751937984496124
E00016475,82.41206030150754,11.557788944723619,6.030150753768845
E00016476,85.71428571428571,11.785714285714285,2.5
E00016478,85.46511627906976,12.790697674418606,1.744186046511628
E00016479,82.91666666666667,14.583333333333332,2.5
E00016480,83.69565217391305,13.405797101449275,2.898550724637681
E00016482,78.00829875518673,19.91701244813278,2.074688796680498
E00016468,94.66019417475728,5.339805825242719,0.0
E00016470,93.24324324324324,5.405405405405405,1.3513513513513513
E00016473,89.19860627177701,6.968641114982578,3.8327526132404177
E00016474,88.79310344827586,10.775862068965518,0.43103448275862066
E00016477,89.37728937728937,9.523809523809524,1.0989010989010988
E00016481,67.00680272108843,27.891156462585034,5.1020408163265305
E00016126,91.3907284768212,6.622516556291391,1.9867549668874172
E00016127,91.56327543424318,6.451612903225806,1.9851116625310175
E00016131,86.04651162790698,9.966777408637874,3.9867109634551494
E00016134,93.97590361445783,4.8192771084337345,1.2048192771084336
E00016140,89.24302788844622,9.56175298804781,1.1952191235059761
E00016118,88.34688346883469,8.94308943089431,2.710027100271003
E00016154,88.8030888030888,10.424710424710424,0.7722007722007722
E00016155,73.74301675977654,17.59776536312849,8.659217877094973
E00016156,88.0952380952381,8.843537414965986,3.061224489795918
E00016157,87.16417910447761,10.746268656716417,2.08955223880597
E00016112,86.39455782312925,10.8843537414966,2.7210884353741496
E00016119,90.82278481012658,7.9113924050632916,1.2658227848101267
E00016121,80.72289156626506,15.261044176706827,4.016064257028113
E00016123,91.69329073482429,6.7092651757188495,1.597444089456869
E00016158,90.06622516556291,7.947019867549669,1.9867549668874172
E00016113,88.06366047745358,10.079575596816976,1.856763925729443
E00016120,90.3225806451613,9.032258064516128,0.6451612903225806
E00016122,89.05775075987842,8.814589665653497,2.127659574468085
E00016124,88.69257950530036,8.480565371024735,2.8268551236749113
E00016125,84.34504792332268,12.779552715654951,2.8753993610223643
E00016114,87.73946360153256,9.578544061302683,2.681992337164751
E00016128,89.05775075987842,10.030395136778115,0.9118541033434651
E00016130,90.9090909090909,7.836990595611285,1.2539184952978057
E00016133,89.29663608562691,9.480122324159021,1.2232415902140672
E00016135,83.28075709779179,11.987381703470032,4.73186119873817
E00016948,83.58585858585859,12.626262626262626,3.787878787878788
E00016949,79.93920972644376,17.325227963525837,2.735562310030395
E00016951,79.81651376146789,17.125382262996943,3.058103975535168
E00016955,84.98402555910543,12.460063897763579,2.5559105431309908
E00016956,91.17647058823529,5.882352941176471,2.9411764705882355
E00016950,79.53020134228188,15.436241610738255,5.033557046979865
E00016967,78.59531772575251,17.391304347826086,4.013377926421405
E00016968,83.33333333333333,12.681159420289855,3.9855072463768115
E00016969,82.4,14.4,3.2
E00016971,89.92805755395683,8.633093525179856,1.4388489208633093
E00016928,86.86868686868686,10.606060606060606,2.5252525252525255
E00016947,94.98327759197325,4.682274247491639,0.33444816053511706
E00016958,82.38805970149254,13.134328358208956,4.477611940298507
E00016963,83.44155844155844,14.285714285714285,2.2727272727272725
E00016937,90.28132992327366,7.928388746803069,1.7902813299232736
