WD22CD_proposed,English is main language,Can speak English well or very well,Cannot speak English well or at all
E05013714,87.06887983301858,10.545671404432959,2.3854487625484544
E05013715,85.65631974031244,11.882058564955704,2.4616216947318588
E05013716,82.94759412246957,14.983918774043008,2.068487103487419
E05013717,85.05538640927641,11.789855541879898,3.1547580488436875
E05013718,86.3321554770318,11.568904593639576,2.0989399293286217
E05013719,74.26454565264764,19.554005956272242,6.181448391080119
E05013720,88.49325337331334,9.445277361319341,2.0614692653673163
E05013721,73.29883074563925,22.206248801993482,4.494920452367261
E05013722,85.27969294192907,12.445802828914635,2.2745042291563013
E05013723,86.32604429492571,11.466218110456968,2.2077375946173254
E05013724,84.23772609819122,12.958381439331465,2.8038924624773216
E05013725,80.60107519917094,15.719930047282855,3.678994753546214
E05013726,85.23088023088023,12.27994227994228,2.489177489177489
E05013727,72.89287656334965,21.914083741163676,5.193039695486678
E05013728,76.95620078740157,18.75,4.293799212598425
E05013729,87.34345241530559,10.596179373232527,2.0603682114618804
E05013730,82.5615141955836,14.182965299684543,3.255520504731861
E05013731,86.09275855301891,12.04291227840649,1.864329168574606
E05013732,82.1264367816092,14.508301404853128,3.3652618135376757
