OA11CD,Main language is English,Main language is not English: Can speak English very well,Main language is not English: Can speak English well,Main language is not English: Cannot speak English well,Main language is not English: Cannot speak English
E00016836,92.35880398671097,3.9867109634551494,1.6611295681063123,1.3289036544850499,0.6644518272425249
E00016841,87.38170347003154,4.73186119873817,3.470031545741325,3.7854889589905363,0.6309148264984227
E00016844,93.72549019607843,3.9215686274509802,1.5686274509803921,0.39215686274509803,0.39215686274509803
E00016853,88.61386138613861,4.9504950495049505,4.455445544554456,1.9801980198019802,0.0
E00016350,92.15116279069767,4.3604651162790695,2.616279069767442,0.5813953488372093,0.29069767441860467
E00016369,88.06451612903226,3.225806451612903,3.5483870967741935,5.161290322580645,0.0
E00016370,88.64353312302839,4.73186119873817,3.7854889589905363,2.8391167192429023,0.0
E00016371,81.56862745098039,13.333333333333334,4.313725490196078,0.7843137254901961,0.0
E00016374,89.05660377358491,4.150943396226415,3.018867924528302,3.3962264150943398,0.37735849056603776
E00016352,90.03690036900369,5.535055350553505,3.690036900369004,0.7380073800738007,0.0
E00016373,89.32384341637011,5.338078291814947,4.270462633451957,1.0676156583629892,0.0
E00016378,87.5432525951557,5.190311418685121,5.190311418685121,1.3840830449826989,0.6920415224913494
E00016381,85.25641025641026,4.487179487179487,7.051282051282051,2.8846153846153846,0.32051282051282054
E00016382,87.1900826446281,6.198347107438017,4.132231404958677,1.6528925619834711,0.8264462809917356
E00016348,85.02202643171806,5.726872246696035,8.370044052863436,0.8810572687224669,0.0
E00016372,91.25874125874125,3.4965034965034967,3.4965034965034967,1.7482517482517483,0.0
E00016375,87.91666666666667,7.5,3.3333333333333335,1.25,0.0
E00016377,91.24087591240875,4.37956204379562,3.6496350364963503,0.7299270072992701,0.0
E00016379,88.0952380952381,4.761904761904762,5.782312925170068,1.0204081632653061,0.3401360544217687
E00016349,89.93055555555556,4.166666666666667,3.8194444444444446,2.0833333333333335,0.0
E00016351,89.46280991735537,3.512396694214876,5.371900826446281,1.4462809917355373,0.2066115702479339
E00016376,92.74809160305344,3.053435114503817,3.435114503816794,0.3816793893129771,0.3816793893129771
E00016383,90.2439024390244,4.2682926829268295,4.2682926829268295,1.2195121951219512,0.0
E00016356,84.28184281842819,6.504065040650406,4.878048780487805,4.065040650406504,0.27100271002710025
E00016387,88.23529411764706,7.352941176470588,2.6470588235294117,1.7647058823529411,0.0
E00016393,83.6734693877551,7.8231292517006805,4.421768707482993,2.7210884353741496,1.3605442176870748
E00165790,87.09677419354838,5.241935483870968,3.629032258064516,3.225806451612903,0.8064516129032258
E00016361,87.32394366197182,4.225352112676056,7.042253521126761,0.9389671361502347,0.4694835680751174
E00016363,86.97068403908794,6.514657980456026,2.9315960912052117,2.6058631921824102,0.9771986970684039
E00016366,95.48872180451127,1.1278195488721805,1.8796992481203008,1.5037593984962405,0.0
E00016367,98.75,0.0,1.25,0.0,0.0
E00016368,94.77351916376307,0.6968641114982579,3.832752613240418,0.34843205574912894,0.34843205574912894
