OA11CD,Total,English,Welsh/Cymraeg (in England only),Other UK language: Total,Other UK language: Gaelic (Irish),Other UK language: Gaelic (Scottish),Other UK language: Manx Gaelic,Other UK language: Gaelic (Not otherwise specified),Other UK language: Cornish,Other UK language: Scots,Other UK language: Gypsy/Traveller languages,French,Portuguese,Spanish,Other European Language (EU): Total,Other European Language (EU): Italian,Other European Language (EU): German,Other European Language (EU): Polish,Other European Language (EU): Slovak,Other European Language (EU): Czech,Other European Language (EU): Romanian,Other European Language (EU): Lithuanian,Other European Language (EU): Latvian,Other European Language (EU): Hungarian,Other European Language (EU): Bulgarian,Other European Language (EU): Greek,Other European Language (EU): Dutch,Other European Language (EU): Swedish,Other European Language (EU): Danish,Other European Language (EU): Finnish,Other European Language (EU): Estonian,Other European Language (EU): Slovenian,Other European Language (EU): Maltese,Other European Language (EU): Any other European Language (EU),Other European Language (non EU): Total,Other European Language (non EU): Albanian,Other European Language (non EU): Serbian/Croatian/Bosnian,Other European Language (non EU): Ukrainian,Other European Language (non EU): Any other Eastern European Language (non EU),Other European Language (non EU): Northern European Language (non EU),Other European Language (non-national): Total,Other European Language (non-national): Romani language (any),Other European Language (non-national): Yiddish,Russian,Turkish,Arabic,West/Central Asian Language: Total,West/Central Asian Language: Hebrew,West/Central Asian Language: Kurdish,West/Central Asian Language: Persian/Farsi,West/Central Asian Language: Pashto,West/Central Asian Language: West/Central Asian Language (all other),South Asian Language: Total,South Asian Language: Urdu,South Asian Language: Hindi,South Asian Language: Panjabi,South Asian Language: Pakistani Pahari (with Mirpuri and Potwari),South Asian Language: Bengali (with Sylheti and Chatgaya),South Asian Language: Gujarati,South Asian Language: Marathi,South Asian Language: Telugu,South Asian Language: Tamil,South Asian Language: Malayalam,South Asian Language: Sinhala,South Asian Language: Nepalese,South Asian Language: South Asian Language (all other),East Asian Language: Total,East Asian Language: Mandarin Chinese,East Asian Language: Cantonese Chinese,East Asian Language: All other Chinese,East Asian Language: Japanese,East Asian Language: Korean,East Asian Language: Vietnamese,East Asian Language: Thai,East Asian Language: Malay,East Asian Language: Tagalog/Filipino,East Asian Language: East Asian Language (all other),Oceanic/Australian language (any),North/South American language (any),Caribbean Creole: Total,Caribbean Creole: Caribbean Creole (English-based),Caribbean Creole: Caribbean Creole (all other),African Language: Total,African Language: Amharic,African Language: Tigrinya,African Language: Somali,African Language: Krio,African Language: Akan,African Language: Yoruba,African Language: Igbo,African Language: Swahili/Kiswahili,African Language: Luganda,African Language: Lingala,African Language: Shona,African Language: Afrikaans,African Language: Any other Nigerian language,African Language: West African language (all other),African Language: African language (all other),Other Languages: Total,Other Languages: All other languages,Sign Language: Total,Sign Language: British sign language,Sign Language: Sign Language (all other),Sign Language: Any Sign Communication System
E00016523,233,197,0,0,0,0,0,0,0,0,0,1,3,0,4,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,17,0,5,1,0,6,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00016524,316,283,0,0,0,0,0,0,0,0,0,0,0,1,14,0,1,9,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,7,4,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
E00016525,244,208,0,0,0,0,0,0,0,0,0,5,0,0,8,0,0,4,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,2,1,0,0,1,0,0,4,0,0,0,0,0,2,0,0,2,0,0,0,0,4,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
E00016497,252,207,0,0,0,0,0,0,0,0,0,5,2,2,19,4,0,2,2,0,0,6,0,3,0,0,0,0,0,0,2,0,0,0,5,5,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
E00016527,221,171,0,0,0,0,0,0,0,0,0,7,1,0,26,0,0,10,0,0,0,8,1,1,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,1,0,3,0,0,0,0,0,4,0,5,0,0,0,0,0,0
E00016528,205,156,0,0,0,0,0,0,0,0,0,4,3,5,22,2,1,10,0,0,2,2,0,2,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
E00016531,318,276,0,0,0,0,0,0,0,0,0,1,3,4,19,1,1,5,1,1,0,5,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00016532,205,158,0,0,0,0,0,0,0,0,0,4,1,3,8,0,0,4,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,7,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,0,2,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,3,0,0,0,0,1,0,3,0,0,0,0,0,0,0
E00016535,231,187,0,0,0,0,0,0,0,0,0,0,6,0,10,1,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,7,2,1,0,1,0,0,0,0,3,0,0,0,0,0,0,8,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00016520,252,229,0,0,0,0,0,0,0,0,0,1,3,2,11,0,0,0,0,0,1,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00016522,263,246,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00016526,280,241,0,0,0,0,0,0,0,0,0,10,3,0,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,6,0,2,3,1,0,6,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,2,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0
E00016529,255,229,0,0,0,0,0,0,0,0,0,2,2,4,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,5,0,5,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
E00016530,295,262,0,0,0,0,0,0,0,0,0,4,2,0,7,1,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
E00016533,306,260,0,0,0,0,0,0,0,0,0,4,0,1,5,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,11,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,5,0,1,0,10,0,1,0,0,1,1,0,0,0,0
E00016534,291,252,0,0,0,0,0,0,0,0,0,1,1,0,20,0,0,1,0,0,0,14,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00016536,297,252,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,5,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,4,18,0,0,0,0,1,0,0,0,13,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,6,0,0,0,1,0,0,0,0,0,1,0,1,0
E00016537,276,246,1,0,0,0,0,0,0,0,0,1,0,8,9,0,1,2,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
E00016538,326,284,0,0,0,0,0,0,0,0,0,2,0,2,11,0,0,4,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,8,0,0,0,0,4,0,0,0,4,0,0,0,0,5,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,5,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00016539,311,272,0,0,0,0,0,0,0,0,0,2,2,0,14,0,0,9,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,14,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0
E00016830,336,307,0,0,0,0,0,0,0,0,0,1,0,2,11,1,1,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,9,0,5,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00016839,238,199,0,0,0,0,0,0,0,0,0,6,5,4,13,4,0,3,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,4,0,0,4,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00016845,294,271,0,0,0,0,0,0,0,0,0,7,0,2,9,1,1,3,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
E00016872,347,302,0,0,0,0,0,0,0,0,0,4,0,2,23,1,0,6,0,1,4,0,0,0,7,0,1,2,0,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,3,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00016873,283,257,0,0,0,0,0,0,0,0,0,5,2,2,7,1,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
E00016838,268,224,0,0,0,0,0,0,0,0,0,4,1,0,11,3,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,11,0,0,4,0,0,2,1,0,1,0,0,0,0,3,0,1,1,0,0,0,0
E00016840,322,278,0,1,0,0,0,0,0,1,0,0,2,0,14,1,1,1,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,10,2,0,0,0,0,2,0,0,0,0,0,0,6,5,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,7,0,0,0,0,2,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0
E00016847,242,215,0,0,0,0,0,0,0,0,0,5,1,2,3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,2,0,4,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0
E00016852,208,183,0,0,0,0,0,0,0,0,0,0,3,0,12,2,4,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00016858,228,205,0,0,0,0,0,0,0,0,0,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0
E00016874,199,195,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00016826,294,249,0,0,0,0,0,0,0,0,0,9,4,1,14,0,0,7,0,0,0,0,0,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0
E00016831,263,231,0,0,0,0,0,0,0,0,0,4,1,0,4,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,5,0,1,0,3,0,0,0,1,0,0,0,0,2,2,2,0,0,0,0
E00016832,234,210,0,0,0,0,0,0,0,0,0,4,1,1,15,0,0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
E00016833,317,286,0,0,0,0,0,0,0,0,0,1,1,2,10,2,0,2,1,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,2,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0
E00016875,248,211,0,0,0,0,0,0,0,0,0,4,9,3,7,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,6,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
E00016828,229,206,0,0,0,0,0,0,0,0,0,1,0,3,16,2,1,7,0,0,0,2,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
E00016850,203,183,0,0,0,0,0,0,0,0,0,6,0,0,7,2,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0
E00016854,254,222,0,0,0,0,0,0,0,0,0,2,5,1,9,0,1,2,0,2,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00016855,196,172,0,0,0,0,0,0,0,0,0,1,1,2,9,1,0,2,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00016857,253,223,0,0,0,0,0,0,0,0,0,5,0,4,5,0,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,11,10,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
E00016878,255,208,0,0,0,0,0,0,0,0,0,1,3,8,10,2,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,13,0,0,0,0,0,8,0,0,5,0,0,0,0,3,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
