Name,Code,English is main language,Can speak English well or very well,Cannot speak English well or at all
England,E92000001,92.02277945504426,6.322804491505934,1.654416053449807
London,E12000007,77.89328012935307,18.014371937717335,4.0923479329295915
Lewisham,E09000023,83.51953816118602,13.563846013055946,2.916615825758038
