WD22CD_proposed,English,Welsh/Cymraeg (in England only),Other UK language: Total,Other UK language: Gaelic (Irish),Other UK language: Gaelic (Scottish),Other UK language: Manx Gaelic,Other UK language: Gaelic (Not otherwise specified),Other UK language: Cornish,Other UK language: Scots,Other UK language: Gypsy/Traveller languages,French,Portuguese,Spanish,Other European Language (EU): Total,Other European Language (EU): Italian,Other European Language (EU): German,Other European Language (EU): Polish,Other European Language (EU): Slovak,Other European Language (EU): Czech,Other European Language (EU): Romanian,Other European Language (EU): Lithuanian,Other European Language (EU): Latvian,Other European Language (EU): Hungarian,Other European Language (EU): Bulgarian,Other European Language (EU): Greek,Other European Language (EU): Dutch,Other European Language (EU): Swedish,Other European Language (EU): Danish,Other European Language (EU): Finnish,Other European Language (EU): Estonian,Other European Language (EU): Slovenian,Other European Language (EU): Maltese,Other European Language (EU): Any other European Language (EU),Other European Language (non EU): Total,Other European Language (non EU): Albanian,Other European Language (non EU): Serbian/Croatian/Bosnian,Other European Language (non EU): Ukrainian,Other European Language (non EU): Any other Eastern European Language (non EU),Other European Language (non EU): Northern European Language (non EU),Other European Language (non-national): Total,Other European Language (non-national): Romani language (any),Other European Language (non-national): Yiddish,Russian,Turkish,Arabic,West/Central Asian Language: Total,West/Central Asian Language: Hebrew,West/Central Asian Language: Kurdish,West/Central Asian Language: Persian/Farsi,West/Central Asian Language: Pashto,West/Central Asian Language: West/Central Asian Language (all other),South Asian Language: Total,South Asian Language: Urdu,South Asian Language: Hindi,South Asian Language: Panjabi,South Asian Language: Pakistani Pahari (with Mirpuri and Potwari),South Asian Language: Bengali (with Sylheti and Chatgaya),South Asian Language: Gujarati,South Asian Language: Marathi,South Asian Language: Telugu,South Asian Language: Tamil,South Asian Language: Malayalam,South Asian Language: Sinhala,South Asian Language: Nepalese,South Asian Language: South Asian Language (all other),East Asian Language: Total,East Asian Language: Mandarin Chinese,East Asian Language: Cantonese Chinese,East Asian Language: All other Chinese,East Asian Language: Japanese,East Asian Language: Korean,East Asian Language: Vietnamese,East Asian Language: Thai,East Asian Language: Malay,East Asian Language: Tagalog/Filipino,East Asian Language: East Asian Language (all other),Oceanic/Australian language (any),North/South American language (any),Caribbean Creole: Total,Caribbean Creole: Caribbean Creole (English-based),Caribbean Creole: Caribbean Creole (all other),African Language: Total,African Language: Amharic,African Language: Tigrinya,African Language: Somali,African Language: Krio,African Language: Akan,African Language: Yoruba,African Language: Igbo,African Language: Swahili/Kiswahili,African Language: Luganda,African Language: Lingala,African Language: Shona,African Language: Afrikaans,African Language: Any other Nigerian language,African Language: West African language (all other),African Language: African language (all other),Other Languages: Total,Other Languages: All other languages,Sign Language: Total,Sign Language: British sign language,Sign Language: Sign Language (all other),Sign Language: Any Sign Communication System
E05013714,87.06887983301858,0.0,0.009939369843951893,0.009939369843951893,0.0,0.0,0.0,0.0,0.0,0.0,1.3318755590895537,0.5069078620415466,0.36775668422622004,2.4848424609879736,0.3379385746943644,0.05963621906371136,0.7156346287645363,0.009939369843951893,0.02981810953185568,0.10933306828347082,0.48702912235364276,0.019878739687903785,0.15902991750323028,0.15902991750323028,0.13915117781532652,0.15902991750323028,0.02981810953185568,0.009939369843951893,0.019878739687903785,0.019878739687903785,0.0,0.019878739687903785,0.0,0.5069078620415466,0.4472716429778352,0.03975747937580757,0.009939369843951893,0.009939369843951893,0.0,0.0,0.0,0.0,0.2981810953185568,1.0336944637709968,0.6162409303250174,0.5665440811052579,0.0,0.19878739687903788,0.18884802703508596,0.08945432859556704,0.08945432859556704,2.5742967895835402,0.08945432859556704,0.0,0.009939369843951893,0.0,0.17890865719113408,0.1490905476592784,0.0,0.0,1.9878739687903786,0.0,0.019878739687903785,0.1292118079713746,0.009939369843951893,0.9740582447072855,0.03975747937580757,0.13915117781532652,0.38763542391412387,0.009939369843951893,0.0,0.21866613656694164,0.06957558890766326,0.019878739687903785,0.07951495875161514,0.009939369843951893,0.0,0.0,0.0,0.0,0.0,1.4809661067488322,0.05963621906371136,0.03975747937580757,0.2882417254746049,0.03975747937580757,0.21866613656694164,0.21866613656694164,0.17890865719113408,0.02981810953185568,0.07951495875161514,0.009939369843951893,0.03975747937580757,0.0,0.07951495875161514,0.07951495875161514,0.11927243812742272,0.08945432859556704,0.08945432859556704,0.08945432859556704,0.07951495875161514,0.0,0.009939369843951893
E05013715,85.65631974031244,0.013525393927098128,0.006762696963549064,0.006762696963549064,0.0,0.0,0.0,0.0,0.0,0.0,1.595996483397579,0.635693514573612,1.0076418475688105,3.5571786028268075,0.4463379995942382,0.5883546358287685,0.8859133022249273,0.027050787854196255,0.09467775748968689,0.1487793331980794,0.1284912423074322,0.06086427267194157,0.09467775748968689,0.317846757286806,0.15554203016162846,0.2028809089064719,0.12172854534388314,0.08791506052613782,0.10144045445323595,0.033813484817745314,0.0,0.02028809089064719,0.04057618178129438,0.852099817407182,0.6289308176100629,0.06086427267194157,0.0743896665990397,0.006762696963549064,0.08115236356258876,0.0,0.0,0.0,0.3313721512139041,0.7709474538445932,0.20964360587002095,0.3854737269222966,0.0,0.09467775748968689,0.1284912423074322,0.10144045445323595,0.06086427267194157,1.7447758165956584,0.10144045445323595,0.11496584838033408,0.006762696963549064,0.0,0.18259281801582472,0.08115236356258876,0.02028809089064719,0.08791506052613782,0.8182863325894366,0.013525393927098128,0.02028809089064719,0.2231689997971191,0.0743896665990397,1.9611821194292283,0.2705078785419625,0.2907959694326097,0.7641847568810441,0.21640630283357004,0.05410157570839251,0.20964360587002095,0.0743896665990397,0.006762696963549064,0.06086427267194157,0.013525393927098128,0.0,0.0,0.0,0.0,0.0,1.1496584838033408,0.047338878744843445,0.02028809089064719,0.1487793331980794,0.02028809089064719,0.06762696963549063,0.17583012105227563,0.06086427267194157,0.18935551497937378,0.06086427267194157,0.047338878744843445,0.027050787854196255,0.1284912423074322,0.0743896665990397,0.047338878744843445,0.033813484817745314,0.09467775748968689,0.09467775748968689,0.027050787854196255,0.027050787854196255,0.0,0.0
E05013716,82.94759412246957,0.02522545248155389,0.044144541842719306,0.037838178722330834,0.0,0.0,0.0,0.0,0.006306363120388472,0.0,2.0369552878854766,0.9900990099009901,1.5135271488932334,5.013558680708835,0.8261335687708898,0.8261335687708898,1.3054171659204137,0.08828908368543861,0.08198272056505014,0.1324336255281579,0.2648672510563158,0.037838178722330834,0.32793088226020056,0.19549725673204263,0.22072270921359652,0.18919089361165417,0.22072270921359652,0.08828908368543861,0.12612726240776945,0.02522545248155389,0.018919089361165417,0.006306363120388472,0.03153181560194236,0.41621996594563915,0.15135271488932334,0.07567635744466167,0.05045090496310778,0.0,0.1387399886485464,0.0,0.0,0.0,0.36576906098253137,0.6747808538815665,0.3027054297786467,0.4666708709087469,0.012612726240776945,0.037838178722330834,0.12612726240776945,0.2522545248155389,0.037838178722330834,1.431544428328183,0.17657816737087723,0.2459481616951504,0.018919089361165417,0.044144541842719306,0.2522545248155389,0.08198272056505014,0.012612726240776945,0.09459544680582709,0.36576906098253137,0.03153181560194236,0.018919089361165417,0.037838178722330834,0.05045090496310778,2.3144352651825693,0.22702907233398498,0.2774799772970928,0.7756826638077821,0.4288326921864161,0.1387399886485464,0.30901179289903513,0.056757268083496244,0.0693699943242732,0.018919089361165417,0.012612726240776945,0.0,0.0,0.02522545248155389,0.012612726240776945,0.012612726240776945,1.267578987198083,0.037838178722330834,0.06306363120388472,0.23333543545437346,0.0,0.15135271488932334,0.2774799772970928,0.1324336255281579,0.037838178722330834,0.006306363120388472,0.0,0.037838178722330834,0.05045090496310778,0.08198272056505014,0.09459544680582709,0.06306363120388472,0.10090180992621556,0.10090180992621556,0.06306363120388472,0.06306363120388472,0.0,0.0
E05013717,85.05538640927641,0.012955885210857032,0.019433827816285547,0.0,0.0,0.0,0.006477942605428516,0.0,0.0,0.012955885210857032,0.8810001943382781,0.5959707196994235,0.4210662693528535,3.102934508000259,0.5959707196994235,0.25911770421714064,1.0623825872902766,0.025911770421714064,0.07773531126514219,0.19433827816285548,0.414588326747425,0.038867655632571094,0.09069119647599923,0.05830148344885664,0.18786033555742696,0.025911770421714064,0.006477942605428516,0.025911770421714064,0.012955885210857032,0.012955885210857032,0.0,0.006477942605428516,0.006477942605428516,0.5635810066722808,0.44697803977456757,0.025911770421714064,0.05830148344885664,0.0,0.03238971302714258,0.0,0.0,0.0,0.6477942605428516,1.1465958411608472,0.21377210597914104,0.6218824901211375,0.0,0.11012502429228477,0.30446330245514025,0.14899267992485588,0.05830148344885664,4.288398004793677,0.29798535984971175,0.012955885210857032,0.14899267992485588,0.07125736865971367,0.31094124506056875,0.13603679471399882,0.0,0.012955885210857032,3.064066852367688,0.006477942605428516,0.13603679471399882,0.045345598237999614,0.045345598237999614,0.9652134482088489,0.06477942605428516,0.14251473731942735,0.3368530154822828,0.025911770421714064,0.05182354084342813,0.19433827816285548,0.07125736865971367,0.03238971302714258,0.038867655632571094,0.006477942605428516,0.0,0.0,0.019433827816285547,0.019433827816285547,0.0,1.282632635874846,0.025911770421714064,0.025911770421714064,0.30446330245514025,0.006477942605428516,0.12955885210857032,0.34333095808771136,0.15547062253028437,0.012955885210857032,0.019433827816285547,0.03238971302714258,0.06477942605428516,0.019433827816285547,0.038867655632571094,0.038867655632571094,0.06477942605428516,0.0842132538705707,0.0842132538705707,0.07773531126514219,0.05182354084342813,0.019433827816285547,0.006477942605428516
E05013718,86.3321554770318,0.028268551236749116,0.04946996466431095,0.04240282685512368,0.0,0.0,0.007067137809187279,0.0,0.0,0.0,1.1519434628975265,0.5017667844522968,1.0247349823321554,4.862190812720848,0.8480565371024735,0.4876325088339223,2.0424028268551235,0.0636042402826855,0.10600706713780919,0.303886925795053,0.2332155477031802,0.007067137809187279,0.1625441696113074,0.11307420494699646,0.15547703180212014,0.127208480565371,0.11307420494699646,0.0353356890459364,0.02120141342756184,0.028268551236749116,0.0,0.007067137809187279,0.007067137809187279,0.28975265017667845,0.18374558303886926,0.0353356890459364,0.02120141342756184,0.0,0.04946996466431095,0.0,0.0,0.0,0.1625441696113074,0.9257950530035336,0.3462897526501767,0.35335689045936397,0.0353356890459364,0.0353356890459364,0.15547703180212014,0.08480565371024736,0.04240282685512368,1.7314487632508835,0.3321554770318021,0.1413427561837456,0.12014134275618374,0.0353356890459364,0.1413427561837456,0.13427561837455831,0.0,0.0,0.6289752650176679,0.14840989399293286,0.028268551236749116,0.014134275618374558,0.007067137809187279,1.1802120141342756,0.26148409893992935,0.08480565371024736,0.2332155477031802,0.2049469964664311,0.0,0.1696113074204947,0.13427561837455831,0.014134275618374558,0.0706713780918728,0.007067137809187279,0.007067137809187279,0.0,0.028268551236749116,0.028268551236749116,0.0,0.8692579505300353,0.014134275618374558,0.028268551236749116,0.0989399293286219,0.02120141342756184,0.13427561837455831,0.13427561837455831,0.09187279151943463,0.04946996466431095,0.02120141342756184,0.02120141342756184,0.0706713780918728,0.09187279151943463,0.04946996466431095,0.007067137809187279,0.0353356890459364,0.0706713780918728,0.0706713780918728,0.08480565371024736,0.0636042402826855,0.0,0.02120141342756184
E05013719,74.26454565264764,0.0,0.05084622648362025,0.029054986562068716,0.0,0.0,0.021791239921551537,0.0,0.0,0.0,2.397036391370669,1.263891915449989,1.4019031016198156,4.808600276022372,0.7626933972543037,0.3341323454637902,1.3583206217767125,0.18159366601292948,0.07990121304568897,0.26149487905861846,0.530253504757754,0.1670661727318951,0.25423113241810125,0.15980242609137793,0.1743299193724123,0.1670661727318951,0.18159366601292948,0.07990121304568897,0.06537371976465461,0.021791239921551537,0.0,0.014527493281034358,0.014527493281034358,0.7191109174112007,0.4503522917120651,0.12348369288879203,0.03631873320258589,0.007263746640517179,0.1016924529672405,0.0,0.0,0.0,0.4140335585094792,0.6827921842086148,0.7191109174112007,1.1186169826396455,0.06537371976465461,0.32686859882327307,0.5084622648362025,0.15253867945086075,0.06537371976465461,2.229970218638774,0.2397036391370669,0.08716495968620615,0.10895619960775768,0.0,0.6319459577249945,0.18885741265344666,0.007263746640517179,0.021791239921551537,0.7045834241301664,0.0,0.03631873320258589,0.10895619960775768,0.09442870632672333,6.501053243262875,0.6028909711629258,0.8789133435025787,2.5931575506646327,0.1670661727318951,0.05810997312413743,1.8232004067698118,0.05084622648362025,0.05810997312413743,0.1670661727318951,0.1016924529672405,0.0,0.0,0.014527493281034358,0.007263746640517179,0.007263746640517179,3.2396310016706615,0.09442870632672333,0.07990121304568897,0.9152320767051645,0.03631873320258589,0.36318733202585896,0.6174184644439602,0.39224231858792763,0.1016924529672405,0.05084622648362025,0.07990121304568897,0.0,0.03631873320258589,0.1743299193724123,0.13801118616982638,0.15980242609137793,0.13801118616982638,0.13801118616982638,0.03631873320258589,0.03631873320258589,0.0,0.0
E05013720,88.49325337331334,0.0,0.043728135932033986,0.00624687656171914,0.0,0.0,0.01249375312343828,0.0,0.02498750624687656,0.0,0.6621689155422289,0.43103448275862066,0.4185407296351824,2.523738130934533,0.22488755622188905,0.19990004997501248,0.8933033483258371,0.08120939530234883,0.05622188905547226,0.23738130934532733,0.443528235882059,0.07496251874062969,0.05622188905547226,0.09995002498750624,0.06871564217891055,0.062468765617191405,0.01249375312343828,0.00624687656171914,0.0,0.00624687656171914,0.0,0.0,0.0,0.3435782108945527,0.29985007496251875,0.0,0.031234382808595702,0.0,0.01249375312343828,0.0,0.0,0.0,0.22488755622188905,1.0744627686156922,0.3373313343328336,0.443528235882059,0.00624687656171914,0.14992503748125938,0.20614692653673164,0.05622188905547226,0.02498750624687656,2.892303848075962,0.10619690154922538,0.018740629685157422,0.05622188905547226,0.0,0.23738130934532733,0.09995002498750624,0.0,0.01249375312343828,2.2426286856571713,0.06871564217891055,0.031234382808595702,0.00624687656171914,0.01249375312343828,0.6434282858570715,0.043728135932033986,0.062468765617191405,0.21239380309845077,0.04997501249375312,0.031234382808595702,0.062468765617191405,0.05622188905547226,0.00624687656171914,0.08745627186406797,0.031234382808595702,0.0,0.0,0.00624687656171914,0.00624687656171914,0.0,1.3055972013993002,0.0,0.0,0.14992503748125938,0.031234382808595702,0.19365317341329336,0.20614692653673164,0.22488755622188905,0.08745627186406797,0.09995002498750624,0.01249375312343828,0.037481259370314844,0.037481259370314844,0.10619690154922538,0.05622188905547226,0.062468765617191405,0.08120939530234883,0.08120939530234883,0.07496251874062969,0.05622188905547226,0.01249375312343828,0.00624687656171914
E05013721,73.29883074563925,0.009584052137243627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7027027027027026,1.7251293847038527,1.63887291546866,5.712095073797202,1.1213341000575043,0.44086639831320684,1.7922177496645582,0.1437607820586544,0.12459267778416715,0.27793751198006517,0.6037952846463485,0.11500862564692352,0.23960130343109068,0.22043319915660342,0.27793751198006517,0.07667241709794902,0.13417672992141078,0.02875215641173088,0.02875215641173088,0.05750431282346176,0.0,0.0,0.02875215641173088,0.7858922752539774,0.6133793367835921,0.05750431282346176,0.04792026068621813,0.0,0.06708836496070539,0.009584052137243627,0.009584052137243627,0.0,0.7858922752539774,0.718803910293272,0.5367069196856431,0.8817327966264137,0.02875215641173088,0.1437607820586544,0.3929461376269887,0.21084914701935978,0.10542457350967989,1.7347134368410964,0.12459267778416715,0.16292888633314165,0.0,0.0,0.41211424190147594,0.1437607820586544,0.019168104274487254,0.019168104274487254,0.6325474410580794,0.06708836496070539,0.09584052137243626,0.019168104274487254,0.03833620854897451,5.376653248993675,0.22043319915660342,0.6996358060187847,1.9359785317232125,0.09584052137243626,0.3258577726662833,1.667625071880391,0.1725129384703853,0.04792026068621813,0.15334483419589803,0.05750431282346176,0.0,0.0,0.009584052137243627,0.009584052137243627,0.0,3.8911251677209124,0.04792026068621813,0.05750431282346176,1.025493578685068,0.1437607820586544,0.5750431282346176,0.6996358060187847,0.20126509488211616,0.11500862564692352,0.05750431282346176,0.06708836496070539,0.12459267778416715,0.26835345984282155,0.19168104274487252,0.21084914701935978,0.10542457350967989,0.13417672992141078,0.13417672992141078,0.04792026068621813,0.04792026068621813,0.0,0.0
E05013722,85.27969294192907,0.014215651432226882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4926434003838225,0.6539199658824366,0.7392138744757979,5.210036249911152,0.5828417087213021,0.39093041438623927,1.6561233918544318,0.17058781718672258,0.11372521145781506,0.2061269457672898,0.27009737721231075,0.042646954296680646,0.2629895514961973,0.7534295259080247,0.30563650579287793,0.1919112943350629,0.0710782571611344,0.06397043144502097,0.06397043144502097,0.007107825716113441,0.0,0.014215651432226882,0.042646954296680646,0.6041651858696425,0.4904399744118274,0.042646954296680646,0.021323477148340323,0.0,0.049754780012794084,0.0,0.0,0.0,0.23455824863174354,0.5544104058568484,0.35539128580567203,0.4549008458312602,0.007107825716113441,0.09240173430947474,0.2061269457672898,0.07818608287724785,0.0710782571611344,1.272300803184306,0.19901912005117633,0.028431302864453764,0.08529390859336129,0.0,0.1421565143222688,0.1421565143222688,0.014215651432226882,0.007107825716113441,0.6112730115857559,0.007107825716113441,0.021323477148340323,0.007107825716113441,0.007107825716113441,1.4784277489515958,0.1421565143222688,0.30563650579287793,0.30563650579287793,0.30563650579287793,0.042646954296680646,0.1208330371739285,0.05686260572890753,0.042646954296680646,0.14926434003838226,0.007107825716113441,0.0,0.0,0.0,0.0,0.0,1.5495060061127301,0.049754780012794084,0.028431302864453764,0.241666074347857,0.049754780012794084,0.2558817257800839,0.2061269457672898,0.07818608287724785,0.049754780012794084,0.05686260572890753,0.06397043144502097,0.14926434003838226,0.08529390859336129,0.05686260572890753,0.0710782571611344,0.10661738574170161,0.021323477148340323,0.021323477148340323,0.08529390859336129,0.07818608287724785,0.007107825716113441,0.0
E05013723,86.32604429492571,0.04205214465937763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9461732548359967,0.6097560975609756,0.5256518082422204,3.6795626576955427,0.23829548640313988,0.16119988786094758,1.2195121951219512,0.10513036164844407,0.07008690776562938,0.21026072329688814,0.9601906363891225,0.07008690776562938,0.08410428931875526,0.26633024950939166,0.11914774320156994,0.0560695262125035,0.03504345388281469,0.02803476310625175,0.014017381553125876,0.014017381553125876,0.007008690776562938,0.014017381553125876,0.007008690776562938,0.5186431174656574,0.42052144659377627,0.03504345388281469,0.007008690776562938,0.02803476310625175,0.02803476310625175,0.0,0.0,0.0,0.23829548640313988,1.1914774320156996,0.3153910849453322,0.5747126436781609,0.0,0.06307821698906645,0.3854779927109616,0.07008690776562938,0.0560695262125035,2.7754415475189234,0.16820857863751051,0.112139052425007,0.1471825063078217,0.0,0.23829548640313988,0.15419119708438464,0.03504345388281469,0.14017381553125877,1.583964115503224,0.0560695262125035,0.049060835435940565,0.07008690776562938,0.021026072329688814,0.8410428931875525,0.0911129800953182,0.1471825063078217,0.224278104850014,0.0560695262125035,0.021026072329688814,0.13316512475469583,0.08410428931875526,0.007008690776562938,0.06307821698906645,0.014017381553125876,0.0,0.0,0.0,0.0,0.0,1.3106251752172695,0.014017381553125876,0.007008690776562938,0.112139052425007,0.014017381553125876,0.24530417717970282,0.2593215587328287,0.15419119708438464,0.049060835435940565,0.014017381553125876,0.021026072329688814,0.1471825063078217,0.0560695262125035,0.07008690776562938,0.021026072329688814,0.1261564339781329,0.06307821698906645,0.06307821698906645,0.04205214465937763,0.03504345388281469,0.007008690776562938,0.0
