Name,Code,Main language is English,Main language is not English: Can speak English very well,Main language is not English: Can speak English well,Main language is not English: Cannot speak English well,Main language is not English: Cannot speak English
England,E92000001,92.02277945504426,3.312196442705028,3.0106080488009064,1.3917331838595794,0.2626828695902274
London,E12000007,77.89328012935307,9.776026505702603,8.238345432014732,3.4788094457039502,0.6135384872256414
Lewisham,E09000023,83.51953816118602,7.528521749740712,6.035324263315234,2.5208193520834605,0.3957964736745775
