WD22CD_proposed,Main language is English,Main language is not English: Can speak English very well,Main language is not English: Can speak English well,Main language is not English: Cannot speak English well,Main language is not English: Cannot speak English
E05013714,87.06887983301858,5.526289633237253,5.0193817711957065,2.166782625981513,0.21866613656694164
E05013715,85.65631974031244,6.857374721038751,5.024683843916954,2.0085209981740717,0.45310069655778723
E05013716,82.94759412246957,9.339723781295326,5.644194992747682,1.7720880368291607,0.29639906665825816
E05013717,85.05538640927641,6.186435188184233,5.603420353695666,2.824382975966833,0.3303750728768543
E05013718,86.3321554770318,6.657243816254417,4.911660777385159,1.9222614840989398,0.17667844522968199
E05013719,74.26454565264764,10.314520229534393,9.23948572673785,5.244425074453403,0.937023316626716
E05013720,88.49325337331334,4.960019990004998,4.485257371314343,1.8428285857071465,0.21864067966016992
E05013721,73.29883074563925,12.305922944220816,9.900325857772666,3.843204907034694,0.6517155453325666
E05013722,85.27969294192907,7.406354396190205,5.03944843272443,1.933328594782856,0.34117563437344517
E05013723,86.32604429492571,6.188673955705075,5.277544154751892,1.9624334174376226,0.24530417717970282
E05013724,84.23772609819122,7.141679036780472,5.816702402550993,2.496014074440596,0.3078783880367255
E05013725,80.60107519917094,8.465574195219897,7.254355852062957,3.0248073061726797,0.6541874473735345
E05013726,85.23088023088023,7.121212121212121,5.158730158730159,2.1067821067821066,0.3823953823953824
E05013727,72.89287656334965,12.425231103860794,9.488852637302882,4.377379010331702,0.8156606851549756
E05013728,76.95620078740157,9.69488188976378,9.05511811023622,3.641732283464567,0.6520669291338582
E05013729,87.34345241530559,6.019507127604317,4.5766722456282105,1.8064292722340856,0.25393893922779476
E05013730,82.5615141955836,7.211356466876971,6.971608832807571,2.8706624605678233,0.38485804416403785
E05013731,86.09275855301891,6.757375547851115,5.285536730555374,1.6222934519526395,0.24203571662196638
E05013732,82.1264367816092,8.403575989782887,6.104725415070242,2.8799489144316732,0.48531289910600256
