WD22CD_proposed,White English/Welsh/Scottish/Northern Irish/British,White Irish,White Gypsy or Irish Traveller,White Other,White & Black Caribbean,White & Black African,White & Asian,Other Mixed,Indian,Pakistani,Bangladeshi,Chinese,Other Asian,Black African,Black Caribbean,Other Black,Arab,Other Ethnic Group
E05013714,40.4065117154418,1.355039051472664,0.1599698880210784,6.455255481321163,3.9333772466359274,1.4397289921897054,0.5834195916062859,1.8443587089489037,0.9974593017784887,0.38580972993318907,0.3481697562811706,0.9033593676484426,4.686176719676296,14.519619836266115,13.258680718923497,6.022395784322951,0.6210595652583043,2.079608544274019
E05013715,54.014410705095216,2.3739063304168813,0.02573340195573855,11.1811631497684,2.6312403499742665,0.7784354091610911,0.9843026248069995,1.6598044261451363,1.968605249613999,0.42460113226968604,0.42460113226968604,2.502573340195574,2.66340710241894,7.102418939783839,6.040916109109625,3.0622748327328875,0.43103448275862066,1.7305712815234173
E05013716,42.23789714836921,2.622535720745162,0.1386628082233074,12.949900524507145,2.8154578887080244,1.2238500030144088,1.5011756194610237,1.8990775908844275,2.2728642913124735,0.43407487791644056,0.5787665038885874,2.6345933562428407,2.875746066196419,9.893289925845542,9.57979140290589,3.689636462289745,0.7777174896002894,1.8749623198890697
E05013717,35.925948934584085,1.7829409206684474,0.06212337702677517,8.324532521587873,3.2242032676896315,1.2797415667515686,1.0250357209417904,2.1681058582344535,1.7270298813443499,1.0126110455364354,0.5963844194570417,1.1803441635087284,6.83357147294527,9.815493570230478,17.74243647884699,5.019568863763435,0.3044045474311984,1.9755233894514506
E05013718,47.03086295775591,2.4569860078998462,0.00669478476266988,10.932583517439914,3.086295775590815,1.1849769029925687,1.5264109258887326,2.048604137376983,1.7272544687688292,0.9573542210617929,0.34143402289616387,1.4259891544486845,2.8720626631853787,7.150030126531432,10.959362656490594,4.043649996652608,0.6226149829282989,1.6268326973287808
E05013719,25.787550837526712,1.3372854484042187,0.02757289584338595,10.61556489970359,2.3988419383745776,1.4475770317777625,0.834080099262425,1.764665333976701,1.0546632660095125,0.606603708554491,1.130488729578824,6.507203419039085,6.893223960846488,22.430550768594472,9.940028951540636,4.418556558902599,0.6962156200454953,2.109326532019025
E05013720,51.12496289700208,1.4722469575541703,0.13060255268625706,5.983971504897596,3.5025230038587116,0.9735826654793708,0.8489165924606709,1.7393885425942417,0.9320273078064708,0.3561887800534283,0.6173938854259424,0.682695161769071,4.14959928762244,10.863757791629563,9.468685069753636,3.9536954585930544,0.3383793410507569,2.8613831997625407
E05013721,26.664834661537054,1.4472840523953467,0.10076028212878996,13.776678574700009,2.57396720710818,1.4381240267472748,0.7144820005496015,1.923605386095081,1.5205642575799212,0.33892094897865715,0.4854813593478062,6.018136850783182,6.384537876706055,22.011541632316572,7.7127415956764676,4.241091875057251,0.7969222313822478,1.8503251809105066
E05013722,48.3708092096405,2.2620169651272386,0.06058974013733674,11.081190251784031,3.03621920021543,1.0569543557290966,1.17813383600377,2.2216238050356805,1.7571024639827655,0.5722364346304026,0.28948431398949775,1.683048337148243,3.10354113370136,9.647233068533728,8.435438265786994,3.3997576410394506,0.5049145011444729,1.3397064763700013
E05013723,52.27606461086637,1.5285008677079162,0.040048057669203045,8.596983046322253,2.723267921505807,0.8543585636096649,0.8209851822186623,1.6352956881591243,2.0424509411293554,0.4805766920304365,0.487251368308637,1.1680683486850887,3.6376985716192767,9.264450674142305,8.076358296622614,3.1504472033106397,0.42717928180483244,2.790014684287812
E05013724,36.30029337803856,1.5507124895222129,0.07334450963956413,8.649413243922883,3.5729253981559093,1.2468566638725902,0.9534786253143336,1.6031014249790445,1.5088013411567478,0.6705783738474435,0.3929170159262364,1.5716680637049456,5.60037720033529,11.887049455155072,16.198658843252304,5.254610226320201,0.44006705783738476,2.5251466890192793
