OA11CD,White English/Welsh/Scottish/Northern Irish/British,White Irish,White Gypsy or Irish Traveller,White Other,White & Black Caribbean,White & Black African,White & Asian,Other Mixed,Indian,Pakistani,Bangladeshi,Chinese,Other Asian,Black African,Black Caribbean,Other Black,Arab,Other Ethnic Group
E00016484,65.4696132596685,1.9337016574585635,0.0,14.640883977900552,1.1049723756906078,0.27624309392265195,0.5524861878453039,2.2099447513812156,1.9337016574585635,1.1049723756906078,0.0,1.3812154696132597,2.4861878453038675,1.6574585635359116,3.314917127071823,1.1049723756906078,0.0,0.8287292817679558
E00016485,41.70040485829959,0.4048582995951417,0.0,7.6923076923076925,3.2388663967611335,1.6194331983805668,0.4048582995951417,2.834008097165992,0.8097165991902834,0.0,0.0,2.42914979757085,2.834008097165992,13.360323886639677,10.526315789473685,6.882591093117409,0.0,5.2631578947368425
E00016488,62.61398176291793,1.8237082066869301,0.0,13.069908814589665,0.303951367781155,0.0,2.43161094224924,1.5197568389057752,2.127659574468085,0.0,0.0,0.0,2.735562310030395,7.90273556231003,2.43161094224924,0.0,1.5197568389057752,1.5197568389057752
E00016489,28.546409807355516,0.5253940455341506,0.0,6.654991243432574,3.1523642732049035,0.3502626970227671,0.5253940455341506,11.733800350262698,2.8021015761821366,1.0507880910683012,0.7005253940455342,0.7005253940455342,10.332749562171628,2.9772329246935203,17.33800350262697,11.38353765323993,0.8756567425569177,0.3502626970227671
E00016443,58.857142857142854,3.4285714285714284,0.0,6.857142857142857,2.5714285714285716,0.8571428571428571,2.2857142857142856,2.0,0.2857142857142857,0.0,0.0,2.0,0.5714285714285714,12.571428571428571,3.4285714285714284,4.0,0.0,0.2857142857142857
E00016483,54.20168067226891,2.9411764705882355,0.0,10.084033613445378,3.361344537815126,0.42016806722689076,0.8403361344537815,0.42016806722689076,2.5210084033613445,0.0,0.42016806722689076,0.42016806722689076,1.2605042016806722,7.983193277310924,10.504201680672269,3.7815126050420167,0.42016806722689076,0.42016806722689076
E00016486,49.738219895287955,1.8324607329842932,0.0,11.256544502617801,2.094240837696335,0.7853403141361257,1.8324607329842932,2.094240837696335,1.5706806282722514,0.2617801047120419,0.2617801047120419,3.6649214659685865,4.712041884816754,8.115183246073299,6.020942408376963,3.4031413612565444,1.5706806282722514,0.7853403141361257
E00016487,51.26353790613718,3.2490974729241877,0.0,9.747292418772563,1.8050541516245486,0.7220216606498195,1.0830324909747293,1.444043321299639,0.0,0.0,2.1660649819494586,3.9711191335740073,0.7220216606498195,10.830324909747292,10.469314079422382,2.527075812274368,0.0,0.0
E00016491,55.24193548387097,1.6129032258064515,0.0,11.290322580645162,4.435483870967742,0.8064516129032258,0.8064516129032258,2.8225806451612905,2.0161290322580645,0.4032258064516129,0.0,0.8064516129032258,1.6129032258064515,3.225806451612903,11.693548387096774,1.6129032258064515,1.2096774193548387,0.4032258064516129
E00016449,49.44237918215613,1.1152416356877324,0.0,15.613382899628252,2.6022304832713754,0.37174721189591076,1.1152416356877324,2.2304832713754648,1.1152416356877324,0.0,0.37174721189591076,1.486988847583643,1.858736059479554,6.319702602230484,11.524163568773234,1.1152416356877324,0.37174721189591076,3.345724907063197
E00016450,44.11764705882353,5.042016806722689,0.42016806722689076,15.546218487394958,2.100840336134454,1.680672268907563,2.5210084033613445,2.9411764705882355,1.680672268907563,0.42016806722689076,0.0,3.7815126050420167,9.663865546218487,5.46218487394958,2.9411764705882355,0.8403361344537815,0.0,0.8403361344537815
E00016451,47.239263803680984,0.9202453987730062,0.0,11.656441717791411,8.588957055214724,0.3067484662576687,0.6134969325153374,0.9202453987730062,3.374233128834356,0.9202453987730062,0.0,1.8404907975460123,2.147239263803681,4.294478527607362,12.269938650306749,3.067484662576687,0.3067484662576687,1.5337423312883436
E00016490,55.75539568345324,3.9568345323741005,0.0,8.633093525179856,0.7194244604316546,0.0,1.4388489208633093,1.4388489208633093,2.5179856115107913,0.7194244604316546,0.0,0.7194244604316546,2.158273381294964,10.071942446043165,6.474820143884892,5.0359712230215825,0.0,0.3597122302158273
E00016492,44.488188976377955,1.968503937007874,0.0,10.236220472440944,5.118110236220472,0.0,1.5748031496062993,1.5748031496062993,0.0,0.0,0.0,2.3622047244094486,1.968503937007874,16.929133858267715,10.236220472440944,2.7559055118110236,0.0,0.7874015748031497
E00016281,32.640949554896146,0.29673590504451036,0.0,5.637982195845697,3.5608308605341246,1.1869436201780414,0.8902077151335311,1.1869436201780414,2.373887240356083,0.29673590504451036,0.0,3.264094955489614,10.682492581602373,5.637982195845697,23.44213649851632,5.9347181008902075,0.0,2.9673590504451037
E00016290,40.9375,2.1875,0.0,7.5,4.375,2.8125,1.25,1.25,0.9375,0.3125,0.0,0.9375,7.8125,9.0625,15.3125,4.0625,0.0,1.25
E00016292,31.69934640522876,1.6339869281045751,0.0,10.457516339869281,5.555555555555555,2.287581699346405,0.0,1.9607843137254901,0.0,0.0,1.6339869281045751,3.9215686274509802,9.15032679738562,4.901960784313726,20.26143790849673,3.9215686274509802,0.0,2.6143790849673203
E00016293,28.93258426966292,0.5617977528089888,0.0,0.8426966292134831,4.49438202247191,1.9662921348314606,0.2808988764044944,1.6853932584269662,1.6853932584269662,0.0,0.0,0.2808988764044944,5.056179775280899,9.831460674157304,27.528089887640448,11.235955056179776,0.0,5.617977528089888
E00016295,29.344729344729345,1.4245014245014245,0.2849002849002849,7.977207977207978,3.4188034188034186,0.5698005698005698,2.2792022792022792,1.1396011396011396,2.5641025641025643,1.4245014245014245,0.0,1.1396011396011396,5.128205128205129,9.686609686609687,29.05982905982906,3.4188034188034186,0.0,1.1396011396011396
E00016258,41.80327868852459,4.644808743169399,0.0,3.0054644808743167,2.185792349726776,1.366120218579235,1.092896174863388,1.092896174863388,3.278688524590164,0.273224043715847,3.0054644808743167,0.0,0.546448087431694,6.557377049180328,24.043715846994534,6.284153005464481,0.273224043715847,0.546448087431694
E00016259,43.72990353697749,3.215434083601286,1.2861736334405145,8.360128617363344,0.3215434083601286,2.2508038585209005,0.0,1.2861736334405145,0.9646302250803859,0.3215434083601286,0.3215434083601286,0.3215434083601286,1.9292604501607717,7.395498392282958,19.292604501607716,6.109324758842444,0.0,2.8938906752411575
