LSOA11CD,All categories: Ethnic group,White,White: English/Welsh/Scottish/Northern Irish/British,White: Irish,White: Gypsy or Irish Traveller,White: Other White,Mixed,Mixed/multiple ethnic group: White and Black Caribbean,Mixed/multiple ethnic group: White and Black African,Mixed/multiple ethnic group: White and Asian,Mixed/multiple ethnic group: Other Mixed,Asian,Asian/Asian British: Indian,Asian/Asian British: Pakistani,Asian/Asian British: Bangladeshi,Asian/Asian British: Chinese,Asian/Asian British: Other Asian,Black,Black/African/Caribbean/Black British: African,Black/African/Caribbean/Black British: Caribbean,Black/African/Caribbean/Black British: Other Black,Other,Other ethnic group: Arab,Other ethnic group: Any other ethnic group
E01003272,1966,1248,871,58,3,316,139,43,19,24,53,152,28,10,5,51,58,349,132,157,60,78,38,40
E01003273,2000,895,631,33,1,230,265,132,17,95,21,374,110,15,0,42,207,428,195,182,51,38,8,30
E01003274,1724,968,698,48,0,222,156,64,33,24,35,166,31,10,7,27,91,398,135,197,66,36,1,35
E01003275,1727,795,598,25,0,172,113,58,13,17,25,207,25,27,5,32,118,551,188,262,101,61,6,55
E01003276,1904,1031,779,45,2,205,201,103,22,24,52,168,42,51,16,7,52,445,121,251,73,59,5,54
E01003277,1714,1046,817,46,1,182,138,41,32,21,44,72,20,8,1,25,18,433,159,207,67,25,7,18
E01003278,1887,921,650,30,0,241,141,60,16,19,46,201,41,3,7,72,78,559,213,247,99,65,10,55
E01003279,1593,1027,786,52,3,186,102,48,16,18,20,132,24,10,2,20,76,307,91,169,47,25,5,20
E01003280,1606,824,685,28,0,111,91,37,20,9,25,246,28,7,32,46,133,419,170,165,84,26,4,22
E01003281,1534,1033,894,39,0,100,91,39,14,16,22,156,38,3,3,29,83,237,86,104,47,17,5,12
E01003282,2418,1408,997,60,0,351,195,81,17,42,55,245,38,4,18,75,110,438,137,225,76,132,42,90
E01003283,2108,1727,1432,48,1,246,100,36,7,33,24,89,20,2,8,25,34,173,49,91,33,19,8,11
E01003284,1757,1133,944,38,0,151,115,58,10,19,28,121,27,6,5,35,48,352,128,170,54,36,3,33
E01003285,1608,1093,897,22,0,174,72,20,19,13,20,218,70,25,10,40,73,200,85,85,30,25,7,18
E01003286,1633,987,810,30,0,147,95,39,7,20,29,149,20,4,25,25,75,382,179,155,48,20,7,13
E01003287,1909,1460,1220,59,0,181,97,27,12,39,19,143,29,1,0,51,62,190,59,94,37,19,2,17
E01003288,1810,860,634,34,0,192,127,71,13,6,37,263,44,20,26,103,70,512,206,196,110,48,7,41
E01003290,1730,822,584,21,1,216,146,76,15,22,33,138,10,14,8,49,57,574,235,243,96,50,2,48
E01003291,1512,621,480,21,1,119,142,76,23,9,34,138,20,8,10,57,43,572,234,237,101,39,8,31
E01003292,1565,840,618,29,1,192,96,18,29,22,27,189,35,6,11,61,76,408,142,187,79,32,4,28
E01003293,1518,709,528,21,1,159,131,40,41,14,36,156,21,14,7,18,96,505,181,245,79,17,2,15
E01003295,1672,837,616,30,1,190,107,46,19,13,29,132,16,18,1,44,53,536,203,222,111,60,16,44
E01003296,2046,996,631,34,2,329,120,34,18,13,55,413,186,12,10,108,97,466,233,167,66,51,9,42
E01003297,1538,611,275,19,0,317,141,24,84,8,25,122,21,11,7,28,55,630,425,142,63,34,11,23
E01003298,1292,371,251,16,0,104,83,27,20,10,26,215,17,0,20,75,103,596,376,141,79,27,7,20
E01003299,1623,783,606,17,0,160,121,66,9,21,25,124,20,9,2,48,45,516,252,187,77,79,11,68
E01003300,1356,426,264,15,0,147,90,51,16,5,18,177,8,4,17,67,81,633,361,214,58,30,9,21
E01003301,2166,956,596,34,0,326,147,43,29,28,47,336,34,14,20,132,136,661,397,183,81,66,26,40
E01003302,1509,493,322,13,0,158,102,48,18,11,25,205,28,11,3,76,87,673,373,222,78,36,7,29
E01003303,1550,595,393,29,0,173,88,28,22,10,28,281,12,11,25,112,121,546,335,141,70,40,4,36
E01003304,1890,796,511,17,1,267,142,52,38,18,34,311,38,27,12,127,107,573,376,136,61,68,15,53
E01003305,1372,659,506,26,0,127,87,44,17,12,14,104,9,0,11,32,52,483,265,163,55,39,7,32
E01003307,1521,873,709,39,0,125,115,47,12,16,40,109,14,4,9,16,66,405,147,196,62,19,3,16
E01003308,1824,1012,764,35,0,213,221,93,30,24,74,96,22,10,3,15,46,445,122,224,99,50,6,44
E01003309,1510,790,610,19,3,158,115,53,19,15,28,104,24,8,9,21,42,471,222,173,76,30,4,26
E01003310,1559,870,669,35,0,166,116,53,18,23,22,109,11,3,8,22,65,420,198,141,81,44,9,35
E01003311,1546,952,765,43,0,144,120,38,23,24,35,119,35,6,11,15,52,328,103,189,36,27,10,17
E01003312,1760,1091,898,44,2,147,140,66,24,12,38,112,18,27,6,13,48,354,94,212,48,63,8,55
E01003313,1530,744,581,36,0,127,117,41,18,14,44,131,24,14,12,32,49,504,225,181,98,34,5,29
E01003314,1599,957,776,42,0,139,124,50,19,16,39,95,9,1,14,15,56,387,108,212,67,36,2,34
E01003315,1287,753,613,23,0,117,88,40,8,11,29,125,23,14,7,16,65,299,105,141,53,22,3,19
E01003316,1482,942,766,39,0,137,110,59,11,16,24,124,20,6,17,25,56,286,69,175,42,20,2,18
E01003317,1882,881,696,28,1,156,251,79,118,27,27,144,34,7,8,30,65,574,243,206,125,32,6,26
E01003318,1638,664,472,21,0,171,114,59,14,5,36,213,34,26,21,26,106,612,257,240,115,35,10,25
E01003319,1831,671,447,23,5,196,151,41,30,38,42,218,27,13,15,27,136,673,216,326,131,118,13,105
E01003320,1494,572,434,27,0,111,151,80,24,18,29,96,17,2,7,15,55,640,190,346,104,35,8,27
E01003321,1961,882,658,34,5,185,214,73,75,27,39,119,20,3,5,33,58,716,277,289,150,30,3,27
E01003322,1429,639,481,29,0,129,119,48,22,14,35,145,28,28,6,12,71,487,165,258,64,39,18,21
E01003323,1485,619,439,24,0,156,96,41,22,9,24,143,19,4,6,15,99,575,214,272,89,52,8,44
E01003324,1467,531,362,20,1,148,88,32,25,5,26,158,14,14,7,33,90,660,292,238,130,30,7,23
E01003325,1729,644,458,18,12,156,160,77,43,13,27,143,26,12,16,31,58,700,256,315,129,82,3,79
E01003326,1475,885,720,33,0,132,130,62,26,17,25,78,31,4,3,15,25,362,121,190,51,20,1,19
E01003327,1796,1123,862,35,0,226,183,73,9,71,30,193,64,12,8,34,75,282,129,102,51,15,2,13
