OA11CD,Rural Urban,All categories: Ethnic group,White,White: English/Welsh/Scottish/Northern Irish/British,White: Irish,White: Gypsy or Irish Traveller,White: Other White,Mixed,Mixed/multiple ethnic group: White and Black Caribbean,Mixed/multiple ethnic group: White and Black African,Mixed/multiple ethnic group: White and Asian,Mixed/multiple ethnic group: Other Mixed,Asian,Asian/Asian British: Indian,Asian/Asian British: Pakistani,Asian/Asian British: Bangladeshi,Asian/Asian British: Chinese,Asian/Asian British: Other Asian,Black,Black/African/Caribbean/Black British: African,Black/African/Caribbean/Black British: Caribbean,Black/African/Caribbean/Black British: Other Black,Other,Other ethnic group: Arab,Other ethnic group: Any other ethnic group
E00016883,Total,354,211,160,6,0,45,24,11,4,2,7,40,3,1,0,23,13,66,24,27,15,13,0,13
E00016888,Total,326,187,146,7,0,34,17,7,7,2,1,20,4,0,0,6,10,89,49,27,13,13,2,11
E00016891,Total,392,179,149,8,0,22,24,9,3,3,9,27,7,0,9,10,1,140,60,49,31,22,2,20
E00016892,Total,305,170,129,5,0,36,24,9,3,5,7,34,2,2,1,18,11,61,19,29,13,16,0,16
E00016894,Total,354,179,137,10,0,32,37,15,6,6,10,29,3,0,0,18,8,87,31,41,15,22,0,22
E00016880,Total,347,175,142,6,0,27,25,17,3,0,5,25,0,3,0,12,10,109,35,52,22,13,1,12
E00016897,Total,403,201,150,9,0,42,26,5,2,11,8,59,5,6,2,22,24,98,50,34,14,19,1,18
E00016899,Total,308,146,100,1,1,44,24,7,4,5,8,29,3,5,0,16,5,86,25,32,29,23,0,23
E00016902,Total,310,164,120,5,0,39,21,9,6,4,2,24,0,0,2,20,2,83,32,33,18,18,2,16
E00016903,Total,346,224,159,9,1,55,20,9,2,4,5,17,1,0,0,4,12,75,30,36,9,10,3,7
E00016564,Total,340,164,129,7,0,28,14,7,2,1,4,56,1,5,0,11,39,102,16,72,14,4,0,4
E00016567,Total,213,73,54,2,0,17,27,17,4,4,2,21,4,0,0,6,11,81,40,36,5,11,2,9
E00016569,Total,322,174,123,10,0,41,29,17,2,7,3,55,16,7,0,7,25,59,22,25,12,5,1,4
E00016571,Total,308,189,143,10,0,36,22,6,5,3,8,46,2,0,0,7,37,42,18,10,14,9,4,5
E00173700,Total,392,134,81,3,0,50,78,38,0,37,3,93,42,0,0,9,42,80,55,19,6,7,0,7
E00173702,Total,425,161,101,1,1,58,95,47,4,43,1,103,45,3,0,2,53,64,44,20,0,2,1,1
E00016558,Total,244,126,94,11,1,20,16,5,5,1,5,18,7,6,0,0,5,79,35,32,12,5,1,4
E00016561,Total,268,148,107,8,0,33,22,9,7,3,3,7,0,0,0,3,4,89,36,41,12,2,1,1
E00016566,Total,283,149,120,5,0,24,28,7,6,8,7,9,0,1,0,6,2,90,41,39,10,7,2,5
E00016568,Total,316,239,186,10,0,43,21,7,4,2,8,13,3,1,0,6,3,41,7,33,1,2,0,2
E00016572,Total,322,190,152,6,0,32,31,7,9,6,9,12,4,0,0,6,2,85,33,36,16,4,1,3
E00016575,Total,281,194,158,6,0,30,20,6,1,1,12,13,6,0,1,4,2,49,7,26,16,5,2,3
E00016557,Total,201,101,78,3,0,20,10,1,4,0,5,23,4,0,0,10,9,62,32,27,3,5,0,5
E00016559,Total,331,124,67,3,0,54,25,14,1,6,4,45,11,2,3,10,19,124,49,59,16,13,1,12
E00016560,Total,337,161,101,5,0,55,28,9,4,4,11,37,0,1,0,17,19,93,38,33,22,18,4,14
E00016562,Total,347,212,172,6,0,34,17,6,3,0,8,34,12,0,2,19,1,76,32,26,18,8,0,8
E00016563,Total,300,149,96,9,0,44,33,14,3,1,15,33,12,0,1,2,18,78,18,42,18,7,1,6
E00016565,Total,371,174,136,4,0,34,28,16,1,8,3,29,2,0,1,14,12,126,44,60,22,14,4,10
E00016544,Total,320,212,145,16,0,51,20,8,3,8,1,19,7,0,0,1,11,67,28,28,11,2,0,2
E00016574,Total,325,172,138,10,3,21,19,8,4,1,6,42,8,4,2,5,23,81,14,52,15,11,2,9
E00016576,Total,307,186,149,5,0,32,25,9,6,7,3,25,3,0,0,2,20,68,17,37,14,3,2,1
E00016577,Total,373,261,200,13,0,48,23,14,3,1,5,21,5,0,0,6,10,65,27,31,7,3,0,3
E00016578,Total,268,196,154,8,0,34,15,9,0,1,5,25,1,6,0,6,12,26,5,21,0,6,1,5
E00016635,Total,386,216,145,4,0,67,29,14,6,2,7,69,15,10,5,17,22,61,25,20,16,11,1,10
E00016640,Total,310,180,158,7,0,15,20,11,0,1,8,23,10,0,0,11,2,79,18,45,16,8,2,6
E00016641,Total,414,155,120,4,0,31,28,18,1,0,9,58,7,10,8,15,18,161,80,42,39,12,2,10
E00016642,Total,395,159,112,13,0,34,31,18,2,1,10,58,7,0,10,23,18,134,53,57,24,13,2,11
E00016643,Total,305,150,99,6,0,45,19,10,4,2,3,55,5,0,3,37,10,77,30,32,15,4,0,4
E00016630,Total,340,192,148,6,0,38,25,9,2,4,10,37,4,10,1,12,10,84,32,47,5,2,0,2
E00016647,Total,382,135,80,2,0,53,38,20,5,4,9,20,1,0,0,13,6,172,89,49,34,17,0,17
E00016648,Total,331,147,106,6,0,35,38,24,3,5,6,28,1,1,6,6,14,101,31,48,22,17,1,16
E00016649,Total,321,163,105,3,0,55,26,15,4,6,1,17,2,3,1,8,3,103,39,40,24,12,0,12
E00016651,Total,356,185,145,4,1,35,19,8,1,3,7,36,2,0,0,10,24,114,44,59,11,2,1,1
E00016629,Total,391,154,108,6,0,40,38,20,5,3,10,57,6,0,5,33,13,133,64,51,18,9,2,7
E00016650,Total,291,164,126,5,0,33,23,14,2,1,6,8,4,0,0,3,1,84,19,47,18,12,0,12
E00016652,Total,287,115,92,4,0,19,23,17,2,3,1,31,4,6,0,13,8,117,49,60,8,1,0,1
E00016654,Total,267,74,61,2,0,11,27,11,5,2,9,26,5,1,0,4,16,128,53,46,29,12,5,7
E00016657,Total,276,114,93,4,1,16,31,14,9,0,8,16,1,1,5,4,5,110,49,33,28,5,1,4
E00016633,Total,253,137,82,11,0,44,14,5,4,1,4,40,6,0,1,22,11,56,19,32,5,6,0,6
E00016636,Total,237,108,57,3,0,48,4,1,0,0,3,78,59,3,0,14,2,43,32,8,3,4,1,3
E00016638,Total,168,55,24,0,0,31,3,0,0,2,1,61,48,0,0,4,9,45,15,11,19,4,3,1
E00016639,Total,470,185,133,9,2,41,41,19,8,5,9,57,11,0,8,11,27,177,103,61,13,10,0,10
E00016674,Total,272,171,140,3,0,28,11,0,4,2,5,18,4,0,0,7,7,64,33,26,5,8,1,7
E00174018,Total,364,213,116,2,0,95,25,3,0,0,22,93,21,7,1,37,27,21,8,3,10,12,4,8
E00174019,Total,167,83,59,5,0,19,14,5,1,1,7,26,0,1,0,12,13,43,12,24,7,1,0,1
E00174021,Total,115,44,20,1,0,23,8,1,1,2,4,40,37,1,0,1,1,17,11,2,4,6,0,6
E00016628,Total,337,207,144,3,0,60,19,13,1,2,3,31,13,0,2,3,13,71,27,28,16,9,6,3
E00016637,Total,460,173,103,5,0,65,25,13,1,4,7,93,18,6,4,46,19,151,46,80,25,18,7,11
E00174024,Total,250,139,92,10,0,37,18,5,3,4,6,30,13,5,0,5,7,39,16,9,14,24,11,13
E00174029,Total,251,154,110,3,0,41,15,2,0,3,10,38,12,1,0,13,12,38,22,5,11,6,0,6
E00174030,Total,229,137,97,4,0,36,20,6,0,2,12,22,1,0,0,10,11,40,18,15,7,10,1,9
E00016644,Total,504,143,97,4,0,42,53,23,10,3,17,115,36,7,5,53,14,182,79,61,42,11,2,9
E00016645,Total,392,211,145,8,1,57,29,0,6,4,19,32,7,0,0,7,18,81,27,23,31,39,3,36
E00016646,Total,407,181,115,8,0,58,43,9,19,9,6,47,11,0,1,9,26,111,33,46,32,25,3,22
E00016584,Total,620,322,227,9,0,86,60,28,5,1,26,49,11,3,3,18,14,136,48,63,25,53,8,45
E00016596,Total,326,212,151,7,0,54,22,7,2,7,6,35,7,0,14,3,11,53,15,30,8,4,0,4
E00016598,Total,489,310,226,16,0,68,35,13,0,18,4,51,7,0,0,10,34,78,22,49,7,15,1,14
E00016623,Total,366,223,159,12,0,52,44,24,3,7,10,23,6,1,0,2,14,59,7,31,21,17,1,16
E00174036,Total,200,124,93,4,0,27,10,2,2,5,1,18,2,0,0,5,11,43,19,20,4,5,3,2
E00174038,Total,417,217,141,12,0,64,24,7,5,4,8,69,5,0,1,37,26,69,26,32,11,38,29,9
E00016585,Total,271,193,139,4,0,50,12,2,1,2,7,15,6,0,0,5,4,47,21,16,10,4,3,1
E00016593,Total,514,405,335,3,0,67,28,13,2,7,6,30,1,2,2,8,17,42,16,22,4,9,4,5
E00016600,Total,399,351,304,19,0,28,27,12,1,10,4,5,3,0,0,0,2,11,1,9,1,5,1,4
E00016602,Total,348,299,275,2,0,22,14,2,1,6,5,13,4,0,0,4,5,22,3,11,8,0,0,0
E00016624,Total,255,209,162,7,0,40,9,4,2,3,0,19,4,0,5,5,5,17,3,9,5,1,0,1
E00016625,Total,321,270,217,13,1,39,10,3,0,5,2,7,2,0,1,3,1,34,5,24,5,0,0,0
E00016587,Total,447,276,229,11,0,36,39,20,1,10,8,22,2,1,0,7,12,101,48,41,12,9,0,9
E00016594,Total,343,199,162,5,0,32,25,19,0,0,6,28,3,0,0,11,14,90,35,44,11,1,0,1
E00016605,Total,405,249,200,7,0,42,24,12,4,2,6,32,14,5,1,3,9,94,31,46,17,6,0,6
E00016608,Total,211,155,126,5,0,24,8,5,0,0,3,13,4,0,2,7,0,25,0,21,4,10,1,9
E00016626,Total,351,254,227,10,0,17,19,2,5,7,5,26,4,0,2,7,13,42,14,18,10,10,2,8
E00016589,Total,296,238,206,11,0,21,18,0,1,8,9,11,5,0,0,0,6,26,16,8,2,3,2,1
E00016595,Total,260,99,83,2,0,14,14,4,3,4,3,14,2,0,2,0,10,126,69,36,21,7,5,2
E00016597,Total,238,142,116,3,0,23,18,9,3,2,4,20,1,0,0,3,16,57,24,26,7,1,0,1
E00016599,Total,296,188,154,4,0,30,11,6,0,3,2,27,6,2,8,4,7,65,34,27,4,5,0,5
E00016601,Total,344,169,128,6,0,35,24,15,0,2,7,67,4,0,15,18,30,81,21,49,11,3,0,3
E00016607,Total,199,151,123,4,0,24,10,5,0,1,4,10,2,2,0,0,6,27,15,9,3,1,0,1
E00016573,Total,327,261,198,8,0,55,17,9,1,1,6,13,2,0,0,7,4,24,3,19,2,12,3,9
E00016579,Total,336,210,132,11,1,66,26,2,8,4,12,50,14,3,3,12,18,39,19,11,9,11,8,3
E00016580,Total,384,239,175,11,0,53,26,10,2,7,7,21,4,0,0,8,9,85,24,48,13,13,10,3
E00016581,Total,483,268,173,14,0,81,41,13,7,6,15,39,3,7,0,13,16,113,57,31,25,22,7,15
E00016582,Total,436,270,193,14,2,61,29,9,1,6,13,29,5,0,2,11,11,88,29,48,11,20,10,10
E00016546,Total,333,187,132,7,0,48,19,8,1,6,4,54,13,0,5,9,27,68,26,31,11,5,0,5
E00016547,Total,438,261,183,17,0,61,47,16,9,9,13,18,2,2,1,7,6,98,22,49,27,14,0,14
E00016548,Total,343,193,139,14,0,40,31,12,5,6,8,51,5,7,0,4,35,64,18,42,4,4,0,4
E00016550,Total,333,166,110,4,0,52,22,7,10,2,3,32,11,1,1,4,15,104,41,47,16,9,1,8
E00016583,Total,277,161,134,6,0,21,37,21,8,1,7,11,0,0,0,3,8,64,28,28,8,4,0,4
E00016542,Total,366,159,108,3,0,48,23,13,2,4,4,27,6,0,4,2,15,147,67,57,23,10,1,9
E00016552,Total,333,123,96,5,0,22,25,16,3,0,6,54,8,3,1,11,31,118,29,57,32,13,0,13
E00016554,Total,307,165,119,6,0,40,23,11,5,7,0,46,7,1,0,3,35,62,15,32,15,11,5,6
E00016555,Total,373,192,176,6,0,10,18,13,1,1,3,33,1,1,0,10,21,127,34,74,19,3,0,3
E00016556,Total,348,156,99,5,0,52,24,5,2,5,12,47,3,22,0,6,16,97,43,42,12,24,0,24
E00016543,Total,355,191,154,12,1,24,56,28,4,8,16,23,7,0,0,1,15,75,21,39,15,10,0,10
E00016545,Total,349,154,103,2,0,49,49,20,9,5,15,21,5,0,6,1,9,113,37,49,27,12,0,12
E00016549,Total,394,264,196,6,1,61,35,17,6,4,8,21,6,4,0,0,11,64,18,32,14,10,1,9
E00016551,Total,439,250,199,19,0,32,31,14,1,5,11,54,11,34,0,1,8,90,30,55,5,14,1,13
E00016553,Total,367,172,127,6,0,39,30,24,2,2,2,49,13,13,10,4,9,103,15,76,12,13,3,10
E00016335,Total,211,150,117,10,0,23,11,6,0,1,4,11,4,0,0,2,5,36,7,25,4,3,0,3
E00016336,Total,352,181,125,7,0,49,25,5,7,6,7,48,14,10,3,5,16,90,32,47,11,8,5,3
E00016339,Total,314,217,178,6,0,33,15,9,4,0,2,12,5,0,1,5,1,64,12,45,7,6,1,5
E00016340,Total,334,222,198,7,0,17,27,16,0,5,6,25,2,9,0,12,2,47,10,25,12,13,1,12
E00016341,Total,296,198,152,15,0,31,20,10,3,3,4,15,0,4,0,0,11,58,11,33,14,5,1,4
E00016309,Total,311,168,127,7,0,34,34,18,5,4,7,9,0,6,0,1,2,99,34,48,17,1,0,1
E00016323,Total,271,135,102,5,0,28,23,9,2,0,12,1,0,0,0,0,1,99,36,40,23,13,1,12
E00016324,Total,429,236,188,6,0,42,45,25,4,1,15,28,12,6,7,2,1,100,24,42,34,20,6,14
E00016325,Total,303,160,118,2,0,40,20,9,3,3,5,59,14,3,1,7,34,57,34,20,3,7,2,5
E00016327,Total,292,148,108,6,0,34,28,14,4,3,7,20,3,7,2,3,5,89,24,47,18,7,3,4
E00016326,Total,312,177,151,3,0,23,16,4,1,3,8,22,12,0,1,5,4,87,33,34,20,10,0,10
E00016329,Total,399,203,169,13,0,21,42,7,4,27,4,48,6,0,0,7,35,78,32,43,3,28,24,4
E00016332,Total,391,222,167,6,0,49,26,12,2,7,5,47,11,3,5,15,13,66,16,47,3,30,7,23
E00016333,Total,280,167,126,13,0,28,34,11,5,7,11,24,4,4,0,2,14,48,23,22,3,7,6,1
E00016337,Total,337,232,179,12,0,41,21,10,1,8,2,15,5,0,0,0,10,59,8,45,6,10,5,5
E00016311,Total,312,207,178,2,0,27,14,3,0,5,6,24,12,0,1,5,6,58,25,27,6,9,0,9
E00016328,Total,269,178,151,1,0,26,24,8,2,3,11,9,0,0,0,6,3,56,11,30,15,2,1,1
E00016330,Total,256,138,105,7,0,26,25,12,0,0,13,17,1,0,0,5,11,74,21,37,16,2,0,2
E00016331,Total,378,188,124,6,0,58,29,8,6,3,12,58,8,4,0,13,33,102,45,34,23,1,1,0
E00016334,Total,487,271,212,9,0,50,30,3,12,4,11,79,16,36,12,5,10,96,32,45,19,11,0,11
E00016613,Total,393,237,212,3,0,22,17,7,3,2,5,78,10,0,17,13,38,54,17,24,13,7,1,6
E00016614,Total,392,194,156,6,0,32,23,12,6,0,5,72,3,2,10,17,40,95,39,37,19,8,1,7
E00016615,Total,309,181,137,14,0,30,19,2,3,6,8,64,13,4,3,4,40,45,16,21,8,0,0,0
E00016618,Total,267,112,92,4,0,16,23,13,6,1,3,17,1,1,0,6,9,106,60,31,15,9,2,7
E00016621,Total,245,100,88,1,0,11,9,3,2,0,4,15,1,0,2,6,6,119,38,52,29,2,0,2
E00016609,Total,288,198,173,3,0,22,8,0,1,2,5,59,16,0,3,9,31,19,0,12,7,4,1,3
E00016617,Total,345,247,218,4,0,25,20,8,3,5,4,26,9,2,0,7,8,47,21,17,9,5,1,4
E00016619,Total,314,232,206,14,0,12,19,7,4,4,4,22,5,0,0,5,12,38,11,14,13,3,2,1
E00016620,Total,330,207,173,12,0,22,28,15,5,1,7,26,6,1,0,2,17,68,24,34,10,1,1,0
E00016622,Total,257,149,124,6,0,19,16,9,1,4,2,23,2,0,0,6,15,65,30,27,8,4,0,4
E00016588,Total,377,228,185,10,0,33,18,9,4,0,5,60,10,21,0,10,19,64,31,15,18,7,0,7
E00016592,Total,366,256,221,2,0,33,20,4,8,5,3,58,25,2,6,7,18,25,9,16,0,7,1,6
E00016604,Total,207,165,134,6,0,25,7,0,3,0,4,24,11,0,3,4,6,10,2,7,1,1,0,1
E00016611,Total,195,133,103,0,0,30,10,3,2,2,3,29,15,2,0,2,10,17,3,13,1,6,5,1
E00016612,Total,206,153,137,2,0,14,7,3,1,2,1,17,7,0,0,4,6,29,7,17,5,0,0,0
E00016616,Total,257,158,117,2,0,39,10,1,1,4,4,30,2,0,1,13,14,55,33,17,5,4,1,3
E00016590,Total,383,281,217,11,0,53,20,6,3,6,5,31,5,0,0,16,10,45,20,17,8,6,1,5
E00016591,Total,319,251,224,10,0,17,15,2,2,5,6,18,8,0,0,0,10,33,13,12,8,2,0,2
E00016603,Total,485,392,345,17,0,30,25,14,0,8,3,25,3,0,0,12,10,42,7,26,9,1,0,1
E00016606,Total,403,302,249,10,0,43,23,2,5,12,4,42,8,0,0,16,18,31,10,15,6,5,0,5
E00016610,Total,319,234,185,11,0,38,14,3,2,8,1,27,5,1,0,7,14,39,9,24,6,5,1,4
E00016653,Total,295,155,121,6,0,28,18,5,7,6,0,21,3,0,0,10,8,98,11,70,17,3,0,3
E00016655,Total,316,153,87,8,0,58,20,5,3,4,8,54,11,2,0,17,24,81,46,24,11,8,0,8
E00016656,Total,341,160,115,3,0,42,18,3,9,2,4,49,9,0,11,7,22,111,42,40,29,3,0,3
E00016662,Total,266,167,142,8,0,17,13,4,0,6,3,22,2,0,0,6,14,55,13,28,14,9,0,9
E00016664,Total,347,205,153,4,1,47,27,1,10,4,12,43,10,4,0,21,8,63,30,25,8,9,4,5
E00016631,Total,332,176,134,6,1,35,31,7,11,5,8,24,5,0,0,3,16,93,28,46,19,8,1,7
E00016658,Total,227,86,57,3,0,26,13,4,4,2,3,46,5,3,6,0,32,82,35,36,11,0,0,0
E00016659,Total,245,132,104,1,0,27,22,10,2,3,7,25,4,1,0,10,10,61,23,33,5,5,0,5
E00016660,Total,342,158,115,6,0,37,35,9,13,3,10,23,1,0,0,1,21,126,35,72,19,0,0,0
E00016663,Total,372,157,118,5,0,34,30,10,11,1,8,38,6,10,1,4,17,143,60,58,25,4,1,3
E00016632,Total,322,160,121,8,0,31,17,4,5,3,5,28,2,1,1,8,16,105,42,43,20,12,0,12
E00016666,Total,284,171,113,7,1,50,21,3,2,9,7,8,2,0,0,1,5,71,20,40,11,13,7,6
E00016667,Total,420,221,174,9,0,38,23,12,4,0,7,36,4,8,0,14,10,122,41,54,27,18,4,14
E00016669,Total,280,108,84,1,0,23,26,20,1,0,5,30,4,4,0,0,22,110,66,23,21,6,0,6
E00016673,Total,366,177,124,5,0,48,20,7,7,1,5,30,4,5,0,21,0,128,34,62,32,11,5,6
E00016668,Total,241,131,104,6,0,21,18,9,1,2,6,5,0,0,3,1,1,80,25,38,17,7,0,7
E00016670,Total,275,108,86,5,0,17,29,9,5,4,11,22,5,1,0,2,14,106,25,77,4,10,0,10
E00016671,Total,160,114,97,0,0,17,6,3,0,2,1,12,1,5,0,4,2,21,8,8,5,7,0,7
E00016672,Total,361,144,109,2,0,33,17,6,5,0,6,53,9,8,0,10,26,131,43,68,20,16,8,8
E00173708,Total,153,97,62,4,0,31,13,5,3,2,3,29,10,4,0,3,12,12,7,5,0,2,0,2
E00173710,Total,306,138,105,6,0,27,28,11,7,4,6,31,8,7,2,1,13,107,46,47,14,2,0,2
E00016661,Total,297,169,134,14,0,21,18,16,1,0,1,19,3,0,1,1,14,90,30,50,10,1,0,1
E00173936,Total,259,95,70,6,1,18,23,13,2,1,7,23,0,0,0,2,21,114,37,61,16,4,0,4
E00173937,Total,199,120,85,4,0,31,11,4,4,1,2,44,17,3,4,3,17,21,4,11,6,3,1,2
E00173938,Total,301,181,109,6,0,66,26,12,6,5,3,50,23,6,0,3,18,42,27,11,4,2,1,1
E00174035,Total,211,123,79,3,0,41,14,8,2,0,4,36,5,8,3,2,18,31,16,12,3,7,4,3
E00016796,Total,389,115,69,3,2,41,24,9,7,1,7,15,6,1,0,0,8,184,70,70,44,51,1,50
E00016799,Total,380,136,97,3,0,36,8,4,3,0,1,42,2,5,4,10,21,167,61,74,32,27,2,25
E00016804,Total,436,165,119,0,0,46,72,16,11,21,24,62,12,2,0,5,43,115,33,63,19,22,7,15
E00016805,Total,364,154,92,9,0,53,19,6,8,1,4,64,6,3,11,4,40,124,29,72,23,3,0,3
E00016806,Total,262,101,70,8,3,20,28,6,1,15,6,35,1,2,0,8,24,83,23,47,13,15,3,12
E00016781,Total,266,94,78,3,0,13,27,7,7,2,11,10,4,0,0,0,6,133,40,61,32,2,0,2
E00016793,Total,272,79,72,2,0,5,26,22,1,2,1,27,7,0,4,0,16,127,46,67,14,13,7,6
E00016794,Total,230,103,80,4,0,19,30,12,11,3,4,4,0,0,0,2,2,88,29,44,15,5,0,5
E00016801,Total,236,109,68,8,0,33,22,9,1,10,2,7,5,0,1,1,0,96,15,69,12,2,0,2
E00016803,Total,251,101,79,4,0,18,24,16,2,0,6,29,0,0,2,7,20,94,19,66,9,3,0,3
E00016808,Total,239,86,57,6,0,23,22,14,2,1,5,19,1,2,0,5,11,102,41,39,22,10,1,9
E00016813,Total,306,148,102,6,0,40,26,8,7,0,11,20,4,1,0,3,12,103,48,40,15,9,3,6
E00016814,Total,313,144,112,2,0,30,22,13,1,1,7,21,1,0,3,2,15,118,44,50,24,8,1,7
E00016815,Total,283,103,69,3,0,31,10,3,2,4,1,60,0,3,3,5,49,97,38,46,13,13,4,9
E00016818,Total,307,96,66,4,0,26,17,8,3,2,4,18,4,0,0,3,11,157,54,79,24,19,0,19
E00016819,Total,276,128,90,9,0,29,21,9,9,2,1,24,10,0,0,2,12,100,30,57,13,3,0,3
E00016778,Total,370,127,95,5,0,27,27,14,8,2,3,25,6,1,4,10,4,143,54,62,27,48,0,48
E00016788,Total,281,107,81,3,2,21,34,22,4,4,4,15,1,8,1,3,2,118,34,60,24,7,0,7
E00016791,Total,319,121,90,2,1,28,32,18,10,0,4,22,9,2,0,5,6,136,37,70,29,8,1,7
E00016800,Total,252,82,61,4,0,17,26,7,12,4,3,30,4,1,8,8,9,97,41,34,22,17,1,16
E00016820,Total,238,97,64,0,1,32,18,8,2,1,7,22,1,0,0,0,21,100,56,37,7,1,1,0
E00016823,Total,269,110,67,4,8,31,23,8,7,2,6,29,5,0,3,5,16,106,34,52,20,1,0,1
E00016300,Total,323,171,133,1,0,37,30,11,5,7,7,55,9,0,4,16,26,65,27,27,11,2,1,1
E00016310,Total,248,179,145,6,0,28,14,9,1,1,3,7,1,0,0,5,1,46,14,18,14,2,0,2
E00016312,Total,370,248,190,6,0,52,33,8,8,5,12,24,8,3,6,2,5,58,19,35,4,7,0,7
E00016343,Total,361,258,202,14,0,42,23,12,1,4,6,21,1,7,0,9,4,55,14,30,11,4,0,4
E00016344,Total,440,297,226,10,0,61,31,14,1,4,12,46,7,0,2,9,28,60,24,27,9,6,0,6
E00016301,Total,390,270,204,10,0,56,27,7,6,5,9,33,5,19,0,2,7,54,10,39,5,6,4,2
E00016302,Total,275,181,133,3,0,45,27,13,5,6,3,16,7,2,0,2,5,46,19,19,8,5,0,5
E00016316,Total,323,234,195,14,0,25,20,8,6,3,3,11,1,2,0,2,6,49,10,33,6,9,0,9
E00016338,Total,377,227,168,10,0,49,38,10,7,9,12,18,9,0,0,4,5,90,13,60,17,4,1,3
E00016342,Total,293,223,178,9,0,36,11,2,5,4,0,16,3,4,2,6,1,32,10,11,11,11,3,8
E00016303,Total,394,267,223,9,0,35,28,21,2,1,4,15,8,0,0,4,3,78,18,48,12,6,0,6
E00016304,Total,339,238,192,10,0,36,21,4,3,8,6,14,10,0,0,2,2,61,18,17,26,5,2,3
E00016313,Total,225,156,123,7,0,26,17,4,1,6,6,12,5,0,0,3,4,34,15,17,2,6,0,6
E00016318,Total,290,240,205,8,0,27,19,1,4,12,2,8,2,0,0,2,4,23,5,15,3,0,0,0
E00016345,Total,264,186,164,5,0,17,26,6,3,11,6,12,5,0,1,0,6,35,16,15,4,5,0,5
E00016307,Total,329,178,138,6,0,34,21,6,6,2,7,35,7,0,0,11,17,83,41,38,4,12,5,7
E00016314,Total,292,162,117,7,0,38,21,12,3,3,3,12,3,0,0,5,4,92,27,35,30,5,4,1
E00016319,Total,233,145,116,6,0,23,14,8,3,0,3,5,0,0,0,0,5,67,34,29,4,2,0,2
E00016321,Total,329,176,103,15,0,58,30,11,3,11,5,34,8,4,0,4,18,78,26,45,7,11,1,10
E00016322,Total,375,189,147,14,0,28,23,12,2,4,5,23,8,0,0,6,9,129,34,66,29,11,5,6
E00016305,Total,273,129,96,5,0,28,33,19,1,2,11,19,9,4,0,1,5,91,38,41,12,1,0,1
E00016306,Total,345,160,129,13,0,18,32,5,18,5,4,10,2,0,0,1,7,135,30,72,33,8,1,7
E00016308,Total,316,138,109,4,0,25,34,12,2,11,9,34,5,3,3,6,17,106,47,37,22,4,0,4
E00016315,Total,428,262,203,10,1,48,30,13,6,5,6,10,0,1,0,5,4,124,23,68,33,2,0,2
E00016317,Total,286,155,100,7,0,48,27,14,5,2,6,12,0,0,0,5,7,86,42,24,20,6,1,5
E00016320,Total,285,159,111,15,0,33,33,20,5,4,4,21,6,2,0,1,12,69,24,35,10,3,1,2
E00016779,Total,294,115,86,3,1,25,38,12,21,3,2,14,1,2,0,2,9,121,59,39,23,6,0,6
E00016789,Total,379,205,171,4,0,30,41,7,27,1,6,22,1,0,0,6,15,101,29,52,20,10,4,6
E00016797,Total,391,207,167,9,0,31,47,17,8,12,10,47,12,3,4,19,9,79,37,30,12,11,0,11
E00016798,Total,419,138,90,5,0,43,70,9,52,4,5,32,10,1,4,0,17,176,84,42,50,3,2,1
E00016821,Total,399,216,182,7,0,27,55,34,10,7,4,29,10,1,0,3,15,97,34,43,20,2,0,2
E00016780,Total,413,179,121,10,0,48,34,11,4,3,16,30,5,1,2,2,20,162,65,71,26,8,2,6
E00016782,Total,429,184,135,6,0,43,13,12,0,0,1,79,10,17,12,12,28,147,70,48,29,6,3,3
E00016790,Total,166,53,42,0,0,11,22,9,2,0,11,27,4,0,0,5,18,59,27,18,14,5,0,5
E00016792,Total,351,117,67,1,0,49,26,13,6,2,5,52,10,8,7,6,21,147,75,33,39,9,3,6
E00016795,Total,279,131,107,4,0,20,19,14,2,0,3,25,5,0,0,1,19,97,20,70,7,7,2,5
E00016783,Total,346,143,109,7,0,27,43,13,10,5,15,17,0,0,0,7,10,129,37,56,36,14,0,14
E00016802,Total,383,195,139,13,1,42,31,16,8,3,4,16,7,2,0,3,4,134,53,47,34,7,2,5
E00016807,Total,450,177,132,1,3,41,49,14,26,5,4,36,7,0,2,2,25,186,75,69,42,2,0,2
E00016809,Total,327,176,144,6,0,26,29,11,7,3,8,19,0,1,3,5,10,100,46,43,11,3,0,3
E00016810,Total,455,191,134,7,1,49,62,19,24,11,8,31,6,0,0,16,9,167,66,74,27,4,1,3
E00016784,Total,273,127,110,6,0,11,21,10,1,0,10,20,0,9,0,4,7,98,34,54,10,7,5,2
E00016811,Total,321,159,114,6,0,39,19,8,0,2,9,46,13,0,6,0,27,87,32,46,9,10,5,5
E00016812,Total,303,125,90,10,0,25,34,10,5,11,8,39,7,17,0,4,11,101,31,51,19,4,3,1
E00016816,Total,222,98,75,3,0,20,15,7,6,1,1,9,0,0,0,3,6,94,29,54,11,6,1,5
E00016817,Total,310,130,92,4,0,34,30,13,10,0,7,31,8,2,0,1,20,107,39,53,15,12,4,8
E00016785,Total,202,87,67,3,0,17,17,8,5,0,4,25,3,2,0,4,16,68,28,32,8,5,1,4
