WD22CD_proposed,United Kingdom,Europe,Africa,Middle East and Asia,The Americas and the Caribbean,Antarctica and Oceania,Other
E05013714,70.94194034064176,7.518584736990684,9.91813305730686,4.629716759198269,6.464665474734168,0.508139644302249,0.018819986826002832
E05013715,69.75038600102934,10.936695831188883,6.890118373648996,6.060216160576428,4.95367987647967,1.3381369016984046,0.07076685537826677
E05013716,63.69445951648882,12.732863085548924,8.217278591668174,6.631699523723398,7.198408392114306,1.452945077470308,0.07234581298607168
E05013717,67.85115238864384,9.405479281853761,7.2063117351059205,6.9205442007827545,8.256196806858421,0.2857675343231658,0.07454805243213514
E05013718,69.92033206132423,10.919193947914575,6.279708107384348,4.773381535783624,6.909017875075317,1.1648925487045592,0.03347392381333236
E05013719,54.47714896256979,11.194595712414696,15.302957193079203,11.5806162542221,6.962156200454952,0.4687392293375612,0.013786447921688705
E05013720,75.83259127337489,7.070347284060552,7.420599584446423,4.677945978035026,4.761056693380826,0.19590382902938558,0.0415553576729053
E05013721,53.40294952825868,13.199596958871485,15.910964550700742,10.689749931299808,5.926536594302464,0.842722359622607,0.02748007694420096
E05013722,68.85014137606032,11.53224720613976,8.240204658677797,5.103002558233473,5.365558098828599,0.8819173286656793,0.02692877339437416
E05013723,73.08103057001735,9.437992257375516,7.208650380456548,5.65345080763583,4.138299292484315,0.460552663195835,0.020024028834598084
E05013724,65.32376362112322,9.388097233864208,9.995808885163454,6.721500419111484,8.005029337803856,0.5605616093880972,0.005238893545666201
E05013725,63.34235120511559,12.05730447614363,9.12444663059518,6.923266109198229,7.6057550418101325,0.9099852434825382,0.03689129365471899
E05013726,71.1040966170315,10.162629520345845,5.9973924380704045,6.326768681808825,5.3798119810608656,0.9469567007479586,0.08234406093458801
E05013727,53.1958762886598,16.185567010309278,8.221649484536082,14.278350515463918,6.752577319587629,1.3144329896907216,0.05154639175258069
E05013728,56.46591970121382,11.823062558356677,15.511204481792717,7.271241830065359,8.321661998132587,0.5835667600373483,0.023342670401490295
E05013729,69.64422971340727,10.12957065993192,7.680904798506643,4.617327330624794,7.065993192050072,0.8400131766772813,0.02196112880203316
E05013730,61.92848247642768,10.852161537093044,11.2613413983277,6.724782067247821,8.895214374666429,0.32022771748799145,0.01779042874933623
E05013731,69.9888365169933,10.927809476556686,7.727611014636566,4.707268667824361,5.941453733564872,0.6698089804018854,0.0372116100223252
E05013732,63.09248202753747,11.739978067503351,10.491044230534909,5.5074936030218105,7.962714755696357,1.1331789935420982,0.07310832216398921
