Name,Europe: Total,Europe: United Kingdom: Total,Europe: United Kingdom: England,Europe: United Kingdom: Northern Ireland,Europe: United Kingdom: Scotland,Europe: United Kingdom: Wales,Europe: Great Britain not otherwise specified,Europe: United Kingdom not otherwise specified,Europe: Guernsey,Europe: Jersey,Europe: Channel Islands not otherwise specified,Europe: Isle of Man,Europe: Ireland,Europe: Other Europe: Total,Europe: Other Europe: EU Countries: Total,Europe: Other Europe: EU countries: Member countries in March 2001: Total,Europe: Other Europe: EU countries: Member countries in March 2001: France,Europe: Other Europe: EU countries: Member countries in March 2001: Germany,Europe: Other Europe: EU countries: Member countries in March 2001: Italy,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal,Europe: Other Europe: EU countries: Member countries in March 2001: Spain (including Canary Islands),Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Total,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Lithuania,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Romania,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries,Europe: Other Europe: Rest of Europe: Total,Europe: Other Europe: Rest of Europe: Turkey,Europe: Other Europe: Rest of Europe: Other Europe,Africa: Total,Africa: North Africa,Africa: Central and Western Africa: Total,Africa: Central and Western Africa: Ghana,Africa: Central and Western Africa: Nigeria,Africa: Central and Western Africa: Other Central and Western Africa,Africa: South and Eastern Africa: Total,Africa: South and Eastern Africa: Kenya,Africa: South and Eastern Africa: Somalia,Africa: South and Eastern Africa: South Africa,Africa: South and Eastern Africa: Zimbabwe,Africa: South and Eastern Africa: Other South and Eastern Africa,Africa: Africa not otherwise specified,Middle East and Asia: Total,Middle East and Asia: Middle East: Total,Middle East and Asia: Middle East: Iran,Middle East and Asia: Middle East: Other Middle East,Middle East and Asia: Eastern Asia: Total,Middle East and Asia: Eastern Asia: China,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),Middle East and Asia: Eastern Asia: Other Eastern Asia,Middle East and Asia: Southern Asia: Total,Middle East and Asia: Southern Asia: Bangladesh,Middle East and Asia: Southern Asia: India,Middle East and Asia: Southern Asia: Pakistan,Middle East and Asia: Southern Asia: Sri Lanka,Middle East and Asia: Southern Asia: Other Southern Asia,Middle East and Asia: South-East Asia: Total,Middle East and Asia: South-East Asia: Philippines,Middle East and Asia: South-East Asia: Other South-East Asia,Middle East and Asia: Central Asia,The Americas and the Caribbean: Total,The Americas and the Caribbean: North America: Total,The Americas and the Caribbean: North America: United States,The Americas and the Caribbean: North America: Other North America,The Americas and the Caribbean: Central America,The Americas and the Caribbean: South America,The Americas and the Caribbean: The Caribbean: Total,The Americas and the Caribbean: The Caribbean: Jamaica,The Americas and the Caribbean: The Caribbean: Other Caribbean,Antarctica and Oceania: Total,Antarctica and Oceania: Antarctica,Antarctica and Oceania: Australasia: Total,Antarctica and Oceania: Australasia: Australia,Antarctica and Oceania: Australasia: Other Australasia,Antarctica and Oceania: Other Oceania,Other
England,91.20558383486326,86.1595942659212,83.46452011202801,0.38997438639703846,1.3371800770747162,0.9556603074567984,0.003436928106103969,0.008822454858533625,0.011461457284680416,0.016420669134816164,0.0029842043160573433,0.01563783424786054,0.7454512199925241,4.254034183966123,3.73545983230809,1.6881089229293584,0.24070003472391469,0.49489501108946926,0.2474795734798629,0.16193364065230254,0.1462939200553168,0.3968067429284921,2.0473509093787317,0.18058020175484796,1.0584267214482574,0.14749741079719075,0.6608465753784356,0.518574351658033,0.1687980651188845,0.34977628653914844,2.4345429308161086,0.20776249264889746,0.7404599402072599,0.1760190095701282,0.35593521643290776,0.208505714204224,1.4566501125697704,0.25647934515616483,0.18766155637082726,0.3515305912255791,0.21889572518579406,0.4420828946314051,0.029670385390180753,4.770835367446473,0.5376170460768692,0.1508796347786641,0.3867374112982051,0.5850549538772548,0.2757880148016534,0.1862279310356796,0.1230390080399218,3.023100835018849,0.38921230135046,1.287006963042799,0.8991924463941078,0.23752342279708755,0.21016570143439497,0.6080816176485013,0.22156490919794397,0.38651670845055736,0.016980914824998864,1.250821127774197,0.45999943862250037,0.3272249827474509,0.13277445587504944,0.02635041092983883,0.27007426330143997,0.49439701492041793,0.30025019025717276,0.19414682466324518,0.3380337632348141,9.431745625971375e-05,0.322050727097043,0.2142741698290681,0.1077765572679749,0.015888718681511378,0.00018297586514384468
London,75.53725919969327,63.319236094314846,61.13418239745063,0.4009571392795715,1.0952733815915725,0.6585317902343557,0.006655296386406508,0.023636089372311347,0.009774966567534559,0.017678131026392287,0.0024712681434818284,0.009297840539832621,1.5880589302027015,10.59074196889848,8.700001627122095,4.183795796911184,0.8154450833447415,0.6786934234049402,0.7591197440744923,0.5020956231516719,0.4389559454857822,0.9894859774495558,4.516205830210911,0.48712120628225725,1.9366423124414527,0.5486704638558071,1.5437718476313935,1.8907403417763842,0.7290975063314012,1.161642835444983,7.604813883535494,0.6459307695027405,2.940491006724908,0.7694697086754113,1.403460093484893,0.7675612045646035,3.943287576947277,0.7855696536101741,0.7992839684064272,0.7066970510308308,0.2606943211359123,1.3910425827639323,0.07510453036056904,11.830156346858878,1.490027882511019,0.4568053525221188,1.0332225299889002,1.234826627694034,0.4826557960229955,0.32340580877694125,0.42876502289409724,7.660882308790827,1.345103910096733,3.2083299842756388,1.375799017878891,1.0342868880506968,0.6973625084888673,1.3855984524478462,0.5407305973948184,0.8448678550530276,0.058821075415151636,3.9917097517586684,1.053763417181504,0.7819973254027647,0.2717660917787393,0.06695668588750518,1.1049137741512938,1.7660758745383653,1.070071340128342,0.6960045344100233,1.0357427341352232,0.00030585001775765205,1.0096476106201402,0.6601344443274059,0.34951316629273443,0.02578927349732522,0.0003180840184679581
Lewisham,76.94727875745329,66.25912970984287,63.98571868713413,0.4393134820668032,1.1526541856208203,0.6531707051851315,0.008699276872609964,0.01957337296337242,0.010149156351378292,0.0199358428330645,0.002174819218152491,0.007249397393841637,1.417982130235424,9.230657701578556,7.577070156043279,3.7091541765590734,0.8405676278159377,0.6644072711455861,0.6966670895481814,0.3668195081283868,0.3439839063377857,0.7967087735831959,3.8679159794842053,0.482809866429853,1.57565652355148,0.29396306432027836,1.5154865251825942,1.6535875455352773,0.46903601138155393,1.1845515341537234,9.162150896206752,0.42771444623665655,6.074995016039292,1.0312267792739729,3.46303713503815,1.580731101727169,2.610145531652681,0.24901680047846023,0.3979919169219059,0.52231908222629,0.3740689055222285,1.0667488265037968,0.04929590227812313,6.432752777425376,0.487159504866158,0.16057415227359226,0.32658535259256577,1.3516501440817732,0.752849919350454,0.26605288435398805,0.3327473403773311,3.1774108777207895,0.2595284266995306,0.9456838900266415,0.29505047392935463,1.2860430976675064,0.3911049893977563,1.3770230349602188,0.2120448737698679,1.1649781611903511,0.039509215796436924,6.692643673994599,0.7227649201660112,0.5168820341809087,0.2058828859851025,0.04929590227812313,1.2853181579281223,4.635264693622343,3.5148703264041177,1.120394367218225,0.7651738949199848,0.00036246986969208183,0.7452380520869203,0.45018757815756566,0.29505047392935463,0.01957337296337242,0.0
