OA11CD,Europe: Total,Europe: United Kingdom: Total,Europe: United Kingdom: England,Europe: United Kingdom: Northern Ireland,Europe: United Kingdom: Scotland,Europe: United Kingdom: Wales,Europe: Great Britain not otherwise specified,Europe: United Kingdom not otherwise specified,Europe: Guernsey,Europe: Jersey,Europe: Channel Islands not otherwise specified,Europe: Isle of Man,Europe: Ireland,Europe: Other Europe: Total,Europe: Other Europe: EU Countries: Total,Europe: Other Europe: EU countries: Member countries in March 2001: Total,Europe: Other Europe: EU countries: Member countries in March 2001: France,Europe: Other Europe: EU countries: Member countries in March 2001: Germany,Europe: Other Europe: EU countries: Member countries in March 2001: Italy,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal,Europe: Other Europe: EU countries: Member countries in March 2001: Spain (including Canary Islands),Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Total,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Lithuania,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Romania,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries,Europe: Other Europe: Rest of Europe: Total,Europe: Other Europe: Rest of Europe: Turkey,Europe: Other Europe: Rest of Europe: Other Europe,Africa: Total,Africa: North Africa,Africa: Central and Western Africa: Total,Africa: Central and Western Africa: Ghana,Africa: Central and Western Africa: Nigeria,Africa: Central and Western Africa: Other Central and Western Africa,Africa: South and Eastern Africa: Total,Africa: South and Eastern Africa: Kenya,Africa: South and Eastern Africa: Somalia,Africa: South and Eastern Africa: South Africa,Africa: South and Eastern Africa: Zimbabwe,Africa: South and Eastern Africa: Other South and Eastern Africa,Africa: Africa not otherwise specified,Middle East and Asia: Total,Middle East and Asia: Middle East: Total,Middle East and Asia: Middle East: Iran,Middle East and Asia: Middle East: Other Middle East,Middle East and Asia: Eastern Asia: Total,Middle East and Asia: Eastern Asia: China,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),Middle East and Asia: Eastern Asia: Other Eastern Asia,Middle East and Asia: Southern Asia: Total,Middle East and Asia: Southern Asia: Bangladesh,Middle East and Asia: Southern Asia: India,Middle East and Asia: Southern Asia: Pakistan,Middle East and Asia: Southern Asia: Sri Lanka,Middle East and Asia: Southern Asia: Other Southern Asia,Middle East and Asia: South-East Asia: Total,Middle East and Asia: South-East Asia: Philippines,Middle East and Asia: South-East Asia: Other South-East Asia,Middle East and Asia: Central Asia,The Americas and the Caribbean: Total,The Americas and the Caribbean: North America: Total,The Americas and the Caribbean: North America: United States,The Americas and the Caribbean: North America: Other North America,The Americas and the Caribbean: Central America,The Americas and the Caribbean: South America,The Americas and the Caribbean: The Caribbean: Total,The Americas and the Caribbean: The Caribbean: Jamaica,The Americas and the Caribbean: The Caribbean: Other Caribbean,Antarctica and Oceania: Total,Antarctica and Oceania: Antarctica,Antarctica and Oceania: Australasia: Total,Antarctica and Oceania: Australasia: Australia,Antarctica and Oceania: Australasia: Other Australasia,Antarctica and Oceania: Other Oceania,Other
E00016403,64.20765027322405,55.73770491803279,54.09836065573771,0.273224043715847,0.819672131147541,0.546448087431694,0.0,0.0,0.0,0.0,0.0,0.0,0.819672131147541,7.6502732240437155,6.830601092896175,2.459016393442623,0.819672131147541,0.0,0.273224043715847,0.819672131147541,0.273224043715847,0.273224043715847,4.371584699453552,0.0,4.098360655737705,0.0,0.273224043715847,0.819672131147541,0.0,0.819672131147541,21.311475409836067,1.092896174863388,15.027322404371585,3.278688524590164,6.557377049180328,5.191256830601093,5.191256830601093,0.273224043715847,2.73224043715847,0.0,0.819672131147541,1.366120218579235,0.0,6.0109289617486334,0.0,0.0,0.0,0.273224043715847,0.273224043715847,0.0,0.0,2.73224043715847,0.273224043715847,1.092896174863388,0.0,1.366120218579235,0.0,3.0054644808743167,0.0,3.0054644808743167,0.0,7.6502732240437155,0.0,0.0,0.0,0.273224043715847,3.551912568306011,3.8251366120218577,3.0054644808743167,0.819672131147541,0.819672131147541,0.0,0.273224043715847,0.0,0.273224043715847,0.546448087431694,0.0
E00016437,65.79925650557621,55.39033457249071,54.83271375464684,0.0,0.37174721189591076,0.18587360594795538,0.0,0.0,0.0,0.0,0.0,0.0,1.3011152416356877,9.107806691449815,5.390334572490707,2.6022304832713754,1.486988847583643,0.18587360594795538,0.18587360594795538,0.0,0.18587360594795538,0.5576208178438662,2.7881040892193307,1.3011152416356877,0.37174721189591076,0.0,1.1152416356877324,3.717472118959108,0.0,3.717472118959108,18.21561338289963,0.7434944237918215,14.12639405204461,1.486988847583643,7.24907063197026,5.390334572490707,3.159851301115242,0.0,0.7434944237918215,0.37174721189591076,0.7434944237918215,1.3011152416356877,0.18587360594795538,11.338289962825279,0.0,0.0,0.0,4.83271375464684,3.159851301115242,1.6728624535315986,0.0,2.2304832713754648,0.0,1.3011152416356877,0.18587360594795538,0.7434944237918215,0.0,4.275092936802974,0.0,4.275092936802974,0.0,4.646840148698884,0.0,0.0,0.0,0.37174721189591076,1.858736059479554,2.41635687732342,2.41635687732342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E00016439,60.107816711590296,46.63072776280323,43.935309973045825,0.5390835579514824,2.1563342318059298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6954177897574123,10.78167115902965,8.086253369272237,4.5822102425876015,0.8086253369272237,0.8086253369272237,0.2695417789757412,1.6172506738544474,0.2695417789757412,0.8086253369272237,3.504043126684636,0.8086253369272237,0.0,0.0,2.6954177897574123,2.6954177897574123,0.8086253369272237,1.8867924528301887,24.258760107816713,0.8086253369272237,18.059299191374663,4.8517520215633425,8.89487870619946,4.3126684636118595,5.390835579514825,0.5390835579514824,1.6172506738544474,0.2695417789757412,0.5390835579514824,2.4258760107816713,0.0,5.929919137466308,0.8086253369272237,0.0,0.8086253369272237,1.0781671159029649,0.8086253369272237,0.2695417789757412,0.0,2.6954177897574123,0.0,0.5390835579514824,0.0,1.0781671159029649,1.0781671159029649,1.0781671159029649,0.0,1.0781671159029649,0.2695417789757412,8.89487870619946,0.0,0.0,0.0,0.0,3.234501347708895,5.660377358490566,4.0431266846361185,1.6172506738544474,0.8086253369272237,0.0,0.8086253369272237,0.8086253369272237,0.0,0.0,0.0
E00016442,61.29943502824859,51.9774011299435,50.847457627118644,0.0,1.1299435028248588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4124293785310735,7.909604519774011,7.627118644067797,5.084745762711864,0.2824858757062147,0.2824858757062147,1.4124293785310735,1.9774011299435028,0.2824858757062147,0.847457627118644,2.542372881355932,0.2824858757062147,1.1299435028248588,0.0,1.1299435028248588,0.2824858757062147,0.2824858757062147,0.0,26.271186440677965,0.5649717514124294,23.163841807909606,4.519774011299435,12.146892655367232,6.497175141242938,2.542372881355932,0.5649717514124294,0.2824858757062147,0.0,0.2824858757062147,1.4124293785310735,0.0,7.627118644067797,0.2824858757062147,0.0,0.2824858757062147,1.4124293785310735,0.5649717514124294,0.847457627118644,0.0,2.824858757062147,0.847457627118644,0.2824858757062147,0.2824858757062147,0.847457627118644,0.5649717514124294,3.1073446327683616,0.2824858757062147,2.824858757062147,0.0,4.237288135593221,0.5649717514124294,0.5649717514124294,0.0,0.0,1.9774011299435028,1.694915254237288,1.4124293785310735,0.2824858757062147,0.5649717514124294,0.0,0.2824858757062147,0.2824858757062147,0.0,0.2824858757062147,0.0
E00016399,72.74678111587983,65.02145922746782,63.73390557939914,0.0,0.6437768240343348,0.6437768240343348,0.0,0.0,0.0,0.0,0.0,0.0,1.2875536480686696,6.437768240343348,3.8626609442060085,1.7167381974248928,0.2145922746781116,0.2145922746781116,0.8583690987124464,0.2145922746781116,0.0,0.2145922746781116,2.1459227467811157,0.4291845493562232,0.8583690987124464,0.2145922746781116,0.6437768240343348,2.575107296137339,0.0,2.575107296137339,14.163090128755364,0.6437768240343348,9.871244635193133,2.575107296137339,3.648068669527897,3.648068669527897,3.648068669527897,0.0,2.1459227467811157,0.0,0.0,1.502145922746781,0.0,7.939914163090129,0.2145922746781116,0.0,0.2145922746781116,1.9313304721030042,1.502145922746781,0.4291845493562232,0.0,2.575107296137339,0.0,0.4291845493562232,0.4291845493562232,0.0,1.7167381974248928,2.7896995708154506,0.0,2.7896995708154506,0.4291845493562232,5.150214592274678,0.0,0.0,0.0,0.0,1.7167381974248928,3.4334763948497855,3.004291845493562,0.4291845493562232,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E00016401,68.42105263157895,52.33918128654971,50.292397660818715,0.8771929824561403,0.29239766081871343,0.8771929824561403,0.0,0.0,0.0,0.0,0.0,0.0,0.29239766081871343,15.789473684210526,11.988304093567251,7.894736842105263,2.046783625730994,0.8771929824561403,2.9239766081871346,0.0,1.4619883040935673,0.5847953216374269,4.093567251461988,1.4619883040935673,1.4619883040935673,0.0,1.1695906432748537,3.801169590643275,1.7543859649122806,2.046783625730994,13.742690058479532,0.5847953216374269,10.818713450292398,2.9239766081871346,2.6315789473684212,5.2631578947368425,2.3391812865497075,0.29239766081871343,0.8771929824561403,0.5847953216374269,0.5847953216374269,0.0,0.0,11.11111111111111,2.046783625730994,0.29239766081871343,1.7543859649122806,5.555555555555555,4.093567251461988,1.1695906432748537,0.29239766081871343,1.4619883040935673,0.0,0.5847953216374269,0.0,0.8771929824561403,0.0,2.046783625730994,0.29239766081871343,1.7543859649122806,0.0,6.7251461988304095,1.4619883040935673,1.1695906432748537,0.29239766081871343,0.0,0.5847953216374269,4.678362573099415,4.093567251461988,0.5847953216374269,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E00016406,70.57057057057057,65.76576576576576,65.16516516516516,0.0,0.6006006006006006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6006006006006006,4.2042042042042045,3.903903903903904,3.003003003003003,1.8018018018018018,0.0,0.6006006006006006,0.6006006006006006,0.0,0.0,0.9009009009009009,0.0,0.3003003003003003,0.0,0.6006006006006006,0.3003003003003003,0.3003003003003003,0.0,17.117117117117118,1.5015015015015014,10.51051051051051,4.2042042042042045,3.903903903903904,2.4024024024024024,4.804804804804805,0.0,2.1021021021021022,0.0,0.6006006006006006,2.1021021021021022,0.3003003003003003,7.207207207207207,2.1021021021021022,0.0,2.1021021021021022,1.5015015015015014,0.9009009009009009,0.3003003003003003,0.3003003003003003,0.6006006006006006,0.6006006006006006,0.0,0.0,0.0,0.0,3.003003003003003,0.0,3.003003003003003,0.0,4.804804804804805,1.2012012012012012,1.2012012012012012,0.0,0.0,0.6006006006006006,3.003003003003003,2.1021021021021022,0.9009009009009009,0.3003003003003003,0.0,0.0,0.0,0.0,0.3003003003003003,0.0
E00016435,72.2488038277512,61.961722488038276,60.526315789473685,0.4784688995215311,0.7177033492822966,0.0,0.0,0.23923444976076555,0.0,0.0,0.0,0.0,1.4354066985645932,8.851674641148325,6.45933014354067,3.110047846889952,0.23923444976076555,0.23923444976076555,0.0,1.674641148325359,0.7177033492822966,0.23923444976076555,3.349282296650718,0.4784688995215311,1.4354066985645932,0.0,1.4354066985645932,2.3923444976076556,0.4784688995215311,1.9138755980861244,10.287081339712918,1.1961722488038278,7.177033492822966,0.4784688995215311,4.0669856459330145,2.6315789473684212,1.674641148325359,0.0,0.7177033492822966,0.4784688995215311,0.0,0.4784688995215311,0.23923444976076555,11.004784688995215,0.23923444976076555,0.23923444976076555,0.0,4.545454545454546,1.9138755980861244,1.1961722488038278,1.4354066985645932,2.3923444976076556,0.4784688995215311,0.4784688995215311,0.0,0.9569377990430622,0.4784688995215311,3.827751196172249,0.0,3.827751196172249,0.0,6.45933014354067,0.4784688995215311,0.4784688995215311,0.0,0.0,0.9569377990430622,5.023923444976076,4.545454545454546,0.4784688995215311,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E00016395,69.01408450704226,54.225352112676056,50.0,0.0,1.408450704225352,2.112676056338028,0.352112676056338,0.352112676056338,0.0,0.0,0.0,0.0,1.408450704225352,13.380281690140846,13.028169014084508,7.746478873239437,2.816901408450704,0.352112676056338,2.464788732394366,1.056338028169014,0.352112676056338,0.704225352112676,5.28169014084507,1.7605633802816902,0.352112676056338,2.464788732394366,0.704225352112676,0.352112676056338,0.0,0.352112676056338,15.140845070422536,0.352112676056338,8.80281690140845,2.464788732394366,4.577464788732394,1.7605633802816902,5.985915492957746,0.352112676056338,0.352112676056338,1.7605633802816902,0.0,3.5211267605633805,0.0,10.211267605633802,1.056338028169014,0.0,1.056338028169014,2.816901408450704,0.704225352112676,1.7605633802816902,0.352112676056338,3.8732394366197185,1.408450704225352,0.0,0.0,2.464788732394366,0.0,2.464788732394366,0.352112676056338,2.112676056338028,0.0,3.8732394366197185,0.704225352112676,0.704225352112676,0.0,0.352112676056338,0.352112676056338,2.464788732394366,1.7605633802816902,0.704225352112676,1.7605633802816902,0.0,1.7605633802816902,1.056338028169014,0.704225352112676,0.0,0.0
E00016404,71.19565217391305,49.45652173913044,45.92391304347826,1.0869565217391304,0.8152173913043478,1.6304347826086956,0.0,0.0,0.0,0.0,0.0,0.0,1.358695652173913,20.380434782608695,17.119565217391305,12.5,2.989130434782609,0.5434782608695652,5.706521739130435,0.8152173913043478,1.0869565217391304,1.358695652173913,4.619565217391305,0.5434782608695652,2.1739130434782608,0.0,1.9021739130434783,3.260869565217391,0.2717391304347826,2.989130434782609,6.25,0.2717391304347826,2.717391304347826,0.2717391304347826,1.358695652173913,1.0869565217391304,3.260869565217391,0.8152173913043478,0.0,1.6304347826086956,0.2717391304347826,0.5434782608695652,0.0,15.48913043478261,1.0869565217391304,0.0,1.0869565217391304,2.4456521739130435,1.6304347826086956,0.5434782608695652,0.2717391304347826,7.336956521739131,1.6304347826086956,1.9021739130434783,0.0,0.2717391304347826,3.532608695652174,4.619565217391305,0.0,4.619565217391305,0.0,5.706521739130435,0.5434782608695652,0.2717391304347826,0.2717391304347826,0.0,2.4456521739130435,2.717391304347826,2.717391304347826,0.0,1.358695652173913,0.0,1.358695652173913,1.0869565217391304,0.2717391304347826,0.0,0.0
