OA11CD,United Kingdom,Europe,Africa,Middle East and Asia,The Americas and the Caribbean,Antarctica and Oceania,Other
E00016403,55.73770491803279,8.469945355191257,21.311475409836067,6.0109289617486334,7.6502732240437155,0.819672131147541,0.0
E00016437,55.39033457249071,10.408921933085502,18.21561338289963,11.338289962825279,4.646840148698884,0.0,0.0
E00016439,46.63072776280323,13.477088948787062,24.258760107816713,5.929919137466308,8.89487870619946,0.8086253369272237,-1.4210854715202004e-14
E00016442,51.9774011299435,9.322033898305085,26.271186440677965,7.627118644067797,4.237288135593221,0.5649717514124294,0.0
E00016399,65.02145922746782,7.725321888412018,14.163090128755364,7.939914163090129,5.150214592274678,0.0,1.4210854715202004e-14
E00016401,52.33918128654971,16.08187134502924,13.742690058479532,11.11111111111111,6.7251461988304095,0.0,-1.4210854715202004e-14
E00016406,65.76576576576576,4.804804804804805,17.117117117117118,7.207207207207207,4.804804804804805,0.3003003003003003,0.0
E00016435,61.961722488038276,10.287081339712918,10.287081339712918,11.004784688995215,6.45933014354067,0.0,1.4210854715202004e-14
E00016395,54.225352112676056,14.788732394366198,15.140845070422536,10.211267605633802,3.8732394366197185,1.7605633802816902,-1.4210854715202004e-14
E00016404,49.45652173913044,21.73913043478261,6.25,15.48913043478261,5.706521739130435,1.358695652173913,0.0
E00016405,41.86046511627907,27.574750830564785,7.973421926910299,16.27906976744186,5.3156146179401995,0.9966777408637874,-1.4210854715202004e-14
E00016408,52.027027027027025,20.27027027027027,10.135135135135135,10.81081081081081,5.405405405405405,1.3513513513513513,1.4210854715202004e-14
E00016410,61.39817629179331,16.41337386018237,5.775075987841945,9.422492401215806,5.167173252279635,1.8237082066869301,0.0
E00016438,33.74485596707819,24.691358024691358,6.584362139917696,20.16460905349794,11.934156378600823,2.880658436213992,0.0
E00016398,70.98039215686275,7.450980392156863,10.980392156862745,6.2745098039215685,3.5294117647058822,0.7843137254901961,-1.4210854715202004e-14
E00016431,62.0253164556962,13.50210970464135,12.658227848101266,2.5316455696202533,8.860759493670885,0.0,0.4219409282700468
E00016432,57.02005730659026,13.46704871060172,8.882521489971346,15.759312320916905,3.7249283667621778,1.146131805157593,0.0
E00016434,51.351351351351354,6.879606879606879,24.57002457002457,10.073710073710073,6.6339066339066335,0.4914004914004914,-1.4210854715202004e-14
E00173943,62.750716332378225,13.753581661891117,11.461318051575931,4.2979942693409745,7.163323782234957,0.5730659025787965,1.4210854715202004e-14
E00173946,40.181268882175225,22.658610271903324,7.2507552870090635,18.12688821752266,9.365558912386707,1.8126888217522659,0.6042296072507582
E00016397,43.68530020703934,17.391304347826086,13.871635610766045,20.082815734989648,3.1055900621118013,1.8633540372670807,-1.4210854715202004e-14
E00016433,61.27946127946128,16.835016835016837,11.447811447811448,6.397306397306397,3.367003367003367,0.6734006734006734,0.0
E00016436,57.28155339805825,13.106796116504855,17.475728155339805,5.825242718446602,5.825242718446602,0.4854368932038835,0.0
E00016440,53.31325301204819,7.831325301204819,26.80722891566265,6.024096385542169,6.024096385542169,0.0,0.0
E00016441,54.46224256292906,13.043478260869565,20.594965675057207,5.720823798627002,5.949656750572083,0.2288329519450801,0.0
E00016412,48.414985590778095,15.561959654178674,11.815561959654179,13.544668587896254,9.510086455331413,1.1527377521613833,0.0
E00016414,51.02639296187683,11.436950146627565,17.88856304985337,10.557184750733137,8.79765395894428,0.2932551319648094,0.0
E00016418,66.25310173697271,9.181141439205955,11.662531017369727,8.6848635235732,3.7220843672456576,0.49627791563275436,-1.4210854715202004e-14
E00016422,63.50574712643678,6.60919540229885,14.942528735632184,10.344827586206897,4.310344827586207,0.28735632183908044,0.0
E00016402,57.377049180327866,5.901639344262295,21.9672131147541,9.836065573770492,4.918032786885246,0.0,0.0
E00016407,45.275590551181104,19.685039370078737,15.748031496062993,11.811023622047244,7.086614173228346,0.3937007874015748,1.4210854715202004e-14
E00016409,59.79381443298969,9.536082474226806,14.948453608247423,12.371134020618557,3.350515463917526,0.0,0.0
E00016411,55.49597855227882,13.136729222520106,14.745308310991957,11.796246648793566,3.753351206434316,1.0723860589812333,-1.4210854715202004e-14
E00016413,55.96026490066225,12.251655629139073,15.562913907284768,10.927152317880795,5.298013245033113,0.0,0.0
E00016415,51.470588235294116,12.058823529411764,18.823529411764707,10.588235294117647,5.882352941176471,1.1764705882352942,-1.4210854715202004e-14
E00016416,65.0190114068441,7.604562737642586,12.547528517110266,9.885931558935361,4.562737642585551,0.38022813688212925,2.842170943040401e-14
E00016419,54.29362880886426,6.094182825484765,21.05263157894737,10.249307479224377,5.8171745152354575,2.4930747922437675,2.842170943040401e-14
E00016420,52.17391304347826,8.695652173913043,17.971014492753625,12.753623188405797,7.536231884057971,0.8695652173913043,1.4210854715202004e-14
E00173947,53.62776025236593,9.14826498422713,18.29652996845426,12.933753943217665,5.993690851735016,0.0,1.4210854715202004e-14
E00173948,49.86737400530504,15.384615384615385,9.018567639257295,19.628647214854112,6.10079575596817,0.0,0.0
E00016417,61.53846153846154,6.552706552706553,12.535612535612536,11.11111111111111,8.262108262108262,0.0,0.0
E00016421,49.83277591973244,7.6923076923076925,20.735785953177256,15.719063545150501,5.68561872909699,0.33444816053511706,0.0
E00016423,57.06371191135734,4.7091412742382275,21.883656509695292,11.911357340720222,4.43213296398892,0.0,0.0
E00016424,61.61290322580645,5.161290322580646,12.580645161290322,14.516129032258064,6.129032258064516,0.0,1.4210854715202004e-14
E00016427,47.45762711864407,11.016949152542372,21.1864406779661,8.474576271186441,11.440677966101696,0.423728813559322,1.4210854715202004e-14
E00016396,68.30188679245283,5.283018867924528,8.679245283018869,9.056603773584905,8.30188679245283,0.37735849056603776,-1.4210854715202004e-14
E00016426,54.95207667731629,10.223642172523961,20.766773162939298,8.626198083067093,5.431309904153355,0.0,0.0
E00016428,48.24561403508772,17.543859649122805,16.08187134502924,9.35672514619883,8.187134502923977,0.5847953216374269,0.0
E00016429,69.921875,3.125,8.203125,11.71875,6.640625,0.390625,0.0
