WD22CD_proposed,Europe: Total,Europe: United Kingdom: Total,Europe: United Kingdom: England,Europe: United Kingdom: Northern Ireland,Europe: United Kingdom: Scotland,Europe: United Kingdom: Wales,Europe: Great Britain not otherwise specified,Europe: United Kingdom not otherwise specified,Europe: Guernsey,Europe: Jersey,Europe: Channel Islands not otherwise specified,Europe: Isle of Man,Europe: Ireland,Europe: Other Europe: Total,Europe: Other Europe: EU Countries: Total,Europe: Other Europe: EU countries: Member countries in March 2001: Total,Europe: Other Europe: EU countries: Member countries in March 2001: France,Europe: Other Europe: EU countries: Member countries in March 2001: Germany,Europe: Other Europe: EU countries: Member countries in March 2001: Italy,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal,Europe: Other Europe: EU countries: Member countries in March 2001: Spain (including Canary Islands),Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Total,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Lithuania,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Romania,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries,Europe: Other Europe: Rest of Europe: Total,Europe: Other Europe: Rest of Europe: Turkey,Europe: Other Europe: Rest of Europe: Other Europe,Africa: Total,Africa: North Africa,Africa: Central and Western Africa: Total,Africa: Central and Western Africa: Ghana,Africa: Central and Western Africa: Nigeria,Africa: Central and Western Africa: Other Central and Western Africa,Africa: South and Eastern Africa: Total,Africa: South and Eastern Africa: Kenya,Africa: South and Eastern Africa: Somalia,Africa: South and Eastern Africa: South Africa,Africa: South and Eastern Africa: Zimbabwe,Africa: South and Eastern Africa: Other South and Eastern Africa,Africa: Africa not otherwise specified,Middle East and Asia: Total,Middle East and Asia: Middle East: Total,Middle East and Asia: Middle East: Iran,Middle East and Asia: Middle East: Other Middle East,Middle East and Asia: Eastern Asia: Total,Middle East and Asia: Eastern Asia: China,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),Middle East and Asia: Eastern Asia: Other Eastern Asia,Middle East and Asia: Southern Asia: Total,Middle East and Asia: Southern Asia: Bangladesh,Middle East and Asia: Southern Asia: India,Middle East and Asia: Southern Asia: Pakistan,Middle East and Asia: Southern Asia: Sri Lanka,Middle East and Asia: Southern Asia: Other Southern Asia,Middle East and Asia: South-East Asia: Total,Middle East and Asia: South-East Asia: Philippines,Middle East and Asia: South-East Asia: Other South-East Asia,Middle East and Asia: Central Asia,The Americas and the Caribbean: Total,The Americas and the Caribbean: North America: Total,The Americas and the Caribbean: North America: United States,The Americas and the Caribbean: North America: Other North America,The Americas and the Caribbean: Central America,The Americas and the Caribbean: South America,The Americas and the Caribbean: The Caribbean: Total,The Americas and the Caribbean: The Caribbean: Jamaica,The Americas and the Caribbean: The Caribbean: Other Caribbean,Antarctica and Oceania: Total,Antarctica and Oceania: Antarctica,Antarctica and Oceania: Australasia: Total,Antarctica and Oceania: Australasia: Australia,Antarctica and Oceania: Australasia: Other Australasia,Antarctica and Oceania: Other Oceania,Other
E05013714,78.47934506445846,70.94194034064176,69.70923120353815,0.3199397760421568,0.6492895454973181,0.21642984849910604,0.0,0.047049967065023054,0.0,0.018819986826009223,0.0,0.0,1.2044791568645903,6.314105580126094,4.497976851416204,2.1925284652300743,0.6022395784322951,0.18819986826009222,0.4328596969982121,0.21642984849910604,0.169379881434083,0.5834195916062859,2.3054483861861295,0.4516796838242213,0.7998494401053919,0.1599698880210784,0.8939493742354381,1.81612872870989,0.8280794203444057,0.9880493083654841,9.91813305730686,0.508139644302249,6.841065211254352,1.0539192622565163,3.8769172861578998,1.910228662839936,2.4560082807942036,0.2728898089771337,0.4234497035852075,0.20701985508610143,0.38580972993318907,1.1668391832125717,0.11291992095605533,4.629716759198269,0.5363696245412628,0.13173990778206454,0.4046297167591983,0.4893196574762398,0.3481697562811706,0.0846899407170415,0.05645996047802766,2.7477180765973466,0.12232991436905995,0.39521972334619365,0.15055989460807379,1.740848781405853,0.338759762868166,0.8280794203444057,0.169379881434083,0.6586995389103227,0.02822998023901383,6.464665474734168,0.22583984191211065,0.10350992754305072,0.12232991436905995,0.018819986826009223,0.9127693610614472,5.307236284934601,4.319186976569116,0.9880493083654841,0.508139644302249,0.0,0.508139644302249,0.10350992754305072,0.4046297167591983,0.0,0.0
E05013715,80.7578486875965,69.75038600102934,66.25707668553783,0.6047349459598559,1.7884714359238292,1.0743695316520845,0.012866700977869275,0.012866700977869275,0.006433350488934638,0.04503345342254246,0.0,0.01930005146680391,1.6469377251672672,9.289758106021615,7.141019042717447,4.419711785898095,1.0936695831188883,0.9135357694287185,0.5082346886258363,0.3281008749356665,0.4889346371590324,1.0872362326299536,2.7213072568193515,0.2058672156459084,1.0422027792074111,0.1930005146680391,1.2802367472979927,2.148739063304169,0.656201749871333,1.492537313432836,6.890118373648996,0.31523417395779724,4.059444158517756,0.6948018528049408,2.309572825527535,1.0550694801852805,2.5090066906845085,0.16083376222336593,0.19943386515697376,0.8234688625836336,0.16726711271230058,1.1580030880082346,0.006433350488934638,6.060216160576428,0.3988677303139475,0.12866700977869275,0.27020072053525473,1.685537828100875,0.9006690684508492,0.3988677303139475,0.3860010293360782,2.7727740607308284,0.23803396809058158,1.190169840452908,0.1930005146680391,0.7784354091610911,0.373134328358209,1.1580030880082346,0.14796706124549666,1.010036026762738,0.04503345342254246,4.95367987647967,1.4668039114770972,1.0164693772516726,0.4503345342254246,0.06433350488934637,1.0872362326299536,2.335306227483273,1.6791044776119404,0.656201749871333,1.3381369016984046,0.0,1.3252702007205353,0.9264024704065877,0.3988677303139475,0.012866700977869275,0.0
E05013716,76.49966841502382,63.69445951648882,60.60770482908302,0.7294869476095738,1.410743353228432,0.9404955688189546,0.006028817748839453,0.0,0.030144088744197262,0.018086453246518357,0.0,0.02411527099535781,1.8086453246518357,10.924217760897088,9.36878278169651,6.022788931090613,1.3383975402423585,1.1816482787725326,0.9947549285585097,0.5667088683909085,0.6149394103816241,1.3263399047446796,3.3459938506058964,0.2652679809489359,1.5072044372098632,0.1507204437209863,1.4228009887261108,1.5554349792005788,0.385844335925725,1.1695906432748537,8.217278591668174,0.4220172424187617,5.202869717248448,0.9103514800747573,2.851630795201061,1.4408874419726292,2.5682763610056067,0.18086453246518358,0.36172906493036716,0.6872852233676976,0.25923916320009643,1.079158377042262,0.02411527099535781,6.631699523723398,0.3557002471815277,0.06631699523723397,0.2893832519442937,2.0980285765961293,0.9043226623259178,0.37378670042804607,0.8199192138421656,2.797371435461506,0.2773256164466148,1.6157231566889734,0.27129679869777534,0.2411527099535781,0.39187315367456443,1.3504551757400374,0.13263399047446794,1.2178211852655694,0.030144088744197262,7.198408392114306,1.1756194610236932,0.8440344848375234,0.3315849761861699,0.08440344848375234,1.5674926146982577,4.370892867908603,3.327907397359378,1.0429854705492252,1.452945077470308,0.0,1.4408874419726292,0.7958039428468078,0.6450834991258214,0.012057635497678906,0.0
E05013717,77.33117972292973,67.85115238864384,66.4285270547307,0.29819220972852084,0.6895694849972045,0.4162266260793937,0.006212337702677518,0.012424675405355036,0.031061688513387586,0.018637013108032553,0.006212337702677518,0.018637013108032553,1.379138969994409,8.026340311859352,6.324159781325712,2.6775175498540102,0.44107597689010375,0.5094116916195565,0.7454805243213021,0.2857675343231658,0.18637013108032552,0.5094116916195565,3.6466422314717026,0.6025967571597192,1.0436727340498229,0.2174318195937131,1.7829409206684474,1.7021805305336397,0.4472883145927813,1.2548922159408586,7.2063117351059205,0.2795551966204883,4.826986394980431,0.7827545505373672,3.037833136609306,1.0063987078337577,2.0749207926942907,0.19258246878300303,0.18637013108032552,0.31061688513387586,0.34167857364726345,1.0436727340498229,0.02484935081071007,6.9205442007827545,0.4162266260793937,0.09939740324284028,0.3168292228365534,0.720631173510592,0.3913772752686836,0.16773311797229298,0.16152078026961544,5.0444182145741445,0.3044045474311984,0.7019941604025595,0.4597129899981363,3.0875318382307264,0.4907746785115239,0.7392681866186246,0.11182207864819532,0.6274461079704293,0.0,8.256196806858421,0.360315586755296,0.2484935081071007,0.11182207864819532,0.012424675405355036,1.174131825806051,6.709324718891719,5.081692240790209,1.6276324781015097,0.2857675343231658,0.0,0.2795551966204883,0.22364415729639064,0.05591103932409766,0.006212337702677518,0.0
E05013718,80.87299993305216,69.92033206132423,67.19555466291759,0.48871928767490125,1.4059048001606749,0.7966793867577158,0.01338956952533976,0.02008435428800964,0.02008435428800964,0.01338956952533976,0.0,0.0,1.8276762402088773,9.091517707705698,7.80611903327308,3.755774251857803,0.729731539131017,0.7899846019950458,0.9238802972484434,0.24770703621878556,0.28118096003213494,0.783289817232376,4.050344781415277,0.21423311240543616,1.954877150699605,0.34812880765883375,1.5331057106514026,1.285398674432617,0.35482359242150363,0.9305750820111134,6.279708107384348,0.28118096003213494,3.92314387092455,0.9305750820111134,2.001740644038294,0.9908281448751423,2.055298922139653,0.2677913905067952,0.14728526477873735,0.5958358438776193,0.2544018209814555,0.7899846019950458,0.02008435428800964,4.773381535783624,0.38160273147218315,0.1338956952533976,0.24770703621878556,0.9908281448751423,0.3280444533708241,0.2544018209814555,0.4083818705228627,2.3766485907478074,0.167369619066747,0.9037959429604339,0.45524536386155184,0.669478476266988,0.18075918859208676,0.9975229296378122,0.17406440382941687,0.8234585258083953,0.02677913905067952,6.909017875075317,0.8904063734350941,0.6962576153176675,0.19414875811742652,0.02677913905067952,1.1983664725179086,4.7934658900716345,3.6017942023163956,1.1916716877552387,1.1648925487045592,0.0,1.1448081944165496,0.6025306286402892,0.5422775657762603,0.02008435428800964,0.0
E05013719,65.68553112290618,54.47714896256979,52.45743434204177,0.48252567725925416,0.9030123388708899,0.5583511408285655,0.020679671882539465,0.0551457916867719,0.006893223960846488,0.006893223960846488,0.0,0.0,1.1029158337354381,10.091679878679258,8.22361618528986,4.6598193975322255,1.1649548493830564,0.7031088440063418,0.8202936513407321,0.5721375887502584,0.4067002136899428,0.9926242503618943,3.563796787757634,0.5445646929068726,1.2821396567174468,0.31708830219893847,1.4200041359343765,1.8680636933893981,0.3239815261597849,1.5440821672296132,15.302957193079203,0.48252567725925416,11.373819535396706,1.4889363755428413,6.865651065003102,3.0192320948507616,3.350106844971393,0.36534086992486386,1.075342937892052,0.34466119804232437,0.25504928655132003,1.3097125525608326,0.09650513545185083,11.5806162542221,0.7858275315364996,0.19301027090370165,0.5928172606327979,3.4121458606190114,2.405735162335424,0.5583511408285655,0.44805955745502174,3.1295236782243054,0.5721375887502584,0.6410698283587234,0.35844764596401735,0.861652995105811,0.6962156200454953,4.149720824429585,0.2343696146687806,3.915351209760805,0.10339835941269732,6.962156200454952,0.6824291721238023,0.5032053491417936,0.17922382298200867,0.08961191149100434,1.8404907975460123,4.349624319294134,3.3638932928930863,0.9857310264010478,0.4687392293375612,0.0,0.4549527814158682,0.25504928655132003,0.19990349486454814,0.013786447921692976,0.0
E05013720,82.94449391510834,75.83259127337489,74.57999406352033,0.23745918670228555,0.6945681211041852,0.2968239833778569,0.011872959335114277,0.011872959335114277,0.0,0.029682398337785694,0.005936479667557139,0.005936479667557139,1.2229148115167705,5.847432472543781,4.499851588008311,1.579103591570199,0.39180765805877116,0.3383793410507569,0.25526862570495695,0.1662214306915999,0.1662214306915999,0.2612051053725141,2.920747996438112,0.46898189373701393,0.9379637874740279,0.2612051053725141,1.2525972098545561,1.3475808845354704,0.558029088750371,0.7895517957850995,7.420599584446423,0.43929949539922825,4.945087563075097,0.8667260314633423,3.0572870287919263,1.0210745028198278,2.018403086969427,0.1662214306915999,0.1662214306915999,0.3383793410507569,0.43336301573167113,0.9142178688037993,0.017809439002671415,4.677945978035026,0.3561887800534283,0.11872959335114278,0.23745918670228555,0.3561887800534283,0.23745918670228555,0.04155535767289997,0.0771742356782428,3.282873256159098,0.3502523003858712,0.5936479667557139,0.13653903235381418,2.0243395666369843,0.17809439002671415,0.6648857227663996,0.25526862570495695,0.40961709706144256,0.017809439002671415,4.761056693380826,0.28495102404274264,0.2493321460373998,0.03561887800534283,0.0,0.7658058771148709,3.7102997922232115,2.9029385574354407,0.8073612347877709,0.19590382902938558,0.0,0.1840308696942713,0.14841199168892846,0.03561887800534283,0.011872959335114277,0.0
E05013721,66.63002656407438,53.40294952825868,51.1862233214253,0.4396812311074471,1.1908033342493358,0.5587615645323807,0.009160025648071815,0.01832005129614363,0.0,0.027480076944215445,0.0,0.0,1.3007236420261976,11.898873316845288,9.453146468810113,4.992213978199139,1.2091233855454795,0.6228817440688834,1.126683154712833,0.6228817440688834,0.47632133369973434,0.9343226161033251,4.460932490610974,0.6137217184208116,1.9510854630392964,0.3297609233305853,1.5663643858202803,2.4457268480351746,0.4580012824035907,1.9877255656315838,15.910964550700742,0.6778418979573143,10.55234954657873,1.932765411743153,5.193734542456719,3.4258495923788588,4.616652926628195,0.2931208207382981,1.2457634881377668,0.9618026930475405,0.5954016671246679,1.5205642575799212,0.0641201795365027,10.689749931299808,0.7419620774938169,0.20152056425757991,0.540441513236237,2.9678483099752677,1.7129247961894294,0.7144820005496015,0.540441513236237,2.8945681047906935,0.33892094897865715,0.9984427956398277,0.17404048731336447,0.7969222313822478,0.5862416414765962,3.947971054318952,0.26564074379408265,3.6823303105248693,0.1374003847210772,5.926536594302464,0.6870019236053861,0.5679215901804525,0.11908033342493358,0.08244023083264633,2.161766052944948,2.9953283869194833,2.418246771090959,0.5770816158285244,0.842722359622607,0.0,0.8060822570303197,0.5954016671246679,0.21068058990565175,0.03664010259228726,0.0
E05013722,80.40931735559445,68.85014137606032,66.06974552309143,0.42412818096135724,1.420492796553117,0.9088461020600511,0.020196580045778914,0.006732193348592971,0.0,0.013464386697185943,0.0,0.013464386697185943,1.656119563753871,9.876127642385889,8.3344553655581,3.9316009155782954,0.7472734616938198,0.7607378483910058,0.8953817153628653,0.3231452807324626,0.25582334724653294,0.949239262151609,4.402854449979803,0.3568062474754275,1.662851757102464,0.26255554059512587,2.1206409048067862,1.5416722768277904,0.3635384408240205,1.17813383600377,8.240204658677797,0.41739598761276425,4.557694896997441,1.0838831291234685,2.1744984515955297,1.2993133162784436,3.1977918405816617,0.27601992729231184,0.3837350208697994,0.7674700417395988,0.5789686279789955,1.191598222700956,0.06732193348592971,5.103002558233473,0.5655042412818096,0.24909115389793995,0.31641308738386964,1.17813383600377,0.4039316009155783,0.3096808940352767,0.46452134105291504,1.9859970378349265,0.1413760603204524,0.5655042412818096,0.31641308738386964,0.7540056550424128,0.20869799380638213,1.2993133162784436,0.22889457385216103,1.0704187424262825,0.07405412683452268,5.365558098828599,1.0232933889861318,0.733809074996634,0.28948431398949775,0.07405412683452268,1.0906153224720614,3.1775952605358824,2.322606705264575,0.8549885552713073,0.8819173286656793,0.0,0.8684529419684933,0.6260939814191464,0.24235896054934697,0.013464386697185943,0.0
E05013723,82.53904685622747,73.08103057001735,71.0519289814444,0.3337338139100254,1.1013215859030836,0.5806968362034441,0.0,0.013349352556401014,0.0,0.020024028834601523,0.0,0.0,1.3349352556401015,8.103057001735415,6.514484047523695,2.3695100787611802,0.5806968362034441,0.4538779869176345,0.3404084901882259,0.2803364036844213,0.21358964090241622,0.500600720865038,4.144973968762515,0.961153384060873,1.2414897877452944,0.2870110799626218,1.6553197169937257,1.5885729542117206,0.5940461887598452,0.9945267654518756,7.208650380456548,0.4138299292484314,4.578827926845548,0.9277800026698705,2.696569216393005,0.9544787077826725,2.175944466693365,0.2736617274062208,0.06674676278200507,0.44720331063943397,0.5806968362034441,0.8076358296622613,0.040048057669203045,5.65345080763583,0.4672273394740355,0.23361366973701775,0.23361366973701775,0.6073955413162462,0.31370978507542385,0.11346949672940862,0.1802162595114137,3.7311440395140836,0.24696302229341877,1.2481644640234948,0.21358964090241622,1.6753437458283273,0.3470831664664264,0.8343345347750634,0.14016820184221065,0.6941663329328528,0.013349352556401014,4.138299292484315,0.44052863436123346,0.31370978507542385,0.12681884928580964,0.040048057669203045,0.8743825924442664,2.7833400080096116,2.202643171806167,0.5806968362034441,0.460552663195835,0.0,0.42050460552663194,0.22026431718061673,0.2002402883460152,0.040048057669203045,0.0
