WD22CD_proposed,Jobseekers Allowance
E05013714,31.0
E05013715,42.0
E05013716,28.0
E05013717,38.0
E05013718,23.0
E05013719,28.0
E05013720,39.0
E05013721,71.0
E05013722,33.0
E05013723,10.0
E05013724,56.0
E05013725,34.0
E05013726,17.0
E05013727,19.0
E05013728,11.0
E05013729,40.0
E05013730,23.0
E05013731,20.0
E05013732,22.0
