OA11CD,Quarter,Jobseekers Allowance
E00016568,May-21,0.0
E00016572,May-21,0.0
E00016575,May-21,0.0
E00016557,May-21,0.0
E00016559,May-21,0.0
E00016560,May-21,0.0
E00016562,May-21,0.0
E00016563,May-21,0.0
E00016565,May-21,0.0
E00016544,May-21,0.0
E00016574,May-21,8.0
E00016576,May-21,0.0
E00016577,May-21,0.0
E00016578,May-21,0.0
E00016635,May-21,0.0
E00016640,May-21,0.0
E00016641,May-21,0.0
E00016642,May-21,0.0
E00016643,May-21,0.0
E00016630,May-21,0.0
E00016647,May-21,0.0
E00016648,May-21,0.0
E00016649,May-21,0.0
E00016651,May-21,0.0
E00016629,May-21,0.0
E00016650,May-21,0.0
E00016652,May-21,0.0
E00016654,May-21,5.0
E00016657,May-21,6.0
E00016633,May-21,0.0
E00016636,May-21,0.0
E00016638,May-21,7.0
E00016639,May-21,7.0
E00016674,May-21,0.0
E00174018,May-21,0.0
E00174019,May-21,0.0
E00174021,May-21,0.0
E00016628,May-21,0.0
E00016637,May-21,5.0
E00174024,May-21,5.0
E00174029,May-21,0.0
E00174030,May-21,0.0
E00016644,May-21,0.0
E00016645,May-21,0.0
E00016646,May-21,0.0
E00016584,May-21,0.0
E00016596,May-21,0.0
E00016598,May-21,0.0
E00016623,May-21,0.0
E00174036,May-21,0.0
E00174038,May-21,0.0
E00016585,May-21,0.0
E00016593,May-21,0.0
E00016600,May-21,0.0
E00016602,May-21,0.0
E00016624,May-21,0.0
E00016625,May-21,0.0
E00016587,May-21,5.0
E00016594,May-21,0.0
E00016605,May-21,0.0
E00016608,May-21,0.0
E00016626,May-21,0.0
E00016589,May-21,0.0
E00016595,May-21,0.0
E00016597,May-21,6.0
E00016599,May-21,0.0
E00016601,May-21,0.0
E00016607,May-21,0.0
E00016573,May-21,0.0
E00016579,May-21,0.0
E00016580,May-21,0.0
E00016581,May-21,0.0
E00016582,May-21,0.0
E00016546,May-21,0.0
E00016547,May-21,0.0
E00016548,May-21,0.0
E00016550,May-21,0.0
E00016583,May-21,0.0
E00016542,May-21,0.0
E00016552,May-21,0.0
E00016554,May-21,0.0
E00016555,May-21,0.0
E00016556,May-21,0.0
E00016543,May-21,0.0
E00016545,May-21,0.0
E00016549,May-21,0.0
E00016551,May-21,5.0
E00016553,May-21,0.0
E00016335,May-21,0.0
E00016336,May-21,0.0
E00016339,May-21,0.0
E00016340,May-21,0.0
E00016341,May-21,0.0
E00016309,May-21,0.0
E00016323,May-21,0.0
E00016324,May-21,0.0
E00016325,May-21,0.0
E00016327,May-21,0.0
E00016326,May-21,0.0
E00016329,May-21,0.0
E00016332,May-21,0.0
E00016333,May-21,0.0
E00016337,May-21,0.0
E00016311,May-21,0.0
E00016328,May-21,0.0
E00016330,May-21,0.0
E00016331,May-21,5.0
E00016334,May-21,0.0
E00016613,May-21,0.0
E00016614,May-21,6.0
E00016615,May-21,0.0
E00016618,May-21,0.0
E00016621,May-21,0.0
E00016609,May-21,0.0
E00016617,May-21,0.0
E00016619,May-21,0.0
E00016620,May-21,0.0
E00016622,May-21,0.0
E00016588,May-21,0.0
E00016592,May-21,0.0
E00016604,May-21,0.0
E00016611,May-21,0.0
E00016612,May-21,0.0
E00016616,May-21,0.0
E00016590,May-21,0.0
E00016591,May-21,0.0
E00016603,May-21,0.0
E00016606,May-21,0.0
E00016610,May-21,0.0
E00016653,May-21,0.0
E00016655,May-21,5.0
E00016656,May-21,0.0
E00016662,May-21,0.0
E00016664,May-21,0.0
E00016631,May-21,0.0
E00016658,May-21,0.0
E00016659,May-21,0.0
E00016660,May-21,0.0
E00016663,May-21,0.0
E00016632,May-21,0.0
E00016666,May-21,0.0
E00016667,May-21,7.0
E00016669,May-21,0.0
E00016673,May-21,6.0
E00016668,May-21,0.0
E00016670,May-21,0.0
E00016671,May-21,0.0
E00016672,May-21,0.0
E00173708,May-21,0.0
E00173710,May-21,0.0
E00016661,May-21,0.0
E00173936,May-21,7.0
E00173937,May-21,0.0
E00173938,May-21,0.0
E00174035,May-21,0.0
E00016796,May-21,0.0
E00016799,May-21,0.0
E00016804,May-21,0.0
E00016805,May-21,0.0
E00016806,May-21,0.0
E00016781,May-21,0.0
E00016793,May-21,0.0
E00016794,May-21,0.0
E00016801,May-21,0.0
E00016803,May-21,0.0
E00016808,May-21,0.0
E00016813,May-21,0.0
E00016814,May-21,0.0
E00016815,May-21,0.0
E00016818,May-21,0.0
E00016819,May-21,5.0
E00016778,May-21,0.0
E00016788,May-21,0.0
E00016791,May-21,0.0
E00016800,May-21,0.0
E00016820,May-21,0.0
E00016823,May-21,0.0
E00016300,May-21,0.0
E00016310,May-21,0.0
E00016312,May-21,0.0
E00016343,May-21,5.0
E00016344,May-21,0.0
E00016301,May-21,0.0
E00016302,May-21,0.0
E00016316,May-21,0.0
E00016338,May-21,7.0
E00016342,May-21,0.0
E00016303,May-21,0.0
E00016304,May-21,0.0
E00016313,May-21,0.0
E00016318,May-21,0.0
E00016345,May-21,0.0
E00016307,May-21,0.0
E00016314,May-21,0.0
E00016319,May-21,0.0
E00016321,May-21,0.0
E00016322,May-21,0.0
E00016305,May-21,0.0
E00016306,May-21,0.0
E00016308,May-21,0.0
E00016315,May-21,6.0
E00016317,May-21,0.0
E00016320,May-21,0.0
E00016779,May-21,0.0
E00016789,May-21,0.0
E00016797,May-21,0.0
E00016798,May-21,6.0
E00016821,May-21,0.0
E00016780,May-21,0.0
E00016782,May-21,0.0
E00016790,May-21,0.0
E00016792,May-21,0.0
E00016795,May-21,0.0
E00016783,May-21,0.0
E00016802,May-21,0.0
