OA11CD,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
E00016115,3.6809815950920246,6.134969325153374,8.282208588957054,6.441717791411043,6.748466257668712,4.9079754601226995,4.294478527607362,5.521472392638037,6.441717791411043,6.134969325153374,8.895705521472392,7.975460122699387,7.975460122699387,4.601226993865031,6.134969325153374,3.067484662576687,1.2269938650306749,1.5337423312883436
E00016136,5.732484076433121,6.369426751592357,11.464968152866241,6.369426751592357,5.414012738853503,3.5031847133757963,3.821656050955414,9.872611464968152,8.598726114649681,6.369426751592357,8.9171974522293,6.687898089171974,4.45859872611465,4.45859872611465,3.5031847133757963,0.9554140127388535,1.2738853503184713,2.229299363057325
E00016137,7.425742574257426,12.128712871287128,10.396039603960396,6.930693069306931,6.683168316831683,4.207920792079208,5.693069306930693,5.9405940594059405,7.673267326732673,6.435643564356436,7.425742574257426,6.188118811881188,4.702970297029703,2.4752475247524752,1.2376237623762376,2.722772277227723,0.7425742574257426,0.9900990099009901
E00016138,8.474576271186441,8.474576271186441,8.474576271186441,8.135593220338983,5.423728813559322,3.389830508474576,9.152542372881356,6.779661016949152,8.135593220338983,6.440677966101695,7.11864406779661,8.135593220338983,3.0508474576271185,3.0508474576271185,2.711864406779661,1.0169491525423728,0.6779661016949152,1.3559322033898304
E00016139,6.818181818181818,11.363636363636363,9.375,7.954545454545454,5.3977272727272725,4.829545454545454,5.681818181818182,6.534090909090909,8.522727272727273,4.829545454545454,9.659090909090908,5.3977272727272725,5.681818181818182,2.840909090909091,3.125,0.8522727272727273,1.1363636363636365,0.0
E00016116,7.712082262210797,6.683804627249358,9.768637532133676,6.426735218508997,2.056555269922879,4.370179948586118,6.940874035989717,9.768637532133676,13.881748071979434,10.539845758354756,8.483290488431876,4.627249357326479,1.7994858611825193,1.5424164524421593,2.056555269922879,1.2853470437017995,1.7994858611825193,0.2570694087403599
E00016129,9.192200557103064,8.635097493036211,10.30640668523677,5.571030640668524,4.178272980501393,5.2924791086350975,13.927576601671309,9.749303621169917,11.142061281337048,8.07799442896936,2.5069637883008355,5.2924791086350975,1.9498607242339834,1.1142061281337048,1.392757660167131,1.392757660167131,0.2785515320334262,0.0
E00016142,8.379888268156424,11.1731843575419,8.519553072625698,5.446927374301676,4.329608938547486,6.843575418994414,12.849162011173185,7.5418994413407825,8.100558659217876,5.865921787709497,5.58659217877095,5.307262569832402,3.0726256983240225,0.6983240223463687,1.9553072625698324,2.653631284916201,0.8379888268156425,0.8379888268156425
E00016144,12.427745664739884,11.560693641618498,8.38150289017341,3.7572254335260116,4.335260115606936,6.358381502890174,10.404624277456648,6.069364161849711,8.092485549132949,6.069364161849711,5.780346820809249,5.202312138728324,5.202312138728324,3.468208092485549,1.4450867052023122,1.1560693641618498,0.28901734104046245,0.0
E00016145,7.604562737642586,9.125475285171103,11.02661596958175,5.7034220532319395,3.802281368821293,6.083650190114068,8.745247148288973,5.7034220532319395,6.844106463878327,9.885931558935361,8.745247148288973,7.984790874524715,3.802281368821293,2.2813688212927756,0.7604562737642585,1.1406844106463878,0.38022813688212925,0.38022813688212925
