OA11CD,0-18,19-65,66+
E00016115,20.73170731707317,64.63414634146342,14.634146341463415
E00016136,26.875,63.75,9.375
E00016137,40.932642487046635,53.8860103626943,5.181347150259067
E00016138,38.80597014925373,55.97014925373134,5.223880597014926
E00016139,40.0,52.972972972972975,7.027027027027027
E00016116,26.775956284153004,66.66666666666667,6.557377049180328
E00016129,39.75903614457831,58.433734939759034,1.8072289156626506
E00016142,38.92215568862275,55.68862275449102,5.389221556886228
E00016144,46.32768361581921,46.32768361581921,7.344632768361582
E00016145,41.53846153846154,53.84615384615385,4.615384615384615
E00016150,38.41463414634146,56.707317073170735,4.878048780487805
E00016117,34.306569343065696,51.09489051094891,14.598540145985401
E00016132,27.160493827160494,63.58024691358025,9.25925925925926
E00016143,22.285714285714285,65.14285714285714,12.571428571428571
E00016147,25.503355704697988,63.08724832214765,11.409395973154362
E00016153,24.444444444444443,55.55555555555556,20.0
E00016141,27.464788732394368,63.38028169014085,9.154929577464788
E00016146,26.54320987654321,68.51851851851852,4.938271604938271
E00016148,34.78260869565217,55.79710144927536,9.420289855072463
E00016149,29.078014184397162,60.99290780141844,9.929078014184396
E00016151,33.333333333333336,62.121212121212125,4.545454545454546
E00016152,22.950819672131146,63.114754098360656,13.934426229508198
E00016126,27.10843373493976,56.024096385542165,16.867469879518072
E00016127,22.966507177033492,62.67942583732057,14.354066985645932
E00016131,36.094674556213015,57.98816568047337,5.9171597633136095
E00016134,21.25984251968504,59.05511811023622,19.68503937007874
E00016140,29.166666666666668,65.47619047619048,5.357142857142857
E00016118,19.45945945945946,66.48648648648648,14.054054054054054
E00016154,32.86713286713287,48.95104895104895,18.181818181818183
E00016155,25.0,70.37037037037037,4.62962962962963
E00016156,29.87012987012987,56.493506493506494,13.636363636363637
E00016157,37.93103448275862,55.172413793103445,6.896551724137931
E00016112,34.68208092485549,54.91329479768786,10.404624277456648
E00016119,26.486486486486488,61.08108108108108,12.432432432432432
E00016121,17.692307692307693,73.84615384615384,8.461538461538462
E00016123,27.950310559006212,61.49068322981366,10.559006211180124
E00016158,31.125827814569536,62.25165562913907,6.622516556291391
E00016113,25.49019607843137,62.254901960784316,12.254901960784315
E00016120,35.67251461988304,60.23391812865497,4.093567251461988
E00016122,36.94581280788177,57.635467980295566,5.41871921182266
E00016124,44.51219512195122,50.0,5.487804878048781
E00016125,34.73053892215569,55.68862275449102,9.580838323353293
E00016114,22.602739726027398,67.8082191780822,9.58904109589041
E00016128,34.93975903614458,57.2289156626506,7.831325301204819
E00016130,26.55367231638418,65.53672316384181,7.909604519774011
E00016133,35.88235294117647,59.411764705882355,4.705882352941177
E00016135,28.481012658227847,62.0253164556962,9.49367088607595
E00016178,26.363636363636363,62.72727272727273,10.909090909090908
E00016179,20.27027027027027,71.62162162162163,8.108108108108109
E00016180,18.796992481203006,66.16541353383458,15.037593984962406
E00016187,26.056338028169016,64.78873239436619,9.154929577464788
E00016189,24.63768115942029,60.14492753623188,15.217391304347826
E00016159,20.73170731707317,64.63414634146342,14.634146341463415
E00016173,21.05263157894737,66.9172932330827,12.030075187969924
E00016176,24.18300653594771,70.58823529411765,5.228758169934641
E00016184,11.764705882352942,77.3109243697479,10.92436974789916
E00016186,11.372549019607844,82.74509803921569,5.882352941176471
E00016188,21.678321678321677,64.33566433566433,13.986013986013987
E00016166,11.494252873563218,77.01149425287356,11.494252873563218
E00016167,23.66412213740458,57.25190839694657,19.083969465648856
E00016171,9.289617486338798,86.33879781420765,4.371584699453552
E00016174,28.658536585365855,64.63414634146342,6.7073170731707314
E00016204,15.131578947368421,73.02631578947368,11.842105263157896
E00016206,15.384615384615385,79.88165680473372,4.733727810650888
E00016164,29.487179487179485,62.17948717948718,8.333333333333334
E00016170,23.70689655172414,68.96551724137932,7.327586206896552
E00016175,19.718309859154928,71.83098591549296,8.450704225352112
E00016181,21.05263157894737,71.05263157894737,7.894736842105263
E00016182,23.529411764705884,68.23529411764706,8.235294117647058
E00016160,20.30075187969925,56.390977443609025,23.30827067669173
E00016183,14.15929203539823,71.68141592920354,14.15929203539823
E00016185,17.821782178217823,63.366336633663366,18.81188118811881
E00016191,19.565217391304348,57.971014492753625,22.463768115942027
E00016195,21.13821138211382,65.04065040650407,13.821138211382113
E00016197,15.789473684210526,78.94736842105263,5.2631578947368425
E00016161,13.450292397660819,77.19298245614036,9.35672514619883
E00016190,11.11111111111111,67.28395061728395,21.604938271604937
E00016192,15.422885572139304,80.09950248756219,4.477611940298507
E00016193,9.554140127388536,83.43949044585987,7.006369426751593
E00016194,14.285714285714286,79.67032967032966,6.043956043956044
E00016196,25.570776255707763,69.40639269406392,5.0228310502283104
E00016162,23.96694214876033,69.42148760330579,6.6115702479338845
E00016198,30.8,62.8,6.4
E00016202,17.010309278350515,79.38144329896907,3.6082474226804124
E00016205,12.698412698412698,73.80952380952381,13.492063492063492
E00016208,20.14388489208633,68.34532374100719,11.510791366906474
E00016199,34.31372549019608,55.88235294117647,9.803921568627452
E00016200,52.317880794701985,42.384105960264904,5.298013245033113
E00016201,25.870646766169155,62.6865671641791,11.442786069651742
E00016203,15.0,57.5,27.5
E00016207,44.44444444444444,46.96969696969697,8.585858585858587
E00016163,22.89156626506024,69.27710843373494,7.831325301204819
E00016165,17.088607594936708,71.51898734177215,11.39240506329114
E00016168,7.954545454545454,78.4090909090909,13.636363636363637
E00016169,20.27027027027027,64.1891891891892,15.54054054054054
E00016172,20.13422818791946,75.83892617449665,4.026845637583893
E00016177,26.666666666666668,63.7037037037037,9.62962962962963
