Code,Name,Geography,Total,0-18,19-65,66+
K02000001,United Kingdom,Country,33935525,7259608,20242915,6433002
K03000001,Great Britain,Country,32974170,7033906,19671489,6268775
K04000001,England and Wales,Country,30173382,6506861,17945323,5721198
E92000001,England,Country,28567320,6183618,17003911,5379791
E12000007,London,Region,4488110,1042148,2876483,569479
E09000023,Lewisham,London Borough,153836,34549,103986,15301
