OA11CD,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
E00016115,3.0864197530864197,4.938271604938271,9.876543209876543,9.25925925925926,4.938271604938271,4.320987654320987,3.7037037037037037,6.172839506172839,8.024691358024691,4.938271604938271,8.024691358024691,8.024691358024691,8.024691358024691,4.320987654320987,6.172839506172839,1.8518518518518519,1.2345679012345678,3.0864197530864197
E00016136,6.4935064935064934,5.8441558441558445,13.636363636363637,5.194805194805195,3.2467532467532467,3.896103896103896,3.896103896103896,11.03896103896104,5.194805194805195,3.896103896103896,12.337662337662337,7.142857142857143,3.2467532467532467,5.8441558441558445,5.194805194805195,0.0,0.0,3.896103896103896
E00016137,6.6350710900473935,14.691943127962086,6.161137440758294,5.213270142180095,5.213270142180095,5.213270142180095,7.109004739336493,7.5829383886255926,8.530805687203792,6.161137440758294,6.6350710900473935,5.687203791469194,4.265402843601896,3.7914691943127963,1.4218009478672986,2.843601895734597,0.9478672985781991,1.8957345971563981
E00016138,8.074534161490684,4.968944099378882,8.074534161490684,5.590062111801243,6.211180124223603,2.484472049689441,11.801242236024844,6.832298136645963,6.211180124223603,7.453416149068323,6.832298136645963,10.559006211180124,3.1055900621118013,3.1055900621118013,3.1055900621118013,1.8633540372670807,1.2422360248447204,2.484472049689441
E00016139,5.9880239520958085,10.778443113772456,5.9880239520958085,5.9880239520958085,5.9880239520958085,7.18562874251497,7.18562874251497,5.389221556886228,9.580838323353293,4.790419161676646,10.778443113772456,5.9880239520958085,7.18562874251497,1.7964071856287425,2.9940119760479043,1.1976047904191616,1.1976047904191616,0.0
E00016116,11.650485436893204,5.825242718446602,9.70873786407767,5.825242718446602,2.4271844660194173,6.310679611650485,7.766990291262136,5.825242718446602,10.194174757281553,11.650485436893204,10.194174757281553,3.883495145631068,1.941747572815534,1.941747572815534,2.4271844660194173,0.970873786407767,0.970873786407767,0.4854368932038835
E00016129,9.32642487046632,5.181347150259067,8.290155440414507,5.699481865284974,6.217616580310881,7.253886010362694,16.580310880829014,5.699481865284974,9.32642487046632,9.844559585492227,2.0725388601036268,6.217616580310881,2.5906735751295336,1.5544041450777202,1.5544041450777202,2.0725388601036268,0.5181347150259067,0.0
E00016142,9.162303664921465,7.853403141361256,6.282722513089006,3.926701570680628,5.7591623036649215,8.115183246073299,17.015706806282722,6.282722513089006,8.115183246073299,5.7591623036649215,5.49738219895288,4.973821989528796,3.141361256544503,1.0471204188481675,1.0471204188481675,3.6649214659685865,0.7853403141361257,1.5706806282722514
E00016144,10.059171597633137,5.9171597633136095,4.1420118343195265,4.733727810650888,5.325443786982248,7.6923076923076925,13.017751479289942,6.508875739644971,8.284023668639053,7.100591715976331,6.508875739644971,6.508875739644971,8.875739644970414,3.5502958579881656,0.591715976331361,0.591715976331361,0.591715976331361,0.0
E00016145,7.518796992481203,7.518796992481203,6.015037593984962,3.7593984962406015,6.015037593984962,6.7669172932330826,9.774436090225564,7.518796992481203,6.015037593984962,12.781954887218046,8.270676691729323,8.270676691729323,4.511278195488722,2.255639097744361,0.7518796992481203,1.5037593984962405,0.7518796992481203,0.0
E00016150,13.259668508287293,8.839779005524862,8.839779005524862,5.524861878453039,6.629834254143646,6.629834254143646,7.18232044198895,8.839779005524862,4.419889502762431,10.497237569060774,6.629834254143646,5.524861878453039,3.867403314917127,1.6574585635359116,1.1049723756906078,0.5524861878453039,0.0,0.0
E00016117,9.195402298850574,12.64367816091954,6.896551724137931,2.8735632183908044,2.2988505747126435,6.32183908045977,12.64367816091954,9.770114942528735,9.770114942528735,5.747126436781609,4.022988505747127,6.32183908045977,2.8735632183908044,1.7241379310344827,1.7241379310344827,0.5747126436781609,2.2988505747126435,2.2988505747126435
E00016132,10.493827160493828,16.666666666666668,4.320987654320987,2.4691358024691357,1.8518518518518519,6.172839506172839,15.432098765432098,8.641975308641975,7.407407407407407,7.407407407407407,4.320987654320987,7.407407407407407,1.8518518518518519,1.2345679012345678,1.8518518518518519,1.2345679012345678,0.0,1.2345679012345678
E00016143,3.7914691943127963,11.848341232227488,5.213270142180095,5.213270142180095,8.056872037914692,7.5829383886255926,8.530805687203792,7.5829383886255926,6.161137440758294,5.213270142180095,7.5829383886255926,8.530805687203792,6.161137440758294,1.8957345971563981,3.3175355450236967,0.9478672985781991,0.0,2.3696682464454977
E00016147,7.514450867052023,12.716763005780347,2.8901734104046244,1.1560693641618498,4.624277456647399,10.404624277456648,7.514450867052023,6.936416184971098,6.936416184971098,6.936416184971098,5.202312138728324,10.982658959537572,6.936416184971098,2.3121387283236996,0.5780346820809249,3.468208092485549,0.0,2.8901734104046244
E00016153,3.870967741935484,11.612903225806452,5.161290322580645,3.870967741935484,3.870967741935484,5.161290322580645,9.03225806451613,9.03225806451613,3.225806451612903,5.806451612903226,7.741935483870968,10.32258064516129,12.258064516129032,5.161290322580645,1.2903225806451613,0.6451612903225806,0.0,1.935483870967742
E00016141,8.843537414965986,6.802721088435374,8.843537414965986,4.081632653061225,6.122448979591836,8.843537414965986,7.482993197278912,7.482993197278912,6.122448979591836,6.802721088435374,2.0408163265306123,5.442176870748299,4.761904761904762,4.081632653061225,3.401360544217687,2.0408163265306123,4.761904761904762,2.0408163265306123
E00016146,9.392265193370166,6.629834254143646,6.629834254143646,6.077348066298343,4.419889502762431,10.497237569060774,4.972375690607735,9.94475138121547,13.812154696132596,7.18232044198895,4.972375690607735,2.2099447513812156,2.2099447513812156,1.6574585635359116,3.867403314917127,1.1049723756906078,2.7624309392265194,1.6574585635359116
E00016148,6.832298136645963,4.968944099378882,8.074534161490684,4.3478260869565215,4.3478260869565215,9.937888198757763,7.453416149068323,4.968944099378882,10.559006211180124,6.211180124223603,6.832298136645963,4.3478260869565215,4.3478260869565215,4.968944099378882,5.590062111801243,1.8633540372670807,1.8633540372670807,2.484472049689441
