OA11CD,Total,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
E00016150,164,1,3,4,2,3,6,3,5,5,3,1,3,10,5,1,2,2,2,2,3,1,2,0,1,0,0,0,3,3,1,0,1,1,3,4,2,3,2,1,3,1,2,1,4,1,5,2,3,3,2,3,4,2,1,1,3,1,2,6,4,0,3,2,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,1
E00016117,137,4,6,3,6,0,4,2,3,2,3,1,1,2,1,2,0,0,3,4,1,0,0,2,1,0,2,2,0,0,1,0,2,1,4,4,1,5,2,2,4,2,0,5,0,2,0,2,3,2,1,2,3,0,0,0,2,2,0,0,3,0,2,1,2,2,0,0,1,0,1,1,0,2,1,1,3,0,3,0,2,2,1,1,1,0,0,0,0,0,0,0
E00016132,162,2,2,5,4,2,3,0,3,1,4,1,2,2,1,3,1,3,3,2,2,2,1,1,4,0,3,1,2,1,0,1,3,2,1,2,7,3,2,6,4,2,3,1,1,2,1,2,3,2,5,0,1,3,2,3,2,4,3,2,3,3,3,2,1,0,1,2,0,0,1,2,2,2,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,1
E00016143,175,0,0,3,2,1,1,1,3,3,5,1,2,3,0,4,3,1,1,5,0,2,2,2,4,2,0,4,6,2,5,2,5,2,3,1,3,2,4,2,1,6,1,2,3,2,5,1,3,0,4,4,1,2,4,1,4,3,2,2,2,2,0,1,1,2,2,0,1,1,0,2,1,3,0,1,2,0,6,2,0,2,0,0,0,0,1,0,0,0,0,0
E00016147,149,1,1,5,1,2,2,2,1,7,1,4,2,3,2,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,2,3,3,2,1,1,3,6,4,4,3,3,1,2,2,2,1,4,1,3,5,2,3,2,0,2,6,4,2,4,4,0,1,0,1,1,0,1,3,2,0,2,1,0,2,0,0,0,0,0,0,0,1,1,1,1,0,2,0,0,0,0
E00016153,135,2,4,3,1,2,1,2,3,2,3,0,0,1,1,1,2,1,1,3,0,3,0,2,0,0,1,2,3,1,1,3,1,1,2,2,1,3,1,2,1,3,2,0,0,3,3,1,1,2,1,1,0,2,1,0,2,3,5,4,2,1,3,2,2,0,1,3,1,4,1,6,0,0,0,2,2,2,2,0,3,1,0,0,0,0,0,0,0,0,0,0
E00016141,142,2,2,1,2,2,1,2,0,2,4,1,4,4,3,1,2,3,2,1,2,0,3,3,1,2,3,3,1,1,2,3,0,1,3,1,4,1,1,0,1,2,2,3,1,0,1,2,1,5,7,3,4,4,3,3,1,1,1,2,3,0,3,0,1,0,1,2,1,0,1,2,0,0,0,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
E00016146,162,5,3,1,1,2,0,2,0,1,6,3,5,2,2,4,1,3,1,1,2,1,2,2,2,0,2,1,1,4,0,3,4,4,1,2,3,2,2,1,3,1,2,5,3,5,3,4,3,3,1,4,7,4,1,2,6,5,1,3,1,1,0,1,1,2,0,0,2,2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
E00016148,138,2,2,4,2,5,0,1,4,3,6,2,3,3,2,1,3,2,2,1,3,1,1,2,1,1,0,1,1,1,1,0,4,0,1,2,3,0,3,3,4,4,2,0,2,2,0,1,1,0,2,3,2,1,3,3,3,3,2,1,1,3,3,1,1,0,0,2,0,2,3,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
E00016149,141,3,2,4,2,3,4,1,4,0,4,1,1,2,4,1,3,1,1,0,0,1,0,0,1,3,1,1,3,1,2,0,2,1,4,6,2,4,1,1,1,1,2,1,2,0,1,3,2,2,2,6,2,6,2,4,1,0,4,2,0,1,2,2,1,1,1,2,2,1,1,2,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
E00016151,132,0,2,4,2,0,1,2,5,2,4,4,2,4,1,3,3,1,1,3,0,1,2,0,2,1,1,2,2,0,2,2,3,2,2,1,4,3,2,2,1,1,3,2,2,3,2,0,0,3,3,4,2,1,3,0,2,4,0,3,1,2,0,2,1,2,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
E00016152,122,3,0,0,1,0,5,1,2,3,2,1,1,2,2,0,2,0,2,1,0,1,0,1,1,1,0,3,1,2,2,1,1,2,2,1,2,4,3,0,2,2,0,3,1,4,1,0,2,1,2,2,4,3,6,1,2,2,1,5,0,2,0,1,1,1,0,1,3,2,1,1,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
E00016126,166,2,5,3,1,2,1,2,2,4,2,2,3,2,0,3,2,2,1,6,3,0,4,1,2,1,1,1,2,0,2,2,5,1,1,4,0,1,2,4,2,6,4,2,3,1,0,0,2,4,1,2,5,2,2,5,1,1,2,2,0,0,2,0,3,1,3,3,1,1,2,3,1,7,2,2,0,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0
E00016127,209,4,2,0,2,1,4,1,2,3,3,1,3,4,1,1,4,4,6,2,1,3,4,2,1,2,4,0,5,3,2,2,1,2,3,2,4,1,3,5,5,1,4,7,6,2,1,2,1,3,1,4,7,4,7,4,3,2,2,3,0,1,0,3,2,5,1,1,2,2,2,1,1,4,2,1,5,0,1,2,0,2,0,1,0,0,0,1,1,0,0,1
E00016131,169,4,6,8,0,4,2,4,3,8,0,4,3,4,2,1,2,2,2,2,1,2,1,0,2,0,0,2,1,2,2,3,3,4,2,0,4,3,0,2,6,8,2,5,3,3,1,2,3,1,0,0,6,4,4,0,2,2,3,2,1,2,1,0,1,0,2,1,1,2,0,1,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
E00016134,127,3,1,1,0,2,0,2,0,2,2,1,1,0,4,0,2,1,3,2,0,1,1,2,0,0,1,0,1,3,2,2,1,2,3,0,3,2,1,2,0,3,4,0,2,1,3,2,2,1,2,3,3,5,4,1,0,0,2,2,1,0,2,0,4,0,1,1,4,1,3,0,4,0,6,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
E00016140,168,2,1,1,1,3,1,9,3,4,2,3,1,3,2,6,3,3,1,0,2,2,2,0,1,2,3,2,3,6,3,1,1,1,3,5,5,1,4,1,2,6,2,5,2,4,2,3,2,0,3,1,1,1,3,5,3,3,4,1,2,0,0,2,1,3,1,3,0,0,0,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
E00016118,185,2,1,4,2,1,2,1,0,2,1,7,3,1,2,1,1,2,1,2,1,2,2,2,0,0,1,1,1,2,2,5,5,5,3,2,1,3,3,4,5,2,2,3,2,3,3,5,2,2,3,2,2,2,4,4,3,5,3,2,4,2,2,2,3,2,4,1,0,0,3,4,2,3,2,1,1,1,4,0,0,0,1,1,0,0,0,0,0,0,0,2
E00016154,143,2,0,1,7,3,1,3,2,1,1,8,1,3,3,7,1,1,0,2,1,1,1,0,1,1,0,0,2,1,2,0,2,2,0,4,2,1,0,2,4,6,3,1,5,3,0,2,0,1,2,4,2,0,0,0,1,3,1,1,1,1,0,4,1,1,0,2,2,1,4,3,1,1,0,0,1,3,1,1,3,0,0,1,1,0,0,0,0,0,0,1
E00016155,216,2,2,0,0,2,5,3,5,2,2,4,5,3,2,3,2,8,3,1,0,1,4,0,2,2,3,1,4,1,6,1,8,2,3,3,5,8,1,5,7,8,4,6,6,3,3,7,2,3,5,6,3,3,3,2,2,1,1,6,5,1,2,0,1,2,0,2,2,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
E00016156,154,3,2,1,4,2,1,4,1,5,6,2,1,0,2,5,2,4,1,0,2,1,1,1,2,2,4,1,1,1,2,1,2,3,1,2,1,4,1,4,1,3,2,1,2,2,3,4,1,2,2,2,1,2,2,4,3,0,0,1,0,1,2,0,4,4,1,3,2,1,2,2,1,1,2,0,0,2,0,3,0,0,0,0,0,2,0,0,0,0,0,0
E00016157,203,3,2,3,3,2,3,2,5,4,2,5,2,6,2,11,6,5,8,3,3,2,2,1,3,2,2,1,0,1,1,1,4,4,2,2,4,4,7,2,1,3,2,2,2,1,3,2,8,1,1,3,3,2,5,2,0,2,0,3,4,2,4,3,1,2,2,2,0,0,1,1,0,0,0,0,1,0,0,2,1,2,0,0,0,2,0,1,1,0,0,0
E00016112,173,4,3,5,4,3,5,5,5,2,1,3,7,0,1,4,1,4,3,0,1,3,1,2,1,2,1,1,4,1,3,0,1,3,1,2,3,4,4,5,1,1,3,2,1,5,3,2,2,4,4,3,1,3,2,2,0,0,3,2,1,1,2,0,3,1,0,0,0,2,2,0,0,0,3,3,1,0,0,1,0,1,0,0,0,1,0,0,2,1,0,1
E00016119,185,3,0,4,0,4,4,0,4,4,2,4,0,5,2,6,2,2,0,3,1,1,2,0,3,2,5,1,2,3,1,1,2,2,2,2,2,3,6,3,2,1,4,4,2,5,6,1,0,1,6,5,2,2,4,2,4,9,1,1,1,1,2,2,0,1,0,1,0,0,4,1,1,0,2,1,0,4,0,3,1,1,1,0,1,1,1,0,0,0,0,0
E00016121,130,1,1,4,1,1,0,0,1,0,0,2,3,3,0,3,2,0,1,0,0,2,2,1,1,3,3,2,0,0,2,0,3,1,1,1,1,2,3,6,4,1,2,3,2,5,1,1,4,2,1,4,5,0,3,5,1,3,5,3,2,1,1,2,0,0,1,0,2,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
E00016123,161,1,4,2,2,4,4,1,1,0,3,0,2,3,4,3,3,2,4,2,1,1,2,1,5,5,0,0,2,1,0,0,1,0,1,1,2,4,5,3,2,0,4,2,6,2,1,1,5,4,2,4,3,2,3,5,2,2,3,4,3,0,0,1,1,1,1,0,0,1,2,1,1,1,2,0,0,1,2,1,1,2,0,1,0,1,0,0,0,0,0,0
E00016158,151,7,4,3,5,4,2,1,0,3,1,2,2,4,1,3,1,1,2,1,0,1,1,2,0,2,1,3,0,4,3,2,0,2,1,1,5,2,2,2,2,6,3,0,4,0,6,2,1,1,5,1,2,1,5,2,3,3,1,2,4,1,0,2,1,2,0,2,1,0,0,1,0,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0
E00016113,204,1,2,4,0,4,3,2,3,2,2,3,4,3,4,7,3,2,1,2,3,4,4,2,3,3,1,3,1,1,2,3,2,1,3,2,2,3,3,3,2,3,6,2,3,3,2,4,1,1,3,1,4,3,4,5,0,6,7,0,2,2,5,2,3,3,1,1,1,0,1,1,0,1,3,1,2,0,2,1,1,0,1,2,1,2,0,0,0,1,0,3
E00016120,171,4,4,2,5,2,3,3,3,6,2,5,3,5,5,3,3,2,0,1,1,0,1,1,2,1,2,2,2,2,2,3,5,1,3,3,5,2,2,4,2,0,1,4,2,1,2,0,3,2,3,5,1,4,4,2,3,0,6,4,2,3,1,0,2,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0
E00016122,203,4,3,2,2,3,4,4,6,5,6,4,3,11,7,5,1,2,0,3,2,1,1,3,3,1,1,1,1,3,2,2,3,2,2,2,6,4,6,4,5,4,4,3,2,6,2,2,4,2,1,2,1,3,1,3,3,1,3,1,2,3,1,3,2,1,2,1,0,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
E00016124,164,1,4,4,4,0,2,8,4,3,5,4,7,5,5,5,5,4,2,1,1,0,1,3,0,3,0,1,1,1,1,0,3,2,1,3,0,4,1,0,4,1,4,4,2,1,2,1,2,1,3,4,1,2,1,3,3,2,2,0,4,3,2,0,1,2,1,1,1,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
E00016125,167,4,7,3,3,1,1,3,1,4,1,8,2,2,3,0,3,2,4,6,4,3,1,1,1,0,1,0,1,3,1,3,5,2,2,2,3,3,1,2,2,3,5,3,1,3,2,1,3,1,2,2,2,3,2,3,1,5,0,4,0,1,3,1,1,0,0,1,1,2,0,3,1,0,0,1,0,0,0,0,0,1,3,0,1,0,2,0,0,0,0,0
E00016114,146,0,1,2,2,0,1,0,3,2,2,3,5,1,2,4,2,1,1,1,1,1,1,4,1,2,0,1,2,2,3,0,2,0,1,1,2,2,7,2,4,2,2,2,1,0,1,0,2,1,1,2,6,1,8,5,2,2,6,0,4,2,3,3,0,1,3,0,0,2,0,1,1,0,0,0,2,2,0,1,1,0,0,2,0,0,0,2,0,0,0,0
E00016128,166,0,4,1,3,0,7,3,4,6,0,5,2,3,3,5,6,3,1,2,2,1,1,1,3,1,3,1,0,2,0,1,4,3,1,3,3,3,3,1,5,2,4,1,3,3,1,1,5,2,0,2,2,2,1,1,4,3,3,4,1,1,1,1,3,1,1,1,1,0,1,0,0,0,1,1,2,0,0,2,0,2,0,0,1,0,0,0,1,0,0,0
E00016130,177,4,3,2,3,5,2,1,1,2,3,2,4,2,1,4,3,2,1,2,4,1,2,1,4,0,3,3,3,2,3,1,2,2,3,1,5,5,4,3,1,2,2,2,2,3,1,0,6,3,3,4,2,5,2,2,4,1,2,1,5,2,0,3,4,1,1,0,1,0,0,1,0,1,0,0,0,0,3,0,2,1,1,3,0,0,0,0,0,0,0,1
E00016133,170,2,0,3,2,1,3,4,8,4,6,5,2,5,7,4,2,1,1,1,3,1,1,1,0,2,2,2,2,2,1,3,2,0,0,3,5,5,7,3,1,3,3,2,2,2,1,1,2,1,0,4,3,2,2,1,2,1,3,1,3,3,5,1,5,2,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
E00016135,158,2,1,1,4,3,1,3,4,3,5,2,3,2,3,1,5,1,1,0,2,2,1,1,3,2,1,2,0,4,1,1,3,1,2,3,1,2,4,3,3,2,2,2,3,3,1,1,0,3,2,2,1,2,2,6,2,2,0,3,3,6,1,4,2,0,1,1,1,1,1,0,1,1,2,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1
E00016178,110,3,0,1,3,5,0,0,1,2,1,1,2,0,4,2,1,1,0,2,4,0,2,1,1,1,0,1,2,2,0,3,0,2,0,4,2,2,4,2,2,2,1,0,2,2,2,2,3,2,1,3,1,2,0,2,0,1,1,0,1,2,2,1,0,0,1,0,1,2,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1
E00016179,148,1,0,4,1,1,2,2,1,1,1,3,2,1,2,2,2,2,1,1,0,2,3,1,1,1,3,4,4,6,2,3,3,4,4,3,4,5,4,3,3,0,4,2,3,2,3,0,1,5,1,6,2,2,0,1,1,2,2,1,0,0,1,1,1,0,2,3,1,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
E00016180,133,0,5,1,0,3,0,0,1,3,2,0,1,0,0,0,2,3,3,1,1,1,0,1,0,1,0,2,6,0,4,0,1,4,1,1,4,4,3,3,3,0,1,1,4,2,2,2,0,3,5,3,5,4,1,1,2,1,2,1,1,2,3,0,0,1,1,0,2,0,0,2,2,2,1,2,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1
E00016187,142,1,3,2,5,1,3,2,3,1,2,1,3,2,2,1,1,1,3,0,0,1,0,2,0,0,1,2,4,1,3,1,6,2,3,6,1,5,5,1,4,2,1,1,5,3,3,2,1,1,2,2,3,2,2,2,1,1,0,1,2,1,3,2,0,0,1,0,0,2,0,1,2,0,0,0,0,3,0,0,1,0,0,0,0,2,0,0,0,1,0,1
E00016189,138,4,2,0,3,2,1,3,2,2,1,3,4,0,2,1,0,1,2,1,1,0,0,0,1,0,0,3,0,2,1,1,0,3,1,1,2,0,3,4,2,4,3,2,3,0,6,7,4,1,4,4,4,1,2,2,0,2,1,2,1,0,0,1,2,2,0,0,2,0,3,2,1,0,4,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0
E00016159,164,4,2,2,1,1,0,4,3,2,3,2,2,1,0,3,2,0,1,1,2,1,3,2,1,1,1,3,0,3,3,3,3,3,3,3,2,7,6,3,4,1,4,4,2,3,1,2,5,1,1,3,2,1,6,1,0,1,3,1,0,1,0,1,1,3,1,1,1,2,4,1,0,4,3,0,0,3,2,1,0,0,0,0,0,2,0,0,0,0,0,0
E00016173,133,1,1,1,3,1,2,3,1,1,0,1,3,1,0,2,2,3,0,2,0,1,1,2,1,1,5,1,2,1,4,2,2,4,2,4,1,5,1,3,3,1,0,1,2,3,2,1,3,0,2,2,1,3,1,1,3,5,2,3,2,1,0,1,1,1,1,2,3,2,0,0,3,1,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
E00016176,153,2,1,5,1,6,5,3,0,3,3,3,0,2,0,1,1,1,0,0,0,0,0,0,1,2,2,3,3,1,4,1,3,4,2,4,6,0,3,4,3,5,3,4,4,4,2,1,2,3,4,6,6,1,3,2,0,2,0,3,1,2,2,0,1,1,0,0,0,0,1,0,2,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
