Code,Name,Geography,Total,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
K02000001,United Kingdom,Country,33145709,360102,375332,389465,401864,414627,413937,416815,425759,438005,431442,422811,418939,422335,409154,400276,386104,380328,371935,369604,385297,402791,418297,426847,440601,443496,440565,453265,451917,461555,473507,464389,455238,455725,440355,447804,445191,431932,433967,432031,436414,436763,421051,393122,387559,393576,400353,406465,424229,442244,453106,442966,453623,453832,461589,457887,461041,455856,445519,435256,418945,400251,390218,381138,365735,351184,335745,333320,327189,314252,313913,316491,322715,335663,359481,272514,258938,253710,229301,199267,173272,174151,166329,154727,139400,124576,110941,94592,82400,71568,60511,197217
K03000001,Great Britain,Country,32211554,348748,363578,377429,389384,401582,401147,403999,412828,424494,418171,409633,405504,408909,396285,388037,374153,368509,360518,358184,374200,391203,406502,415098,428923,431732,428783,441403,440121,449146,460979,451848,442737,443166,427686,435191,432755,419725,421973,420140,424184,424614,409586,382001,376489,382454,389023,394874,412105,429882,440669,430455,441014,440854,448812,444976,448019,443035,432833,423142,406993,388914,379182,370321,355425,341263,326230,323940,318256,305696,305435,308191,314601,327767,351787,265478,252087,247073,223141,193823,168642,169843,162129,150980,135979,121641,108327,92374,80414,69942,59135,193121
K04000001,England and Wales,Country,29546342,323800,337269,350233,361234,372226,371613,374219,382526,393273,386161,379314,374271,377844,366326,358738,344827,339718,332749,330311,343752,358862,372800,380425,392652,395417,392703,404559,402925,409830,421276,413717,405041,405609,391589,399035,397360,385378,387466,385262,389232,390310,376308,351700,346250,350990,357795,362732,378169,394361,404120,394340,403388,402558,409863,406607,408245,404048,393763,384799,369819,352973,343949,336161,322134,309187,295926,294040,289269,277960,277833,280574,286766,299409,321844,243321,231914,226838,204712,177728,154368,155661,148832,138619,125204,111986,99648,85105,74110,64483,54619,179462
E92000001,England,Country,27982818,308815,321378,333560,344089,354452,353655,356004,363986,374129,366587,360144,355213,358555,347682,340280,327124,322370,315497,312761,323700,337659,350920,358420,370801,373901,371883,382502,381754,388663,399614,392851,384813,385952,372700,380096,378573,367247,369196,367387,370566,371661,358524,335609,329766,334708,340715,345236,359601,374360,383296,374154,382152,381638,388278,385096,386043,381939,372235,363185,349191,333011,324227,316683,303232,291336,278378,276173,271510,260801,260852,263006,268821,280766,302439,228895,217830,213013,192013,166567,144651,146189,139908,130442,118033,105446,93860,80158,69745,60874,51545,169548
E12000007,London,Region,4514378,59120,59971,61501,61785,63038,62023,61762,62578,64098,60322,58771,56958,57392,55939,53649,51738,50072,49400,48185,45436,46475,50290,55339,63126,68840,71388,74857,75347,78699,81658,83535,84467,86149,83749,86118,85421,82027,81350,78919,78499,76432,73081,68839,66288,63810,62372,60817,60454,60312,59288,57956,56742,56836,56142,54897,53488,52715,49913,47299,45630,43672,41496,39483,37422,35861,33638,31277,29962,28546,27638,27158,26482,26650,27863,22071,20209,19496,17848,15924,14216,15093,14293,13283,11915,11054,9815,8623,7479,6609,5529,20471
E09000023,Lewisham,London Borough,151473,2141,2126,2222,2139,2142,2055,2083,2172,2101,2000,1890,1820,1998,1802,1700,1663,1570,1477,1482,1274,1388,1449,1690,2033,2218,2352,2421,2570,2801,2845,2940,3184,3155,3120,3093,3080,3045,2990,3076,3030,2804,2923,2602,2529,2362,2041,2032,2158,2196,2181,2001,1979,1855,1955,1879,1853,1796,1695,1670,1493,1322,1317,1267,1194,1089,921,888,819,682,813,747,680,756,713,531,504,494,437,437,375,399,398,350,273,287,255,237,208,153,117,469
