Name,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
United Kingdom,5.857138249780688,6.413976542182278,6.255756966912369,5.711955052764145,6.432301689488676,6.881159187151495,6.82897143639317,6.575617374785979,6.130721174194826,6.415300997181867,6.848237882013627,6.687493092997347,5.697648525183154,4.900842519313737,4.8478794042390225,3.3623899853824217,2.290441275520762,1.8621686445144376
Great Britain,5.8386534223092745,6.397204555855952,6.2349304848812945,5.698464594412303,6.437000835166164,6.89327810760077,6.831797062631626,6.577692588193665,6.131787370457197,6.415564427596384,6.848818905166761,6.687109848844921,5.697039639875803,4.903696977798711,4.867272159548714,3.3676301366894625,2.2990880849772104,1.8729707979937882
England and Wales,5.905170934527191,6.456948206989549,6.283326037449915,5.724420979084314,6.4311040601912755,6.874939036446542,6.81976469371403,6.581857070496239,6.1447809681482735,6.421021593806773,6.825738360437309,6.63592806175465,5.633198180674954,4.856871960664369,4.8463325849270955,3.3694864833013844,2.3024914556258773,1.8866193317602564
England,5.940409575618867,6.483839476067064,6.296270804462939,5.722983296392808,6.402861212905719,6.877134390110388,6.84853112363451,6.62180985489024,6.1833229233739075,6.443982875491668,6.8303270957199524,6.620466173206716,5.605186010929993,4.816219724546684,4.802686419930973,3.3380269278097723,2.2871820843776347,1.8787600305301633
London,6.765383846899839,6.884292808444486,6.262413116491353,5.423360649019643,6.292561234349449,8.46072260674671,9.392611783948974,8.998271744191559,7.718671320833125,6.717270906423875,6.259400519850132,5.516706842005698,4.38452429105405,3.3462195677898485,2.8846498897522537,1.9425267445481968,1.4539766054149652,1.2964355222358428
Lewisham,7.110178051533937,6.873172116482806,6.080291537105623,4.928931228667816,5.795092194648551,8.575125599941904,10.227565308668872,10.048655535970108,8.727628026116866,7.003228298112535,6.383315838466261,5.6161824219497865,4.085876690895407,2.721937242940986,2.262449413426815,1.4834326909746292,1.1269335129032898,0.9500042911938101
