WD22CD_proposed,0-18,19-65,66+
E05013714,26.60458929165281,63.71799135350848,9.67741935483871
E05013715,21.217371217371216,66.71286671286671,12.069762069762069
E05013716,17.37484223811527,75.83087925957089,6.794278502313841
E05013717,23.911101183828457,62.12865758320304,13.960241232968505
E05013718,23.585497428177142,66.39066616484757,10.023836406975285
E05013719,20.324574961360124,72.91344667697064,6.761978361669243
E05013720,26.183727034120736,62.38320209973753,11.433070866141732
E05013721,21.416549789621318,72.3702664796634,6.213183730715287
E05013722,23.365071410674016,66.61237785016287,10.022550739163117
E05013723,22.645064054257723,64.2175332830947,13.137402662647576
E05013724,23.405280400847946,66.79514357294276,9.799576026209289
E05013725,20.822531227904783,68.61890172048079,10.558567051614423
E05013726,22.48249522597072,65.27052832590707,12.246976448122215
E05013727,17.661448140900195,77.78864970645793,4.549902152641879
E05013728,23.44003241491086,70.42139384116693,6.138573743922204
E05013729,22.544184134812987,66.8413481298808,10.614467735306206
E05013730,23.907922912205567,66.7237687366167,9.36830835117773
E05013731,22.89306751246035,64.55595831445402,12.550974173085637
E05013732,21.581661891117477,70.44126074498567,7.977077363896848
