OA11CD,0-18,19-65,66+
E00016115,23.006134969325153,61.96319018404908,15.030674846625766
E00016136,28.343949044585987,60.82802547770701,10.828025477707007
E00016137,35.89108910891089,56.43564356435643,7.673267326732673
E00016138,32.20338983050848,59.66101694915254,8.135593220338983
E00016139,34.375,59.375,6.25
E00016116,29.56298200514139,64.01028277634961,6.426735218508997
E00016129,33.42618384401114,63.231197771587745,3.3426183844011144
E00016142,32.12290502793296,61.312849162011176,6.564245810055866
E00016144,34.68208092485549,59.2485549132948,6.069364161849711
E00016145,32.69961977186312,62.73764258555133,4.562737642585551
E00016150,37.391304347826086,58.84057971014493,3.7681159420289854
E00016117,32.154340836012864,56.59163987138264,11.254019292604502
E00016132,30.246913580246915,62.96296296296296,6.790123456790123
E00016143,23.83419689119171,65.80310880829016,10.362694300518134
E00016147,24.84472049689441,65.21739130434783,9.937888198757763
E00016153,24.137931034482758,62.06896551724138,13.793103448275861
E00016141,27.335640138408305,60.55363321799308,12.110726643598616
E00016146,27.113702623906704,64.72303206997084,8.16326530612245
E00016148,28.762541806020067,57.85953177257525,13.377926421404682
E00016149,27.17391304347826,64.4927536231884,8.333333333333334
E00016151,28.719723183391004,62.9757785467128,8.304498269896193
E00016152,24.59016393442623,65.98360655737704,9.426229508196721
E00016126,22.98507462686567,57.91044776119403,19.104477611940297
E00016127,23.58490566037736,62.264150943396224,14.150943396226415
E00016131,30.37249283667622,60.74498567335244,8.882521489971346
E00016134,21.818181818181817,58.18181818181818,20.0
E00016140,26.31578947368421,64.39628482972137,9.287925696594428
E00016118,18.42105263157895,65.0,16.57894736842105
E00016154,25.796178343949045,52.547770700636946,21.656050955414013
E00016155,24.94432071269488,69.04231625835189,6.013363028953229
E00016156,24.068767908309457,60.458452722063036,15.472779369627506
E00016157,31.510416666666668,61.71875,6.770833333333333
E00016112,27.272727272727273,58.651026392961874,14.07624633431085
E00016119,25.141242937853107,61.86440677966102,12.994350282485875
E00016121,22.878228782287824,68.63468634686348,8.487084870848708
E00016123,25.69659442724458,61.30030959752322,13.003095975232197
E00016158,25.407166123778502,64.49511400651465,10.09771986970684
E00016113,24.111675126903553,61.16751269035533,14.720812182741117
E00016120,31.563421828908556,61.65191740412979,6.784660766961652
E00016122,31.604938271604937,60.24691358024691,8.148148148148149
E00016124,40.84084084084084,51.351351351351354,7.807807807807808
E00016125,33.149171270718234,56.353591160220994,10.497237569060774
E00016114,23.870967741935484,65.80645161290323,10.32258064516129
E00016128,29.518072289156628,59.93975903614458,10.542168674698795
E00016130,22.60061919504644,66.87306501547988,10.526315789473685
E00016133,29.76878612716763,64.73988439306359,5.491329479768786
E00016135,23.529411764705884,64.08668730650155,12.38390092879257
E00016178,25.0,60.82089552238806,14.17910447761194
E00016179,20.18633540372671,72.04968944099379,7.763975155279503
E00016180,21.830985915492956,60.91549295774648,17.253521126760564
E00016187,26.875,58.125,15.0
E00016189,25.77319587628866,58.419243986254294,15.807560137457045
E00016159,22.46153846153846,61.53846153846154,16.0
E00016173,21.428571428571427,67.00680272108843,11.564625850340136
E00016176,26.333333333333332,67.66666666666667,6.0
E00016184,11.39240506329114,76.79324894514768,11.814345991561181
E00016186,13.900414937759336,79.87551867219916,6.224066390041494
E00016188,18.085106382978722,65.95744680851064,15.957446808510639
E00016166,17.171717171717173,72.72727272727273,10.1010101010101
E00016167,23.25581395348837,55.81395348837209,20.930232558139537
E00016171,11.041009463722398,83.91167192429022,5.047318611987381
E00016174,27.0,62.333333333333336,10.666666666666666
E00016204,16.3265306122449,70.06802721088435,13.605442176870747
E00016206,18.29652996845426,75.70977917981072,5.993690851735016
E00016164,23.765432098765434,64.50617283950618,11.728395061728396
E00016170,23.270440251572328,70.44025157232704,6.289308176100629
E00016175,17.905405405405407,72.63513513513513,9.45945945945946
E00016181,19.281045751633986,70.91503267973856,9.803921568627452
E00016182,24.512534818941504,66.29526462395543,9.192200557103064
E00016160,20.60810810810811,55.4054054054054,23.986486486486488
E00016183,16.666666666666668,66.66666666666667,16.666666666666668
E00016185,17.51152073732719,58.986175115207374,23.502304147465438
E00016191,17.56272401433692,58.78136200716846,23.655913978494624
E00016195,20.973782771535582,62.172284644194754,16.853932584269664
E00016197,15.16245487364621,77.61732851985559,7.2202166064981945
E00016161,16.434540389972145,71.03064066852367,12.534818941504179
E00016190,13.358778625954198,64.50381679389314,22.137404580152673
E00016192,18.941504178272982,74.65181058495821,6.406685236768802
E00016193,12.5,80.88235294117646,6.617647058823529
E00016194,15.616438356164384,78.35616438356165,6.027397260273973
E00016196,23.74727668845316,69.49891067538127,6.753812636165577
E00016162,24.23076923076923,68.46153846153847,7.3076923076923075
E00016198,33.46613545816733,60.95617529880478,5.577689243027889
E00016202,19.85981308411215,74.53271028037383,5.607476635514018
E00016205,10.548523206751055,76.37130801687763,13.080168776371307
E00016208,24.242424242424242,66.32996632996633,9.427609427609427
E00016199,30.27027027027027,59.45945945945946,10.27027027027027
E00016200,38.888888888888886,54.93827160493827,6.172839506172839
E00016201,21.103117505995204,70.02398081534773,8.872901678657074
E00016203,27.692307692307693,55.38461538461539,16.923076923076923
E00016207,37.5,56.00961538461539,6.490384615384615
E00016163,24.03560830860534,68.24925816023739,7.71513353115727
E00016165,21.003134796238246,66.77115987460814,12.225705329153605
E00016168,9.782608695652174,77.71739130434783,12.5
E00016169,22.183098591549296,61.971830985915496,15.845070422535212
E00016172,16.727272727272727,75.27272727272727,8.0
E00016177,21.245421245421245,70.32967032967034,8.424908424908425
E00016210,16.08040201005025,67.8391959798995,16.08040201005025
