WD22CD_proposed,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
E05013714,6.80079813767875,8.313934153641503,7.183239108746259,5.138011306950449,4.53940804788826,6.069171932158297,8.496840705021617,7.914865314266711,8.430329231792484,7.199866977053542,7.083471898902561,6.883937479215165,5.404057199866977,3.2091785833056203,2.5440638510143,1.6461589624210176,1.6461589624210176,1.4965081476554705
E05013715,6.768306768306768,6.213906213906214,4.68930468930469,4.285054285054285,4.354354354354355,10.221760221760222,10.984060984060983,9.413259413259413,7.484407484407485,6.722106722106722,6.317856317856318,5.416955416955417,4.308154308154308,3.1647031647031647,3.1300531300531302,2.333102333102333,1.8595518595518596,2.333102333102333
E05013716,5.910811947833404,4.943205721497686,3.5864535128312998,4.312158182583088,12.421119057635675,14.17753470761464,12.463188893563315,9.570887673538072,6.678586453512831,5.774084981068574,5.416491375683635,4.143878838872529,3.228859907446361,2.3243584350021034,1.9457299116533446,1.2305427008834666,0.9465713083718974,0.9255363904080774
E05013717,5.751619387983024,7.326334599061872,6.220683493410766,5.461246370337279,4.791154791154791,5.986151440696895,6.9466160375251285,7.46035291489837,8.34264016082198,6.823765914675006,6.734420370784007,7.795398704489614,5.405405405405405,4.478445387536297,3.428635246817065,2.2448067902613356,2.1777976323430868,2.624525351798079
E05013718,8.14201480366328,7.539831890603438,5.31928239869527,3.1990967256304104,3.4123698406724374,7.815832392422531,10.061472839041526,10.96474720863129,9.384017061849203,7.188558524651863,5.858737924978046,5.808556015556392,4.704554008280015,3.4123698406724374,2.4714590390164344,2.095094718354033,1.3172751223184043,1.3047296449629908
E05013719,5.061823802163833,5.525502318392581,5.680061823802164,5.422462648119526,9.840288511076764,11.926841834106131,12.029881504379185,8.397733127253993,6.723338485316847,6.478619268418341,5.950540958268934,5.564142194744977,4.134466769706337,2.4214322514167956,1.6357547655847502,1.5584750128799587,0.6826378155589902,0.9659969088098919
E05013720,5.868766404199475,6.782152230971128,8.062992125984252,6.488188976377953,4.482939632545932,5.753280839895013,7.485564304461942,8.913385826771654,7.443569553805775,7.485564304461942,7.2650918635170605,6.8871391076115485,4.83989501312336,3.4960629921259843,2.6036745406824147,2.078740157480315,1.837270341207349,2.225721784776903
E05013721,6.269284712482468,5.9747545582047685,5.638148667601683,4.460028050490884,7.545582047685834,13.674614305750351,14.403927068723704,9.7054698457223,7.349228611500701,5.834502103786816,4.810659186535764,4.85273492286115,2.8751753155680224,1.6549789621318374,1.9214586255259467,1.3604488078541375,0.8835904628330996,0.7854137447405329
E05013722,7.3791029817088445,7.116011024805813,5.863192182410423,3.6081182660987223,3.720871961914307,8.080681533450264,11.024805813079428,9.596592332748685,8.544224505136556,7.967927837634678,6.52718616887998,5.7880230518667,4.071661237785016,3.34502630919569,2.530694061638687,1.8416436983212228,1.6411926835379604,1.3530443497870208
E05013723,7.008289374529013,5.928158754081889,5.4383320773674955,4.961065059030394,4.659633257975383,6.782215523737754,7.900025119316755,9.080633006782216,7.9753830695805075,7.309721175584024,6.644059281587541,6.669178598342125,5.63928661140417,3.9939713639788996,3.265511178095956,2.2356191911580003,2.009545340366742,2.4993720170811353
E05013724,7.005203314704182,5.935633069955675,5.579109655039507,5.7621892464829445,5.0298708807091925,7.323183657737522,9.047986124494122,9.72248988244363,8.518018886105223,6.706494507612256,6.6005010599344764,7.217190210059742,5.174407400269802,2.9196376951243015,2.6305646560030835,1.676623626903064,1.4646367315475044,1.6862593948737714
E05013725,6.328069761960877,5.7860004713646,5.102521800612774,4.348338439783173,7.376855998114541,9.627621965590384,9.827951920810747,9.132689135045958,7.64789064341268,6.952627857647891,6.929059627621966,5.715295781286826,3.841621494225784,3.7473485741220833,2.1447089323591797,2.0975724723073297,1.767617251944379,1.6262078717888286
E05013726,7.103755569700827,6.378103119032463,5.754296626352642,3.92106938255888,4.175684277530236,7.040101845957989,8.860598345003183,9.688096753660089,9.064290260980266,7.6766390833863785,6.365372374283895,6.403564608529599,4.519414385741566,3.895607893061744,3.0681094844048378,2.3424570337364736,1.9096117122851686,1.833227243793762
E05013727,7.167318982387475,3.840508806262231,4.036203522504892,3.5714285714285716,10.49412915851272,17.392367906066536,14.897260273972602,10.445205479452055,7.3385518590998045,5.503913894324853,4.256360078277886,3.302348336594912,2.617416829745597,2.0058708414872797,1.0518590998043054,1.0273972602739727,0.4892367906066536,0.5626223091976517
