WD22CD_proposed,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
E05013714,7.1220681390172915,9.090909090909092,8.560178051703476,5.795240541003253,4.476973121040918,5.367231638418079,7.481595617188837,8.217770929635336,8.106488614963192,6.831022085259374,7.3189522342064715,6.865262797466188,5.076185584660161,2.970381783941106,2.5081321691491185,1.7633966786509159,1.4124293785310735,1.0357815442561205
E05013715,6.581555322373791,6.056896350705375,4.762737553923283,4.587851230033811,4.506237612218724,9.473009210679725,10.924565698962342,9.910225020403404,8.301270840620264,7.397691500524659,6.529089425206949,5.112510201702227,4.203101317476973,3.089658388714003,2.9730675061210214,2.0345109012475224,1.795499591931911,1.7605223271540165
E05013716,6.177274920907287,5.137004665129497,3.71601694460829,3.9894900530859565,10.268647112445707,13.22859134538045,13.132071424741273,10.804868893774465,7.646522601748083,6.177274920907287,5.5284465654994905,4.053836666845407,3.211968470159258,2.150249343128318,1.7534452249450372,1.1582390476701163,0.9866480776449139,0.8794037213791625
E05013717,6.820524567632574,7.267208796243271,6.522735081892108,6.035963807124041,5.1139617455045245,5.720994158744703,6.751803917077082,7.656625816057725,8.366739205131141,7.112587332493415,6.963692589623181,7.330202725919139,5.274309930134005,3.9800710113389073,3.184056809071126,2.0444393540258847,1.8440041232390334,2.0100790287481387
E05013718,7.8769547589935005,7.671021301242036,4.865177939378339,3.5137396228843554,3.8998648561683504,7.477958684600039,10.03282064482914,11.467919428534655,10.135787373704872,7.181929339082309,6.3002767230838534,5.585945041508462,4.356779715554412,3.095437286826694,2.271703455820838,1.8791428019821095,1.1648111204067186,1.222729905399318
E05013719,5.2763014663507715,5.545239162451175,6.051098162259077,5.0393801626432735,8.766088237177435,11.359416021002753,12.505602868668758,9.022219376320676,7.543062047768458,6.25600307357367,5.858999807901646,5.602868668758404,4.091694947813281,2.7662163027470066,1.517576999423705,1.3767048728949223,0.6083114554651982,0.8132163667797913
E05013720,6.3707199297629495,7.758999122036874,8.54367866549605,6.453028972783143,4.889157155399473,5.465320456540825,7.001755926251097,8.878402107111501,7.57243195785777,7.5340210711150135,7.221246707638279,6.3707199297629495,4.603819139596137,3.2374890254609308,2.5515803336259877,1.9644424934152767,1.7504389815627743,1.8327480245829675
E05013721,5.659727009513305,5.9975182683027715,5.342616848200745,4.232731283606784,8.541293257962222,13.615055838963187,14.173445470839653,10.478422721632429,7.176340824486419,5.9079001792361785,5.184061767544464,4.8255894112780915,3.198676409761478,1.620019302357645,1.7441058872190818,0.9720115814145871,0.6686888184199642,0.6617951192609954
E05013722,7.374034571533652,7.606963344366801,6.675248253034204,4.021086183645949,4.057864410935393,8.134117935515508,10.831187936741449,9.868824322667647,8.526419026602918,7.557925707980876,6.270687752850312,5.455437047934289,4.039475297290671,3.1077602059580727,2.5438273875199213,1.6243717052838054,1.1646438641657473,1.140125045972784
E05013723,7.208754851434752,6.807914996500604,5.9298848380734235,5.236368263663549,4.53012661449386,6.451612903225806,7.89590888846472,9.422917859642425,8.309473818158681,6.9733409683781895,6.6234014124832985,6.337087230387478,5.618120506457975,3.696634217726029,3.257619138512439,2.188712858688045,1.7496977794744544,1.7624228542342686
E05013724,7.096117493092918,6.320585526634676,6.0976200862779315,6.257573554359944,5.273617371916049,6.926469875430178,9.320924821870001,9.791091076535311,8.802287819301052,6.960399398962726,6.2672677039406715,7.047646745189279,4.808298192041103,2.6416557607483884,2.3217488245843634,1.4735107362706608,1.2990160438175562,1.294168969027192
E05013725,6.508982035928144,6.029940119760479,5.053892215568863,4.323353293413174,7.0,10.149700598802395,9.850299401197605,9.359281437125748,8.497005988023952,6.904191616766467,6.700598802395209,5.748502994011976,3.8982035928143715,3.2095808383233533,2.311377245508982,1.7904191616766467,1.4191616766467066,1.2455089820359282
E05013726,6.803482587064677,7.039800995024875,6.032338308457711,4.402985074626866,4.309701492537314,7.269900497512438,8.849502487562189,10.15547263681592,9.496268656716419,7.5559701492537314,6.4054726368159205,6.019900497512438,4.359452736318408,3.345771144278607,2.8420398009950247,2.021144278606965,1.6355721393034826,1.455223880597015
E05013727,6.788511749347259,4.339176924033321,3.7050851672261595,3.257490985950516,8.902150938704464,16.958846201666045,16.672883252517718,11.513116996145717,7.348004475941813,5.197065771478304,4.625139873181649,3.2326246425463134,2.4493348253139375,2.001740644038294,1.2184508268059182,0.8330225040407808,0.49732686808404825,0.4600273529777446
E05013728,6.024966470648922,6.674920045393583,6.251934385639121,6.076550087692149,7.923243577839678,11.307128855875375,10.61590838749613,10.069122046837924,7.98514391829155,6.468585577220675,5.416279789538843,5.0964613638708345,3.5695862993913132,2.218095532858764,1.3721242133498401,1.145156298359641,1.0523057876818322,0.7324873620138244
E05013729,7.067027477102415,7.358451290591174,6.088676103247294,4.236053288925895,4.537885095753539,6.718359700249792,9.684637801831807,10.085345545378852,8.810366361365528,7.889258950874272,6.718359700249792,6.083472106577852,4.069525395503747,3.288925895087427,2.7529142381348874,1.9567027477102414,1.3634471273938384,1.2905911740216487
E05013730,9.285640012477904,6.3689300197566805,5.5682645315586985,4.809192055734637,4.741603410627015,7.76229593428304,9.691171883123635,9.88873869189976,8.781324737444109,7.013621711552459,6.758864510762192,6.566496828532807,4.1593012373921185,2.5215763751689715,1.861287303732973,1.3049807632317771,1.41416242071332,1.5025475720079027
E05013731,6.934453588076193,6.422282327214134,6.192092996489612,4.362087817229671,4.615296081026645,7.3430396501122175,8.568797836220291,9.679461356966105,9.057950164009899,7.204926051677504,7.04379352017034,6.019450998446222,4.615296081026645,3.5564251596938483,3.061518098636128,1.9450998446222019,1.6746273810208896,1.7034010473614547
E05013732,6.198843798294316,6.090092152710206,5.574952778890733,3.8864403869269073,7.635510274168622,10.743517829546105,12.832694178925076,8.734474271650162,7.492416003663213,6.651021693091408,5.975616736305878,5.557781466430084,4.332894510903784,3.0107034514338045,2.0147673287161583,1.3221910594699788,0.9959361227176464,0.9501459561559156
