LSOA11CD,Total,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
E01003264,718,54,61,34,27,19,64,67,82,61,39,46,39,42,22,25,13,10,13
E01003265,789,79,86,57,53,41,66,76,62,54,45,51,32,31,22,12,11,8,3
E01003266,874,56,86,73,42,51,41,46,70,93,33,48,61,63,34,35,23,11,8
E01003267,756,44,52,56,71,33,36,56,46,67,69,56,40,57,19,21,16,10,7
E01003268,984,71,66,77,71,46,60,97,101,93,61,67,61,41,28,18,14,9,3
E01003269,782,62,49,39,40,38,51,42,89,60,64,50,49,44,36,26,22,12,9
E01003270,879,40,57,32,35,37,65,88,111,81,58,51,71,49,34,38,13,10,9
E01003271,899,49,62,48,43,34,42,71,89,82,43,69,58,48,34,51,33,25,18
E01003272,964,82,37,27,36,57,95,122,112,101,70,60,46,39,29,17,7,7,20
E01003273,1121,48,50,36,40,155,247,73,58,137,51,49,50,50,30,14,16,13,4
E01003274,868,71,41,35,29,68,92,79,86,96,52,65,55,34,21,11,16,4,13
E01003275,805,59,63,53,34,68,40,43,70,68,55,56,63,32,26,19,15,22,19
E01003276,826,69,66,50,40,29,49,76,57,73,79,70,70,30,21,23,17,3,4
E01003277,882,50,50,29,30,43,88,118,102,94,71,51,60,26,20,30,12,3,5
E01003278,946,54,61,38,41,58,94,115,121,85,63,51,43,34,16,45,14,11,2
E01003279,808,62,44,47,32,39,66,57,90,60,63,49,51,42,35,31,21,11,8
E01003280,902,64,92,74,44,31,42,85,81,103,46,53,55,43,27,21,19,7,15
E01003281,794,53,53,57,52,27,39,52,70,69,76,45,56,39,31,26,15,14,20
E01003282,1369,75,64,47,74,131,188,146,149,132,80,73,54,63,25,24,20,19,5
E01003283,1152,86,93,90,41,46,54,81,136,124,99,61,72,51,38,34,12,17,17
E01003284,1018,49,76,53,47,25,80,88,135,121,77,76,55,35,34,24,28,9,6
E01003285,1050,63,70,69,56,40,64,105,129,99,67,89,58,41,27,34,15,16,8
E01003286,870,63,100,56,39,42,58,74,53,79,73,69,58,33,10,29,9,13,12
E01003287,1070,83,83,72,47,23,91,96,119,88,94,64,57,41,40,24,23,18,7
E01003288,1079,73,71,63,34,68,106,90,83,112,91,63,26,73,40,33,25,18,10
E01003290,877,61,56,61,33,74,108,90,75,92,61,38,43,31,15,18,13,4,4
E01003291,670,40,51,52,51,29,45,48,58,56,47,74,35,31,15,13,5,14,6
