OA11CD,Total,0-18,19-65,66+
E00016676,145,44,86,15
E00016685,144,41,92,11
E00016690,136,25,94,17
E00016691,126,29,90,7
E00016726,101,24,67,10
E00016675,72,10,59,3
E00016677,436,44,385,7
E00016683,160,32,125,3
E00016697,198,58,130,10
E00173940,188,42,136,10
E00173949,232,54,169,9
E00016684,131,24,92,15
E00016687,101,17,79,5
E00016694,182,49,130,3
E00016718,133,37,71,25
E00016721,115,21,80,14
E00016723,123,29,81,13
E00016688,146,41,92,13
E00016695,121,16,92,13
E00016705,158,21,133,4
E00016710,207,41,157,9
E00016712,186,35,146,5
E00016682,92,15,76,1
E00016686,169,39,122,8
E00016699,146,25,110,11
E00016702,209,33,162,14
E00016707,295,43,242,10
E00016711,244,37,200,7
E00016679,103,16,66,21
E00016689,126,21,93,12
E00016693,170,43,110,17
E00016701,170,50,108,12
E00173939,338,99,216,23
E00016750,137,23,101,13
E00016752,164,37,93,34
E00016753,161,37,114,10
E00016758,141,28,97,16
E00016763,152,34,107,11
E00016738,204,51,125,28
E00016739,169,55,101,13
E00016740,132,26,91,15
E00016749,172,47,118,7
E00016755,233,65,153,15
E00016728,130,30,74,26
E00016764,129,40,79,10
E00016766,185,53,103,29
E00016768,165,66,87,12
E00016772,154,46,91,17
E00016737,137,19,110,8
E00016748,144,25,110,9
E00016756,154,41,101,12
E00016760,175,39,132,4
E00173704,187,31,146,10
E00173705,63,8,52,3
E00173707,2,0,2,0
E00016729,157,35,95,27
E00016730,164,42,100,22
E00016759,155,38,89,28
E00016761,152,45,87,20
E00016762,215,73,127,15
E00016765,132,20,103,9
E00016767,119,23,80,16
E00016770,73,11,57,5
E00016771,162,31,119,12
E00016774,200,67,116,17
E00016777,169,44,98,27
E00016731,177,46,123,8
E00016769,179,73,97,9
E00016773,120,41,75,4
E00016775,131,47,74,10
E00016776,182,42,116,24
E00016745,203,75,122,6
E00016746,195,50,135,10
E00016751,187,49,125,13
E00016754,166,46,102,18
E00016757,168,56,104,8
E00016732,166,24,132,10
E00016735,204,41,155,8
E00016741,134,21,101,12
E00016742,183,31,143,9
E00016733,161,45,100,16
E00016734,137,32,94,11
E00016743,143,38,98,7
E00016744,166,31,118,17
E00016747,150,31,101,18
E00016779,157,42,112,3
E00016789,225,60,138,27
E00016797,215,49,147,19
E00016798,291,106,171,14
E00016821,722,240,455,27
E00016780,278,46,201,31
E00016782,237,47,165,25
E00016790,124,27,93,4
E00016792,326,113,205,8
E00016795,158,26,111,21
E00016796,254,94,151,9
E00016799,203,59,127,17
E00016804,191,59,108,24
E00016805,225,65,149,11
E00016806,136,31,92,13
E00016781,105,20,77,8
E00016793,73,15,58,0
E00016794,103,28,70,5
E00016801,132,33,91,8
E00016803,121,33,80,8
E00016808,104,31,66,7
E00016783,183,48,122,13
E00016802,230,92,131,7
E00016807,219,77,127,15
E00016809,181,41,120,20
E00016810,284,73,200,11
E00016784,152,24,115,13
E00016811,198,41,148,9
E00016812,154,25,120,9
E00016816,165,33,123,9
E00016817,154,41,101,12
E00016813,133,29,92,12
E00016814,140,33,99,8
E00016815,167,46,108,13
E00016818,125,37,81,7
E00016819,145,29,108,8
E00016785,152,29,111,12
E00016786,141,36,100,5
E00016787,328,92,226,10
E00016822,157,32,121,4
E00016824,140,25,102,13
E00016778,158,46,105,7
E00016788,136,34,90,12
E00016791,163,48,104,11
E00016800,143,45,89,9
E00016820,162,52,103,7
E00016823,136,39,87,10
E00016843,149,39,95,15
E00016863,173,37,117,19
E00016868,138,30,94,14
E00016870,131,25,96,10
E00016871,153,40,96,17
E00016848,148,35,92,21
E00016859,210,39,145,26
E00016861,313,49,253,11
E00016862,173,24,132,17
E00016866,239,40,176,23
E00016829,129,25,96,8
E00016851,163,30,112,21
E00016860,185,28,148,9
E00016864,163,33,123,7
E00016867,114,20,76,18
E00016869,104,15,57,32
E00016830,181,40,120,21
E00016839,138,36,92,10
E00016845,138,25,104,9
E00016872,178,46,119,13
E00016873,174,55,110,9
E00016838,128,52,63,13
E00016840,176,56,99,21
E00016847,121,51,64,6
E00016852,106,23,70,13
E00016858,103,48,43,12
E00016874,107,22,59,26
E00016826,186,42,127,17
E00016831,136,32,93,11
E00016832,97,20,59,18
E00016833,176,32,119,25
E00016875,127,28,89,10
E00016828,126,27,89,10
E00016850,145,28,104,13
E00016854,150,38,97,15
E00016855,103,18,78,7
E00016857,137,23,96,18
E00016878,166,34,112,20
E00016835,148,33,101,14
E00016837,153,47,95,11
E00016846,172,38,120,14
E00016849,133,28,95,10
E00016865,209,60,130,19
E00016827,174,39,122,13
E00016834,236,66,156,14
E00016842,152,70,77,5
E00016856,190,38,143,9
E00016876,128,27,75,26
E00016877,95,25,62,8
E00016825,121,33,84,4
E00016836,136,35,68,33
E00016841,138,34,95,9
E00016844,119,22,82,15
E00016853,166,50,100,16
E00016905,136,35,97,4
E00016907,175,53,116,6
E00016908,90,20,54,16
E00016910,204,63,126,15
E00016912,129,38,83,8
E00016909,226,84,133,9
E00016911,156,46,100,10
E00016913,239,71,152,16
E00016914,144,46,93,5
E00016881,184,33,131,20
E00016915,173,34,130,9
E00016916,180,48,120,12
E00016920,148,37,87,24
E00173950,242,46,184,12
E00173951,101,21,68,12
E00016921,151,37,99,15
E00016922,168,23,122,23
E00016923,216,36,166,14
E00016925,230,32,180,18
E00016926,160,38,108,14
E00016917,263,31,217,15
E00016918,196,18,174,4
E00016919,172,30,130,12
E00016924,190,27,147,16
E00016927,166,22,132,12
E00016879,211,44,143,24
E00016884,168,45,109,14
E00016886,209,41,161,7
E00016893,156,23,117,16
E00016896,151,30,117,4
E00016898,153,31,115,7
E00016900,183,38,135,10
E00016901,109,27,76,6
E00016904,153,32,112,9
E00016906,152,36,110,6
E00016885,154,25,115,14
E00016887,132,31,82,19
E00016889,180,34,126,20
E00016890,161,40,107,14
E00016895,163,28,122,13
E00016883,184,35,139,10
E00016888,147,26,102,19
E00016891,209,30,166,13
E00016892,151,27,115,9
E00016894,128,27,95,6
E00016880,272,60,192,20
E00016897,281,38,227,16
E00016899,134,23,97,14
E00016902,178,35,130,13
E00016903,188,26,151,11
E00016930,287,69,194,24
E00016946,245,71,151,23
E00016952,136,37,81,18
E00016964,151,45,87,19
E00016948,185,80,96,9
E00016949,186,83,93,10
E00016951,148,60,80,8
E00016955,174,76,80,18
E00016956,138,44,83,11
E00016950,156,36,100,20
E00016967,217,56,144,17
E00016968,143,39,90,14
E00016969,156,52,88,16
E00016971,149,42,94,13
E00016929,179,56,102,21
E00016931,137,49,85,3
E00016932,200,67,122,11
E00016954,158,66,90,2
E00016961,133,47,76,10
E00016928,204,53,141,10
E00016947,79,13,50,16
E00016958,168,40,115,13
E00016963,152,38,93,21
E00016933,260,88,152,20
E00016953,108,37,52,19
E00016957,125,41,70,14
E00016960,111,27,59,25
E00016966,107,30,68,9
E00016937,227,60,130,37
E00016959,169,30,106,33
E00016962,222,70,134,18
E00016965,205,56,137,12
E00016970,365,121,230,14
E00016934,198,43,132,23
E00016935,222,68,131,23
E00016936,159,47,99,13
E00016938,148,43,87,18
E00016939,160,49,102,9
E00016940,183,52,116,15
E00016941,209,62,129,18
E00016942,178,55,115,8
E00016943,139,41,92,6
E00016944,199,55,131,13
E00016945,130,38,90,2
E00016356,172,60,97,15
E00016387,158,54,88,16
E00016393,142,48,69,25
E00165790,159,52,86,21
E00016362,239,84,138,17
E00016364,172,62,99,11
E00016365,121,35,68,18
E00016394,179,62,104,13
E00165789,131,24,84,23
E00016696,124,21,98,5
E00016698,248,40,199,9
E00016703,149,51,91,7
E00016713,263,50,207,6
E00165804,178,37,135,6
E00016668,126,20,92,14
E00016670,151,40,102,9
E00016671,73,12,55,6
E00016672,191,40,126,25
E00173708,114,16,94,4
E00173710,265,67,189,9
E00016661,181,23,133,25
E00173936,132,37,89,6
E00173937,119,22,93,4
E00173938,215,32,182,1
E00174035,142,29,113,0
E00016212,154,38,108,8
E00016249,112,21,68,23
E00016254,131,25,96,10
E00173952,118,33,75,10
E00174016,105,25,62,18
E00174022,103,18,74,11
E00174008,161,11,143,7
E00174010,165,8,150,7
E00174013,164,10,152,2
E00174015,195,28,160,7
E00174025,154,7,146,1
E00174027,127,13,111,3
E00016628,193,38,138,17
E00016637,365,42,306,17
E00174024,228,34,191,3
E00174029,133,7,116,10
E00174030,108,14,87,7
E00016644,314,140,168,6
E00016645,176,42,111,23
E00016646,178,41,124,13
