OA11CD,Total,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
E00016191,138,8,5,10,4,1,10,12,11,10,10,7,12,6,6,8,3,12,3
E00016195,123,12,6,5,3,5,6,12,8,18,12,8,9,2,4,4,3,2,4
E00016197,133,10,3,7,1,5,17,14,12,16,18,9,10,4,1,2,2,2,0
E00016161,171,8,5,5,5,5,14,29,30,16,12,13,4,8,5,6,4,0,2
E00016190,162,1,8,4,6,3,9,10,15,17,6,10,16,20,14,7,4,9,3
E00016192,201,9,10,7,7,13,18,26,23,27,19,14,11,7,3,0,4,2,1
E00016193,157,6,2,5,2,7,13,24,25,18,9,17,8,8,6,1,2,4,0
E00016194,182,8,6,7,10,17,12,16,29,22,17,13,6,5,7,3,3,1,0
E00016196,219,23,15,10,8,9,18,17,20,23,14,19,20,10,5,1,2,3,2
E00016162,121,8,8,5,12,4,8,10,19,11,13,9,4,2,2,3,1,1,1
E00016198,250,17,27,17,21,8,9,44,23,17,21,15,4,9,5,8,1,2,2
E00016202,194,6,14,9,7,15,30,39,23,14,11,10,6,3,0,3,3,0,1
E00016205,126,5,6,2,3,4,11,15,25,9,5,12,6,4,5,5,4,2,3
E00016208,139,7,4,11,9,7,10,17,13,10,10,16,3,5,4,8,2,3,0
E00016199,102,6,11,6,14,6,7,5,7,9,6,5,7,3,1,2,6,1,0
E00016200,151,15,21,13,30,9,8,8,8,4,10,4,7,4,6,0,2,1,1
E00016201,201,27,15,7,5,6,20,26,31,14,14,2,4,7,4,7,5,5,2
E00016203,40,0,2,2,2,1,3,2,2,3,5,1,4,2,1,4,0,1,5
E00016207,198,14,23,14,47,18,13,10,10,6,9,5,5,5,7,4,3,2,3
E00016163,166,10,11,9,9,6,16,24,17,15,17,9,6,4,6,3,1,2,1
E00016165,158,11,7,4,7,1,2,24,13,22,19,17,6,5,7,4,0,7,2
E00016168,88,3,3,1,2,1,3,14,7,16,8,9,6,2,2,3,2,4,2
E00016169,148,5,9,6,11,2,8,22,17,7,8,10,10,8,5,6,5,8,1
E00016172,149,16,6,4,4,5,11,14,26,19,10,12,4,11,2,3,0,2,0
E00016177,135,15,12,6,5,0,7,26,11,15,9,4,6,6,4,3,0,2,4
E00016210,204,5,9,5,15,18,15,20,14,11,16,11,13,14,11,8,10,1,8
E00016239,156,6,4,4,6,17,14,26,9,18,15,4,7,3,7,8,2,2,4
E00016240,265,20,15,13,12,16,36,53,32,24,11,12,8,6,3,3,0,1,0
E00016241,88,5,4,8,4,8,7,9,3,5,3,2,7,3,8,2,4,0,6
E00016245,203,13,14,20,17,22,14,15,14,15,15,9,8,8,5,1,9,1,3
E00016211,167,9,12,10,11,12,26,11,17,8,19,10,4,5,2,3,3,1,4
E00016213,189,11,10,15,4,9,44,12,20,11,14,14,8,6,4,2,1,1,3
E00016244,152,10,6,4,8,11,39,12,15,7,11,8,7,3,5,3,1,2,0
E00016250,174,13,12,8,9,16,34,11,13,5,11,16,7,10,1,1,0,3,4
E00174011,74,5,6,1,2,6,12,11,8,8,7,5,1,0,0,2,0,0,0
E00174032,163,4,1,3,7,42,39,12,11,8,7,12,5,4,3,1,1,3,0
E00174033,48,4,3,2,2,3,8,4,2,6,3,5,1,0,2,2,1,0,0
E00016216,188,13,15,9,5,6,16,30,29,25,9,9,7,7,1,4,0,1,2
E00016236,425,26,23,21,8,20,54,67,48,60,33,22,21,5,9,7,0,1,0
E00016246,42,8,1,2,2,0,3,9,2,0,3,4,1,3,2,2,0,0,0
E00016248,177,14,3,3,8,9,20,29,28,22,19,2,6,6,1,4,0,2,1
E00016252,199,14,9,6,13,7,18,27,25,18,23,16,7,4,3,1,3,2,3
E00016219,177,13,11,6,6,15,16,31,26,9,14,8,6,5,1,3,4,1,2
E00016220,94,8,1,4,3,7,9,15,12,6,7,6,3,4,3,2,2,2,0
E00016221,151,13,14,7,3,8,12,21,19,19,7,7,4,9,3,1,1,1,2
E00016223,124,13,11,7,2,6,9,9,19,9,8,5,5,13,3,2,1,1,1
E00016225,117,8,7,5,1,6,14,18,13,14,9,6,3,4,2,2,1,3,1
E00016255,100,5,8,3,2,3,9,20,15,9,9,7,5,3,0,2,0,0,0
E00016214,205,13,14,7,7,16,32,28,18,23,10,9,5,8,4,5,1,5,0
E00016215,171,9,13,9,5,8,28,24,18,13,4,11,11,8,2,2,2,1,3
E00016217,191,10,7,13,9,7,23,27,14,13,11,16,10,14,8,3,3,2,1
E00016237,177,7,7,9,7,20,15,33,14,12,9,9,6,8,4,3,7,3,4
E00016247,147,7,16,14,5,9,10,25,14,5,8,8,9,7,3,5,0,2,0
E00016253,175,13,4,7,6,20,20,30,16,16,7,6,9,9,5,4,1,0,2
E00016218,120,11,6,3,3,3,12,25,21,14,7,6,3,1,3,2,0,0,0
