OA11CD,Total,0-18,19-65,66+
E00016308,387,100,266,21
E00016315,415,100,293,22
E00016317,303,81,196,26
E00016320,300,81,207,12
E00016309,291,48,219,24
E00016323,263,56,181,26
E00016324,393,93,282,18
E00016325,343,65,257,21
E00016327,304,73,202,29
E00016326,353,102,217,34
E00016329,416,113,273,30
E00016332,454,108,279,67
E00016333,264,56,185,23
E00016337,367,100,227,40
E00016311,333,86,220,27
E00016328,285,68,197,20
E00016330,262,51,186,25
E00016331,396,84,256,56
E00016334,509,129,339,41
E00016361,246,59,152,35
E00016363,317,83,213,21
E00016366,270,69,165,36
E00016367,194,54,120,20
E00016368,288,58,192,38
E00016350,332,83,223,26
E00016369,388,114,244,30
E00016370,391,113,248,30
E00016371,322,101,198,23
E00016374,258,61,164,33
E00016352,273,90,161,22
E00016373,365,107,214,44
E00016378,335,94,211,30
E00016381,417,134,245,38
E00016382,282,79,171,32
E00016348,225,64,133,28
E00016372,334,105,209,20
E00016375,235,67,153,15
E00016377,273,83,165,25
E00016379,316,85,203,28
E00016349,378,118,225,35
E00016351,490,131,308,51
E00016376,319,90,194,35
E00016383,355,102,222,31
E00016353,321,86,202,33
E00016360,473,119,300,54
E00016380,300,90,181,29
E00016389,314,108,174,32
E00016390,228,60,147,21
E00016392,273,62,174,37
E00016359,336,66,204,66
E00016384,342,67,204,71
E00016385,462,93,293,76
E00016386,257,25,126,106
E00016388,274,45,168,61
E00016346,285,77,177,31
E00016354,268,73,171,24
E00016357,323,94,207,22
E00016358,331,92,209,30
E00016391,321,71,205,45
E00016403,370,134,223,13
E00016437,502,132,339,31
E00016439,401,110,277,14
E00016442,414,164,232,18
E00016399,529,150,355,24
E00016401,602,194,391,17
E00016406,304,89,202,13
E00016435,426,111,298,17
E00016412,409,93,288,28
E00016414,312,51,237,24
E00016418,713,122,567,24
E00016422,500,171,303,26
E00016395,571,56,481,34
E00016404,391,38,321,32
E00016405,355,41,301,13
E00016408,353,72,273,8
E00016410,344,49,268,27
E00016438,278,38,233,7
E00016402,307,84,200,23
E00016407,211,40,162,9
E00016409,441,120,301,20
E00016411,391,100,286,5
E00016413,357,80,257,20
E00016398,265,41,200,24
E00016431,598,53,512,33
E00016432,407,54,332,21
E00016434,412,106,280,26
E00173943,372,86,261,25
E00173946,52,2,44,6
E00016397,1379,182,1172,25
E00016433,1486,181,1220,85
E00016436,386,104,263,19
E00016440,377,95,275,7
E00016441,396,70,290,36
E00016415,429,117,283,29
E00016416,367,83,257,27
E00016419,441,133,280,28
E00016420,437,176,242,19
E00173947,341,89,238,14
E00173948,209,37,169,3
E00016417,330,88,206,36
