OA11CD,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
E00016115,4.2682926829268295,7.317073170731708,6.7073170731707314,3.658536585365854,8.536585365853659,5.487804878048781,4.878048780487805,4.878048780487805,4.878048780487805,7.317073170731708,9.75609756097561,7.926829268292683,7.926829268292683,4.878048780487805,6.097560975609756,4.2682926829268295,1.2195121951219512,0.0
E00016136,5.0,6.875,9.375,7.5,7.5,3.125,3.75,8.75,11.875,8.75,5.625,6.25,5.625,3.125,1.875,1.875,2.5,0.625
E00016137,8.290155440414507,9.32642487046632,15.025906735751295,8.808290155440414,8.290155440414507,3.1088082901554404,4.1450777202072535,4.1450777202072535,6.7357512953367875,6.7357512953367875,8.290155440414507,6.7357512953367875,5.181347150259067,1.0362694300518134,1.0362694300518134,2.5906735751295336,0.5181347150259067,0.0
E00016138,8.955223880597014,12.686567164179104,8.955223880597014,11.194029850746269,4.477611940298507,4.477611940298507,5.970149253731344,6.7164179104477615,10.447761194029852,5.223880597014926,7.462686567164179,5.223880597014926,2.985074626865672,2.985074626865672,2.2388059701492535,0.0,0.0,0.0
E00016139,7.5675675675675675,11.891891891891891,12.432432432432432,9.72972972972973,4.864864864864865,2.7027027027027026,4.324324324324325,7.5675675675675675,7.5675675675675675,4.864864864864865,8.64864864864865,4.864864864864865,4.324324324324325,3.7837837837837838,3.2432432432432434,0.5405405405405406,1.0810810810810811,0.0
E00016116,3.278688524590164,7.6502732240437155,9.836065573770492,7.103825136612022,1.639344262295082,2.185792349726776,6.0109289617486334,14.207650273224044,18.0327868852459,9.289617486338798,6.557377049180328,5.46448087431694,1.639344262295082,1.092896174863388,1.639344262295082,1.639344262295082,2.73224043715847,0.0
E00016129,9.036144578313253,12.650602409638553,12.650602409638553,5.421686746987952,1.8072289156626506,3.0120481927710845,10.843373493975903,14.457831325301205,13.25301204819277,6.024096385542169,3.0120481927710845,4.216867469879518,1.2048192771084338,0.6024096385542169,1.2048192771084338,0.6024096385542169,0.0,0.0
E00016142,7.485029940119761,14.970059880239521,11.077844311377245,7.18562874251497,2.694610778443114,5.389221556886228,8.083832335329342,8.982035928143713,8.083832335329342,5.9880239520958085,5.688622754491018,5.688622754491018,2.9940119760479043,0.2994011976047904,2.9940119760479043,1.4970059880239521,0.8982035928143712,0.0
E00016144,14.689265536723164,16.949152542372882,12.429378531073446,2.824858757062147,3.389830508474576,5.084745762711864,7.909604519774011,5.649717514124294,7.909604519774011,5.084745762711864,5.084745762711864,3.9548022598870056,1.694915254237288,3.389830508474576,2.2598870056497176,1.694915254237288,0.0,0.0
E00016145,7.6923076923076925,10.76923076923077,16.153846153846153,7.6923076923076925,1.5384615384615385,5.384615384615385,7.6923076923076925,3.8461538461538463,7.6923076923076925,6.923076923076923,9.23076923076923,7.6923076923076925,3.076923076923077,2.3076923076923075,0.7692307692307693,0.7692307692307693,0.0,0.7692307692307693
E00016150,7.926829268292683,13.414634146341463,12.195121951219512,6.7073170731707314,2.4390243902439024,4.2682926829268295,5.487804878048781,6.7073170731707314,5.487804878048781,9.146341463414634,6.7073170731707314,9.75609756097561,4.878048780487805,0.6097560975609756,0.6097560975609756,1.829268292682927,1.2195121951219512,0.6097560975609756
E00016117,13.86861313868613,10.218978102189782,5.109489051094891,5.839416058394161,2.18978102189781,3.6496350364963503,8.02919708029197,10.218978102189782,6.569343065693431,5.839416058394161,3.6496350364963503,5.109489051094891,5.109489051094891,1.4598540145985401,3.6496350364963503,5.839416058394161,3.6496350364963503,0.0
E00016132,9.25925925925926,6.790123456790123,5.555555555555555,6.790123456790123,4.938271604938271,4.320987654320987,5.555555555555555,13.580246913580247,5.555555555555555,8.024691358024691,5.555555555555555,8.641975308641975,5.555555555555555,2.4691358024691357,4.320987654320987,1.8518518518518519,0.6172839506172839,0.6172839506172839
