WD22CD_proposed,0-18,19-65,66+
E05013714,29.58397534668721,61.42783769902414,8.988186954288649
E05013715,21.196222455403987,67.83257549259648,10.971202051999533
E05013716,17.893720842940642,75.65553112767441,6.450748029384954
E05013717,25.712976749513228,62.146374985683195,12.140648264803573
E05013718,23.296222408134373,67.61052834802754,9.093249243838084
E05013719,20.823461612345522,72.69642056733048,6.480117820324006
E05013720,28.12774363476734,61.31474978050922,10.557506584723441
E05013721,20.377774713911485,74.34165173031849,5.280573555770026
E05013722,24.9846757386294,66.07208532548731,8.94323893588329
E05013723,24.425781001463385,63.79079977094865,11.783419227587961
E05013724,24.860646599777034,66.65697251708593,8.482380883137028
E05013725,21.143712574850298,69.562874251497,9.293413173652695
E05013726,23.53855721393035,65.8955223880597,10.56592039800995
E05013727,17.244809150814373,78.3538480666418,4.401342782543827
E05013728,23.945115031466006,70.11245228515423,5.942432683379758
E05013729,24.04766860949209,66.07514571190674,9.877185678601165
E05013730,25.26255589061038,66.7567848601435,7.980659249246127
E05013731,23.174310870691144,65.6212234562928,11.204465673016056
E05013732,21.086371701677066,71.29528933661496,7.618338961707973
