Name,0-18,19-65,66+
United Kingdom,23.076392784357093,60.67282193299893,16.250785282643978
Great Britain,23.007558095458542,60.694556990327136,16.297884914214322
England and Wales,23.206432796317053,60.53333099576252,16.260236207920425
England,23.286721873401028,60.58522054497871,16.128057581620265
London,24.328977325336957,65.49234468181442,10.178677992848627
Lewisham,24.151498947007056,67.91177305526398,7.936727997728968
