OA11CD,Total,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
E00016191,141,6,6,6,4,5,6,13,9,15,10,10,11,4,8,10,5,7,6
E00016195,144,10,13,5,2,2,12,14,14,15,12,10,6,1,6,6,2,9,5
E00016197,144,10,6,1,5,3,24,10,26,17,11,5,11,2,3,3,3,3,1
E00016161,188,14,6,6,11,9,20,24,17,19,10,7,9,6,6,13,4,3,4
E00016190,100,7,6,3,2,5,6,6,6,5,6,5,5,11,9,5,3,7,3
E00016192,158,9,8,12,9,11,23,22,11,13,8,7,6,4,2,7,3,3,0
E00016193,115,10,4,1,4,7,10,30,10,11,8,8,1,3,4,4,0,0,0
E00016194,183,11,8,10,3,12,16,26,18,19,14,15,11,7,5,4,1,0,3
E00016196,240,15,15,15,9,13,23,29,21,24,20,17,8,11,6,7,4,2,1
E00016162,139,7,15,5,7,2,10,14,14,10,6,8,10,19,5,1,3,2,1
E00016198,252,34,19,15,24,14,19,20,26,19,13,16,5,16,2,5,2,3,0
E00016202,234,24,11,8,11,26,46,23,20,15,8,11,8,5,4,2,3,3,6
E00016205,111,5,0,2,2,3,20,16,8,10,8,8,9,6,2,5,1,2,4
E00016208,158,14,15,7,8,5,14,19,13,7,11,10,16,6,5,3,2,0,3
E00016199,83,1,11,2,8,2,4,4,10,5,7,10,7,3,3,1,1,4,0
E00016200,173,4,24,8,19,12,10,15,18,12,8,11,8,9,4,3,1,1,6
E00016201,216,15,18,0,3,6,24,42,62,5,6,2,7,11,5,2,2,3,3
E00016203,25,2,7,2,2,2,1,0,6,0,0,2,0,1,0,0,0,0,0
E00016207,218,7,29,11,28,12,8,16,30,6,15,15,10,15,8,3,0,4,1
E00016163,171,22,9,8,6,5,23,23,23,10,8,6,9,4,8,2,1,0,4
E00016165,161,15,11,8,6,9,20,13,16,12,14,8,5,3,4,4,3,5,5
E00016168,96,6,1,1,4,3,12,17,9,7,6,7,9,1,3,4,2,2,2
E00016169,136,14,14,3,3,5,6,15,10,5,8,11,10,9,5,8,3,2,5
E00016172,126,9,3,2,3,5,23,15,17,9,3,8,8,4,2,3,0,1,11
E00016177,138,9,6,6,3,3,27,24,10,6,8,13,11,2,3,4,1,0,2
E00016210,194,5,6,15,8,28,17,13,11,13,11,13,7,16,6,9,12,0,4
E00016239,140,5,4,5,10,18,11,20,13,12,10,7,6,7,5,2,2,1,2
E00016240,249,20,9,12,9,28,32,35,33,24,9,7,11,12,3,3,1,0,1
E00016241,90,4,4,9,5,9,5,6,6,7,4,8,3,9,3,2,4,1,1
E00016245,179,6,11,17,11,27,14,12,12,15,15,16,4,9,5,2,2,0,1
E00016211,197,14,9,8,12,12,38,15,14,15,9,14,10,9,9,4,1,0,4
E00016213,209,7,13,10,12,27,39,19,12,18,10,13,9,2,4,2,6,4,2
E00016244,172,6,7,7,4,18,39,21,8,6,6,12,10,10,9,3,3,3,0
E00016250,163,6,14,6,8,11,29,13,9,9,15,7,11,14,2,5,1,2,1
E00174011,46,3,3,1,1,3,8,12,3,3,4,0,4,1,0,0,0,0,0
E00174032,282,9,4,3,22,117,45,13,14,9,3,11,12,6,5,3,3,3,0
E00174033,55,5,4,6,1,7,7,4,4,5,1,2,3,2,0,1,2,0,1
E00016216,188,14,8,7,4,13,30,29,20,16,12,7,10,7,4,4,1,0,2
E00016236,369,23,10,30,11,18,56,54,49,47,22,15,7,11,4,6,4,0,2
E00016246,50,3,3,5,1,2,3,7,6,5,4,1,1,4,1,1,1,0,2
E00016248,169,9,6,5,4,11,21,27,26,24,8,10,4,3,3,5,0,1,2
E00016252,193,9,7,11,5,18,16,25,20,15,17,20,9,7,6,2,2,2,2
E00016219,164,6,5,4,4,8,40,32,12,12,6,14,7,1,2,6,2,3,0
E00016220,108,7,7,5,1,4,14,21,11,11,9,3,3,2,0,4,3,2,1
E00016221,159,13,10,7,3,10,22,28,18,11,8,11,8,4,2,1,1,2,0
E00016223,104,1,2,5,2,10,13,15,15,9,5,8,7,5,2,1,0,1,3
E00016225,121,5,9,8,2,14,15,15,11,6,9,11,3,4,1,4,2,2,0
E00016255,114,16,4,3,1,4,17,14,13,11,7,9,4,2,3,3,1,1,1
