Code,Name,Geography,Total,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
K02000001,United Kingdom,Country,67081234,3782330,4147413,4045114,3683680,4133158,4476630,4521975,4404100,4091543,4303967,4616017,4510851,3855818,3355381,3363906,2403759,1726223,1659369
K03000001,Great Britain,Country,65185724,3664594,4019539,3918097,3571812,4020834,4356811,4395393,4279748,3973599,4181028,4485434,4383348,3746798,3264688,3281844,2339225,1683051,1619881
K04000001,England and Wales,Country,59719724,3400788,3721636,3620016,3289692,3679079,3979607,4021324,3924082,3649233,3831104,4092321,3984004,3394229,2964255,2996014,2141015,1539755,1491570
E92000001,England,Country,56550138,3239447,3539458,3435579,3115871,3472522,3771493,3824652,3738209,3476303,3638639,3875351,3761782,3196813,2784300,2814128,2009992,1449189,1406410
E12000007,London,Region,9002488,595799,606333,550753,474456,556594,757848,822084,779934,677463,598535,569938,508722,405576,318142,280432,196419,150980,152480
E09000023,Lewisham,London Borough,305309,20877,20239,17970,14612,17937,26656,31045,29598,25521,21241,19446,17790,13023,9055,7245,5045,4045,3964
