Code,Name,Geography,Total,0-18,19-65,66+
K02000001,United Kingdom,Country,67081234,14908442,40353352,11819440
K03000001,Great Britain,Country,65185724,14444998,39222149,11518577
K04000001,England and Wales,Country,59719724,13363513,35830708,10525503
E92000001,England,Country,56550138,12699899,33957363,9892876
E12000007,London,Region,9002488,2140450,5833055,1028983
E09000023,Lewisham,London Borough,305309,71132,206854,27323
