Code,Name,Geography,Total,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
K02000001,United Kingdom,Country,33935525,1840940,2021455,1971599,1790412,2001126,2195821,2258464,2224565,2059472,2177570,2346120,2294234,1967292,1730962,1757042,1289271,967040,1042140
K03000001,Great Britain,Country,32974170,1783873,1958900,1909729,1736248,1947376,2136379,2194765,2160971,1998455,2114475,2279323,2229326,1911693,1685131,1714020,1254459,942479,1016568
K04000001,England and Wales,Country,30173382,1656026,1813844,1763523,1598335,1778923,1948314,2006333,1979384,1833675,1933927,2075565,2023330,1729825,1529227,1564100,1145455,859453,934143
E92000001,England,Country,28567320,1577153,1725097,1673705,1514419,1680821,1847077,1908240,1885240,1746035,1835431,1964033,1909189,1628324,1436586,1470201,1075918,809171,880680
E12000007,London,Region,4488110,290384,295550,268044,229625,272524,375899,398066,373718,329013,295292,287365,259677,207642,167081,150208,108726,85342,93954
E09000023,Lewisham,London Borough,153836,10107,9828,8760,7146,9159,13667,15553,14377,12301,10633,9777,9283,6834,4932,3818,2798,2338,2525
