LSOA11CD,Total,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
E01003264,834,71,53,20,33,36,59,70,76,64,41,59,64,41,30,17,34,25,41
E01003265,824,79,44,40,32,48,78,87,80,88,44,54,55,45,10,15,5,12,8
E01003266,912,59,42,57,56,47,40,71,65,80,62,75,52,53,50,39,17,28,19
E01003267,778,52,51,51,42,39,45,52,53,55,61,52,50,57,27,19,36,19,17
E01003268,944,52,62,40,72,40,83,87,101,73,84,47,52,36,35,32,13,12,23
E01003269,878,78,45,54,28,34,61,73,75,70,87,52,47,55,38,37,10,15,19
E01003270,891,50,60,50,43,47,67,66,77,65,58,56,74,42,47,37,17,11,24
E01003271,789,44,39,51,28,30,33,47,57,61,65,54,70,53,52,41,25,15,24
E01003272,1102,62,51,44,33,189,144,119,88,58,84,49,43,28,33,29,14,14,20
E01003273,866,44,44,50,58,49,44,109,66,60,42,72,58,52,57,16,18,9,18
E01003274,863,39,52,47,37,44,111,76,101,61,59,51,48,26,47,13,28,11,12
E01003275,854,40,52,41,53,48,52,54,87,55,64,56,67,46,31,21,27,25,35
E01003276,1075,125,70,68,37,58,85,72,83,89,95,87,58,36,28,23,25,29,7
E01003277,880,43,37,35,42,65,70,113,86,98,74,75,43,22,29,11,20,9,8
E01003278,1017,59,55,51,34,82,159,110,76,74,56,83,59,34,23,20,14,14,14
E01003279,858,40,46,47,24,114,35,73,74,66,65,48,66,49,40,36,15,15,5
E01003280,874,68,72,59,35,47,46,86,77,66,46,55,60,48,24,33,18,11,23
E01003281,772,46,44,47,36,22,34,41,68,76,72,53,49,47,58,26,16,21,16
E01003282,1305,90,61,60,37,71,205,152,125,135,75,79,76,34,31,34,17,17,6
E01003283,1071,77,61,47,34,41,56,82,120,105,90,69,81,58,49,24,27,27,23
E01003284,917,75,68,38,37,46,74,68,92,88,78,51,62,36,31,34,10,12,17
