OA11CD,Total,0-18,19-65,66+
E00016626,169,44,96,29
E00016588,205,46,126,33
E00016592,277,73,159,45
E00016604,150,30,90,30
E00016611,106,18,82,6
E00016612,89,17,57,15
E00016616,162,29,127,6
E00016589,169,41,95,33
E00016595,187,63,114,10
E00016597,96,22,49,25
E00016599,163,42,105,16
E00016601,187,51,114,22
E00016607,104,14,60,30
E00016590,186,40,120,26
E00016591,166,42,104,20
E00016603,255,59,158,38
E00016606,243,69,146,28
E00016610,171,48,108,15
E00016635,269,42,206,21
E00016640,186,29,89,68
E00016641,242,59,163,20
E00016642,224,47,153,24
E00016643,180,14,111,55
E00016630,173,21,131,21
E00016647,156,34,114,8
E00016648,154,24,119,11
E00016649,134,18,93,23
E00016651,213,40,160,13
E00016629,200,47,125,28
E00016650,120,24,86,10
E00016652,141,36,79,26
E00016654,119,32,78,9
E00016657,133,29,91,13
E00016653,154,34,99,21
E00016655,176,43,129,4
E00016656,166,39,113,14
E00016662,125,25,89,11
E00016664,167,28,125,14
E00016631,158,26,117,15
E00016658,147,34,100,13
E00016659,154,39,98,17
E00016660,190,39,129,22
E00016663,179,23,149,7
E00016632,313,95,201,17
E00016666,182,41,119,22
E00016667,217,54,142,21
E00016669,117,29,73,15
E00016673,178,37,115,26
E00016633,183,34,139,10
E00016636,429,33,394,2
E00016638,1231,203,1011,17
E00016639,586,170,394,22
E00016674,217,50,153,14
E00174018,287,27,258,2
E00174019,108,17,79,12
E00174021,53,11,40,2
E00016680,134,19,101,14
E00016716,168,40,127,1
E00016717,103,23,80,0
E00016719,175,50,118,7
E00016720,140,30,108,2
E00016725,100,28,71,1
E00016678,150,31,99,20
E00016722,196,62,125,9
E00016724,147,21,120,6
E00016727,167,30,123,14
E00016706,163,34,118,11
E00016708,142,31,100,11
E00016709,203,51,137,15
E00016714,169,34,123,12
E00016715,185,38,134,13
E00016676,150,33,100,17
E00016685,164,35,108,21
E00016690,134,18,102,14
E00016691,135,23,102,10
E00016726,71,25,44,2
E00016675,65,14,47,4
E00016677,430,45,376,9
E00016683,130,26,101,3
E00016697,145,33,104,8
E00173940,137,31,95,11
E00173949,213,53,158,2
E00016684,143,29,107,7
E00016687,88,17,69,2
E00016694,214,61,147,6
E00016718,141,32,84,25
E00016721,113,26,73,14
E00016723,126,20,92,14
E00016688,121,28,71,22
E00016695,132,30,75,27
E00016705,153,19,132,2
E00016710,149,39,105,5
E00016712,185,16,163,6
E00016682,91,10,80,1
E00016686,177,41,125,11
E00016699,146,37,96,13
E00016702,193,24,151,18
E00016707,256,34,205,17
E00016711,208,42,156,10
E00016679,138,23,91,24
E00016689,135,24,94,17
E00016693,165,29,112,24
E00016701,241,70,160,11
E00173939,382,105,257,20
E00016750,134,25,99,10
E00016752,172,37,103,32
E00016753,168,39,115,14
E00016758,168,37,117,14
E00016763,165,35,111,19
E00016738,227,40,149,38
E00016739,188,48,123,17
E00016740,181,37,125,19
E00016749,174,38,126,10
E00016755,259,64,165,30
E00016728,129,35,81,13
E00016764,121,19,93,9
E00016766,195,48,121,26
E00016768,149,36,106,7
E00016772,195,42,127,26
E00016737,150,30,111,9
E00016748,127,24,88,15
E00016756,149,46,91,12
E00016760,192,33,151,8
E00173704,188,28,152,8
E00173705,52,10,42,0
E00173707,3,0,3,0
E00016729,149,30,93,26
E00016730,167,41,102,24
E00016759,169,48,93,28
E00016761,176,41,104,31
E00016762,216,63,133,20
E00016765,132,28,88,16
E00016767,133,27,86,20
E00016770,73,11,60,2
E00016771,184,50,111,23
E00016774,193,39,131,23
E00016777,185,46,111,28
E00016731,137,31,96,10
E00016769,167,53,103,11
E00016773,128,36,87,5
E00016775,125,36,87,2
E00016776,171,26,128,17
E00016745,238,53,175,10
E00016746,190,44,125,21
E00016751,162,30,122,10
E00016754,143,34,94,15
E00016757,176,52,116,8
E00016732,185,34,140,11
E00016735,211,54,139,18
E00016741,139,27,93,19
E00016742,171,36,120,15
E00016733,169,40,107,22
E00016734,141,27,101,13
E00016743,130,28,88,14
E00016744,172,36,116,20
E00016747,154,32,105,17
E00016779,108,21,80,7
E00016789,205,59,117,29
E00016797,178,41,116,21
E00016798,264,62,193,9
E00016821,615,131,454,30
E00016780,192,41,121,30
E00016782,178,39,125,14
E00016790,110,35,72,3
E00016792,272,104,163,5
E00016795,141,37,87,17
E00016796,267,74,171,22
E00016799,201,51,131,19
E00016804,191,46,92,53
E00016805,212,49,146,17
E00016806,139,38,90,11
E00016781,124,24,84,16
E00016793,109,20,83,6
E00016794,97,24,68,5
E00016801,129,26,92,11
E00016803,148,31,104,13
E00016808,125,36,79,10
E00016783,169,38,111,20
E00016802,207,35,152,20
E00016807,198,47,137,14
E00016809,167,26,121,20
E00016810,194,37,143,14
E00016784,132,28,93,11
E00016811,164,44,102,18
E00016812,146,31,99,16
E00016816,123,26,78,19
E00016817,157,43,96,18
E00016813,147,25,110,12
E00016814,139,35,94,10
E00016815,163,34,117,12
E00016818,135,34,86,15
E00016819,135,18,105,12
E00016785,139,28,88,23
E00016786,145,22,110,13
E00016787,330,131,192,7
E00016822,176,58,103,15
E00016824,129,32,85,12
E00016778,149,35,97,17
E00016788,139,35,84,20
E00016791,157,42,102,13
E00016800,119,40,75,4
E00016820,166,42,117,7
E00016823,150,37,97,16
E00016843,162,48,98,16
E00016863,201,36,112,53
E00016868,149,34,97,18
E00016870,151,33,92,26
E00016871,169,37,108,24
E00016848,123,23,84,16
E00016859,182,37,124,21
E00016861,240,49,172,19
E00016862,133,23,96,14
E00016866,198,51,129,18
E00016829,134,31,93,10
E00016851,180,50,99,31
E00016860,176,30,137,9
E00016864,193,47,134,12
E00016867,139,25,88,26
E00016869,86,26,47,13
E00016830,169,40,101,28
E00016839,150,32,106,12
E00016845,146,30,100,16
E00016872,199,63,119,17
E00016873,218,66,133,19
E00016838,163,57,98,8
E00016840,211,55,129,27
E00016847,145,39,96,10
E00016852,126,18,88,20
E00016858,152,46,88,18
E00016874,174,38,101,35
E00016826,203,36,120,47
E00016831,157,45,93,19
E00016832,122,22,61,39
E00016833,186,45,106,35
E00016875,147,28,95,24
E00016828,125,36,81,8
E00016850,139,27,100,12
E00016854,132,27,90,15
E00016855,94,19,68,7
E00016857,140,31,98,11
E00016878,154,36,93,25
E00016835,151,27,110,14
E00016837,148,27,101,20
E00016846,167,39,114,14
E00016849,100,19,77,4
E00016865,206,36,148,22
E00016827,162,30,116,16
E00016834,253,69,162,22
E00016842,146,42,93,11
E00016856,189,40,140,9
E00016876,104,16,69,19
E00016877,90,13,62,15
E00016825,153,41,98,14
E00016836,155,35,81,39
E00016841,154,40,95,19
E00016844,124,23,73,28
E00016853,155,39,103,13
E00016905,145,34,97,14
E00016907,159,42,109,8
E00016908,103,25,64,14
E00016910,181,58,103,20
E00016912,144,40,89,15
E00016909,214,60,131,23
E00016911,216,68,128,20
E00016913,247,70,155,22
E00016914,175,52,115,8
E00016881,193,47,135,11
E00016915,143,29,109,5
E00016916,214,49,150,15
E00016920,145,30,81,34
E00173950,246,49,182,15
E00173951,117,27,72,18
E00016921,137,29,98,10
E00016922,144,22,101,21
E00016923,156,27,112,17
E00016925,200,31,158,11
E00016926,186,51,116,19
E00016917,237,30,192,15
E00016918,197,18,170,9
E00016919,146,22,111,13
E00016924,211,33,160,18
E00016927,143,25,106,12
E00016879,205,39,155,11
E00016884,176,42,119,15
E00016886,176,36,134,6
E00016893,169,34,116,19
E00016896,130,25,101,4
E00016898,135,32,86,17
E00016900,174,32,122,20
E00016901,113,34,74,5
E00016904,124,33,86,5
E00016906,158,43,98,17
E00016885,157,31,109,17
E00016887,119,28,77,14
E00016889,151,35,99,17
E00016890,151,37,100,14
E00016895,160,41,106,13
E00016883,209,30,167,12
E00016888,195,37,142,16
E00016891,220,36,173,11
E00016892,173,30,132,11
E00016894,190,28,145,17
E00016880,287,86,186,15
E00016897,248,37,202,9
E00016899,117,20,90,7
E00016902,175,46,123,6
E00016903,214,43,160,11
E00016930,299,79,181,39
E00016946,225,52,146,27
E00016952,124,26,82,16
E00016964,172,43,100,29
E00016948,254,77,156,21
E00016949,232,64,142,26
E00016951,187,63,116,8
E00016955,195,59,120,16
E00016956,159,48,92,19
E00016950,155,35,100,20
E00016967,220,68,132,20
E00016968,157,41,90,26
E00016969,181,56,103,22
E00016971,151,49,88,14
E00016929,179,46,116,17
E00016931,150,43,97,10
E00016932,195,59,122,14
E00016954,182,56,119,7
E00016961,144,41,91,12
E00016928,235,69,151,15
E00016947,70,14,47,9
E00016958,191,65,111,15
E00016963,161,31,103,27
E00016933,293,86,185,22
E00016953,160,42,85,33
E00016957,168,56,101,11
E00016960,132,36,76,20
E00016966,91,21,59,11
E00016937,250,53,144,53
E00016959,163,39,91,33
E00016962,264,85,152,27
E00016965,178,51,110,17
E00016970,354,102,229,23
E00016934,211,48,132,31
E00016935,209,48,125,36
E00016936,178,48,102,28
E00016938,146,37,85,24
E00016939,187,51,108,28
E00016940,145,41,91,13
E00016941,232,64,152,16
E00016942,168,37,111,20
E00016943,128,36,87,5
E00016944,175,41,115,19
E00016945,127,37,86,4
E00016356,188,46,125,17
E00016387,176,46,117,13
E00016393,179,45,116,18
E00165790,165,52,107,6
E00016362,199,61,112,26
E00016364,170,43,105,22
E00016365,115,25,65,25
E00016394,174,49,106,19
E00165789,129,29,77,23
E00016696,130,26,99,5
E00016698,244,36,205,3
E00016703,177,47,121,9
E00016713,215,36,172,7
E00165804,220,35,177,8
E00016668,114,18,78,18
E00016670,185,38,120,27
E00016671,87,23,52,12
E00016672,210,46,134,30
E00173708,88,19,64,5
E00173710,231,58,159,14
E00016661,135,26,95,14
E00173936,153,44,106,3
E00173937,102,11,91,0
E00173938,148,20,126,2
E00174035,99,13,84,2
E00016212,170,41,117,12
E00016249,131,19,80,32
E00016254,173,30,126,17
E00173952,125,29,80,16
E00174016,144,32,98,14
E00174022,138,22,103,13
E00174008,120,14,100,6
E00174010,122,13,107,2
E00174013,101,5,91,5
E00174015,133,13,119,1
E00174025,100,3,95,2
E00174027,74,5,68,1
E00016628,183,23,146,14
E00016637,385,59,278,48
E00174024,233,44,182,7
E00174029,131,19,100,12
E00174030,118,18,95,5
E00016644,311,107,194,10
E00016645,149,30,104,15
E00016646,183,52,120,11
