WD22CD_proposed,0-18,19-65,66+
E05013714,32.745236414961184,58.99788285109386,8.256880733944953
E05013715,21.17467043314501,68.97363465160075,9.851694915254237
E05013716,18.43343179083251,75.47314298216826,6.093425226999234
E05013717,27.609308885754583,62.16502115655853,10.225669957686883
E05013718,22.99154334038055,68.8953488372093,8.113107822410148
E05013719,21.316694256971857,72.48185406850885,6.201451674519292
E05013720,30.25635130474767,60.14484423496954,9.59880446028279
E05013721,19.3736442516269,76.2472885032538,4.379067245119306
E05013722,26.536245799327894,65.55448871819492,7.909265482477196
E05013723,26.254029658284978,63.352675693101226,10.393294648613798
E05013724,26.333755973861308,66.51711694138301,7.149127084755682
E05013725,21.47552958363769,70.5381056732408,7.9863647431214995
E05013726,24.54711246200608,66.49240121580547,8.96048632218845
E05013727,16.8141592920354,78.93805309734513,4.247787610619469
E05013728,24.46920327937776,69.79188564221148,5.738911078410763
E05013729,25.590468156895824,65.28890763390974,9.120624209194432
E05013730,26.54133818475844,66.7879522943198,6.670709520921771
E05013731,23.464732717276874,66.72125394783015,9.81401333489297
E05013732,20.59227075234393,72.14726732220444,7.260461925451635
