Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
United Kingdom,1.007189368663075,1.0457684093586292,1.0899757702289856,1.1240639418426561,1.1578191290690214,1.157512665562121,1.1676790030506379,1.1932657591123166,1.2287860582678476,1.2095083249780283,1.1883387688859979,1.1738377408335365,1.1828224257617939,1.1420067908187659,1.1228321942860764,1.0803074359391818,1.0619107852317005,1.0342937084368078,1.0244367812196806,1.0749737922133222,1.108393048287893,1.155149360441602,1.179925756268689,1.2258569743653591,1.2275218963018841,1.2322573468363904,1.2707155701878783,1.2824731605006847,1.3350287051695826,1.3500925652395241,1.325445827049972,1.3280537136231132,1.3495179461640863,1.327988884804346,1.3241551442036037,1.3237838518779361,1.2981499475844267,1.3090647632532575,1.3095097246911607,1.3147608590113162,1.313045842078471,1.2551006651584145,1.1711797592640751,1.1513804486596273,1.1780722414048406,1.2005825753395594,1.2233669583717948,1.2760226930333332,1.3316870742385745,1.3851266482542999,1.3517221260021761,1.3850736064934903,1.3835795968973517,1.3941879490592823,1.398899825477873,1.407660556304934,1.3917774957069324,1.358823828421691,1.3240136995081113,1.2782917016901905,1.2257302634923137,1.1973116667562975,1.1687840397341724,1.1242083333026378,1.0811119026447948,1.0415427490807936,1.0431958839593611,1.0242216674119524,0.9943414754891813,0.9974355782030777,1.0146476295858102,1.0311524574910804,1.080731770025659,1.1596343359945072,0.8914227789315179,0.8575114131872131,0.8450348123389869,0.7827313707390706,0.6947969716101342,0.61910343217027,0.6268917307158207,0.6098594319669431,0.578205287821538,0.5383797657469569,0.49630291560245493,0.45396675018288357,0.40438449088381573,0.36548130609442464,0.33481432805297695,0.29738452550829847,1.2149097442871446
Great Britain,1.004425585238385,1.0426251820743326,1.086917426579653,1.1210259424270572,1.1549161055456438,1.154361125693232,1.1647268149584964,1.1901952346336542,1.2256805857433257,1.2057468012083397,1.1845817498969649,1.1694668887799147,1.1785163963186942,1.1386275985111982,1.1203981783317063,1.077722350554995,1.0592108914341134,1.0312192846703951,1.0211993205590921,1.07612716256391,1.110369116190036,1.1559836077754193,1.1817219356848103,1.2277458386367268,1.2299414966320608,1.2345936228265944,1.272614291731983,1.2842628032790515,1.3363763212235515,1.3510999670348034,1.3261076776155396,1.328761269806033,1.350153771876593,1.3276482774244205,1.3233418763838483,1.3237330916896468,1.2973760977152722,1.308918465574721,1.3094400859824524,1.3140588527323054,1.3121543317087283,1.2533689248281306,1.1692455033743079,1.1491752483838107,1.1767240843363154,1.1993539185368427,1.2217108118263478,1.2746006950288666,1.33154223442167,1.385311593893038,1.3510514442061772,1.3849476726783418,1.3831401973120172,1.3940638991064824,1.3992467437391145,1.4073136639982144,1.3919319273237203,1.359636952196219,1.3240333266917712,1.277909345405813,1.22535002397331,1.197476691604368,1.1687481443808896,1.1242648412378538,1.0817072878559186,1.0428829596014093,1.0453091010327173,1.025945459734089,0.9964951354347964,0.9998250145492669,1.017447899370932,1.0347311243922137,1.085795336167673,1.166937636337776,0.8931566738450126,0.8588207072384233,0.8466809020515149,0.7835618000392428,0.695602042447164,0.619703240445476,0.6287588133378338,0.6114149347807694,0.5802845075402959,0.5398710566482795,0.4979048752402259,0.45539281201012793,0.40584493862923615,0.3663716175418517,0.3360812417719688,0.29871563105303334,1.2205159371714285
England and Wales,1.019156553282625,1.0573690413623504,1.1024717083421407,1.137923485010729,1.1714464092888228,1.1685597590618115,1.1795197502222323,1.2049958470018376,1.241866092438693,1.2164629076051203,1.1973699202827182,1.1783697299825389,1.1886403718350167,1.1492745493362329,1.1309769650614572,1.0860665204848432,1.067719223519591,1.0391808250066235,1.0275347987176247,1.0766675078053896,1.1096833626406215,1.1547661445442212,1.1790690218285773,1.2242909992655115,1.2278603704417357,1.233110030556071,1.2708253917310297,1.2786634259295162,1.328717476880782,1.3457457304587201,1.3228116092521547,1.3259136811378982,1.3487881471158918,1.3272294103458473,1.3246045802886797,1.3245979519299493,1.299565955185269,1.3105789732155315,1.309124048474248,1.316166679625108,1.3166538639917793,1.2577211265213823,1.1718606817094617,1.1537056071473857,1.1771865679491944,1.2003095973795712,1.2240225507369376,1.274785836072337,1.328634622396654,1.3816283504447728,1.346338968565075,1.3785594203526803,1.3742675580748622,1.3869774359400613,1.3926513110131307,1.3976457793163524,1.381456013117787,1.3474757320873079,1.3131308913266666,1.2659701189611425,1.2134072342304882,1.1833575699270305,1.1558366244791518,1.111529360546988,1.0688195310688076,1.0313063348351206,1.0364366844923119,1.0177712263080088,0.9896504143950453,0.9929679079395209,1.01271378859685,1.029911065322409,1.083448318786406,1.1640160191522448,0.8936187531116001,0.8603245072096989,0.8472069852825911,0.7816061189295916,0.6920569924843029,0.6150487207565927,0.6253458760439914,0.6094411292708255,0.5786689738657734,0.5385707177273001,0.49635470097452117,0.45435410588047437,0.4047043848117523,0.36669737585266377,0.3362002973349159,0.2998768914933036,1.2340843992894135
England,1.0259905374392837,1.0644960745355183,1.1084904009196523,1.1444090660236943,1.1774433163488909,1.1745413990531839,1.1857255073279538,1.2110131436900626,1.247645911482071,1.2197819046378868,1.2004731280358116,1.1819799687195018,1.191102280507937,1.1519841553215353,1.1332704642927653,1.0873683635706815,1.0699393572795768,1.0414977673789492,1.0286229159753173,1.0738004124993175,1.104394811973962,1.1501498915544055,1.1754550304333764,1.2237724784824058,1.2299473664312928,1.2364758052207907,1.2721074290482972,1.2792099503908663,1.329666206000423,1.3482398768942974,1.327086335014975,1.3299287437533518,1.3554789178683895,1.334577412231879,1.3327291464512596,1.3315284737945317,1.308442654053653,1.3186851269212512,1.3176839829567493,1.3229487400288162,1.3239673865101802,1.2658660315353347,1.178433958803276,1.1602138387500123,1.1835201902033512,1.2062244550766401,1.2286591811902552,1.2779427681700628,1.3304538192592095,1.3816521815837117,1.3468221730284815,1.3776686087459378,1.3737550459756114,1.3856322539181134,1.3912260583071845,1.3940964710725403,1.3770315171321637,1.3434511882808748,1.3083271374423642,1.2602162190923054,1.2075021388075606,1.1768412297688409,1.1489107133605811,1.1049723950304053,1.0617271763679617,1.0248248698162796,1.028220358087493,1.0093141393732419,0.9818771939404887,0.9845375765035012,1.0048299945532166,1.0219404550374345,1.075151606801058,1.1566118207798282,0.8879096814121871,0.8542103354462371,0.841622525319141,0.7760370941341365,0.6855560829647304,0.6088285495454246,0.6216508933984707,0.6061926705060188,0.5754687524065961,0.5356820310760687,0.49351146694894726,0.4522580347053906,0.40203981332515615,0.36445840911923133,0.33472863397756597,0.29884497390724785,1.2304934449573848
London,1.2505263908415791,1.2702005966876926,1.2946652377058494,1.32334100545664,1.3313399181392613,1.3138046973001998,1.2992774241273053,1.3390714576960012,1.3614193948009297,1.2716043055985704,1.2349296251651587,1.2158347277584551,1.21554507353875,1.1694454904180156,1.1365585959345916,1.0825046623188825,1.0597333844313086,1.0550989169160292,0.995296461093868,0.9236627444514506,0.9377666768416996,1.0134109903723394,1.1948682184705812,1.3949747220990574,1.5311122053603856,1.6123490734407133,1.6300179808427155,1.6683860244067101,1.7065981003139405,1.758089708139952,1.7452557980976402,1.7793681527413543,1.8134136641035983,1.774332625537253,1.756975653448779,1.7226850500544773,1.6657122931478952,1.6613451987584975,1.651251863256471,1.625851416297729,1.5952149122904742,1.5365933544409562,1.4350361287936348,1.3956431549137611,1.3682819716985546,1.3384030248812975,1.3210683338866471,1.3062068443064008,1.3067861527458107,1.3069644014963984,1.2915458845705654,1.2986981156878954,1.2819204520388314,1.264474355575064,1.2661677187056466,1.2351747171972167,1.2107323572728832,1.1689107441662525,1.1114478031955546,1.0596219789621912,1.0243732885334806,0.9633230914572058,0.9200532072520504,0.8780087832071852,0.84073251324054,0.7983761538821463,0.7745576645848699,0.7416930511952693,0.7160697932982926,0.6920507741566049,0.6899563513371998,0.6824030605310476,0.6828932445951637,0.7029685101300993,0.588577374440466,0.5433244728850228,0.5241181700092021,0.4982275389863439,0.45154864742619943,0.40531537774252413,0.4164113624666062,0.40774401696928103,0.3876687514343454,0.356363814612387,0.3333251635989314,0.3071448783563683,0.2679969965085526,0.24703048722067864,0.22243215963958102,0.1976333022140723,0.8511600651499184
Lewisham,1.335838165318911,1.3241373930679425,1.3449387659585532,1.2883850334122051,1.2766842611612366,1.2656335318130996,1.276034218258405,1.3143867495254686,1.3442887230557217,1.1882784263761408,1.189578512181804,1.1382251228581086,1.1115733638420136,1.129774565121298,1.125224264801477,1.0108167139031177,0.9471125094256221,0.9542629813567696,0.8931589484906004,0.8398554304584103,0.8977092488104215,0.9939155984294964,1.1850282118619828,1.3741906965859747,1.502899191346629,1.6400582438440936,1.616006656439325,1.7915182402038534,1.9267271639928236,1.9098260485192022,1.9546790088145818,2.195194882862269,2.0209833849034036,1.963779609454224,1.9754803817051925,1.9215268207701708,1.8909748043370862,1.9481785797862659,1.7694167815075794,1.815569827608622,1.8051691411633168,1.675810603499831,1.5620530955043033,1.476247432330534,1.4768974752333655,1.4053927559218908,1.3650900959463323,1.3793910398086273,1.3767908681973011,1.3852414259341117,1.24938245924231,1.3208871785537846,1.274734132452742,1.2311812579630255,1.279284432772563,1.2734340466470786,1.316986921136795,1.2532827166592995,1.170727267999688,1.0199173145427598,1.0225174861540862,0.9055097636444005,0.8502561169037156,0.8697574039886633,0.7943524272601992,0.7215476221430615,0.7085467640864297,0.6110403286616917,0.5928391273824073,0.5720377544917965,0.4810317480953743,0.5297849658077433,0.5200343222652695,0.527184794196417,0.42382797264619465,0.396526170727268,0.37442471203099403,0.3867755271847942,0.3458228243064042,0.3152708078733196,0.3328219662497725,0.317870979484646,0.3263215372214566,0.2925193062742141,0.25026651759016094,0.24961647468732936,0.2184144153514132,0.1787617982786864,0.1592605111937388,0.16056059699940195,0.6747445331391871
