"date","geography","geography code","Rural Urban","Qualification: All categories: Highest level of qualification; measures: Value","Qualification: No qualifications; measures: Value","Qualification: Level 1 qualifications; measures: Value","Qualification: Level 2 qualifications; measures: Value","Qualification: Apprenticeship; measures: Value","Qualification: Level 3 qualifications; measures: Value","Qualification: Level 4 qualifications and above; measures: Value","Qualification: Other qualifications; measures: Value"
"2011","E00016203","E00016203","Total",230,62,26,51,3,16,42,30
"2011","E00016204","E00016204","Total",235,38,19,17,3,18,129,11
"2011","E00016205","E00016205","Total",232,5,10,11,2,19,179,6
"2011","E00016206","E00016206","Total",213,20,18,16,2,18,133,6
"2011","E00016207","E00016207","Total",249,48,32,52,2,34,67,14
"2011","E00016208","E00016208","Total",230,35,17,26,0,25,105,22
"2011","E00016209","E00016209","Total",341,32,33,42,4,64,138,28
"2011","E00016210","E00016210","Total",279,61,27,37,2,29,94,29
"2011","E00016211","E00016211","Total",209,38,27,28,2,21,77,16
"2011","E00016212","E00016212","Total",263,59,17,34,5,28,109,11
"2011","E00016213","E00016213","Total",282,39,26,47,4,30,116,20
"2011","E00016214","E00016214","Total",326,47,21,31,2,32,159,34
"2011","E00016215","E00016215","Total",280,30,29,37,1,45,117,21
"2011","E00016216","E00016216","Total",295,17,17,17,3,35,185,21
"2011","E00016217","E00016217","Total",348,42,29,43,7,43,159,25
"2011","E00016218","E00016218","Total",213,11,16,29,1,31,112,13
"2011","E00016219","E00016219","Total",231,37,22,24,2,31,94,21
"2011","E00016220","E00016220","Total",226,27,9,20,4,21,133,12
"2011","E00016221","E00016221","Total",256,24,21,26,0,35,129,21
"2011","E00016222","E00016222","Total",300,49,33,22,1,31,128,36
"2011","E00016223","E00016223","Total",195,21,13,19,3,22,104,13
"2011","E00016224","E00016224","Total",292,15,19,24,1,24,197,12
"2011","E00016225","E00016225","Total",222,22,17,24,2,23,119,15
"2011","E00016226","E00016226","Total",268,29,33,35,3,35,107,26
"2011","E00016227","E00016227","Total",322,16,17,25,1,44,197,22
"2011","E00016228","E00016228","Total",248,26,21,27,4,17,140,13
"2011","E00016229","E00016229","Total",350,46,24,27,0,32,181,40
"2011","E00016230","E00016230","Total",291,34,28,30,1,41,138,19
"2011","E00016231","E00016231","Total",266,46,33,30,1,36,95,25
"2011","E00016232","E00016232","Total",249,38,25,25,2,32,99,28
"2011","E00016233","E00016233","Total",262,45,29,32,2,33,78,43
"2011","E00016235","E00016235","Total",255,29,18,17,0,36,136,19
"2011","E00016236","E00016236","Total",332,23,21,28,0,44,178,38
"2011","E00016237","E00016237","Total",259,27,25,22,4,51,107,23
"2011","E00016238","E00016238","Total",359,38,29,33,3,57,164,35
"2011","E00016239","E00016239","Total",270,59,26,26,1,38,89,31
"2011","E00016240","E00016240","Total",139,35,15,28,1,12,36,12
"2011","E00016241","E00016241","Total",242,55,28,33,4,28,68,26
"2011","E00016244","E00016244","Total",304,33,28,33,2,38,137,33
"2011","E00016245","E00016245","Total",189,34,18,21,3,26,65,22
"2011","E00016246","E00016246","Total",281,53,28,38,4,43,88,27
"2011","E00016247","E00016247","Total",236,18,21,18,3,21,139,16
"2011","E00016248","E00016248","Total",278,29,10,19,1,27,174,18
"2011","E00016249","E00016249","Total",203,60,21,29,2,16,61,14
"2011","E00016250","E00016250","Total",221,36,29,16,2,40,78,20
"2011","E00016252","E00016252","Total",311,50,22,33,2,38,145,21
"2011","E00016253","E00016253","Total",262,31,27,26,1,37,112,28
"2011","E00016254","E00016254","Total",270,35,30,34,2,32,127,10
"2011","E00016255","E00016255","Total",195,7,9,20,1,22,126,10
"2011","E00016256","E00016256","Total",258,64,44,37,6,29,64,14
"2011","E00016257","E00016257","Total",326,37,28,57,2,31,142,29
"2011","E00016258","E00016258","Total",280,37,44,44,8,32,105,10
"2011","E00016259","E00016259","Total",248,55,25,33,7,23,89,16
"2011","E00016260","E00016260","Total",290,43,29,43,4,50,105,16
"2011","E00016261","E00016261","Total",288,38,42,40,7,40,99,22
"2011","E00016262","E00016262","Total",207,32,44,33,1,22,65,10
"2011","E00016263","E00016263","Total",191,39,15,25,1,25,79,7
"2011","E00016264","E00016264","Total",252,47,32,42,7,29,75,20
"2011","E00016265","E00016265","Total",345,66,47,46,2,40,113,31
"2011","E00016266","E00016266","Total",293,38,53,47,4,26,104,21
"2011","E00016267","E00016267","Total",218,43,35,21,6,19,77,17
"2011","E00016268","E00016268","Total",358,66,38,55,11,36,104,48
"2011","E00016269","E00016269","Total",267,51,40,42,4,23,93,14
"2011","E00016270","E00016270","Total",254,39,36,37,5,36,81,20
"2011","E00016271","E00016271","Total",309,62,43,55,8,27,90,24
"2011","E00016272","E00016272","Total",281,50,33,32,5,28,97,36
"2011","E00016273","E00016273","Total",317,58,38,43,5,34,106,33
"2011","E00016274","E00016274","Total",242,56,30,27,5,22,86,16
"2011","E00016275","E00016275","Total",308,52,53,44,7,37,100,15
"2011","E00016276","E00016276","Total",312,78,37,48,0,25,93,31
"2011","E00016277","E00016277","Total",269,37,32,34,0,40,103,23
"2011","E00016278","E00016278","Total",226,26,40,23,4,28,84,21
"2011","E00016279","E00016279","Total",258,41,35,41,7,27,76,31
"2011","E00016280","E00016280","Total",220,26,22,31,2,30,90,19
"2011","E00016281","E00016281","Total",267,50,49,31,2,14,103,18
"2011","E00016282","E00016282","Total",287,51,34,37,1,34,104,26
"2011","E00016283","E00016283","Total",273,45,31,41,5,26,109,16
"2011","E00016284","E00016284","Total",222,36,20,36,3,28,83,16
"2011","E00016285","E00016285","Total",206,31,32,23,2,21,83,14
"2011","E00016286","E00016286","Total",289,59,42,44,3,31,94,16
"2011","E00016287","E00016287","Total",248,41,42,39,3,26,72,25
"2011","E00016288","E00016288","Total",347,47,54,50,5,38,127,26
"2011","E00016289","E00016289","Total",282,48,35,39,5,39,89,27
"2011","E00016290","E00016290","Total",234,54,36,27,4,23,75,15
"2011","E00016291","E00016291","Total",309,79,39,42,2,27,99,21
"2011","E00016292","E00016292","Total",235,52,31,33,10,21,62,26
"2011","E00016293","E00016293","Total",265,47,26,43,2,24,103,20
"2011","E00016294","E00016294","Total",278,42,31,49,7,33,102,14
"2011","E00016295","E00016295","Total",262,41,28,51,5,27,86,24
"2011","E00016296","E00016296","Total",235,34,27,26,3,32,91,22
"2011","E00016297","E00016297","Total",265,49,53,38,7,29,71,18
"2011","E00016298","E00016298","Total",333,41,52,57,11,41,105,26
"2011","E00016299","E00016299","Total",294,44,26,54,4,23,112,31
"2011","E00016300","E00016300","Total",280,21,30,33,2,54,116,24
"2011","E00016301","E00016301","Total",318,57,29,35,5,18,154,20
"2011","E00016302","E00016302","Total",232,25,22,31,3,32,96,23
"2011","E00016303","E00016303","Total",313,59,19,32,1,32,159,11
"2011","E00016304","E00016304","Total",288,30,21,25,6,31,161,14
"2011","E00016305","E00016305","Total",208,43,25,33,0,22,76,9
"2011","E00016306","E00016306","Total",280,51,34,32,1,27,116,19
"2011","E00016307","E00016307","Total",271,70,31,36,0,26,91,17
"2011","E00016308","E00016308","Total",247,48,31,38,4,20,80,26
"2011","E00016309","E00016309","Total",255,33,20,28,2,29,118,25
"2011","E00016310","E00016310","Total",202,32,13,33,3,16,88,17
"2011","E00016311","E00016311","Total",247,37,21,23,6,16,121,23
"2011","E00016312","E00016312","Total",280,21,25,22,5,36,152,19
"2011","E00016313","E00016313","Total",183,20,5,9,5,16,113,15
"2011","E00016314","E00016314","Total",224,59,24,24,4,19,77,17
"2011","E00016315","E00016315","Total",346,53,41,48,7,34,142,21
"2011","E00016316","E00016316","Total",266,32,27,37,4,25,127,14
"2011","E00016317","E00016317","Total",216,25,22,35,3,16,95,20
"2011","E00016318","E00016318","Total",230,39,15,24,3,20,124,5
"2011","E00016319","E00016319","Total",202,63,28,21,2,14,59,15
"2011","E00016320","E00016320","Total",226,37,20,36,2,24,89,18
"2011","E00016321","E00016321","Total",265,37,26,32,3,30,107,30
"2011","E00016322","E00016322","Total",287,59,40,36,4,31,95,22
"2011","E00016323","E00016323","Total",203,43,24,28,2,25,70,11
"2011","E00016324","E00016324","Total",326,51,33,32,2,25,165,18
"2011","E00016325","E00016325","Total",254,42,26,21,2,27,121,15
"2011","E00016326","E00016326","Total",245,22,24,41,4,32,98,24
"2011","E00016327","E00016327","Total",248,33,30,18,0,29,119,19
"2011","E00016328","E00016328","Total",221,9,26,19,2,23,135,7
"2011","E00016329","E00016329","Total",297,55,20,26,2,41,137,16
"2011","E00016330","E00016330","Total",213,41,20,27,2,11,89,23
"2011","E00016331","E00016331","Total",306,57,20,47,6,27,122,27
"2011","E00016332","E00016332","Total",320,63,36,46,9,38,107,21
"2011","E00016333","E00016333","Total",226,29,26,23,7,20,114,7
"2011","E00016334","E00016334","Total",373,61,41,26,5,34,179,27
"2011","E00016335","E00016335","Total",187,20,19,22,0,21,94,11
"2011","E00016336","E00016336","Total",279,44,19,31,4,29,128,24
"2011","E00016337","E00016337","Total",262,30,29,29,2,26,118,28
"2011","E00016338","E00016338","Total",317,38,24,41,2,31,166,15
"2011","E00016339","E00016339","Total",254,35,26,39,6,27,109,12
"2011","E00016340","E00016340","Total",265,36,21,33,2,25,140,8
"2011","E00016341","E00016341","Total",238,33,27,37,3,24,100,14
"2011","E00016342","E00016342","Total",225,32,16,29,2,28,105,13
"2011","E00016343","E00016343","Total",297,40,20,28,8,31,147,23
"2011","E00016344","E00016344","Total",373,37,35,35,3,59,174,30
"2011","E00016345","E00016345","Total",224,32,12,19,7,21,125,8
"2011","E00016346","E00016346","Total",195,58,43,27,5,22,25,15
"2011","E00016348","E00016348","Total",175,39,28,35,1,14,38,20
"2011","E00016349","E00016349","Total",219,62,32,46,2,23,38,16
"2011","E00016350","E00016350","Total",257,57,49,43,5,30,52,21
"2011","E00016351","E00016351","Total",382,100,64,69,10,35,72,32
"2011","E00016352","E00016352","Total",212,72,30,37,5,20,33,15
"2011","E00016353","E00016353","Total",233,70,33,34,3,29,47,17
"2011","E00016354","E00016354","Total",178,76,26,17,10,8,30,11
"2011","E00016356","E00016356","Total",255,68,48,31,6,28,43,31
"2011","E00016357","E00016357","Total",234,73,39,38,7,24,37,16
"2011","E00016358","E00016358","Total",207,63,27,24,2,11,51,29
"2011","E00016359","E00016359","Total",239,74,26,32,7,20,57,23
"2011","E00016360","E00016360","Total",337,88,42,52,5,45,79,26
"2011","E00016361","E00016361","Total",185,52,41,23,7,17,35,10
"2011","E00016362","E00016362","Total",243,79,48,35,5,22,47,7
"2011","E00016363","E00016363","Total",255,66,51,34,5,26,59,14
"2011","E00016364","E00016364","Total",210,70,35,32,7,30,25,11
"2011","E00016365","E00016365","Total",161,69,18,19,2,12,26,15
"2011","E00016366","E00016366","Total",208,49,33,40,2,24,47,13
"2011","E00016367","E00016367","Total",140,50,18,13,8,14,29,8
"2011","E00016368","E00016368","Total",226,42,29,40,7,24,71,13
"2011","E00016369","E00016369","Total",235,82,29,41,1,13,50,19
"2011","E00016370","E00016370","Total",253,80,29,34,2,28,59,21
"2011","E00016371","E00016371","Total",200,65,29,31,4,12,49,10
"2011","E00016372","E00016372","Total",220,62,29,39,5,26,29,30
"2011","E00016373","E00016373","Total",230,84,21,33,4,20,51,17
"2011","E00016374","E00016374","Total",204,57,44,33,10,19,19,22
"2011","E00016375","E00016375","Total",190,40,33,29,3,15,55,15
"2011","E00016376","E00016376","Total",204,68,26,34,3,19,37,17
"2011","E00016377","E00016377","Total",207,68,38,27,7,20,29,18
"2011","E00016378","E00016378","Total",217,72,33,29,4,22,40,17
"2011","E00016379","E00016379","Total",227,81,27,36,5,24,40,14
"2011","E00016380","E00016380","Total",181,69,23,28,0,16,34,11
"2011","E00016381","E00016381","Total",244,63,45,38,2,20,50,26
"2011","E00016382","E00016382","Total",192,78,26,22,3,18,36,9
"2011","E00016383","E00016383","Total",243,78,28,37,4,33,44,19
"2011","E00016384","E00016384","Total",267,50,30,42,4,30,84,27
