date,Name,Code,Total,No qualifications,Level 1 qualifications,Level 2 qualifications,Apprenticeship,Level 3 qualifications,Level 4 qualifications and above,Other qualifications
2011,England,E92000001,42989620,9656810,5714441,6544614,1532934,5309631,11769361,2461829
2011,London,E12000007,6549173,1152517,702687,775928,107665,685508,2470225,654643
