WD22CD_proposed,No qualifications,Level 1 qualifications,Level 2 qualifications,Apprenticeship,Level 3 qualifications,Level 4 qualifications and above,Other qualifications
E05013714,26.906806819638508,16.010767850275606,15.357005512113831,1.7433662350980643,10.062812459941034,21.189591078066915,8.729650044866043
E05013715,13.923750887994316,7.530191806772437,10.450706448812062,0.9393006551424737,8.714184229220933,51.38527113426474,7.056594837793038
E05013716,11.14726269627953,7.943131984722026,9.753854859244589,0.7356061677747914,13.615787240062243,48.23171594284906,8.57264110906776
E05013717,19.73871733966746,13.776722090261282,14.806017418844021,1.955661124307205,10.807600950118765,30.783847980997624,8.131433095803642
E05013718,15.25917297612114,9.509942590897746,11.648223645894001,1.3062650802895415,10.333638405857393,45.078625509609786,6.864131791330394
E05013719,18.838934962898296,11.14797031863815,12.3701440419031,1.1697948494107377,13.033609777389787,32.29157573112178,11.14797031863815
E05013720,30.316814300534674,15.345942063682068,15.162397254808075,2.098794988428697,9.879498842869683,19.77495810390232,7.421594445774479
E05013721,17.552634639990693,10.771199255554263,12.260090729324183,1.0119809235779924,10.398976387111784,36.152146097475864,11.852971966965221
E05013722,13.937014594179397,9.746522147307331,11.15473244004438,1.2289835282068788,10.045233421524282,46.41119740547922,7.476316463258513
E05013723,22.734177215189874,13.729957805907173,13.924050632911392,2.042194092827004,10.89451476793249,29.08016877637131,7.594936708860759
E05013724,18.368167202572348,12.332529474812434,13.243569131832798,1.547427652733119,11.012861736334406,35.34967845659164,8.145766345123258
E05013725,14.15929203539823,10.115959719255416,11.344217271895026,1.418980775099176,10.817821177906621,42.630454684162345,9.513274336283185
E05013726,14.610085891657453,9.490602942427078,11.267964963007058,1.437197040564674,9.966833914448507,46.12637129007569,7.100943957819543
E05013727,14.585260561208758,8.66481652790626,10.946654332408263,1.171754548257786,8.0172679617638,46.53098982423682,10.083256244218317
E05013728,18.95691609977324,10.53665910808768,11.625094482237339,1.1186696900982616,11.625094482237339,34.89040060468632,11.24716553287982
E05013729,16.653928993260614,10.873341207531439,13.110539845758355,1.6188424928784826,10.435628430487043,40.0819842979226,7.2257347321614676
E05013730,18.099924299772898,12.02119606358819,13.595760787282362,1.9303557910673732,11.112793338380015,33.17183951551855,10.068130204390613
E05013731,19.17999689392763,11.616710669358596,12.983382512812549,1.5530361857431279,10.397577263550241,36.05373505202671,8.215561422581146
E05013732,14.40793458509994,9.168685645063597,11.21290127195639,1.067534827377347,12.174439733494852,43.68564506359782,8.282858873410055
