LSOA11CD,Total,No qualifications,Level 1 qualifications,Level 2 qualifications,Apprenticeship,Level 3 qualifications,Level 4 qualifications and above,Other qualifications
E01003337,1107,223,170,217,10,144,257,86
E01003338,1407,321,159,205,12,141,394,175
E01003339,1432,218,139,159,20,158,607,131
E01003340,1678,163,111,116,12,259,894,123
E01003341,1216,138,69,108,7,149,667,78
E01003342,1339,144,96,151,12,126,707,103
E01003343,1106,140,98,114,18,145,513,78
E01003344,1455,170,111,152,17,193,716,96
E01003345,1457,184,125,120,20,185,709,114
E01003346,1153,348,168,200,18,114,231,74
E01003347,1153,310,197,194,13,120,209,110
E01003348,1145,304,181,190,31,116,248,75
E01003349,997,280,163,159,13,101,211,70
E01003350,1017,286,161,147,25,99,213,86
E01003351,1069,336,158,159,22,118,205,71
E01003352,1404,365,203,217,42,146,306,125
E01003353,1360,288,217,169,28,164,365,129
E01003354,1276,223,171,213,24,144,411,90
E01032564,935,273,164,137,20,95,176,70
E01032565,1053,372,155,136,22,121,188,59
E01032579,1175,193,112,149,18,134,457,112
E01033320,1219,191,130,138,15,134,509,102
E01033322,1071,95,95,95,6,111,565,104
E01033324,1328,260,119,154,12,135,565,83
E01033325,1140,16,31,45,2,69,860,117
E01033327,1311,160,106,127,13,127,620,158
E01033341,989,157,122,108,10,90,375,127
