OA11CD,No qualifications,Level 1 qualifications,Level 2 qualifications,Apprenticeship,Level 3 qualifications,Level 4 qualifications and above,Other qualifications
E00016414,23.61111111111111,9.375,14.583333333333334,1.3888888888888888,12.847222222222221,27.77777777777778,10.416666666666666
E00016415,23.77358490566038,16.9811320754717,14.339622641509434,2.2641509433962264,8.679245283018869,20.754716981132077,13.20754716981132
E00016416,23.076923076923077,18.681318681318682,14.285714285714286,0.5494505494505495,11.538461538461538,21.428571428571427,10.43956043956044
E00016417,27.530364372469634,12.145748987854251,15.384615384615385,1.6194331983805668,10.121457489878543,24.696356275303643,8.502024291497976
E00016418,16.24203821656051,10.509554140127388,14.331210191082803,0.9554140127388535,7.006369426751593,43.94904458598726,7.006369426751593
E00016419,26.436781609195403,18.39080459770115,16.47509578544061,0.7662835249042146,11.494252873563218,18.007662835249043,8.42911877394636
E00016420,31.555555555555557,13.777777777777779,15.11111111111111,0.4444444444444444,7.555555555555555,17.333333333333332,14.222222222222221
E00016421,34.59715639810427,12.796208530805687,12.322274881516588,0.9478672985781991,8.056872037914692,20.379146919431278,10.90047393364929
E00016422,26.29310344827586,17.24137931034483,15.948275862068966,1.293103448275862,12.068965517241379,17.67241379310345,9.482758620689655
E00016423,22.727272727272727,16.115702479338843,13.223140495867769,0.4132231404958678,10.743801652892563,23.553719008264462,13.223140495867769
E00016424,23.14814814814815,18.98148148148148,18.055555555555557,1.8518518518518519,12.962962962962964,17.12962962962963,7.87037037037037
E00016426,23.214285714285715,9.821428571428571,9.375,0.44642857142857145,12.5,30.803571428571427,13.839285714285714
E00016427,26.94610778443114,16.766467065868262,13.173652694610778,0.0,8.982035928143713,18.562874251497007,15.568862275449101
E00016428,13.571428571428571,12.142857142857142,7.5,0.7142857142857143,14.285714285714286,38.57142857142857,13.214285714285714
E00016429,14.035087719298245,10.087719298245615,8.771929824561404,0.8771929824561403,9.649122807017545,50.87719298245614,5.701754385964913
E00016430,27.272727272727273,11.004784688995215,11.004784688995215,3.349282296650718,11.004784688995215,22.00956937799043,14.354066985645932
E00016431,22.058823529411764,15.196078431372548,11.27450980392157,0.9803921568627451,12.745098039215685,27.941176470588236,9.803921568627452
E00016432,16.825396825396826,10.158730158730158,9.841269841269842,0.31746031746031744,12.063492063492063,41.26984126984127,9.523809523809524
E00016433,27.7992277992278,9.652509652509652,10.038610038610038,1.1583011583011582,8.494208494208495,31.274131274131275,11.583011583011583
E00016434,22.635135135135137,14.18918918918919,18.91891891891892,0.0,10.81081081081081,26.35135135135135,7.094594594594595
E00016435,22.22222222222222,14.141414141414142,17.171717171717173,2.0202020202020203,10.774410774410775,21.54882154882155,12.121212121212121
E00016436,19.753086419753085,11.728395061728396,12.962962962962964,0.6172839506172839,9.25925925925926,37.65432098765432,8.024691358024691
E00016437,19.07514450867052,14.16184971098266,13.872832369942197,0.5780346820809249,12.138728323699421,25.14450867052023,15.028901734104046
E00016438,4.524886877828054,4.97737556561086,9.049773755656108,0.0,6.334841628959276,55.65610859728507,19.457013574660632
E00016439,16.151202749140893,8.24742268041237,11.34020618556701,1.7182130584192439,14.0893470790378,36.76975945017182,11.683848797250858
E00016440,17.67241379310345,14.224137931034482,18.103448275862068,0.43103448275862066,9.482758620689655,27.155172413793103,12.931034482758621
E00016441,17.045454545454547,11.647727272727273,15.625,1.1363636363636365,8.806818181818182,38.06818181818182,7.670454545454546
E00016442,16.8141592920354,13.274336283185841,10.619469026548673,0.8849557522123894,12.831858407079647,33.6283185840708,11.946902654867257
E00016443,7.086614173228346,5.511811023622047,14.960629921259843,3.1496062992125986,9.84251968503937,55.511811023622045,3.937007874015748
E00016444,10.37344398340249,11.203319502074688,9.12863070539419,0.8298755186721992,9.54356846473029,52.697095435684645,6.224066390041494
E00016445,14.979757085020243,4.4534412955465585,8.097165991902834,0.8097165991902834,8.906882591093117,56.68016194331984,6.0728744939271255
E00016446,10.204081632653061,7.8231292517006805,8.503401360544217,1.3605442176870748,8.16326530612245,57.48299319727891,6.462585034013605
E00016447,17.316017316017316,12.121212121212121,9.956709956709958,1.2987012987012987,7.792207792207792,43.722943722943725,7.792207792207792
E00016448,8.646616541353383,8.646616541353383,12.781954887218046,1.5037593984962405,10.150375939849624,51.50375939849624,6.7669172932330826
E00016449,13.425925925925926,10.185185185185185,10.648148148148149,1.3888888888888888,8.796296296296296,46.2962962962963,9.25925925925926
E00016450,8.5,10.5,11.5,1.0,11.0,49.0,8.5
E00016451,9.090909090909092,8.677685950413224,8.264462809917354,1.2396694214876034,10.330578512396695,54.95867768595041,7.43801652892562
E00016452,12.698412698412698,4.365079365079365,8.333333333333334,2.380952380952381,7.142857142857143,57.142857142857146,7.936507936507937
E00016453,10.21505376344086,10.21505376344086,9.67741935483871,0.5376344086021505,9.67741935483871,50.0,9.67741935483871
E00016454,12.796208530805687,8.530805687203792,8.530805687203792,1.8957345971563981,4.739336492890995,55.92417061611374,7.5829383886255926
E00016455,13.432835820895523,6.965174129353234,11.940298507462687,1.9900497512437811,9.950248756218905,50.74626865671642,4.975124378109452
E00016456,13.733905579399142,6.008583690987124,10.729613733905579,1.2875536480686696,10.729613733905579,54.93562231759657,2.575107296137339
E00016457,7.522123893805309,5.3097345132743365,5.3097345132743365,0.0,11.061946902654867,60.176991150442475,10.619469026548673
E00016458,13.636363636363637,8.264462809917354,14.049586776859504,2.479338842975207,8.264462809917354,48.34710743801653,4.958677685950414
E00016459,9.89010989010989,4.945054945054945,8.791208791208792,0.0,5.4945054945054945,68.13186813186813,2.7472527472527473
E00016460,19.10112359550562,14.9812734082397,12.359550561797754,0.37453183520599254,8.239700374531836,39.325842696629216,5.617977528089888
E00016462,4.3478260869565215,6.956521739130435,8.695652173913043,0.43478260869565216,7.391304347826087,64.34782608695652,7.826086956521739
E00016463,13.636363636363637,10.047846889952153,9.330143540669857,0.23923444976076555,14.5933014354067,44.97607655502392,7.177033492822966
E00016464,19.402985074626866,15.92039800995025,17.412935323383085,0.4975124378109453,12.935323383084578,25.37313432835821,8.457711442786069
E00016465,42.16867469879518,6.42570281124498,8.835341365461847,0.8032128514056225,6.024096385542169,24.096385542168676,11.646586345381525
E00016466,10.909090909090908,7.2727272727272725,15.909090909090908,1.3636363636363635,12.272727272727273,50.45454545454545,1.8181818181818181
