OA11CD,Total,No qualifications,Level 1 qualifications,Level 2 qualifications,Apprenticeship,Level 3 qualifications,Level 4 qualifications and above,Other qualifications
E00016780,344,80,37,47,4,34,97,45
E00016781,205,41,30,27,4,19,65,19
E00016782,353,68,45,36,4,32,123,45
E00016783,280,52,32,49,4,34,87,22
E00016784,219,27,34,31,3,23,82,19
E00016785,180,54,15,25,3,17,54,12
E00016786,190,38,32,25,3,21,58,13
E00016787,361,81,60,62,5,42,79,32
E00016788,219,46,25,28,3,31,58,28
E00016789,297,47,19,34,13,32,122,30
E00016790,136,20,17,13,2,13,58,13
E00016791,234,35,35,32,2,25,83,22
E00016792,277,34,34,44,3,25,99,38
E00016793,205,36,22,44,1,35,52,15
E00016794,174,40,19,15,3,21,57,19
E00016795,228,42,34,35,7,24,69,17
E00016796,277,38,27,36,3,31,115,27
E00016797,310,48,23,28,8,37,136,30
E00016798,290,24,26,38,17,48,99,38
E00016799,299,58,37,52,11,37,89,15
E00016800,183,35,24,23,6,23,57,15
E00016801,196,41,28,29,6,23,49,20
E00016802,295,35,34,45,10,38,108,25
E00016803,195,40,24,24,0,28,59,20
E00016804,346,83,40,50,7,38,87,41
E00016805,283,76,27,43,9,22,69,37
E00016806,191,27,20,31,8,33,60,12
E00016807,335,58,46,59,2,41,91,38
E00016808,178,39,17,29,3,17,50,23
E00016809,270,39,30,37,8,18,115,23
E00016810,343,74,48,38,2,40,99,42
E00016811,268,41,28,38,2,34,97,28
E00016812,236,32,26,22,1,19,112,24
E00016813,258,38,33,32,3,37,100,15
E00016814,266,34,35,35,7,26,108,21
E00016815,216,33,25,31,4,20,74,29
E00016816,185,34,20,24,3,20,55,29
E00016817,235,52,27,30,2,32,74,18
E00016818,232,44,40,29,2,22,72,23
E00016819,221,48,28,30,1,20,72,22
E00016820,177,34,26,16,4,17,54,26
E00016821,322,60,34,38,6,34,129,21
E00016822,226,26,34,42,4,18,68,34
E00016823,198,34,17,35,3,21,68,20
E00016824,203,34,22,25,0,22,71,29
E00016825,185,38,31,31,1,23,38,23
E00016826,246,65,28,35,2,24,78,14
E00016827,287,74,24,22,3,22,106,36
E00016828,193,27,17,19,5,18,95,12
E00016829,219,29,19,31,1,16,100,23
E00016830,285,46,34,33,6,26,118,22
E00016831,205,49,27,37,4,16,55,17
E00016832,198,29,16,29,3,15,82,24
E00016833,282,30,32,38,6,26,122,28
E00016834,264,46,30,38,2,31,102,15
E00016835,252,48,22,26,9,23,108,16
E00016836,252,51,25,26,1,31,109,9
E00016837,216,45,18,21,7,25,82,18
E00016838,191,41,23,25,3,27,48,24
E00016839,216,21,26,27,3,17,103,19
E00016840,259,49,23,26,3,30,109,19
E00016841,249,47,51,36,6,32,53,24
E00016842,199,35,25,25,5,27,69,13
E00016843,194,28,21,30,2,22,69,22
E00016844,222,34,25,39,5,19,93,7
E00016845,239,35,23,35,5,31,95,15
E00016846,249,35,35,24,9,19,108,19
E00016847,168,48,19,32,3,19,36,11
E00016848,201,25,14,27,1,23,98,13
E00016849,205,49,16,22,2,27,64,25
E00016850,164,29,22,28,0,16,55,14
E00016851,253,27,17,21,3,25,147,13
E00016852,169,25,14,20,3,17,81,9
E00016853,172,51,28,31,4,16,32,10
E00016854,220,50,22,37,3,17,75,16
E00016855,179,10,6,21,0,17,113,12
E00016856,299,35,30,24,0,26,161,23
E00016857,224,45,16,24,3,24,100,12
E00016858,171,38,29,37,3,27,30,7
E00016859,307,29,29,36,3,34,145,31
E00016860,292,38,31,29,3,31,129,31
E00016861,386,63,44,46,9,57,123,44
E00016862,286,30,46,22,2,23,125,38
E00016863,331,85,42,50,7,30,90,27
E00016864,247,54,45,32,2,28,71,15
E00016865,302,65,45,41,8,35,88,20
E00016866,306,46,17,39,2,49,108,45
E00016867,221,42,25,18,1,19,97,19
E00016868,194,50,29,27,1,22,46,19
E00016869,186,53,20,17,4,19,60,13
E00016870,266,42,24,35,2,28,114,21
E00016871,211,54,23,40,1,16,66,11
E00016872,274,29,34,46,4,28,113,20
E00016873,226,45,40,38,1,21,63,18
E00016874,173,62,35,21,10,14,24,7
E00016875,195,47,29,34,3,12,51,19
E00016876,167,53,16,25,2,18,38,15
E00016877,155,43,24,19,8,23,32,6
E00016878,206,66,23,27,3,26,39,22
E00016879,357,38,20,38,2,43,204,12
E00016880,274,69,31,29,5,45,74,21
E00016881,193,47,29,24,1,18,51,23
E00016883,293,43,23,32,2,42,136,15
E00016884,270,34,15,19,1,32,150,19
E00016885,236,31,12,25,3,34,117,14
E00016886,292,28,10,29,1,42,159,23
E00016887,194,25,19,19,5,29,89,8
E00016888,264,39,17,25,8,31,126,18
E00016889,217,33,30,21,4,33,83,13
E00016890,214,23,30,28,0,20,87,26
E00016891,335,37,28,40,3,40,162,25
E00016892,261,22,19,28,1,38,138,15
E00016893,297,38,24,22,3,32,154,24
E00016894,302,29,24,27,3,42,154,23
E00016895,245,28,7,21,6,29,137,17
E00016896,260,29,21,15,2,25,158,10
E00016897,362,25,23,35,5,52,195,27
E00016898,235,23,14,24,3,23,137,11
E00016899,263,24,25,15,3,25,151,20
E00016900,275,28,13,35,2,33,143,21
E00016901,160,24,11,20,2,17,67,19
E00016902,263,38,20,23,2,19,146,15
E00016903,295,28,26,18,5,44,143,31
E00016904,203,27,13,26,1,16,98,22
E00016905,225,38,22,39,1,24,80,21
E00016906,206,13,24,31,2,12,104,20
E00016907,240,57,32,31,5,32,62,21
E00016908,176,43,23,20,4,10,57,19
E00016909,275,47,41,47,3,48,64,25
E00016910,218,35,36,26,3,29,63,26
E00016911,309,77,33,55,1,38,77,28
E00016912,152,29,20,23,0,13,44,23
E00016913,292,59,51,59,3,41,67,12
E00016914,231,40,45,56,3,17,49,21
E00016915,219,34,27,40,2,20,62,34
E00016916,255,67,33,40,3,33,47,32
E00016917,418,39,31,24,4,76,205,39
E00016918,337,24,19,16,2,58,195,23
E00016919,295,38,22,28,4,34,148,21
E00016920,267,75,18,31,4,28,77,34
E00016921,238,52,32,31,2,19,60,42
E00016922,270,62,15,28,4,33,103,25
E00016923,309,32,52,30,5,40,138,12
E00016924,372,40,22,25,1,70,192,22
E00016925,361,28,12,43,2,36,219,21
E00016926,254,44,28,27,7,30,87,31
E00016927,256,22,17,23,1,21,154,18
E00016928,282,62,45,44,2,37,66,26
E00016929,202,57,33,32,4,18,46,12
E00016930,444,125,67,83,9,55,81,24
E00016931,193,55,34,32,1,20,40,11
E00016932,204,64,33,29,3,24,36,15
E00016933,349,92,58,54,4,40,75,26
E00016934,288,65,45,39,4,37,67,31
E00016935,328,73,48,40,10,44,86,27
E00016936,267,50,42,32,5,32,87,19
E00016937,322,83,44,50,9,30,78,28
E00016938,241,53,37,31,5,22,69,24
E00016939,236,47,45,27,4,29,56,28
E00016940,210,46,21,31,5,28,61,18
E00016941,286,45,41,44,5,30,108,13
E00016942,210,30,33,39,3,26,64,15
E00016943,177,28,18,27,3,19,68,14
E00016944,242,51,40,43,8,22,58,20
E00016945,151,23,18,29,0,19,52,10
E00016946,294,80,37,44,3,31,77,22
E00016947,238,98,45,24,2,16,34,19
E00016948,270,63,38,52,3,24,49,41
E00016949,229,51,48,34,4,22,49,21
E00016950,238,72,36,37,4,27,50,12
E00016951,227,55,43,39,1,24,46,19
E00016952,215,73,31,34,4,17,39,17
E00016953,194,86,23,26,7,23,21,8
E00016954,174,38,29,31,3,17,43,13
E00016955,230,77,46,32,2,25,34,14
E00016956,197,64,22,37,3,25,31,15
E00016957,191,47,31,25,2,23,47,16
E00016958,243,61,35,39,13,28,52,15
E00016959,250,75,24,33,11,30,53,24
E00016960,190,62,32,27,7,17,33,12
E00016961,224,66,34,35,2,22,46,19
E00016962,322,83,56,46,12,34,62,29
E00016963,254,65,36,40,8,18,61,26
E00016964,200,70,33,39,2,11,34,11
E00016965,238,55,40,32,7,23,55,26
E00016966,145,49,14,27,2,15,29,9
E00016967,238,62,38,41,7,21,51,18
E00016968,229,71,31,34,7,23,50,13
E00016969,206,57,40,31,7,18,35,18
E00016970,272,69,39,56,3,29,58,18
E00016971,234,42,36,47,6,27,62,14
E00165789,219,74,27,26,2,30,49,11
E00165790,186,62,31,29,3,26,31,4
E00165804,186,24,15,29,3,19,80,16
E00173700,375,31,51,17,11,29,194,42
E00173702,378,13,60,28,15,46,163,53
E00173704,197,29,29,20,0,16,80,23
E00173705,115,10,15,20,4,16,42,8
E00173707,113,1,9,5,1,15,76,6
E00173708,138,1,5,5,0,17,96,14
E00173710,241,50,13,31,1,29,108,9
E00173936,178,27,37,17,2,25,57,13
E00173937,182,3,9,18,0,14,115,23
E00173938,267,12,12,16,2,31,161,33
E00173939,141,35,13,24,1,15,40,13
E00173940,296,49,23,31,6,34,121,32
E00173941,506,16,31,46,3,236,117,57
E00173942,226,16,13,9,3,17,146,22
E00173943,255,38,21,43,3,32,86,32
E00173944,228,18,21,22,2,20,130,15
E00173945,206,27,27,17,3,17,100,15
E00173946,315,11,12,13,3,26,215,35
E00173947,244,44,42,41,4,30,59,24
E00173948,273,39,39,35,1,33,85,41
E00173949,319,35,18,23,2,43,153,45
E00173950,223,36,22,30,0,18,82,35
E00173951,250,62,30,40,2,24,75,17
E00173952,209,57,22,18,2,22,68,20
E00174008,202,0,7,7,0,14,154,20
E00174010,194,2,7,3,2,12,145,23
E00174011,99,16,8,8,0,9,42,16
E00174013,213,3,6,16,0,14,150,24
E00174015,173,5,3,5,0,8,131,21
E00174016,206,28,13,18,1,19,110,17
E00174018,343,4,10,12,1,18,273,25
E00174019,145,40,12,12,3,14,49,15
E00174021,91,2,8,9,1,3,59,9
E00174022,177,21,16,21,0,18,90,11
E00174024,236,21,18,20,2,20,126,29
E00174025,207,5,3,10,0,8,162,19
E00174027,151,1,5,4,0,13,118,10
E00174029,226,19,22,17,3,26,119,20
E00174030,178,16,15,20,1,21,94,11
E00174032,461,27,38,61,2,138,164,31
E00174033,96,14,5,11,0,7,50,9
E00174035,193,2,7,13,1,20,131,19
E00174036,176,30,17,12,5,17,79,16
E00174038,376,28,25,42,3,36,208,34
