OA11CD,Total,No qualifications,Level 1 qualifications,Level 2 qualifications,Apprenticeship,Level 3 qualifications,Level 4 qualifications and above,Other qualifications
E00016264,252,47,32,42,7,29,75,20
E00016265,345,66,47,46,2,40,113,31
E00016266,293,38,53,47,4,26,104,21
E00016267,218,43,35,21,6,19,77,17
E00016268,358,66,38,55,11,36,104,48
E00016269,267,51,40,42,4,23,93,14
E00016270,254,39,36,37,5,36,81,20
E00016271,309,62,43,55,8,27,90,24
E00016272,281,50,33,32,5,28,97,36
E00016273,317,58,38,43,5,34,106,33
E00016274,242,56,30,27,5,22,86,16
E00016275,308,52,53,44,7,37,100,15
E00016276,312,78,37,48,0,25,93,31
E00016277,269,37,32,34,0,40,103,23
E00016278,226,26,40,23,4,28,84,21
E00016279,258,41,35,41,7,27,76,31
E00016280,220,26,22,31,2,30,90,19
E00016281,267,50,49,31,2,14,103,18
E00016282,287,51,34,37,1,34,104,26
E00016283,273,45,31,41,5,26,109,16
E00016284,222,36,20,36,3,28,83,16
E00016285,206,31,32,23,2,21,83,14
E00016286,289,59,42,44,3,31,94,16
E00016287,248,41,42,39,3,26,72,25
E00016288,347,47,54,50,5,38,127,26
E00016289,282,48,35,39,5,39,89,27
E00016290,234,54,36,27,4,23,75,15
E00016291,309,79,39,42,2,27,99,21
E00016292,235,52,31,33,10,21,62,26
E00016293,265,47,26,43,2,24,103,20
E00016294,278,42,31,49,7,33,102,14
E00016295,262,41,28,51,5,27,86,24
E00016296,235,34,27,26,3,32,91,22
E00016297,265,49,53,38,7,29,71,18
E00016298,333,41,52,57,11,41,105,26
E00016299,294,44,26,54,4,23,112,31
E00016300,280,21,30,33,2,54,116,24
E00016301,318,57,29,35,5,18,154,20
E00016302,232,25,22,31,3,32,96,23
E00016303,313,59,19,32,1,32,159,11
E00016304,288,30,21,25,6,31,161,14
E00016305,208,43,25,33,0,22,76,9
E00016306,280,51,34,32,1,27,116,19
E00016307,271,70,31,36,0,26,91,17
E00016308,247,48,31,38,4,20,80,26
E00016309,255,33,20,28,2,29,118,25
E00016310,202,32,13,33,3,16,88,17
E00016311,247,37,21,23,6,16,121,23
E00016312,280,21,25,22,5,36,152,19
E00016313,183,20,5,9,5,16,113,15
E00016314,224,59,24,24,4,19,77,17
E00016315,346,53,41,48,7,34,142,21
E00016316,266,32,27,37,4,25,127,14
E00016317,216,25,22,35,3,16,95,20
E00016318,230,39,15,24,3,20,124,5
E00016319,202,63,28,21,2,14,59,15
E00016320,226,37,20,36,2,24,89,18
E00016321,265,37,26,32,3,30,107,30
E00016322,287,59,40,36,4,31,95,22
E00016323,203,43,24,28,2,25,70,11
E00016324,326,51,33,32,2,25,165,18
E00016325,254,42,26,21,2,27,121,15
E00016326,245,22,24,41,4,32,98,24
E00016327,248,33,30,18,0,29,119,19
E00016328,221,9,26,19,2,23,135,7
E00016329,297,55,20,26,2,41,137,16
E00016330,213,41,20,27,2,11,89,23
E00016331,306,57,20,47,6,27,122,27
E00016332,320,63,36,46,9,38,107,21
E00016333,226,29,26,23,7,20,114,7
E00016334,373,61,41,26,5,34,179,27
E00016335,187,20,19,22,0,21,94,11
E00016336,279,44,19,31,4,29,128,24
E00016337,262,30,29,29,2,26,118,28
E00016338,317,38,24,41,2,31,166,15
E00016339,254,35,26,39,6,27,109,12
E00016340,265,36,21,33,2,25,140,8
E00016341,238,33,27,37,3,24,100,14
E00016342,225,32,16,29,2,28,105,13
E00016343,297,40,20,28,8,31,147,23
E00016344,373,37,35,35,3,59,174,30
E00016345,224,32,12,19,7,21,125,8
