OA11CD,Detached houses,Semi-detached houses,Terraced,Flats,Caravan or mobile
E00016884,0.0,21.64179104477612,25.37313432835821,52.985074626865675,0.0
E00016886,2.5,14.375,15.0,68.125,0.0
E00016893,2.9197080291970803,9.489051094890511,33.57664233576642,54.01459854014598,0.0
E00016885,1.4492753623188406,5.072463768115942,44.20289855072464,49.27536231884058,0.0
E00016887,0.970873786407767,1.941747572815534,60.19417475728155,36.89320388349515,0.0
E00016889,2.542372881355932,5.084745762711864,40.67796610169491,51.69491525423729,0.0
E00016890,0.0,1.4388489208633093,5.755395683453237,92.80575539568345,0.0
E00016895,1.4492753623188406,24.63768115942029,13.768115942028986,60.14492753623188,0.0
E00016159,14.049586776859504,3.3057851239669422,17.355371900826448,65.2892561983471,0.0
E00016173,8.88888888888889,11.851851851851851,8.88888888888889,70.37037037037037,0.0
E00016176,4.316546762589928,15.107913669064748,41.007194244604314,39.568345323741006,0.0
E00016184,2.985074626865672,7.462686567164179,0.746268656716418,88.80597014925372,0.0
E00016186,1.3245033112582782,14.56953642384106,4.635761589403973,79.47019867549669,0.0
E00016188,3.5460992907801416,7.801418439716312,25.53191489361702,63.12056737588652,0.0
E00016164,8.849557522123893,24.778761061946902,23.893805309734514,42.47787610619469,0.0
E00016170,0.0,3.2679738562091503,7.189542483660131,89.54248366013071,0.0
E00016175,1.9736842105263157,3.289473684210526,14.473684210526315,80.26315789473684,0.0
E00016181,2.0408163265306123,4.761904761904762,31.972789115646258,61.224489795918366,0.0
E00016182,2.985074626865672,57.46268656716418,18.65671641791045,20.895522388059703,0.0
E00016162,3.787878787878788,5.303030303030303,15.909090909090908,75.0,0.0
E00016198,3.7383177570093458,1.8691588785046729,9.345794392523365,85.04672897196262,0.0
E00016202,1.0,1.0,3.0,95.0,0.0
E00016205,7.6923076923076925,6.923076923076923,8.461538461538462,76.92307692307692,0.0
E00016208,2.112676056338028,2.816901408450704,0.704225352112676,94.36619718309859,0.0
E00016199,0.8333333333333334,15.0,12.5,71.66666666666667,0.0
E00016200,0.0,1.1235955056179776,3.3707865168539324,95.50561797752809,0.0
E00016201,0.0,3.4482758620689653,3.4482758620689653,93.10344827586206,0.0
E00016203,0.7575757575757576,2.272727272727273,1.5151515151515151,95.45454545454545,0.0
E00016207,12.173913043478262,30.434782608695652,33.91304347826087,23.47826086956522,0.0
E00016163,1.492537313432836,16.417910447761194,2.2388059701492535,79.85074626865672,0.0
E00016165,20.161290322580644,5.645161290322581,8.064516129032258,66.12903225806451,0.0
E00016168,2.2222222222222223,12.222222222222221,3.3333333333333335,82.22222222222223,0.0
E00016169,24.166666666666668,12.5,15.0,48.333333333333336,0.0
E00016172,1.5625,3.125,7.03125,88.28125,0.0
E00016177,2.4390243902439024,8.130081300813009,5.691056910569106,83.73983739837398,0.0
E00016219,2.6490066225165565,7.28476821192053,9.271523178807946,80.79470198675497,0.0
E00016220,2.1739130434782608,5.072463768115942,7.971014492753623,84.78260869565217,0.0
E00016221,0.0,4.026845637583893,4.697986577181208,91.2751677852349,0.0
E00016223,4.504504504504505,12.612612612612613,16.216216216216218,66.66666666666667,0.0
E00016225,2.4390243902439024,6.504065040650406,5.691056910569106,85.36585365853658,0.0
E00016255,0.0,3.9603960396039604,15.841584158415841,80.1980198019802,0.0
E00016218,3.4188034188034186,5.128205128205129,4.273504273504273,87.17948717948718,0.0
E00016222,1.8518518518518519,11.728395061728396,7.407407407407407,79.01234567901234,0.0
E00016224,3.1055900621118013,6.211180124223603,13.664596273291925,77.01863354037268,0.0
E00016226,8.333333333333334,17.5,3.3333333333333335,70.83333333333333,0.0
E00016227,2.8368794326241136,16.31205673758865,8.51063829787234,72.34042553191489,0.0
E00016228,5.46875,16.40625,7.8125,70.3125,0.0
E00016229,3.723404255319149,12.23404255319149,20.21276595744681,63.829787234042556,0.0
E00016230,1.4705882352941178,8.088235294117647,47.794117647058826,42.64705882352941,0.0
E00016231,2.0547945205479454,10.95890410958904,20.54794520547945,66.43835616438356,0.0
E00016232,3.8461538461538463,10.76923076923077,1.5384615384615385,83.84615384615384,0.0
E00016233,0.6410256410256411,0.0,1.2820512820512822,98.07692307692308,0.0
E00016212,1.6260162601626016,3.252032520325203,79.67479674796748,15.447154471544716,0.0
E00016249,0.8403361344537815,10.92436974789916,23.529411764705884,64.70588235294117,0.0
E00016254,5.607476635514018,13.08411214953271,57.94392523364486,23.364485981308412,0.0
E00173952,0.8928571428571429,8.035714285714286,67.85714285714286,23.214285714285715,0.0
E00174016,3.0303030303030303,17.171717171717173,47.474747474747474,32.323232323232325,0.0
E00174022,2.1739130434782608,6.521739130434782,44.56521739130435,46.73913043478261,0.0
E00174008,0.0,0.0,0.7518796992481203,99.24812030075188,0.0
E00174010,0.0,0.0,0.8064516129032258,99.19354838709677,0.0
E00174013,0.0,0.7633587786259542,2.2900763358778624,96.94656488549619,0.0
E00174015,0.9174311926605505,0.9174311926605505,1.834862385321101,96.3302752293578,0.0
E00174025,0.0,1.4814814814814814,0.0,97.77777777777777,0.7407407407407407
E00174027,0.0,0.0,1.0101010101010102,98.98989898989899,0.0
E00016178,1.6260162601626016,3.252032520325203,21.13821138211382,73.98373983739837,0.0
