WD22CD_proposed,Owned,Shared ownership,Social rented,Private rented,Rent free
E05013714,33.670188332567754,0.9875976113918236,52.31970601745521,12.19568213137345,0.8268259072117593
E05013715,41.4992927864215,0.4667609618104668,30.381895332390382,26.73267326732673,0.9193776520509194
E05013716,33.56934610578926,1.624323198667222,28.09940302651673,35.65181174510621,1.0551159239205887
E05013717,63.51505288852726,0.7648494711147275,17.396257119609437,17.28234336859235,1.0414971521562246
E05013718,55.02155516525627,1.468944595241897,16.844962478045666,25.786364362126776,0.8781733993293949
E05013719,20.19294743845642,1.0978043912175648,50.69860279441118,26.84630738522954,1.164337990685296
E05013720,43.780806030733544,0.8118295158016816,41.330820527689184,13.032763119744853,1.0437808060307336
E05013721,18.593511865882864,3.4182451556716744,52.405834966252996,24.406705856738515,1.1757021554539517
E05013722,47.40239778665847,0.7070396557024285,26.36028281586228,24.4543498309253,1.0759299108515217
E05013723,53.12993993044578,1.0433133101485932,26.983876067024976,17.97344293392349,0.8694277584571609
E05013724,47.87247885491217,1.0670136629798308,24.762524398178268,25.413142485361092,0.8848405985686402
E05013725,44.993099217911364,0.9661094924091397,27.894494709400398,24.52077902162245,1.6255175586566477
E05013726,53.686708860759495,0.9493670886075949,21.234177215189874,23.417721518987342,0.7120253164556962
E05013727,29.07417433676232,4.818624796968057,24.796968056307527,40.55224688684353,0.7579859231185706
E05013728,25.421348314606742,3.398876404494382,40.89887640449438,29.410112359550563,0.8707865168539326
E05013729,50.67750677506775,1.5098722415795587,24.932249322493224,21.951219512195124,0.9291521486643438
E05013730,41.80925666199158,0.43478260869565216,25.8765778401122,30.981767180925665,0.8976157082748948
E05013731,42.571590586901046,0.5954068613552594,35.25659200453644,20.569889424440035,1.0065211227672242
E05013732,31.641137855579867,1.575492341356674,36.586433260393875,29.161196207148066,1.0357403355215171
