"date","geography","geography code","Rural Urban","Occupancy Rating: All categories: Occupancy rating bedrooms; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of +2 or more; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of +1; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of 0; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of -1; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of -2 or less; measures: Value"
"2011","E00004347","E00004347","Total",97,49,22,20,5,1
"2011","E00004348","E00004348","Total",131,40,30,53,6,2
"2011","E00004349","E00004349","Total",117,60,29,24,4,0
"2011","E00004352","E00004352","Total",118,48,45,24,1,0
"2011","E00004345","E00004345","Total",121,64,39,16,2,0
"2011","E00004346","E00004346","Total",94,44,27,21,2,0
"2011","E00004350","E00004350","Total",125,36,49,37,3,0
"2011","E00004351","E00004351","Total",131,55,54,20,2,0
"2011","E00004359","E00004359","Total",121,60,32,26,3,0
"2011","E00004295","E00004295","Total",175,64,52,50,8,1
"2011","E00004296","E00004296","Total",133,24,29,50,25,5
"2011","E00004298","E00004298","Total",112,52,25,29,6,0
"2011","E00004303","E00004303","Total",113,49,30,28,5,1
"2011","E00004311","E00004311","Total",99,32,27,36,3,1
"2011","E00004300","E00004300","Total",111,26,28,47,9,1
"2011","E00004301","E00004301","Total",241,13,45,139,39,5
"2011","E00004302","E00004302","Total",143,25,22,85,11,0
"2011","E00004314","E00004314","Total",153,15,28,94,12,4
"2011","E00004316","E00004316","Total",122,6,20,75,12,9
"2011","E00004319","E00004319","Total",143,8,44,80,10,1
"2011","E00004307","E00004307","Total",150,69,41,35,4,1
"2011","E00004308","E00004308","Total",123,28,27,56,10,2
"2011","E00004312","E00004312","Total",150,19,30,86,15,0
"2011","E00004317","E00004317","Total",161,33,43,77,7,1
"2011","E00004318","E00004318","Total",126,22,50,45,9,0
"2011","E00004305","E00004305","Total",134,47,39,39,9,0
"2011","E00004306","E00004306","Total",157,39,54,58,6,0
"2011","E00004310","E00004310","Total",128,52,40,28,7,1
"2011","E00004313","E00004313","Total",131,31,35,56,7,2
"2011","E00004315","E00004315","Total",154,37,38,76,3,0
"2011","E00004285","E00004285","Total",144,19,19,94,7,5
"2011","E00004297","E00004297","Total",154,20,33,92,8,1
"2011","E00004299","E00004299","Total",135,40,32,54,9,0
"2011","E00004304","E00004304","Total",178,44,32,89,13,0
"2011","E00004309","E00004309","Total",115,32,42,37,4,0
"2011","E00004381","E00004381","Total",117,26,37,45,8,1
"2011","E00004384","E00004384","Total",101,12,32,44,12,1
"2011","E00004385","E00004385","Total",91,22,30,31,3,5
"2011","E00004389","E00004389","Total",108,20,35,45,8,0
"2011","E00004392","E00004392","Total",95,35,33,19,6,2
"2011","E00004394","E00004394","Total",94,3,30,50,11,0
"2011","E00004365","E00004365","Total",139,18,32,83,5,1
"2011","E00004383","E00004383","Total",103,25,29,44,5,0
"2011","E00004387","E00004387","Total",89,15,24,43,7,0
"2011","E00004390","E00004390","Total",113,25,33,48,4,3
"2011","E00004393","E00004393","Total",113,14,31,48,19,1
"2011","E00004395","E00004395","Total",133,19,25,72,16,1
"2011","E00004382","E00004382","Total",139,24,39,70,5,1
"2011","E00004386","E00004386","Total",101,24,27,41,9,0
"2011","E00004388","E00004388","Total",99,27,30,38,3,1
"2011","E00004391","E00004391","Total",128,41,27,55,5,0
"2011","E00004396","E00004396","Total",131,9,24,77,18,3
"2011","E00004398","E00004398","Total",99,14,32,41,11,1
"2011","E00004367","E00004367","Total",148,5,49,67,20,7
"2011","E00004368","E00004368","Total",175,33,41,86,15,0
"2011","E00004372","E00004372","Total",109,31,17,49,11,1
"2011","E00004375","E00004375","Total",119,18,40,52,9,0
"2011","E00004378","E00004378","Total",137,19,52,57,7,2
"2011","E00004379","E00004379","Total",135,21,66,43,5,0
"2011","E00004441","E00004441","Total",115,23,31,53,7,1
"2011","E00004447","E00004447","Total",77,1,16,58,2,0
"2011","E00004451","E00004451","Total",118,11,42,45,19,1
"2011","E00004452","E00004452","Total",143,11,41,78,10,3
"2011","E00004457","E00004457","Total",117,16,54,42,5,0
"2011","E00004480","E00004480","Total",116,13,49,48,5,1
"2011","E00004362","E00004362","Total",127,14,30,61,19,3
"2011","E00004370","E00004370","Total",117,19,14,71,9,4
"2011","E00004376","E00004376","Total",176,21,37,101,12,5
"2011","E00004397","E00004397","Total",106,12,21,50,19,4
"2011","E00004399","E00004399","Total",131,14,37,46,31,3
"2011","E00004363","E00004363","Total",153,32,21,68,27,5
"2011","E00004366","E00004366","Total",165,6,16,121,20,2
"2011","E00004369","E00004369","Total",123,21,33,55,14,0
"2011","E00004373","E00004373","Total",146,17,24,77,25,3
"2011","E00004400","E00004400","Total",180,13,10,123,31,3
"2011","E00004364","E00004364","Total",225,21,44,118,39,3
"2011","E00004371","E00004371","Total",103,3,11,62,22,5
"2011","E00004374","E00004374","Total",97,4,16,53,21,3
"2011","E00004377","E00004377","Total",95,9,13,52,18,3
"2011","E00004380","E00004380","Total",152,8,23,98,21,2
"2011","E00004444","E00004444","Total",160,3,18,92,38,9
"2011","E00004445","E00004445","Total",105,12,21,62,6,4
"2011","E00004454","E00004454","Total",189,7,41,99,36,6
"2011","E00004456","E00004456","Total",124,12,37,54,18,3
"2011","E00174669","E00174669","Total",125,1,25,68,27,4
"2011","E00004563","E00004563","Total",195,32,57,73,28,5
"2011","E00004566","E00004566","Total",140,18,33,74,13,2
"2011","E00004568","E00004568","Total",157,15,31,89,15,7
"2011","E00004569","E00004569","Total",161,30,43,77,10,1
"2011","E00004570","E00004570","Total",131,22,50,45,13,1
"2011","E00004571","E00004571","Total",151,21,40,76,14,0
"2011","E00004572","E00004572","Total",160,3,57,78,20,2
"2011","E00004573","E00004573","Total",149,18,53,66,10,2
"2011","E00004574","E00004574","Total",143,19,48,57,18,1
"2011","E00004321","E00004321","Total",114,24,47,38,4,1
"2011","E00004326","E00004326","Total",117,15,31,59,11,1
"2011","E00004331","E00004331","Total",112,22,31,49,8,2
"2011","E00004336","E00004336","Total",175,12,48,105,10,0
"2011","E00004337","E00004337","Total",114,16,40,50,6,2
"2011","E00004320","E00004320","Total",112,36,45,26,5,0
"2011","E00004333","E00004333","Total",133,30,41,50,11,1
"2011","E00004335","E00004335","Total",145,29,52,58,6,0
"2011","E00004338","E00004338","Total",112,22,43,41,6,0
"2011","E00004341","E00004341","Total",132,21,38,60,10,3
"2011","E00004342","E00004342","Total",94,11,30,45,6,2
"2011","E00004332","E00004332","Total",87,7,28,46,5,1
"2011","E00004334","E00004334","Total",106,13,26,63,3,1
"2011","E00004339","E00004339","Total",112,9,38,55,10,0
"2011","E00004340","E00004340","Total",95,17,22,44,9,3
"2011","E00004343","E00004343","Total",120,16,41,59,4,0
"2011","E00004344","E00004344","Total",118,16,46,47,6,3
"2011","E00004431","E00004431","Total",106,36,39,29,2,0
"2011","E00004432","E00004432","Total",135,28,40,61,5,1
"2011","E00004433","E00004433","Total",139,27,56,49,5,2
"2011","E00004437","E00004437","Total",116,31,37,46,1,1
"2011","E00004439","E00004439","Total",113,39,49,24,1,0
"2011","E00004440","E00004440","Total",112,15,55,39,3,0
"2011","E00004435","E00004435","Total",119,11,11,79,14,4
"2011","E00004436","E00004436","Total",166,49,43,68,6,0
"2011","E00004438","E00004438","Total",118,13,25,76,4,0
"2011","E00174668","E00174668","Total",108,14,18,54,16,6
"2011","E00174670","E00174670","Total",107,14,31,44,16,2
"2011","E00174672","E00174672","Total",141,1,16,104,18,2
"2011","E00174673","E00174673","Total",91,0,0,84,5,2
"2011","E00004245","E00004245","Total",163,12,46,83,20,2
"2011","E00004247","E00004247","Total",156,23,32,84,15,2
"2011","E00004248","E00004248","Total",207,10,52,117,22,6
"2011","E00004254","E00004254","Total",119,10,22,57,24,6
"2011","E00004273","E00004273","Total",159,33,34,73,17,2
"2011","E00004276","E00004276","Total",122,7,24,73,14,4
"2011","E00004265","E00004265","Total",112,14,12,69,16,1
"2011","E00004266","E00004266","Total",156,11,29,97,16,3
"2011","E00004268","E00004268","Total",142,8,17,94,17,6
"2011","E00004269","E00004269","Total",121,9,27,68,15,2
"2011","E00004272","E00004272","Total",113,36,31,36,7,3
"2011","E00004274","E00004274","Total",130,19,26,74,11,0
"2011","E00004585","E00004585","Total",134,12,40,66,15,1
"2011","E00004586","E00004586","Total",116,23,30,54,7,2
"2011","E00004588","E00004588","Total",154,21,35,84,12,2
"2011","E00004594","E00004594","Total",124,7,23,69,20,5
"2011","E00004598","E00004598","Total",106,18,21,56,10,1
"2011","E00004599","E00004599","Total",161,19,30,97,14,1
"2011","E00004565","E00004565","Total",145,5,22,98,19,1
"2011","E00004591","E00004591","Total",112,16,26,57,13,0
"2011","E00004600","E00004600","Total",124,12,32,51,25,4
"2011","E00004601","E00004601","Total",117,21,37,42,17,0
"2011","E00004603","E00004603","Total",131,23,25,64,15,4
"2011","E00004562","E00004562","Total",123,11,27,67,15,3
"2011","E00004564","E00004564","Total",118,12,18,74,13,1
"2011","E00004567","E00004567","Total",128,17,34,54,19,4
"2011","E00004597","E00004597","Total",214,12,31,124,30,17
"2011","E00004602","E00004602","Total",115,14,44,53,3,1
"2011","E00004813","E00004813","Total",174,38,43,87,4,2
"2011","E00004820","E00004820","Total",136,21,37,74,3,1
"2011","E00004848","E00004848","Total",159,26,38,87,5,3
"2011","E00004849","E00004849","Total",138,31,70,34,3,0
"2011","E00004850","E00004850","Total",203,21,92,72,16,2
"2011","E00004853","E00004853","Total",144,11,36,84,13,0
"2011","E00004814","E00004814","Total",124,11,35,73,5,0
"2011","E00004818","E00004818","Total",138,6,19,105,8,0
"2011","E00004821","E00004821","Total",109,14,20,65,10,0
"2011","E00004824","E00004824","Total",130,3,36,82,8,1
"2011","E00004825","E00004825","Total",110,7,33,66,3,1
"2011","E00004826","E00004826","Total",125,6,45,64,8,2
"2011","E00004851","E00004851","Total",95,4,34,52,5,0
"2011","E00004816","E00004816","Total",131,27,18,77,7,2
"2011","E00004817","E00004817","Total",112,37,25,42,8,0
"2011","E00004819","E00004819","Total",138,56,31,41,10,0
"2011","E00004822","E00004822","Total",130,51,37,29,10,3
"2011","E00004852","E00004852","Total",138,30,36,58,13,1
"2011","E00004815","E00004815","Total",242,25,40,152,20,5
"2011","E00004823","E00004823","Total",180,18,42,93,20,7
"2011","E00004827","E00004827","Total",168,7,23,111,21,6
"2011","E00004828","E00004828","Total",133,18,22,75,17,1
"2011","E00004829","E00004829","Total",109,14,15,73,7,0
"2011","E00004831","E00004831","Total",117,5,11,75,24,2
"2011","E00004830","E00004830","Total",139,21,29,78,10,1
"2011","E00004832","E00004832","Total",147,8,37,81,18,3
"2011","E00004835","E00004835","Total",167,11,31,104,19,2
"2011","E00004837","E00004837","Total",191,10,41,116,23,1
"2011","E00004840","E00004840","Total",117,6,28,69,13,1
"2011","E00004841","E00004841","Total",133,9,42,71,9,2
"2011","E00004120","E00004120","Total",143,20,53,61,7,2
"2011","E00004140","E00004140","Total",111,19,48,39,5,0
"2011","E00004141","E00004141","Total",114,7,42,61,3,1
"2011","E00004142","E00004142","Total",133,17,36,72,7,1
"2011","E00004145","E00004145","Total",110,16,30,60,4,0
"2011","E00004152","E00004152","Total",113,27,41,43,2,0
"2011","E00004121","E00004121","Total",118,24,45,42,5,2
"2011","E00004143","E00004143","Total",126,14,50,58,3,1
"2011","E00004150","E00004150","Total",147,19,51,64,12,1
"2011","E00004154","E00004154","Total",122,17,40,63,2,0
"2011","E00004155","E00004155","Total",103,18,43,39,2,1
"2011","E00004156","E00004156","Total",126,21,32,66,4,3
"2011","E00004162","E00004162","Total",128,19,24,76,7,2
"2011","E00004126","E00004126","Total",144,23,44,69,7,1
"2011","E00004128","E00004128","Total",161,35,45,77,4,0
"2011","E00004129","E00004129","Total",142,16,60,61,5,0
"2011","E00004131","E00004131","Total",119,27,46,37,5,4
"2011","E00004132","E00004132","Total",92,22,25,41,4,0
"2011","E00004137","E00004137","Total",147,12,52,75,4,4
"2011","E00004124","E00004124","Total",100,18,23,57,1,1
"2011","E00004125","E00004125","Total",178,9,45,117,6,1
"2011","E00004127","E00004127","Total",124,4,59,50,10,1
"2011","E00004130","E00004130","Total",128,19,33,68,6,2
"2011","E00004133","E00004133","Total",118,22,24,63,8,1
"2011","E00004135","E00004135","Total",105,5,8,87,4,1
"2011","E00004168","E00004168","Total",109,16,31,58,4,0
"2011","E00004448","E00004448","Total",142,18,27,75,17,5
"2011","E00004450","E00004450","Total",175,18,33,106,15,3
"2011","E00004453","E00004453","Total",144,32,35,57,16,4
"2011","E00004458","E00004458","Total",182,19,58,81,23,1
"2011","E00004462","E00004462","Total",114,22,34,52,6,0
"2011","E00004442","E00004442","Total",109,5,18,74,7,5
"2011","E00004446","E00004446","Total",118,15,30,55,15,3
"2011","E00004455","E00004455","Total",123,12,22,53,33,3
"2011","E00004460","E00004460","Total",100,8,16,57,18,1
"2011","E00004470","E00004470","Total",140,16,33,71,16,4
"2011","E00004465","E00004465","Total",166,15,44,78,26,3
"2011","E00004467","E00004467","Total",133,19,24,69,17,4
"2011","E00004474","E00004474","Total",142,22,48,55,14,3
"2011","E00004475","E00004475","Total",123,10,31,63,18,1
"2011","E00004476","E00004476","Total",134,17,20,69,20,8
"2011","E00004478","E00004478","Total",220,10,38,151,18,3
"2011","E00004459","E00004459","Total",154,2,24,91,33,4
"2011","E00004461","E00004461","Total",131,7,28,55,30,11
"2011","E00004463","E00004463","Total",139,6,25,72,28,8
"2011","E00004464","E00004464","Total",89,2,3,76,6,2
"2011","E00004468","E00004468","Total",143,12,38,61,26,6
"2011","E00004472","E00004472","Total",156,20,37,77,15,7
"2011","E00004466","E00004466","Total",121,5,28,77,9,2
"2011","E00004469","E00004469","Total",122,24,50,41,7,0
"2011","E00004471","E00004471","Total",117,9,31,70,7,0
"2011","E00004473","E00004473","Total",124,30,28,56,9,1
"2011","E00004477","E00004477","Total",163,7,44,90,19,3
"2011","E00004479","E00004479","Total",141,8,46,64,22,1
"2011","E00004282","E00004282","Total",149,27,31,80,7,4
"2011","E00004284","E00004284","Total",128,16,25,76,10,1
"2011","E00004286","E00004286","Total",158,11,30,97,17,3
"2011","E00004287","E00004287","Total",111,12,33,52,13,1
"2011","E00004289","E00004289","Total",129,8,25,90,5,1
"2011","E00004290","E00004290","Total",164,9,33,101,19,2
"2011","E00004283","E00004283","Total",137,29,24,79,5,0
"2011","E00004288","E00004288","Total",166,14,32,100,18,2
"2011","E00004291","E00004291","Total",138,23,27,68,15,5
"2011","E00004292","E00004292","Total",121,15,27,45,22,12
"2011","E00004293","E00004293","Total",119,8,34,58,15,4
"2011","E00004294","E00004294","Total",119,7,24,79,8,1
"2011","E00004604","E00004604","Total",136,9,21,88,15,3
"2011","E00004605","E00004605","Total",113,9,31,47,19,7
"2011","E00004612","E00004612","Total",142,4,17,88,28,5
"2011","E00004613","E00004613","Total",125,7,21,76,15,6
"2011","E00004614","E00004614","Total",224,16,37,125,35,11
"2011","E00004621","E00004621","Total",133,15,29,77,8,4
"2011","E00004615","E00004615","Total",102,19,26,39,12,6
"2011","E00004616","E00004616","Total",133,17,38,70,8,0
"2011","E00004617","E00004617","Total",114,3,41,61,9,0
"2011","E00004618","E00004618","Total",125,16,32,64,11,2
"2011","E00004619","E00004619","Total",123,8,19,76,18,2
"2011","E00004620","E00004620","Total",141,2,29,86,21,3
"2011","E00004622","E00004622","Total",209,32,49,110,16,2
"2011","E00004833","E00004833","Total",156,8,39,89,20,0
"2011","E00004834","E00004834","Total",185,18,44,94,23,6
"2011","E00004836","E00004836","Total",171,12,42,92,24,1
"2011","E00004838","E00004838","Total",131,17,23,71,16,4
"2011","E00004839","E00004839","Total",178,10,49,105,9,5
"2011","E00004134","E00004134","Total",100,11,34,49,6,0
"2011","E00004136","E00004136","Total",110,19,39,51,1,0
"2011","E00004138","E00004138","Total",142,16,25,97,4,0
"2011","E00004139","E00004139","Total",140,3,4,43,81,9
"2011","E00004144","E00004144","Total",102,19,49,32,2,0
"2011","E00004146","E00004146","Total",126,14,34,66,10,2
"2011","E00004147","E00004147","Total",126,12,39,66,9,0
"2011","E00004148","E00004148","Total",106,17,36,51,2,0
"2011","E00004149","E00004149","Total",149,37,56,49,7,0
"2011","E00004151","E00004151","Total",148,11,71,62,4,0
"2011","E00004153","E00004153","Total",108,8,31,62,6,1
"2011","E00004158","E00004158","Total",124,10,27,69,12,6
"2011","E00004161","E00004161","Total",96,25,25,40,5,1
"2011","E00004157","E00004157","Total",94,20,30,38,6,0
"2011","E00004159","E00004159","Total",160,12,31,85,28,4
"2011","E00004160","E00004160","Total",103,10,27,50,15,1
"2011","E00004164","E00004164","Total",160,18,29,76,34,3
"2011","E00004167","E00004167","Total",99,41,33,21,4,0
"2011","E00004122","E00004122","Total",103,24,43,33,2,1
"2011","E00004123","E00004123","Total",108,54,31,22,1,0
"2011","E00004163","E00004163","Total",163,18,60,75,9,1
"2011","E00004165","E00004165","Total",146,16,35,65,27,3
"2011","E00004166","E00004166","Total",157,8,30,80,31,8
"2011","E00004249","E00004249","Total",114,18,19,61,15,1
"2011","E00004252","E00004252","Total",115,18,24,62,10,1
"2011","E00004255","E00004255","Total",128,19,34,62,12,1
"2011","E00004258","E00004258","Total",111,7,24,65,14,1
"2011","E00004279","E00004279","Total",134,10,21,83,18,2
"2011","E00004281","E00004281","Total",115,13,34,59,7,2
"2011","E00004246","E00004246","Total",121,20,27,66,5,3
"2011","E00004250","E00004250","Total",127,26,37,60,3,1
"2011","E00004251","E00004251","Total",95,29,30,31,3,2
"2011","E00004280","E00004280","Total",108,26,23,52,5,2
"2011","E00004253","E00004253","Total",132,25,24,58,20,5
"2011","E00004256","E00004256","Total",149,10,22,95,17,5
"2011","E00004259","E00004259","Total",104,8,17,55,14,10
"2011","E00004261","E00004261","Total",114,11,22,60,18,3
"2011","E00004264","E00004264","Total",176,10,35,111,19,1
"2011","E00004244","E00004244","Total",100,7,15,48,15,15
"2011","E00004257","E00004257","Total",113,10,33,51,19,0
"2011","E00004260","E00004260","Total",136,0,2,111,19,4
"2011","E00004262","E00004262","Total",114,0,9,70,29,6
"2011","E00004263","E00004263","Total",121,16,15,57,29,4
"2011","E00004270","E00004270","Total",189,11,50,96,25,7
"2011","E00004271","E00004271","Total",142,17,25,83,16,1
"2011","E00004275","E00004275","Total",104,11,19,63,11,0
"2011","E00004277","E00004277","Total",135,11,46,60,16,2
"2011","E00004278","E00004278","Total",102,12,27,50,12,1
"2011","E00174656","E00174656","Total",115,14,26,67,7,1
"2011","E00174657","E00174657","Total",100,18,37,34,8,3
"2011","E00174658","E00174658","Total",80,7,36,34,3,0
"2011","E00004776","E00004776","Total",138,13,38,75,10,2
"2011","E00004798","E00004798","Total",111,19,44,44,4,0
"2011","E00004799","E00004799","Total",142,11,46,69,15,1
"2011","E00004801","E00004801","Total",133,17,47,63,6,0
"2011","E00004802","E00004802","Total",108,9,35,56,8,0
"2011","E00004804","E00004804","Total",113,12,38,53,8,2
"2011","E00004785","E00004785","Total",123,10,42,53,17,1
"2011","E00004787","E00004787","Total",145,20,45,69,9,2
"2011","E00004791","E00004791","Total",106,12,37,46,11,0
"2011","E00004792","E00004792","Total",117,30,36,45,4,2
"2011","E00004793","E00004793","Total",121,27,43,48,3,0
"2011","E00004795","E00004795","Total",101,14,35,46,6,0
"2011","E00004766","E00004766","Total",121,14,39,57,11,0
"2011","E00004767","E00004767","Total",142,23,50,61,7,1
"2011","E00004769","E00004769","Total",151,22,43,75,11,0
"2011","E00004774","E00004774","Total",108,5,38,60,5,0
"2011","E00004803","E00004803","Total",82,3,21,49,7,2
"2011","E00004812","E00004812","Total",160,10,45,85,16,4
"2011","E00004768","E00004768","Total",99,10,50,36,3,0
"2011","E00004770","E00004770","Total",91,26,39,26,0,0
"2011","E00004775","E00004775","Total",113,23,50,36,3,1
"2011","E00004806","E00004806","Total",124,9,36,71,8,0
"2011","E00004810","E00004810","Total",126,34,44,41,7,0
"2011","E00004811","E00004811","Total",122,14,55,48,4,1
"2011","E00004842","E00004842","Total",116,15,30,59,9,3
"2011","E00004843","E00004843","Total",110,14,43,49,4,0
"2011","E00004844","E00004844","Total",139,7,43,79,8,2
"2011","E00004845","E00004845","Total",131,18,29,74,8,2
"2011","E00004846","E00004846","Total",127,19,38,53,15,2
"2011","E00004847","E00004847","Total",137,1,33,91,12,0
"2011","E00004786","E00004786","Total",107,11,36,51,9,0
"2011","E00004788","E00004788","Total",125,12,31,73,8,1
"2011","E00004789","E00004789","Total",87,1,9,43,27,7
"2011","E00004790","E00004790","Total",130,23,28,70,9,0
"2011","E00004796","E00004796","Total",132,13,45,66,8,0
"2011","E00004797","E00004797","Total",143,11,27,71,28,6
"2011","E00004809","E00004809","Total",117,38,39,35,5,0
"2011","E00004777","E00004777","Total",115,5,29,53,23,5
"2011","E00004781","E00004781","Total",134,21,34,56,19,4
"2011","E00004794","E00004794","Total",198,58,65,53,20,2
