WD22CD_proposed,One person household,One family household,Other household types
E05013714,34.17547083141938,54.754248966467614,11.070280202112999
E05013715,37.55304101838755,50.183875530410184,12.263083451202263
E05013716,36.77634319033736,43.023740108288216,20.199916701374427
E05013717,30.02441008950366,56.14320585842148,13.832384052074858
E05013718,30.544467507584226,54.20724892224174,15.248283570174038
E05013719,36.14437791084497,45.70858283433134,18.147039254823685
E05013720,32.502174543345895,58.234270803131345,9.26355465352276
E05013721,36.033093838449815,43.60984106248639,20.357065099063792
E05013722,34.52197971103597,54.196126652320935,11.2818936366431
E05013723,33.069870376225104,56.40214985773,10.527979766044893
E05013724,32.075471698113205,53.28562134027326,14.638906961613532
E05013725,30.562797117006593,51.096457598527834,18.340745284465573
E05013726,34.31962025316456,53.29113924050633,12.389240506329115
E05013727,42.66377910124526,42.122360584732,15.213860314022739
E05013728,34.69101123595506,47.97752808988764,17.331460674157302
E05013729,33.1655697509356,53.2326751838947,13.6017550651697
E05013730,37.50350631136045,48.8218793828892,13.674614305750351
E05013731,37.18457612702013,51.89963141480011,10.915792458179757
E05013732,32.16630196936543,48.19839533187454,19.63530269876003
