OA11CD,One person household,One family household,Other household types
E00016403,30.281690140845072,53.521126760563384,16.197183098591548
E00016437,15.723270440251572,64.77987421383648,19.49685534591195
E00016439,53.93258426966292,29.213483146067414,16.853932584269664
E00016442,31.654676258992804,53.9568345323741,14.388489208633093
E00016399,14.893617021276595,70.92198581560284,14.184397163120567
E00016401,35.064935064935064,52.5974025974026,12.337662337662337
E00016406,22.689075630252102,61.34453781512605,15.966386554621849
E00016435,32.35294117647059,55.294117647058826,12.352941176470589
E00016395,34.78260869565217,44.34782608695652,20.869565217391305
E00016404,29.166666666666668,33.333333333333336,37.5
E00016405,36.95652173913044,36.231884057971016,26.81159420289855
E00016408,39.705882352941174,36.76470588235294,23.529411764705884
E00016410,25.0,43.75,31.25
E00016438,42.42424242424242,36.36363636363637,21.21212121212121
E00016398,43.24324324324324,45.945945945945944,10.81081081081081
E00016431,52.72727272727273,27.272727272727273,20.0
E00016432,40.0,41.875,18.125
E00016434,37.125748502994014,50.29940119760479,12.574850299401197
E00173943,42.073170731707314,48.170731707317074,9.75609756097561
E00173946,36.21621621621622,31.35135135135135,32.432432432432435
E00016397,25.714285714285715,35.23809523809524,39.04761904761905
E00016433,37.142857142857146,45.0,17.857142857142858
E00016436,34.65346534653465,40.59405940594059,24.752475247524753
E00016440,13.88888888888889,58.333333333333336,27.77777777777778
E00016441,43.627450980392155,34.80392156862745,21.568627450980394
E00016412,37.086092715231786,45.033112582781456,17.880794701986755
E00016414,46.52777777777778,36.80555555555556,16.666666666666668
E00016418,24.18300653594771,60.78431372549019,15.032679738562091
E00016422,17.117117117117118,70.27027027027027,12.612612612612613
E00016402,36.71875,49.21875,14.0625
E00016407,50.68493150684932,34.93150684931507,14.383561643835616
E00016409,30.82191780821918,50.68493150684932,18.493150684931507
E00016411,41.86046511627907,41.86046511627907,16.27906976744186
E00016413,38.888888888888886,44.44444444444444,16.666666666666668
E00016415,40.714285714285715,39.285714285714285,20.0
E00016416,32.69230769230769,55.76923076923077,11.538461538461538
E00016419,18.64406779661017,55.932203389830505,25.423728813559322
E00016420,21.487603305785125,55.37190082644628,23.140495867768596
E00173947,22.764227642276424,55.28455284552845,21.951219512195124
E00173948,30.994152046783626,48.538011695906434,20.46783625730994
E00016417,31.159420289855074,59.42028985507246,9.420289855072463
E00016421,34.4,51.2,14.4
E00016423,26.229508196721312,54.09836065573771,19.672131147540984
E00016424,32.520325203252035,56.91056910569106,10.56910569105691
E00016427,40.0,43.80952380952381,16.19047619047619
E00016396,47.76119402985075,41.791044776119406,10.447761194029852
E00016426,35.82089552238806,52.23880597014925,11.940298507462687
E00016428,35.031847133757964,43.31210191082803,21.656050955414013
E00016429,39.516129032258064,43.54838709677419,16.93548387096774
E00016430,44.166666666666664,34.166666666666664,21.666666666666668
E00016680,50.0,30.327868852459016,19.672131147540984
E00016716,45.283018867924525,39.62264150943396,15.09433962264151
E00016717,46.07843137254902,45.09803921568628,8.823529411764707
E00016719,43.58974358974359,45.2991452991453,11.11111111111111
E00016720,38.513513513513516,44.5945945945946,16.89189189189189
E00016725,41.1764705882353,46.21848739495798,12.605042016806722
E00016706,36.89320388349515,34.95145631067961,28.155339805825243
E00016708,26.923076923076923,52.30769230769231,20.76923076923077
E00016709,19.708029197080293,51.09489051094891,29.197080291970803
E00016714,17.54385964912281,52.63157894736842,29.82456140350877
E00016715,24.0,43.2,32.8
E00016675,37.93103448275862,50.0,12.068965517241379
E00016677,36.6412213740458,47.32824427480916,16.03053435114504
E00016683,26.08695652173913,42.028985507246375,31.884057971014492
E00016697,18.181818181818183,56.19834710743802,25.619834710743802
E00173940,21.238938053097346,51.32743362831859,27.43362831858407
E00173949,19.594594594594593,51.351351351351354,29.054054054054053
E00016684,42.05607476635514,39.25233644859813,18.69158878504673
E00016687,59.25925925925926,33.333333333333336,7.407407407407407
E00016694,30.37037037037037,55.55555555555556,14.074074074074074
E00016718,51.5625,38.28125,10.15625
E00016721,44.95412844036697,47.706422018348626,7.339449541284404
E00016723,41.46341463414634,46.34146341463415,12.195121951219512
E00016679,24.175824175824175,67.03296703296704,8.791208791208792
E00016689,42.608695652173914,42.608695652173914,14.782608695652174
E00016693,35.2,39.2,25.6
E00016701,31.818181818181817,43.18181818181818,25.0
E00173939,37.234042553191486,55.319148936170215,7.446808510638298
E00016210,39.436619718309856,38.028169014084504,22.535211267605632
