OA11CD,Rural Urban,All categories: Car or van availability,No cars or vans in household,1 car or van in household,2 cars or vans in household,3 cars or vans in household,4 or more cars or vans in household,sum of all cars or vans in the area
E00016884,Total,130,50,50,26,3,1,115
E00016886,Total,151,88,47,13,3,0,82
E00016893,Total,135,56,62,13,3,1,101
E00016885,Total,137,60,62,11,3,1,98
E00016887,Total,102,32,62,7,1,0,79
E00016889,Total,116,56,48,10,2,0,74
E00016890,Total,137,86,45,5,1,0,58
E00016895,Total,134,64,55,9,6,0,91
E00016159,Total,120,40,62,18,0,0,98
E00016173,Total,133,46,69,15,0,3,113
E00016176,Total,135,30,80,21,3,1,135
E00016184,Total,131,57,62,11,0,1,89
E00016186,Total,143,78,53,11,1,0,78
E00016188,Total,139,54,70,13,2,0,102
E00016164,Total,110,49,48,10,1,2,83
E00016170,Total,150,101,42,6,1,0,57
E00016175,Total,149,82,59,6,1,1,79
E00016181,Total,140,83,52,5,0,0,62
E00016182,Total,131,34,74,20,1,2,127
E00016162,Total,129,51,60,15,3,0,99
E00016198,Total,105,54,44,6,1,0,59
E00016202,Total,100,56,38,5,0,1,52
E00016205,Total,129,33,78,13,3,2,122
E00016208,Total,140,61,57,19,2,1,105
E00016199,Total,119,66,46,6,1,0,61
E00016200,Total,84,55,25,3,0,1,35
E00016201,Total,56,39,14,3,0,0,20
E00016203,Total,129,90,34,5,0,0,44
E00016207,Total,114,50,54,10,0,0,74
E00016163,Total,129,47,71,9,1,1,96
E00016165,Total,119,43,59,16,1,0,94
E00016168,Total,86,29,48,7,1,1,69
E00016169,Total,116,18,68,21,8,1,139
E00016172,Total,127,80,44,1,2,0,52
E00016177,Total,121,44,62,14,1,0,93
E00016219,Total,146,88,53,5,0,0,63
E00016220,Total,136,84,43,7,0,2,65
E00016221,Total,146,80,54,10,1,1,83
E00016223,Total,107,57,40,9,1,0,61
E00016225,Total,117,54,51,9,2,1,79
E00016255,Total,101,47,44,10,0,0,64
E00016218,Total,113,60,48,4,0,1,60
E00016222,Total,160,89,62,9,0,0,80
E00016224,Total,156,67,74,13,2,0,106
E00016226,Total,120,57,46,12,4,1,87
E00016227,Total,139,61,68,9,1,0,89
E00016228,Total,125,51,63,9,2,0,87
E00016229,Total,182,100,65,15,2,0,101
E00016230,Total,134,68,46,17,1,2,93
E00016231,Total,145,82,49,12,1,1,80
E00016232,Total,130,78,45,7,0,0,59
E00016233,Total,154,91,49,13,1,0,78
E00016212,Total,120,53,55,11,0,1,81
E00016249,Total,118,77,35,5,1,0,48
E00016254,Total,107,45,45,11,6,0,85
E00173952,Total,108,59,40,9,0,0,58
E00174016,Total,98,54,36,8,0,0,52
E00174022,Total,91,39,43,9,0,0,61
E00174008,Total,130,93,35,2,0,0,39
E00174010,Total,120,88,28,4,0,0,36
E00174013,Total,126,93,30,2,0,1,38
E00174015,Total,107,72,33,2,0,0,37
E00174025,Total,127,88,38,1,0,0,40
E00174027,Total,96,57,39,0,0,0,39
E00016178,Total,121,71,42,8,0,0,58
E00016179,Total,128,61,53,9,5,0,86
E00016180,Total,132,57,61,11,2,1,98
E00016187,Total,130,42,63,22,3,0,116
E00016189,Total,128,33,75,18,2,0,117
E00016166,Total,101,48,37,14,2,0,71
E00016167,Total,120,19,63,32,4,2,147
E00016171,Total,153,72,65,15,1,0,98
E00016174,Total,121,29,71,18,3,0,116
E00016204,Total,140,60,66,12,1,1,97
E00016206,Total,121,56,49,13,3,0,84
E00016160,Total,131,25,78,25,2,1,140
E00016183,Total,119,41,65,13,0,0,91
E00016185,Total,114,28,67,16,2,1,109
E00016191,Total,122,31,63,25,3,0,122
E00016195,Total,128,47,67,13,1,0,96
E00016197,Total,150,83,53,13,1,0,82
E00016161,Total,166,91,61,12,0,2,96
E00016190,Total,156,102,46,7,1,0,63
E00016192,Total,173,108,54,10,0,1,78
E00016193,Total,154,101,48,5,0,0,58
E00016194,Total,152,108,39,5,0,0,49
E00016196,Total,179,85,81,13,0,0,107
E00016905,Total,114,62,43,7,2,0,63
E00016907,Total,115,57,42,16,0,0,74
E00016908,Total,123,83,33,7,0,0,47
E00016910,Total,128,79,44,4,1,0,55
E00016912,Total,97,67,28,2,0,0,32
E00016909,Total,146,89,46,11,0,0,68
E00016911,Total,171,91,69,10,0,1,94
E00016913,Total,158,93,59,5,1,0,72
E00016914,Total,125,88,31,6,0,0,43
E00016896,Total,140,79,55,6,0,0,67
E00016898,Total,113,60,37,16,0,0,69
E00016900,Total,144,80,53,8,3,0,78
E00016901,Total,85,51,29,4,1,0,40
E00016904,Total,107,56,36,15,0,0,66
E00016906,Total,113,49,51,11,2,0,79
E00016883,Total,142,65,58,15,3,1,101
E00016888,Total,129,57,57,14,1,0,88
E00016891,Total,171,101,56,11,3,0,87
E00016892,Total,126,63,54,6,3,0,75
E00016894,Total,151,76,66,9,0,0,84
E00016880,Total,115,50,45,16,4,0,89
E00016897,Total,180,106,65,9,0,0,83
E00016899,Total,159,82,68,9,0,0,86
E00016902,Total,137,68,60,9,0,0,78
E00016903,Total,128,49,64,12,3,0,97
E00016564,Total,133,53,65,15,0,0,95
E00016567,Total,82,57,21,4,0,0,29
E00016569,Total,128,65,47,12,3,1,84
E00016571,Total,115,32,56,22,5,0,115
E00173700,Total,103,64,33,6,0,0,45
E00173702,Total,105,54,42,6,3,0,63
E00016558,Total,126,78,42,6,0,0,54
E00016561,Total,121,74,37,8,2,0,59
E00016566,Total,113,57,46,6,2,2,73
E00016568,Total,144,71,56,13,3,1,96
E00016572,Total,147,78,56,9,4,0,86
E00016575,Total,127,57,59,9,2,0,83
E00016557,Total,95,67,24,3,1,0,33
E00016559,Total,137,80,48,7,1,1,69
E00016560,Total,146,75,64,7,0,0,78
E00016562,Total,147,74,62,9,2,0,86
E00016563,Total,126,68,47,10,1,0,70
E00016565,Total,154,83,61,8,1,1,84
E00016544,Total,149,77,62,10,0,0,82
E00016574,Total,128,46,58,20,3,1,111
E00016576,Total,125,58,55,8,2,2,85
E00016577,Total,144,53,71,14,5,1,118
E00016578,Total,108,36,51,20,1,0,94
E00016635,Total,175,108,52,13,2,0,84
E00016640,Total,142,70,61,9,0,2,88
E00016641,Total,147,93,45,7,2,0,65
E00016642,Total,183,112,62,9,0,0,80
E00016643,Total,147,86,47,13,1,0,76
E00016630,Total,152,74,63,12,2,1,97
E00016647,Total,151,103,40,8,0,0,56
E00016648,Total,136,88,34,13,1,0,63
E00016649,Total,138,93,42,2,1,0,49
E00016651,Total,148,76,61,7,1,3,96
E00016629,Total,159,93,55,11,0,0,77
E00016650,Total,122,72,35,15,0,0,65
E00016652,Total,129,99,23,4,1,2,42
E00016654,Total,133,96,35,2,0,0,39
E00016657,Total,139,97,39,3,0,0,45
E00016633,Total,109,71,34,4,0,0,42
E00016636,Total,133,106,24,1,2,0,32
E00016638,Total,84,56,25,3,0,0,31
E00016639,Total,200,117,73,8,1,1,96
E00016674,Total,122,57,52,9,3,1,83
E00174018,Total,234,190,41,3,0,0,47
E00174019,Total,84,53,27,2,2,0,37
E00174021,Total,55,39,16,0,0,0,16
E00016628,Total,149,83,57,8,1,0,76
E00016637,Total,194,122,64,7,1,0,81
E00174024,Total,114,74,36,4,0,0,44
E00174029,Total,112,76,33,3,0,0,39
E00174030,Total,110,59,43,7,0,1,63
E00016644,Total,208,134,65,8,1,0,84
E00016645,Total,170,93,60,10,7,0,101
E00016646,Total,173,96,65,10,1,1,92
E00016584,Total,233,125,89,15,4,0,131
E00016596,Total,126,48,64,11,3,0,95
E00016598,Total,228,97,110,19,1,1,155
E00016623,Total,173,89,65,17,2,0,105
E00174036,Total,97,46,47,4,0,0,55
E00174038,Total,190,130,53,6,1,0,68
E00016585,Total,134,70,50,13,1,0,79
E00016593,Total,244,111,109,23,0,1,160
E00016600,Total,144,24,98,17,5,0,147
E00016602,Total,133,36,75,20,1,1,122
E00016624,Total,129,64,56,7,2,0,76
E00016625,Total,139,50,76,13,0,0,102
E00016587,Total,184,77,84,18,4,1,136
E00016594,Total,157,58,83,14,2,0,117
E00016605,Total,181,73,92,15,1,0,125
E00016608,Total,91,38,43,9,0,1,65
E00016626,Total,135,41,81,10,3,0,110
E00016589,Total,133,58,53,18,3,1,102
E00016595,Total,127,89,36,2,0,0,40
E00016597,Total,133,104,27,2,0,0,31
E00016599,Total,139,66,63,10,0,0,83
E00016601,Total,139,71,61,5,2,0,77
E00016607,Total,115,61,45,9,0,0,63
E00016573,Total,130,47,60,22,0,1,108
E00016579,Total,134,71,52,11,0,0,74
E00016580,Total,168,80,81,6,1,0,96
E00016581,Total,186,92,81,11,1,1,110
E00016582,Total,180,83,82,11,4,0,116
E00016546,Total,141,86,48,6,1,0,63
E00016547,Total,164,69,79,11,2,3,119
E00016548,Total,137,35,82,19,1,0,123
E00016550,Total,158,92,53,10,3,0,82
E00016583,Total,121,67,46,8,0,0,62
E00016542,Total,135,57,64,9,2,3,100
E00016552,Total,142,72,58,12,0,0,82
E00016554,Total,123,46,66,9,1,1,91
E00016555,Total,114,63,40,8,3,0,65
E00016556,Total,126,50,52,18,4,2,108
E00016543,Total,168,85,71,12,0,0,95
E00016545,Total,128,61,62,3,2,0,74
E00016549,Total,134,40,73,20,1,0,116
E00016551,Total,140,22,71,32,9,6,188
E00016553,Total,130,45,61,17,5,2,118
E00016335,Total,91,36,39,15,1,0,72
E00016336,Total,136,48,65,22,1,0,112
E00016339,Total,117,24,56,29,8,0,138
E00016340,Total,131,36,76,16,3,0,117
E00016341,Total,115,30,63,19,2,1,111
E00016309,Total,146,68,60,14,4,0,100
E00016323,Total,114,46,54,12,2,0,84
E00016324,Total,161,82,68,9,1,1,95
E00016325,Total,142,90,43,8,0,1,66
E00016327,Total,124,52,62,9,1,0,83
E00016326,Total,124,37,66,16,4,1,114
E00016329,Total,144,57,72,9,4,2,110
E00016332,Total,148,40,74,25,6,3,157
E00016333,Total,111,38,55,15,3,0,94
E00016337,Total,122,34,56,32,0,0,120
E00016311,Total,126,45,64,14,3,0,101
E00016328,Total,126,52,66,8,0,0,82
E00016330,Total,117,62,45,10,0,0,65
E00016331,Total,137,47,69,16,3,2,118
E00016334,Total,163,38,94,22,9,0,165
E00016613,Total,150,22,75,38,13,2,198
E00016614,Total,128,48,58,19,3,0,105
E00016615,Total,122,29,64,22,6,1,130
E00016618,Total,116,57,49,10,0,0,69
E00016621,Total,135,80,49,2,4,0,65
E00016609,Total,104,22,63,13,4,2,109
E00016617,Total,137,30,80,23,3,1,139
E00016619,Total,136,43,65,21,6,1,129
E00016620,Total,117,27,57,26,5,2,139
E00016622,Total,107,53,37,15,1,1,81
E00016588,Total,164,63,80,18,2,1,126
E00016592,Total,185,62,100,22,1,0,147
E00016604,Total,106,37,52,14,2,1,90
E00016611,Total,105,37,58,10,0,0,78
E00016612,Total,90,21,44,19,5,1,101
E00016616,Total,117,64,43,7,3,0,66
E00016590,Total,171,71,85,14,1,0,116
E00016591,Total,130,35,63,24,5,3,138
E00016603,Total,198,57,91,41,8,1,201
E00016606,Total,165,49,89,23,4,0,147
E00016610,Total,133,41,81,10,1,0,104
E00016653,Total,127,43,69,9,4,2,109
E00016655,Total,143,90,47,4,1,1,62
E00016656,Total,154,79,64,10,0,1,88
E00016662,Total,117,48,59,9,0,1,81
E00016664,Total,161,58,88,12,3,0,121
E00016631,Total,140,65,60,13,2,0,92
E00016658,Total,107,68,36,3,0,0,42
E00016659,Total,121,76,37,7,1,0,54
E00016660,Total,159,96,51,11,1,0,76
E00016663,Total,149,78,59,10,0,2,87
E00016632,Total,133,66,54,12,1,0,81
E00016666,Total,127,56,54,15,2,0,90
E00016667,Total,159,62,66,25,4,2,136
E00016669,Total,113,73,30,10,0,0,50
E00016673,Total,121,48,59,12,1,1,93
E00016668,Total,117,66,42,5,3,1,67
E00016670,Total,111,41,59,9,2,0,83
E00016671,Total,75,33,30,9,3,0,57
E00016672,Total,141,56,59,20,5,1,118
E00173708,Total,83,44,34,5,0,0,44
E00173710,Total,118,46,64,7,0,1,82
E00016661,Total,121,51,58,7,5,0,87
E00173936,Total,113,62,46,4,1,0,57
E00173937,Total,110,72,35,3,0,0,41
E00173938,Total,149,61,76,10,2,0,102
E00174035,Total,101,49,45,7,0,0,59
E00016796,Total,157,94,52,7,4,0,78
E00016799,Total,138,64,58,14,2,0,92
E00016804,Total,216,148,60,6,2,0,78
E00016805,Total,138,64,55,16,2,1,97
E00016806,Total,103,46,45,10,2,0,71
E00016781,Total,110,51,50,7,2,0,70
E00016793,Total,113,62,40,10,1,0,63
E00016794,Total,113,68,41,3,1,0,50
E00016801,Total,107,47,55,4,0,1,67
E00016803,Total,101,50,40,7,3,1,67
E00016808,Total,106,55,41,7,3,0,64
E00016813,Total,144,80,54,7,2,1,78
E00016814,Total,129,65,53,8,3,0,78
E00016815,Total,109,54,43,9,2,1,71
