OA11CD,Rural Urban,All categories: Car or van availability,No cars or vans in household,1 car or van in household,2 cars or vans in household,3 cars or vans in household,4 or more cars or vans in household,sum of all cars or vans in the area
E00173707,Total,73,48,23,2,0,0,27
E00016729,Total,107,28,54,17,7,1,119
E00016730,Total,131,45,59,24,3,0,116
E00016759,Total,130,35,68,18,8,1,132
E00016761,Total,121,18,64,32,4,3,153
E00016762,Total,116,50,49,15,1,1,86
E00016765,Total,109,53,44,7,4,1,74
E00016767,Total,130,57,55,17,0,1,93
E00016770,Total,95,52,40,3,0,0,46
E00016771,Total,167,66,74,22,5,0,133
E00016774,Total,132,38,68,20,5,1,127
E00016777,Total,146,49,72,16,5,4,135
E00016731,Total,135,65,59,8,2,1,85
E00016769,Total,153,86,51,13,3,0,86
E00016773,Total,122,66,46,9,1,0,67
E00016775,Total,111,64,36,11,0,0,58
E00016776,Total,149,57,77,10,4,1,113
E00016460,Total,135,58,58,15,4,0,100
E00016463,Total,230,150,64,14,2,0,98
E00016467,Total,137,50,62,18,7,0,119
E00016469,Total,141,84,50,5,2,0,66
E00016471,Total,101,65,32,4,0,0,40
E00016472,Total,187,129,51,6,1,0,66
E00016447,Total,135,68,52,12,2,1,86
E00016458,Total,146,72,64,8,2,0,86
E00016459,Total,98,25,60,12,1,0,87
E00016464,Total,119,71,37,11,0,0,59
E00016465,Total,121,71,42,7,1,0,59
E00016466,Total,116,41,48,20,3,4,113
E00016475,Total,86,44,31,11,0,0,53
E00016476,Total,108,39,54,13,2,0,86
E00016478,Total,83,33,40,9,1,0,61
E00016479,Total,96,58,30,7,1,0,47
E00016480,Total,114,56,47,11,0,0,69
E00016482,Total,107,62,37,5,2,1,57
E00016468,Total,94,31,49,11,3,0,80
E00016470,Total,104,39,51,13,1,0,80
E00016473,Total,126,39,65,16,5,1,118
E00016474,Total,128,66,50,10,2,0,76
E00016477,Total,134,62,59,12,0,1,87
E00016481,Total,170,98,60,11,1,0,85
E00016126,Total,126,31,62,23,8,2,140
E00016127,Total,142,27,70,38,6,1,168
E00016131,Total,137,68,63,5,0,1,77
E00016134,Total,138,75,54,7,1,1,75
E00016140,Total,123,65,53,5,0,0,63
E00016118,Total,144,38,65,32,6,3,159
E00016154,Total,153,92,54,4,3,0,71
E00016155,Total,153,91,52,9,1,0,73
E00016156,Total,141,83,45,10,3,0,74
E00016157,Total,125,48,56,19,2,0,100
E00016112,Total,142,69,55,18,0,0,91
E00016119,Total,122,19,65,33,3,2,148
E00016121,Total,126,60,51,13,1,1,84
E00016123,Total,122,26,70,18,7,1,131
E00016158,Total,125,28,69,21,5,2,134
E00016113,Total,162,79,66,15,2,0,102
E00016120,Total,110,46,47,14,3,0,84
E00016122,Total,120,48,52,18,2,0,94
E00016124,Total,112,39,55,9,7,2,104
E00016125,Total,120,58,49,10,3,0,78
E00016114,Total,106,47,46,10,2,1,79
E00016128,Total,133,62,58,12,1,0,85
E00016130,Total,132,59,59,13,1,0,88
E00016133,Total,119,47,53,12,6,1,99
E00016135,Total,135,71,45,16,2,1,87
E00016948,Total,146,87,46,12,1,0,73
E00016949,Total,130,60,55,13,2,0,87
E00016951,Total,126,71,48,6,1,0,63
E00016955,Total,128,71,42,12,2,1,76
E00016956,Total,108,45,52,8,3,0,77
E00016950,Total,110,30,50,24,2,4,120
E00016967,Total,115,34,52,22,7,0,117
E00016968,Total,118,34,58,22,4,0,114
E00016969,Total,115,52,47,13,2,1,83
E00016971,Total,113,45,48,15,4,1,94
E00016928,Total,132,48,64,14,3,3,113
E00016947,Total,141,61,68,12,0,0,92
E00016958,Total,122,48,49,20,4,1,105
E00016963,Total,124,34,62,23,3,2,125
E00016937,Total,151,32,81,32,3,3,166
E00016959,Total,108,18,58,23,8,1,132
E00016962,Total,190,109,66,12,3,0,99
E00016965,Total,142,86,49,7,0,0,63
E00016970,Total,144,70,61,10,1,2,92
E00016934,Total,126,39,53,28,5,1,128
E00016935,Total,157,45,75,26,9,2,163
E00016936,Total,125,24,62,30,8,1,151
E00016938,Total,102,22,41,29,9,1,131
E00016939,Total,122,38,56,23,3,2,120
E00016496,Total,121,37,70,14,0,0,98
E00016517,Total,97,30,52,12,2,1,86
E00016518,Total,133,60,51,16,3,3,104
E00016523,Total,120,58,40,19,3,0,87
E00016524,Total,131,52,57,16,2,4,111
E00016525,Total,126,59,51,11,2,3,91
E00016497,Total,120,68,41,10,1,0,64
E00016527,Total,103,71,27,5,0,0,37
E00016528,Total,113,52,56,4,1,0,67
E00016531,Total,127,58,51,16,1,1,90
E00016532,Total,105,51,47,7,0,0,61
E00016535,Total,112,66,38,5,2,1,58
E00016520,Total,124,52,55,15,1,1,93
E00016522,Total,146,79,61,5,1,0,74
E00016526,Total,141,84,46,9,2,0,70
E00016529,Total,115,47,53,12,3,0,86
E00016530,Total,118,50,52,13,3,0,87
E00016533,Total,113,30,57,20,4,2,118
E00016534,Total,110,24,58,15,9,4,131
E00016536,Total,115,41,58,13,3,0,93
E00016537,Total,106,41,45,17,3,0,88
E00016538,Total,121,43,42,26,6,4,130
E00016539,Total,146,65,64,12,3,2,107
E00016830,Total,139,40,64,29,6,0,140
E00016839,Total,117,42,65,8,2,0,87
E00016845,Total,136,45,74,11,5,1,115
E00016872,Total,140,51,66,21,2,0,114
E00016873,Total,134,74,55,3,1,1,68
E00016838,Total,129,81,37,10,1,0,60
E00016840,Total,126,36,53,29,4,4,141
E00016847,Total,105,63,34,7,1,0,51
E00016852,Total,87,26,45,13,2,1,81
E00016858,Total,99,44,47,7,1,0,64
E00016874,Total,116,61,43,11,0,1,71
E00016826,Total,116,64,40,7,4,1,71
E00016831,Total,112,66,40,5,1,0,53
E00016832,Total,125,71,43,9,1,1,71
E00016833,Total,121,20,60,34,6,1,150
E00016875,Total,98,41,42,9,6,0,78
E00016828,Total,114,43,57,12,2,0,87
E00016850,Total,92,38,43,10,1,0,66
E00016854,Total,120,56,54,10,0,0,74
E00016855,Total,111,40,60,10,1,0,83
E00016857,Total,126,52,59,12,3,0,92
E00016878,Total,116,72,36,7,1,0,53
E00016827,Total,134,71,55,7,1,0,72
E00016834,Total,139,73,50,14,2,0,84
E00016842,Total,100,44,47,6,3,0,68
E00016856,Total,188,121,56,8,3,0,81
E00016876,Total,106,56,43,7,0,0,57
E00016877,Total,111,69,39,3,0,0,45
E00016115,Total,125,70,44,7,3,1,71
E00016136,Total,119,61,46,11,1,0,71
E00016137,Total,129,55,52,15,6,1,104
E00016138,Total,122,57,54,10,1,0,77
E00016139,Total,129,57,56,13,3,0,91
E00016116,Total,134,33,84,16,1,0,119
E00016129,Total,141,77,54,8,1,1,83
E00016142,Total,140,77,45,15,1,2,87
E00016144,Total,119,61,50,6,0,2,71
E00016145,Total,137,85,46,6,0,0,58
E00016150,Total,138,88,45,5,0,0,55
E00016117,Total,147,73,66,7,1,0,83
E00016132,Total,127,56,63,7,1,0,80
E00016143,Total,113,49,44,16,1,3,91
E00016147,Total,153,72,58,19,3,1,109
E00016153,Total,125,56,51,15,3,0,90
E00016141,Total,118,62,47,8,1,0,66
E00016146,Total,127,78,45,4,0,0,53
E00016148,Total,127,56,59,12,0,0,83
E00016149,Total,132,80,47,3,2,0,59
E00016151,Total,112,55,45,10,2,0,71
E00016152,Total,125,81,37,5,2,0,53
E00016843,Total,106,43,47,15,1,0,80
E00016863,Total,146,75,62,6,2,1,84
E00016868,Total,128,72,45,11,0,0,67
E00016870,Total,139,50,68,19,2,0,112
E00016871,Total,119,49,49,20,0,1,94
E00016848,Total,98,22,62,10,3,1,95
E00016859,Total,146,51,72,18,4,1,124
E00016861,Total,181,90,71,16,4,0,115
E00016862,Total,141,64,69,6,2,0,87
E00016866,Total,148,71,67,9,1,0,88
E00016829,Total,135,67,61,6,1,0,76
E00016851,Total,134,29,71,27,3,4,152
E00016860,Total,155,83,60,10,2,0,86
E00016864,Total,154,83,61,10,0,0,81
E00016867,Total,132,51,62,16,3,0,103
E00016869,Total,123,79,39,5,0,0,49
E00016835,Total,151,76,57,16,2,0,95
E00016837,Total,125,52,62,11,0,0,84
E00016846,Total,140,56,69,13,2,0,101
E00016849,Total,102,44,53,5,0,0,63
E00016865,Total,139,54,62,18,5,0,113
E00016825,Total,113,75,33,5,0,0,43
E00016836,Total,124,47,54,18,5,0,105
E00016841,Total,130,69,48,10,2,1,78
E00016844,Total,111,39,57,11,2,2,93
E00016853,Total,116,72,36,4,3,1,57
E00016350,Total,133,58,55,19,1,0,96
E00016369,Total,132,66,52,13,0,1,82
E00016370,Total,144,77,59,7,1,0,76
E00016371,Total,119,53,54,11,1,0,79
E00016374,Total,120,57,53,8,0,2,78
E00016352,Total,110,48,50,10,2,0,76
E00016373,Total,123,59,47,15,2,0,83
E00016378,Total,125,56,53,13,2,1,89
E00016381,Total,143,71,60,11,1,0,85
E00016382,Total,107,50,41,9,7,0,80
E00016348,Total,91,28,44,16,3,0,85
E00016372,Total,118,52,47,16,3,0,88
E00016375,Total,105,29,59,11,6,0,99
E00016377,Total,120,62,39,16,3,0,80
E00016379,Total,131,63,53,13,2,0,85
E00016349,Total,125,56,49,19,1,0,90
E00016351,Total,196,75,91,25,4,1,157
E00016376,Total,111,48,49,13,0,1,79
E00016383,Total,132,48,65,17,2,0,105
E00016356,Total,136,58,65,11,2,0,93
E00016387,Total,146,67,53,25,1,0,106
E00016393,Total,118,47,58,12,0,1,87
E00165790,Total,108,46,48,13,0,1,78
E00016361,Total,104,47,39,10,7,1,84
E00016363,Total,139,58,65,12,3,1,102
E00016366,Total,99,18,43,27,8,3,135
E00016367,Total,81,26,31,20,4,0,83
E00016368,Total,100,21,41,31,5,2,127
E00016353,Total,117,40,61,14,2,0,95
E00016360,Total,194,82,83,26,3,0,144
E00016380,Total,100,33,57,8,1,1,80
E00016389,Total,110,45,45,14,5,1,92
E00016390,Total,85,31,44,5,5,0,69
E00016392,Total,119,51,46,19,3,0,93
E00016359,Total,120,36,59,24,1,0,110
E00016384,Total,121,37,53,25,4,2,123
E00016385,Total,177,99,68,7,2,1,94
E00016386,Total,145,95,45,5,0,0,55
E00016388,Total,132,38,66,22,5,1,130
E00016346,Total,106,46,47,10,3,0,76
E00016354,Total,104,61,34,7,0,2,56
E00016357,Total,131,69,56,5,1,0,69
E00016358,Total,122,63,47,10,0,2,75
E00016391,Total,118,29,56,29,2,2,128
E00016362,Total,131,57,50,20,3,1,103
E00016364,Total,126,70,50,5,1,0,63
E00016365,Total,109,60,38,10,0,1,62
E00016394,Total,120,42,62,16,0,0,94
E00165789,Total,158,93,58,7,0,0,72
E00016678,Total,105,63,39,3,0,0,45
E00016722,Total,150,89,51,10,0,0,71
E00016724,Total,110,62,43,3,1,1,65
E00016727,Total,110,48,45,13,4,0,83
E00016676,Total,96,51,38,6,1,0,53
E00016685,Total,127,73,41,10,2,1,71
E00016690,Total,128,90,31,5,2,0,47
E00016691,Total,108,55,44,7,1,1,65
E00016726,Total,102,65,35,1,1,0,40
E00016688,Total,107,48,42,15,2,0,78
E00016695,Total,108,60,43,5,0,0,53
E00016705,Total,124,87,30,3,2,2,50
E00016710,Total,124,84,34,4,2,0,48
E00016712,Total,97,70,24,2,1,0,31
E00016682,Total,129,97,25,7,0,0,39
E00016686,Total,133,87,40,5,1,0,53
E00016699,Total,126,83,38,5,0,0,48
E00016702,Total,186,124,55,5,1,1,74
E00016707,Total,183,133,39,9,2,0,63
E00016711,Total,146,102,40,4,0,0,48
E00016696,Total,104,70,30,4,0,0,38
E00016698,Total,160,101,55,4,0,0,63
E00016703,Total,112,79,27,5,1,0,40
E00016713,Total,223,172,43,8,0,0,59
E00165804,Total,112,67,38,7,0,0,52
