OA11CD,No cars or vans,One car or van,Two cars or vans,Three cars or vans,Four cars or vans
E00016342,37.03703703703704,45.370370370370374,13.88888888888889,0.9259259259259259,2.7777777777777777
E00016303,41.97530864197531,48.148148148148145,9.25925925925926,0.6172839506172839,0.0
E00016304,44.23076923076923,46.794871794871796,8.974358974358974,0.0,0.0
E00016313,52.83018867924528,35.84905660377358,8.49056603773585,1.8867924528301887,0.9433962264150944
E00016318,33.85826771653543,53.54330708661417,11.023622047244094,1.5748031496062993,0.0
E00016345,35.24590163934426,52.459016393442624,9.01639344262295,3.278688524590164,0.0
E00016307,59.036144578313255,31.927710843373493,7.228915662650603,1.8072289156626506,0.0
E00016314,57.36434108527132,33.333333333333336,7.751937984496124,0.7751937984496124,0.7751937984496124
E00016319,61.666666666666664,34.166666666666664,3.3333333333333335,0.0,0.8333333333333334
E00016321,61.0062893081761,26.41509433962264,10.69182389937107,1.2578616352201257,0.6289308176100629
E00016322,54.166666666666664,41.07142857142857,4.166666666666667,0.5952380952380952,0.0
E00016305,49.13793103448276,39.6551724137931,8.620689655172415,2.586206896551724,0.0
E00016306,57.64705882352941,32.94117647058823,8.235294117647058,1.1764705882352942,0.0
E00016308,51.724137931034484,41.37931034482759,6.896551724137931,0.0,0.0
E00016315,48.45360824742268,42.2680412371134,7.216494845360825,2.0618556701030926,0.0
E00016317,34.45378151260504,50.42016806722689,10.084033613445378,4.201680672268908,0.8403361344537815
E00016320,35.24590163934426,57.377049180327866,7.377049180327869,0.0,0.0
E00016779,46.59090909090909,42.04545454545455,9.090909090909092,2.272727272727273,0.0
E00016789,34.72222222222222,47.22222222222222,15.277777777777779,2.7777777777777777,0.0
E00016797,25.0,50.0,21.52777777777778,2.7777777777777777,0.6944444444444444
E00016798,57.23684210526316,28.94736842105263,11.842105263157896,1.3157894736842106,0.6578947368421053
E00016821,45.0,38.75,14.375,0.625,1.25
E00016780,55.76923076923077,39.1025641025641,4.487179487179487,0.0,0.6410256410256411
E00016782,54.59770114942529,36.206896551724135,7.471264367816092,1.1494252873563218,0.5747126436781609
